,year,platform,category,count,pct
0,2022,Instagram,Beauty&Fashion,423,9.35
1,2022,Instagram,Entertainment,1372,30.33
2,2022,Instagram,Knowledge&Info,89,1.97
3,2022,Instagram,Lifestyle,864,19.1
4,2022,Instagram,Music,954,21.09
5,2022,Instagram,Other,60,1.33
6,2022,Instagram,Sports,702,15.52
7,2022,Instagram,Tech&Gaming,59,1.3
8,2022,YouTube,Beauty&Fashion,31,0.86
9,2022,YouTube,Entertainment,997,27.66
10,2022,YouTube,Knowledge&Info,422,11.71
11,2022,YouTube,Lifestyle,501,13.9
12,2022,YouTube,Music,1143,31.71
13,2022,YouTube,Other,11,0.31
14,2022,YouTube,Sports,65,1.8
15,2022,YouTube,Tech&Gaming,434,12.04
16,2024,Instagram,Beauty&Fashion,1521,28.53
17,2024,Instagram,Entertainment,465,8.72
18,2024,Instagram,Knowledge&Info,603,11.31
19,2024,Instagram,Lifestyle,319,5.98
20,2024,Instagram,Music,1088,20.41
21,2024,Instagram,Other,282,5.29
22,2024,Instagram,Sports,906,16.99
23,2024,Instagram,Tech&Gaming,148,2.78
24,2024,TikTok,Beauty&Fashion,361,15.3
25,2024,TikTok,Entertainment,137,5.81
26,2024,TikTok,Knowledge&Info,217,9.2
27,2024,TikTok,Lifestyle,334,14.16
28,2024,TikTok,Music,812,34.42
29,2024,TikTok,Other,199,8.44
30,2024,TikTok,Sports,169,7.16
31,2024,TikTok,Tech&Gaming,130,5.51
32,2024,YouTube,Beauty&Fashion,25,6.54
33,2024,YouTube,Entertainment,46,12.04
34,2024,YouTube,Knowledge&Info,50,13.09
35,2024,YouTube,Lifestyle,37,9.69
36,2024,YouTube,Music,94,24.61
37,2024,YouTube,Other,57,14.92
38,2024,YouTube,Sports,24,6.28
39,2024,YouTube,Tech&Gaming,49,12.83
40,2026,YouTube,Entertainment,216,37.7
41,2026,YouTube,Knowledge&Info,17,2.97
42,2026,YouTube,Lifestyle,114,19.9
43,2026,YouTube,Music,125,21.82
44,2026,YouTube,Sports,12,2.09
45,2026,YouTube,Tech&Gaming,89,15.53
