year,platform,tier,median,mean,count
2022,Instagram,Nano (<10K),,,0
2022,Instagram,Micro (10K–100K),,,0
2022,Instagram,Macro (100K–1M),,,0
2022,Instagram,Mega (1M–10M),9.1125,12.1241,1522
2022,Instagram,Top (>10M),1.9556,3.3856,3534
2022,TikTok,Nano (<10K),3297.1087,4024.8194,25
2022,TikTok,Micro (10K–100K),430.2273,618.4155,139
2022,TikTok,Macro (100K–1M),48.6835,79.9307,686
2022,TikTok,Mega (1M–10M),8.0083,11.338,3059
2022,TikTok,Top (>10M),2.0572,2.7429,1098
2022,YouTube,Nano (<10K),,,0
2022,YouTube,Micro (10K–100K),,,0
2022,YouTube,Macro (100K–1M),,,0
2022,YouTube,Mega (1M–10M),,,0
2022,YouTube,Top (>10M),,,0
2024,Instagram,Nano (<10K),,,0
2024,Instagram,Micro (10K–100K),1.01,3.8224,17
2024,Instagram,Macro (100K–1M),1.31,2.8613,1873
2024,Instagram,Mega (1M–10M),1.0,2.1456,3103
2024,Instagram,Top (>10M),0.805,1.719,764
2024,TikTok,Nano (<10K),0.5,1.4667,12
2024,TikTok,Micro (10K–100K),0.3,3.6458,48
2024,TikTok,Macro (100K–1M),0.2,0.833,917
2024,TikTok,Mega (1M–10M),0.3,1.4261,380
2024,TikTok,Top (>10M),0.8,1.5913,92
2024,YouTube,Nano (<10K),0.2,0.2,3
2024,YouTube,Micro (10K–100K),0.5,3.3287,87
2024,YouTube,Macro (100K–1M),0.7,1.9546,804
2024,YouTube,Mega (1M–10M),0.5,1.4848,1148
2024,YouTube,Top (>10M),0.4,1.2523,130
2026,Instagram,Nano (<10K),,,0
2026,Instagram,Micro (10K–100K),,,0
2026,Instagram,Macro (100K–1M),,,0
2026,Instagram,Mega (1M–10M),,,0
2026,Instagram,Top (>10M),,,0
2026,TikTok,Nano (<10K),,,0
2026,TikTok,Micro (10K–100K),,,0
2026,TikTok,Macro (100K–1M),,,0
2026,TikTok,Mega (1M–10M),,,0
2026,TikTok,Top (>10M),,,0
2026,YouTube,Nano (<10K),8.9377,8.9377,2
2026,YouTube,Micro (10K–100K),,,0
2026,YouTube,Macro (100K–1M),0.0058,0.0058,1
2026,YouTube,Mega (1M–10M),0.0328,0.0665,10
2026,YouTube,Top (>10M),0.0166,0.1171,513
