year,category,std,var,median,count
2022,Beauty&Fashion,4.043,16.3462,2.342,423
2022,Entertainment,5.2369,27.425,2.6287,1372
2022,Knowledge&Info,5.7184,32.7002,1.8703,89
2022,Lifestyle,7.762,60.2491,5.9738,862
2022,Music,6.5485,42.8834,3.4021,951
2022,Other,2.2188,4.9231,1.8163,60
2022,Sports,4.8228,23.2596,1.9144,702
2022,Tech&Gaming,3.8221,14.6083,1.3687,59
2024,Beauty&Fashion,2.6314,6.9241,0.93,1595
2024,Entertainment,3.3351,11.1231,0.885,520
2024,Knowledge&Info,2.4826,6.1633,0.68,672
2024,Lifestyle,4.1016,16.8229,0.97,410
2024,Music,3.562,12.6875,0.9,1325
2024,Other,3.1444,9.8872,0.68,319
2024,Sports,4.4539,19.8376,1.5,948
2024,Tech&Gaming,3.2884,10.8133,0.7,206
2026,Entertainment,0.2021,0.0408,0.0068,195
2026,Knowledge&Info,0.2673,0.0714,0.0052,17
2026,Lifestyle,1.4313,2.0486,0.045,104
2026,Music,0.4622,0.2136,0.0101,117
2026,Sports,0.137,0.0188,0.0299,11
2026,Tech&Gaming,0.3507,0.123,0.0906,82
