handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg,unified_cat_1,unified_cat_2
433,433,Sports with a ball,,50700000,Spain,274900,456700.0,Sports,
____kimwoobin,김우빈,Lifestyle,,3600000,Indonesia,449400,592700.0,Lifestyle,
__youngbae__,TAEYANG,Music,,13400000,Indonesia,269600,304100.0,Music,
_agentgirl_,НАСТЯ ИВЛЕЕВА,Shows,,18600000,Russia,164400,189400.0,Entertainment,
_hakkencoser_,Hakken 八犬,Lifestyle,Photography,3500000,United States,525100,643000.0,Lifestyle,Lifestyle
_hakkencoser_,Hakken 八犬,Lifestyle,Photography,3500000,United States,525100,643000.0,Lifestyle,Lifestyle
_imyour_joy,Joy,Lifestyle,,14000000,Indonesia,1100000,1400000.0,Lifestyle,
_jeongjaehyun,Jaehyun,,,11900000,Indonesia,2100000,2600000.0,,
_mariahwasa,HWASA,,,8200000,Brazil,957200,1200000.0,,
_rl9,Robert Lewandowski,Sports with a ball,,26600000,Poland,381900,486000.0,Sports,
_seorina,설인아 sᴇᴏʀɪɴᴀ,Lifestyle,Cinema & Actors/actresses,5700000,South Korea,728000,903500.0,Lifestyle,Entertainment
_shotaroo_,SHOTARO ショウタロウ,Lifestyle,Music,5300000,Indonesia,866900,1100000.0,Lifestyle,Music
_zyozyo,지효 (JIHYO),,,3600000,,1900000,,,
03_hu,박지후,Lifestyle,,4200000,South Korea,632200,775600.0,Lifestyle,
21savage,,Music,,13500000,United States,271200,475800.0,Music,
39saku_chan,Sakura Miyawaki,Cinema & Actors/actresses,,3500000,Indonesia,666200,822300.0,Entertainment,
3gerardpique,Gerard Piqué,Sports with a ball,,20400000,Spain,453300,668800.0,Sports,
5sos,5 Seconds of Summer,Music,,10100000,United States,154300,213700.0,Music,
9gag,9GAG: Go Fun The World,Humor & Fun & Happiness,,58200000,Indonesia,118500,154400.0,Entertainment,
ab,Antonio Brown,Sports with a ball,,9600000,United States,131900,268000.0,Sports,
abdevilliers17,AB de Villiers,Sports with a ball,Lifestyle,18300000,India,274100,315800.0,Sports,Lifestyle
achrafhakimi,Achraf Hakimi,Sports with a ball,,9800000,Morocco,359200,527200.0,Sports,
actor_jg,"💓배우 이준기 LEE JOON GI , a.k.a Actor JG 李準基 💓",Cinema & Actors/actresses,,6400000,Indonesia,332200,389900.0,Entertainment,
actorleeminho,이민호 leeminho,Cinema & Actors/actresses,,29900000,Indonesia,2500000,3300000.0,Entertainment,
actorsuriya,Suriya Sivakumar,Cinema & Actors/actresses,,4800000,India,715600,928700.0,Entertainment,
acunilicali,Acun Ilıcalı,Cinema & Actors/actresses,,13700000,Turkey,128100,157400.0,Entertainment,
adamsandler,Adam Sandler,Cinema & Actors/actresses,,13300000,United States,126800,161800.0,Entertainment,
adamweitsman,Adam Weitsman,Business & Careers,,17200000,Russia,235800,321700.0,Info/Business,
addisonraee,Addison Rae,Beauty,,40500000,United States,569500,880100.0,Beauty/Fashion,
adinross,,,,2800000,United States,497200,1000000.0,,
adinross,,,,2700000,United States,497300,1000000.0,,
aespa_official,aespa 에스파,Lifestyle,,8900000,Indonesia,211900,304200.0,Lifestyle,
agustd,SUGA of BTS 민윤기,Lifestyle,Music,35900000,,10200000,,Lifestyle,Music
ahmedabohashima,Ahmed Abouhashima,Business & Careers,Finance & Economics,14800000,Egypt,121900,164400.0,Info/Business,Info/Business
ahmedhelmy,Ahmed Helmy,Humor & Fun & Happiness,,16600000,Egypt,107900,135600.0,Entertainment,
ahmedhelmy,Ahmed Helmy,Humor & Fun & Happiness,,16600000,Egypt,107900,135600.0,Entertainment,
akshaykumar,Akshay Kumar,Cinema & Actors/actresses,,62500000,India,501100,593800.0,Entertainment,
albafloresoficial,Alba Flores,Cinema & Actors/actresses,,11700000,Spain,244400,328900.0,Entertainment,
aleoliveiracm,Alê Oliveira,Humor & Fun & Happiness,,8400000,Brazil,232500,589600.0,Entertainment,
alexandradaddario,alexandra daddario,Cinema & Actors/actresses,,22600000,India,281100,343800.0,Entertainment,
alexis_officia1,Sanchez Alexis,Sports with a ball,,14000000,Chile,123200,202200.0,Sports,
alexisren,Alexis Ren,Lifestyle,,16500000,United States,98700,153300.0,Lifestyle,
alfinetei,Alfinetadas Dos Famosos 📌,Humor & Fun & Happiness,,21600000,Brazil,82500,185400.0,Entertainment,
aliaabhatt,Alia Bhatt 🤍☀️,Cinema & Actors/actresses,,66600000,India,1300000,1600000.0,Entertainment,
aliandooo,Aliando Syarief,Music,Cinema & Actors/actresses,16600000,Indonesia,132500,212300.0,Music,Entertainment
aliiiiiiiikarimi8,Ali Karimi,Sports with a ball,,9400000,Iran,383800,578100.0,Sports,
