rank,handle_instagram,name_instagram,followers,audience_country,engagement_auth,engagement_avg,category_1,category_2,unified_cat_1,unified_cat_2
1,cristiano,Cristiano Ronaldo,477900000,India,5000000,6200000,Sports with a ball,,Sports,
2,kyliejenner,Kylie 🤍,368100000,United States,3500000,5500000,Fashion,Modeling,Beauty/Fashion,Beauty/Fashion
3,arianagrande,Ariana Grande,329600000,United States,2900000,4000000,,,,
4,leomessi,Leo Messi,358600000,Indonesia,2700000,3500000,Sports with a ball,Family,Sports,Lifestyle
5,zendaya,Zendaya,151100000,United States,4300000,5800000,Cinema & Actors/actresses,Fashion,Entertainment,Beauty/Fashion
6,selenagomez,Selena Gomez,344200000,United States,1800000,2400000,Lifestyle,,Lifestyle,
7,taylorswift,Taylor Swift,223500000,Brazil,2500000,3300000,,,,
8,thv,V,50800000,South Korea,12700000,12700000,,,,
9,virat.kohli,Virat Kohli,212600000,India,2600000,2900000,Sports with a ball,,Sports,
10,beyonce,Beyoncé,274100000,United States,1500000,2100000,Fashion,,Beauty/Fashion,
11,kimkardashian,Kim Kardashian,329800000,United States,1200000,1600000,Fashion,Beauty,Beauty/Fashion,Beauty/Fashion
12,tomholland2013,Tom Holland,68000000,United States,6300000,7700000,Cinema & Actors/actresses,,Entertainment,
13,j.m,JIMIN,43500000,South Korea,11600000,11600000,,,,
14,billieeilish,BILLIE EILISH,106200000,United States,3500000,4600000,,,,
15,lalalalisa_m,LISA,81700000,Indonesia,5000000,5800000,,,,
16,justinbieber,Justin Bieber,256300000,Brazil,1300000,1800000,,,,
17,neymarjr,NJ 🇧🇷,178100000,Brazil,1500000,2200000,Sports with a ball,,Sports,
18,agustd,SUGA of BTS 민윤기,38300000,South Korea,9900000,9900000,Lifestyle,,Lifestyle,
19,sooyaaa__,JISOO🤍,63800000,Indonesia,4900000,5600000,Beauty,,Beauty/Fashion,
20,jin,Jin of BTS,39500000,United States,8800000,8800000,,,,
21,kendalljenner,Kendall,255400000,United States,852000,1300000,Modeling,Fashion,Beauty/Fashion,Beauty/Fashion
22,karolg,KAROL G,56200000,Mexico,5000000,6100000,,,,
23,kourtneykardash,Kourtney Kardashian Barker,196400000,United States,1200000,1700000,Lifestyle,,Lifestyle,
24,khaby00,Khaby Lame,79300000,India,2800000,3900000,Sports with a ball,,Sports,
25,uarmyhope,jhope,39400000,South Korea,7800000,7800000,,,,
26,jennierubyjane,J,69800000,Indonesia,3700000,4400000,,,,
27,roses_are_rosie,ROSÉ,62700000,Indonesia,3700000,4300000,,,,
28,badbunnypr,,42800000,United States,3600000,5600000,,,,
29,milliebobbybrown,Millie Bobby Brown,58400000,Brazil,3100000,4000000,Cinema & Actors/actresses,,Entertainment,
30,jlo,Jennifer Lopez,220900000,United States,830400,1100000,Cinema & Actors/actresses,,Entertainment,
31,zayn,Zayn Malik,47000000,India,3100000,4900000,,,,
32,rkive,RM,37800000,,5900000,5900000,Lifestyle,,Lifestyle,
33,instagram,Instagram,546600000,India,285400,356600,Photography,,Lifestyle,
34,bts.bighitofficial,BTS official,67500000,Indonesia,2500000,2700000,,,,
35,iamcardib,Cardi B,140400000,United States,893800,1300000,Fashion,,Beauty/Fashion,
36,jungkook.97,전 정국 이올시다,45800000,,3800000,3800000,,,,
37,champagnepapi,champagnepapi,120200000,United States,877000,1400000,,,,
38,therock,Dwayne Johnson,335900000,India,375200,477500,Cinema & Actors/actresses,Fitness & Gym,Entertainment,Sports
39,nickiminaj,Barbie,201800000,United States,486100,765500,,,,
40,narendramodi,Narendra Modi,69300000,India,1800000,2000000,Finance & Economics,Business & Careers,Info/Business,Info/Business
41,kingjames,👑,131500000,United States,618300,1100000,Sports with a ball,,Sports,
42,khloekardashian,Khloé Kardashian,268400000,United States,403100,499300,Clothing & Outfits,Lifestyle,Beauty/Fashion,Lifestyle
43,dualipa,DUA LIPA,86300000,United States,1200000,1500000,,,,
44,willsmith,Will Smith,63700000,United States,1600000,1900000,Cinema & Actors/actresses,,Entertainment,
45,shawnmendes,Shawn Mendes,70200000,Brazil,1200000,1700000,,,,
46,eunwo.o_c,차은우,30200000,Indonesia,3200000,3900000,Lifestyle,,Lifestyle,
47,harrystyles,,47300000,United States,1700000,2300000,Fashion,,Beauty/Fashion,
48,dlwlrma,이지금 IU,27600000,South Korea,3200000,3800000,,,,
49,actorleeminho,이민호 leeminho,30700000,Indonesia,2600000,3400000,Cinema & Actors/actresses,,Entertainment,
50,noahschnapp,Noah Schnapp,27500000,Brazil,2800000,3700000,Cinema & Actors/actresses,,Entertainment,
51,adele,Adele,50800000,United States,1400000,1900000,,,,
52,shraddhakapoor,Shraddha ✶,74400000,India,1100000,1300000,Cinema & Actors/actresses,,Entertainment,
53,gigihadid,Gigi Hadid,75400000,United States,795500,1200000,Modeling,Lifestyle,Beauty/Fashion,Lifestyle
54,oliviarodrigo,Olivia Rodrigo,27800000,India,2500000,3100000,Cinema & Actors/actresses,,Entertainment,
55,georginagio,Georgina Rodríguez,39100000,India,1500000,2100000,Lifestyle,Fashion,Lifestyle,Beauty/Fashion
56,katrinakaif,Katrina Kaif,66600000,India,1100000,1200000,Beauty,,Beauty/Fashion,
57,haileybieber,Hailey Rhode Baldwin Bieber,47600000,United States,1300000,1700000,Lifestyle,Modeling,Lifestyle,Beauty/Fashion
58,k.mbappe,Kylian Mbappé,72600000,France,797200,1100000,Sports with a ball,,Sports,
59,blakelively,Blake Lively,35000000,United States,1500000,2300000,Cinema & Actors/actresses,,Entertainment,
60,anushkasharma,AnushkaSharma1588,59700000,India,1200000,1300000,Cinema & Actors/actresses,,Entertainment,
61,nasa,NASA,82300000,India,800400,961700,Science,Photography,Tech/Gaming,Lifestyle
62,handemiyy,Hande Erçel,28900000,Turkey,2100000,2700000,Cinema & Actors/actresses,,Entertainment,
63,sadiesink_,Sadie Sink,24600000,Brazil,2200000,3100000,Modeling,Lifestyle,Beauty/Fashion,Lifestyle
