handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg,category_1_unified,category_2_unified,category_primary,if_exist
433,433,Sports with a ball,,48500000,Spain,383100,637000,Sports,,Sports,1
__youngbae__,TAEYANG,Music,,12700000,Indonesia,478000,542300,Music,,Music,1
_agentgirl_,НАСТЯ ИВЛЕЕВА,Shows,,18800000,Russia,310800,377900,Entertainment,,Entertainment,1
_imyour_joy,Joy,Lifestyle,,13500000,Indonesia,1100000,1400000,Lifestyle,,Lifestyle,1
_jeongjaehyun,Jaehyun,,,11100000,Indonesia,2500000,3100000,,,,0
_mariahwasa,HWASA,,,7900000,Brazil,915100,1200000,,,,0
_rl9,Robert Lewandowski,Sports with a ball,,25000000,Poland,588600,749000,Sports,,Sports,1
_seorina,설인아 sᴇᴏʀɪɴᴀ,Lifestyle,Cinema & Actors/actresses,3000000,South Korea,803900,997800,Lifestyle,Entertainment,Lifestyle,1
_shotaroo_,SHOTARO ショウタロウ,,,4900000,Indonesia,860100,1100000,,,,0
03_hu,박지후,,,4100000,South Korea,711000,872600,,,,0
21savage,,Music,,13200000,United States,263500,462000,Music,,Music,1
333cyj333,Ars 🎗,Music,,6500000,Thailand,359300,427700,Music,,Music,1
3gerardpique,Gerard Piqué,Sports with a ball,,19800000,Spain,446100,658800,Sports,,Sports,1
50cent,50 Cent,Music,,27900000,United States,177500,283200,Music,,Music,1
9gag,9GAG: Go Fun The World,Humor & Fun & Happiness,,58300000,Indonesia,214700,276900,Entertainment,,Entertainment,1
abdevilliers17,AB de Villiers,Sports with a ball,Lifestyle,17200000,India,534000,615900,Sports,Lifestyle,Sports,1
aboflah,AboFlah,Humor & Fun & Happiness,,7200000,Iraq,793400,949400,Entertainment,,Entertainment,1
achrafhakimi,Achraf Hakimi,Sports with a ball,,8800000,Morocco,520000,764500,Sports,,Sports,1
actorleeminho,이민호 leeminho,Cinema & Actors/actresses,,28900000,Indonesia,2800000,3700000,Entertainment,,Entertainment,1
actorprabhas,Prabhas,,,8200000,India,482200,540200,,,,0
actorsuriya,Suriya Sivakumar,,,4100000,India,491300,637700,,,,0
acunilicali,Acun Ilıcalı,Cinema & Actors/actresses,,13600000,Turkey,233800,286300,Entertainment,,Entertainment,1
adamsandler,Adam Sandler,Cinema & Actors/actresses,,12700000,United States,395900,503900,Entertainment,,Entertainment,1
addisonraee,,Beauty,,40500000,United States,1100000,1600000,Beauty/Fashion,,Beauty/Fashion,1
adele,Adele,Music,,49700000,United States,2600000,3600000,Music,,Music,1
adidasoriginals,adidas Originals,Clothing & Outfits,Shopping & Retail,34200000,United States,52400,71800,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
adinross,,,,2600000,United States,551100,1100000,,,,0
aespa_official,aespa 에스파,,,8300000,Indonesia,1100000,1600000,,,,0
agustd,SUGA of BTS 민윤기,,,31500000,,10900000,10900000,,,,0
aishwaryaraibachchan_arb,AishwaryaRaiBachchan,Cinema & Actors/actresses,,10000000,India,247600,316500,Entertainment,,Entertainment,1
aislinnderbez,𝔸 𝕀 𝕊 𝕃 𝕀 ℕ ℕ  𝕕 𝕖 𝕣 𝕓 𝕖 𝕫,Cinema & Actors/actresses,,12000000,Mexico,235700,295400,Entertainment,,Entertainment,1
akshaykumar,Akshay Kumar,Cinema & Actors/actresses,,61100000,India,815300,971000,Entertainment,,Entertainment,1
alejandrospeitzer,Alejandro Speitzer,Lifestyle,,5100000,Mexico,313300,488600,Lifestyle,,Lifestyle,1
aleoliveiracm,Alê Oliveira,Humor & Fun & Happiness,,8300000,Brazil,235800,598400,Entertainment,,Entertainment,1
alexademie,,,,10800000,United States,1200000,2100000,,,,0
alexandradaddario,alexandra daddario,Cinema & Actors/actresses,,22400000,India,487900,596600,Entertainment,,Entertainment,1
alexis_officia1,Sanchez Alexis,Sports with a ball,,13400000,Chile,185200,304800,Sports,,Sports,1
alexisren,Alexis Ren,Lifestyle,,15800000,United States,102000,158100,Lifestyle,,Lifestyle,1
alfinetei,Alfinetadas Dos Famosos 📌,Humor & Fun & Happiness,,21100000,Brazil,99500,223600,Entertainment,,Entertainment,1
aliaabhatt,Alia Bhatt 🤍☀️,Cinema & Actors/actresses,,61800000,India,1200000,1500000,Entertainment,,Entertainment,1
alidaei,Ali Daei,Sports with a ball,,8000000,Iran,555800,937000,Sports,,Sports,1
aliiiiiiiikarimi8,Ali Karimi,Sports with a ball,,9100000,Iran,328700,495100,Sports,,Sports,1
alishalehmann7,Alisha Lehmann,Sports with a ball,,6800000,Brazil,373800,705300,Sports,,Sports,1
alluarjunonline,Allu Arjun,Cinema & Actors/actresses,,17600000,India,1600000,2000000,Entertainment,,Entertainment,1
alok,Alok,Music,Art/Artists,27000000,Brazil,249600,319900,Music,Lifestyle,Music,1
alvaromorata,Álvaro Morata,Sports with a ball,Literature & Journalism,16200000,Italy,113100,175200,Sports,Info/Business,Sports,1
alvaromorte,Álvaro Morte,Cinema & Actors/actresses,,12400000,India,244500,334700,Entertainment,,Entertainment,1
alvxaro,ALVARO,Lifestyle,,9200000,Brazil,169600,424700,Lifestyle,,Lifestyle,1
alwaysramcharan,Ram Charan,Lifestyle,Cinema & Actors/actresses,5600000,India,596800,668300,Lifestyle,Entertainment,Lifestyle,1
amadorat,N I C O L E   A M A D O 🐉,Fashion,Lifestyle,8100000,Mexico,505000,564400,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
amandacerny,Amanda 𝕮𝖊𝖗𝖓𝖞,Humor & Fun & Happiness,,24100000,India,112900,180600,Entertainment,,Entertainment,1
amandamanopo,,Modeling,Beauty,15200000,Indonesia,189600,250500,Beauty/Fashion,Beauty/Fashion,Beauty/Fashion,1
amarantavp,A M A 🤍,,,4900000,Mexico,483800,605600,,,,0
amauryguichon,Amaury Guichon,Food & Cooking,,6700000,United States,357300,435700,Lifestyle,,Lifestyle,1
amitabhbachchan,Amitabh Bachchan,Cinema & Actors/actresses,,30000000,India,88500,103600,Entertainment,,Entertainment,1
amybethmcnulty,AB Mcn,Lifestyle,Cinema & Actors/actresses,6300000,Brazil,561400,771300,Lifestyle,Entertainment,Lifestyle,1
ana_d_armas,A N A   D E   A R M A S,Cinema & Actors/actresses,Lifestyle,6100000,United States,543400,735300,Entertainment,Lifestyle,Entertainment,1
ananyapanday,Ananya 💛💫,Cinema & Actors/actresses,,21900000,India,318200,371800,Entertainment,,Entertainment,1
anasmarwah,Anas Marwah,Family,Shows,5500000,Iraq,431800,557500,Lifestyle,Entertainment,Lifestyle,1
andreavaldirisos,ANDREA VALDIRI 🇨🇴,Lifestyle,Beauty,7700000,Colombia,411300,584300,Lifestyle,Beauty/Fashion,Lifestyle,1
andresiniesta8,Andres Iniesta,Sports with a ball,,39000000,Spain,91500,132300,Sports,,Sports,1
angela_aguilar_,Ángela Aguilar 🇲🇽,Lifestyle,,8200000,Mexico,285500,346000,Lifestyle,,Lifestyle,1
angeldimariajm,Ángel Di María,Sports with a ball,,16300000,Argentina,294600,434100,Sports,,Sports,1
angelinajolie,Angelina Jolie,,,12600000,Brazil,274600,456200,,,,0
angelinajolie,Angelina Jolie,Lifestyle,,12600000,Brazil,274600,456100,Lifestyle,,Lifestyle,1
angeliqueboyer,Angelique Boyer,Shows,Cinema & Actors/actresses,13900000,Brazil,247400,310600,Entertainment,Entertainment,Entertainment,1
angelrai07,Angel Rai :),Humor & Fun & Happiness,,14900000,India,462200,557400,Entertainment,,Entertainment,1
anguscloud,Angus Cloud,,,8300000,United States,1300000,2100000,,,,0
anitta,Anitta 🎤,Music,,61100000,Brazil,542800,1000000,Music,,Music,1
anjimaxuofficially,Anjali Arora,Lifestyle,,11100000,India,173300,221200,Lifestyle,,Lifestyle,1
annakendrick47,Anna Kendrick,Cinema & Actors/actresses,,20300000,United States,210000,274200,Entertainment,,Entertainment,1
annecurtissmith,Anne Curtis,Music,Cinema & Actors/actresses,17800000,Philippines,134700,152300,Music,Entertainment,Music,1
annehathaway,Anne Hathaway,Cinema & Actors/actresses,,22600000,United States,704300,928400,Entertainment,,Entertainment,1
annemarie,ANNE-MARIE,Shows,Music,9200000,India,242500,339600,Entertainment,Music,Entertainment,1
ansufati,Ansu Fati,Sports with a ball,,8000000,Spain,475200,721000,Sports,,Sports,1
anthonyjoshua,Throwback Fighter 🧠,Fitness & Gym,,13600000,United Kingdom,142000,192800,Sports,,Sports,1
antogriezmann,Antoine Griezmann,Sports with a ball,,35500000,Spain,205300,329600,Sports,,Sports,1
antonelaroccuzzo,Antonela Roccuzzo,Modeling,Family,19000000,Argentina,970700,1600000,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
anuel,“REAL HASTA LA MUERTE”,Music,,27900000,Spain,586000,892100,Music,,Music,1
anupamaparameswaran96,Anupama Parameswaran,Cinema & Actors/actresses,,11400000,India,510400,583300,Entertainment,,Entertainment,1
anushkasen0408,Anushka Sen,Cinema & Actors/actresses,,34500000,India,379100,443800,Entertainment,,Entertainment,1
anushkasharma,AnushkaSharma1588,Cinema & Actors/actresses,,57500000,India,1100000,1300000,Entertainment,,Entertainment,1
anyageraldine,anya geraldine,Music,,10700000,Indonesia,182300,305200,Music,,Music,1
anyataylorjoy,Anya Taylor-Joy,,,8800000,United States,679600,979900,,,,0
aoc,Alexandria Ocasio-Cortez,,,8500000,United States,290100,363000,,,,0
apple,apple,Computers & Gadgets,Photography,27400000,India,83400,111200,Tech/Gaming,Lifestyle,Tech/Gaming,1
araikgalstyanmoscowschool,ＡＲＡＩＫ  ＧＡＬＳＴＹＡＮ®️,Beauty,,13000000,Turkey,323000,416700,Beauty/Fashion,,Beauty/Fashion,1
arianagrande,Ariana Grande,Music,,302300000,United States,2900000,4100000,Music,,Music,1
arigameplays,ARIGAMEPLAYS,,,9700000,Mexico,900600,1100000,,,,0
arishfakhan138,Sayyed Arishfa Khan 💎,Cinema & Actors/actresses,,28000000,India,183100,221400,Entertainment,,Entertainment,1
arminzareeiofficial,Armin Zareei,,,9500000,Iran,178500,286100,,,,0
aron.piper,ARON🌜🌞,Music,Lifestyle,13900000,Brazil,273100,515600,Music,Lifestyle,Music,1
arsenal,Arsenal Official,Sports with a ball,,21500000,United Kingdom,79900,120000,Sports,,Sports,1
arthuraguiar,Arthur Aguiar,Music,Cinema & Actors/actresses,12700000,Brazil,104100,236800,Music,Entertainment,Music,1
asalamaleh,Asala Maleh,Shows,,6600000,Iraq,415900,514500,Entertainment,,Entertainment,1
asaprocky,GRIM,Music,,14600000,United States,383600,641700,Music,,Music,1
ashishchanchlani,Ashish Chanchlani,Cinema & Actors/actresses,,13300000,India,832600,1000000,Entertainment,,Entertainment,1
ashleybenson,Ashley Benson,Modeling,,22400000,Brazil,101000,144300,Beauty/Fashion,,Beauty/Fashion,1
ashleygraham,A S H L E Y  G R A H A M,Modeling,,17200000,United States,392700,519500,Beauty/Fashion,,Beauty/Fashion,1
aslisona,Sonakshi Sinha,Cinema & Actors/actresses,Lifestyle,21400000,India,110200,134100,Entertainment,Lifestyle,Entertainment,1
ateez_official_,ATEEZ(에이티즈),Music,,6300000,United States,410900,472100,Music,,Music,1
attahalilintar,Atta Halilintar - PAPATA,Art/Artists,Shows,23100000,Indonesia,140200,192300,Lifestyle,Entertainment,Lifestyle,1
auba,Pierre-Emerick Aubameyang,Sports with a ball,,12000000,United Kingdom,379300,602100,Sports,,Sports,1
aum_patchrapa,Patchrapa Chai,Cinema & Actors/actresses,Lifestyle,14100000,Thailand,150300,179200,Entertainment,Lifestyle,Entertainment,1
aurelie.hermansyah,Aurelie Hermansyah Atta,Beauty,,25300000,Indonesia,475200,601100,Beauty/Fashion,,Beauty/Fashion,1
avani,avani,Beauty,Lifestyle,18800000,United States,337000,451900,Beauty/Fashion,Lifestyle,Beauty/Fashion,1
avneetkaur_13,Avneet Kaur Official,Cinema & Actors/actresses,,30500000,India,281300,341100,Entertainment,,Entertainment,1
avrillavigne,Avril Lavigne,Music,Cinema & Actors/actresses,10700000,Brazil,211200,263000,Music,Entertainment,Music,1
awez_darbar,Awez Darbar,Shows,Humor & Fun & Happiness,17800000,India,466000,558400,Entertainment,Entertainment,Entertainment,1
aykutelmas,Aykut Elmas,Cinema & Actors/actresses,Photography,6800000,Turkey,321000,376500,Entertainment,Lifestyle,Entertainment,1
badbunnypr,,Music,,38500000,United States,2500000,3900000,Music,,Music,1
badgalriri,badgalriri,Music,Beauty,125100000,United States,2800000,4600000,Music,Beauty/Fashion,Music,1
baifernbah,baifernbah,Lifestyle,,10400000,Indonesia,224500,284600,Lifestyle,,Lifestyle,1
bambam1a,BamBam,Music,,16000000,Brazil,684300,863000,Music,,Music,1
barackobama,Barack Obama,Finance & Economics,Business & Careers,35400000,United States,148300,174600,Info/Business,Info/Business,Info/Business,1
barbieferreira,barbie ferreira,,,6100000,United States,635500,1200000,,,,0
bbrightvc,bright,Cinema & Actors/actresses,,13500000,Indonesia,1700000,2000000,Entertainment,,Entertainment,1
bclsinclair,Bunga Citra Lestari,Music,,20200000,Indonesia,153500,242600,Music,,Music,1
beberexha,Bebe Rexha,Music,Lifestyle,10800000,India,221500,327000,Music,Lifestyle,Music,1
bebytsabina,Cut Beby Tshabina,Modeling,,7100000,Indonesia,243400,373900,Beauty/Fashion,,Beauty/Fashion,1
beingsalmankhan,Salman Khan,Cinema & Actors/actresses,Art/Artists,50700000,India,474600,604400,Entertainment,Lifestyle,Entertainment,1
belindapop,Beli,Music,,14900000,Mexico,136700,197000,Music,,Music,1
bellahadid,Bella 🦋,Modeling,,50600000,United States,566900,905300,Beauty/Fashion,,Beauty/Fashion,1
bellapoarch,Bella Poarch,,,14300000,United States,859500,1200000,,,,0
bellathorne,BELLA,Music,Art/Artists,25200000,United States,289500,485700,Music,Lifestyle,Music,1
bernardokath,Kathryn Bernardo 🐘,Beauty,Cinema & Actors/actresses,16800000,Philippines,452700,545400,Beauty/Fashion,Entertainment,Beauty/Fashion,1
beyonce,Beyoncé,Music,Fashion,246900000,United States,2600000,3700000,Music,Beauty/Fashion,Music,1
bhadbhabie,ℬ𝒽𝒶𝒷𝒾ℯ🦋,Music,,16400000,United States,143100,268000,Music,,Music,1
bhuvan.bam22,Bhuvan Bam,Cinema & Actors/actresses,,14200000,India,741000,915800,Entertainment,,Entertainment,1
bianca,BOCA ROSA,Beauty,,17700000,Brazil,73600,172200,Beauty/Fashion,,Beauty/Fashion,1
bibisbeautypalace,! Bibi,Family,Lifestyle,7800000,Germany,322700,369600,Lifestyle,Lifestyle,Lifestyle,1
bighit_ent,BigHit Music Updates,Music,,13000000,Indonesia,721300,888500,Music,,Music,1
bigsean,BIGSEAN,Music,Art/Artists,14600000,United States,169900,310300,Music,Lifestyle,Music,1
billieeilish,BILLIE EILISH,Music,,101700000,United States,2600000,3400000,Music,,Music,1
bizarrap,BZRP,Music,,11500000,Argentina,920800,1100000,Music,,Music,1
blackpinkofficial,BLΛƆKPIИK,Music,,46200000,Indonesia,1100000,1400000,Music,,Music,1
blakelively,Blake Lively,Cinema & Actors/actresses,,32000000,United States,827100,1300000,Entertainment,,Entertainment,1
bleacherreport,Bleacher Report,Sports with a ball,,18400000,United States,103800,204700,Sports,,Sports,1
blythe,Andrea Brillantes,Cinema & Actors/actresses,Modeling,13400000,Philippines,196900,224100,Entertainment,Beauty/Fashion,Entertainment,1
bmw,BMW,Cars & Motorbikes,,33100000,India,73100,97600,,,,0
bn_sj2013,박서준,Cinema & Actors/actresses,Modeling,21400000,Indonesia,2500000,2900000,Entertainment,Beauty/Fashion,Entertainment,1
bobbyindaeyo,💀,Music,,3400000,Indonesia,679100,791200,Music,,Music,1
borodylia,Ксения Бородина,Shows,Family,18200000,Russia,123000,153200,Entertainment,Lifestyle,Entertainment,1
bramastavrl,Verrell Bramasta,Cinema & Actors/actresses,Lifestyle,23700000,Indonesia,109100,138900,Entertainment,Lifestyle,Entertainment,1
brentrivera,Brent Rivera,Music,Cinema & Actors/actresses,22100000,United States,888300,1200000,Music,Entertainment,Music,1
bretmanrock,Bretman (Da Baddest) Rock,Art/Artists,Beauty,18300000,United States,551000,927900,Lifestyle,Beauty/Fashion,Lifestyle,1
brfootball,Bleacher Report Football,Sports with a ball,,11900000,United States,146000,236000,Sports,,Sports,1
briandadeyanara,BRIANDA 💖,,,12600000,Mexico,355200,417300,,,,0
brianmaps,Брайн Мапс (Макс Тарасенко),Photography,,5800000,Russia,608400,627900,Lifestyle,,Lifestyle,1
britneyspears,Britney Spears,Music,,40200000,United States,180500,251600,Music,,Music,1
brunamarquezine,Bruna Marquezine,Cinema & Actors/actresses,,42600000,Brazil,485200,837200,Entertainment,,Entertainment,1
brunomars,Bruno Mars,Music,,24900000,Brazil,328700,499000,Music,,Music,1
brycehall,Bryce Hall,Music,,7500000,United States,279200,358700,Music,,Music,1
bts.bighitofficial,BTS official,Music,,61700000,Indonesia,2400000,2600000,Music,,Music,1
bugatti,BUGATTI,Cars & Motorbikes,Luxury,16100000,United States,124100,168500,,Beauty/Fashion,Beauty/Fashion,1
bumkeyk,SHINee KEY,Music,,9000000,Indonesia,376300,451600,Music,,Music,1
burakozcivit,Burak Özçivit,Cinema & Actors/actresses,,20500000,Turkey,492800,597500,Entertainment,,Entertainment,1
burcuozberk,Burcu Özberk,Cinema & Actors/actresses,,9000000,Turkey,560900,725600,Entertainment,,Entertainment,1
bypamella,BY PAMELLA ✨🧿,Shows,,9400000,Brazil,237700,406800,Entertainment,,Entertainment,1
c.syresmith,Jaden Smith,Cinema & Actors/actresses,Lifestyle,18600000,United States,190100,294600,Entertainment,Lifestyle,Entertainment,1
camerondallas,Cameron Dallas,Cinema & Actors/actresses,,23000000,United States,104800,182600,Entertainment,,Entertainment,1
camila_cabello,camila,Music,,60900000,Brazil,305400,418100,Music,,Music,1
camilaloures,Camila Loures,Shows,,17600000,Brazil,131500,196300,Entertainment,,Entertainment,1
camilladelucas,Camilla de Lucas,Beauty,,10800000,Brazil,205200,376800,Beauty/Fashion,,Beauty/Fashion,1
camilo,C A M I L O,Music,,26400000,Argentina,252300,398900,Music,,Music,1
camimendes,camila mendes,Cinema & Actors/actresses,,26800000,Brazil,1100000,1600000,Entertainment,,Entertainment,1
canelo,Saul Alvarez,Fitness & Gym,,12800000,Mexico,203000,282200,Sports,,Sports,1
canyaman,Can Yaman,Cinema & Actors/actresses,Modeling,9300000,Italy,324400,402800,Entertainment,Beauty/Fashion,Entertainment,1
caradelevingne,Cara Delevingne,Modeling,Cinema & Actors/actresses,43300000,United States,130100,182800,Beauty/Fashion,Entertainment,Beauty/Fashion,1
