rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,category_1_unified,category_2_unified,category_primary,if_exist
1,mrbeast,MrBeast,60300000,29200000,3500000,30800,7200,,,,0
2,karolg,Karol G,42400000,23700000,3400000,21700,25700,,,,0
3,yzn47,يزن الأسمر,8900000,48900000,998400,16300,60900,,,,0
4,centralcee,CentralCee,4400000,19800000,3600000,23300,24200,,,,0
5,adinross,adin,6100000,21100000,3300000,17500,25300,,,,0
6,thebrandonrobert,Brandon Robert,11600000,13200000,2900000,5700,50500,,,,0
7,mishayoung,Міша Городецький 🇺🇦,4500000,21500000,2400000,16300,24500,,,,0
8,yailinlamasviraloficial_,Yailin La Más Viral,6100000,25000000,1700000,16600,5300,,,,0
9,daniel.labelle,Daniel LaBelle,28400000,18600000,1800000,7500,19000,,,,0
10,amauryguichon,Amaury Guichon,18400000,16200000,1600000,7800,21400,,,,0
11,urbantheory_,Urban Theory,19800000,18500000,1900000,5400,16300,,,,0
12,enhypen,enhypen,13300000,5700000,1700000,35000,25300,,,,0
13,conangray,conangray,7000000,8000000,2200000,12700,19300,,,,0
14,elissadeheart,Elissa DeHeart,2500000,7500000,1900000,20800,15500,,,,0
15,im.camber,Camber,94000,6400000,1200000,4200,37500,,,,0
16,matt_rife,Matt Rife,6100000,8500000,1600000,5600,16100,,,,0
17,khaby.lame,Khabane lame,153100000,10600000,1200000,20800,2300,,,,0
18,fadiljaidi,Fadil Jaidi,9200000,12700000,1700000,7600,4400,,,,0
19,rosalia,La Rosalia,28100000,10600000,1200000,6100,8500,,,,0
20,juandamc,JuanDa.,19700000,8100000,2000000,5200,5200,,,,0
21,twitchtok7,tWitch,5600000,12100000,678200,11700,6500,,,,0
22,anaraquelhz,Raquel,5700000,6500000,576100,4300,34300,,,,0
23,karadenizli.maceraci,KARADENİZLİ MACERACI,1800000,18700000,914100,2700,5700,,,,0
24,lexibrookerivera,Lexi Rivera,24800000,11300000,1500000,5600,2400,,,,0
25,hotspanishmx,HotSpanish,11900000,11200000,1000000,6100,5900,,,,0
26,surthycooks,Surthycooks,19900000,11500000,1300000,6300,1400,,,,0
27,nicollefigueroaa,Nicolle Figueroa,15500000,13000000,1600000,4200,1300,,,,0
28,nicocaponecomedy,nicocapone.comedy,24900000,12800000,547300,4700,11200,,,,0
