handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,category_1_unified,category_2_unified,category_primary,if_exist
ekin.721,MOMO’s,221700,26000000,2800000,29400,116400,,,,0
dojacat,Doja Cat,22200000,25400000,5000000,36700,46800,,,,0
kiet.ac.quy,Kiệt Ắk Wỷ,2100000,20700000,3500000,38800,33900,,,,0
charlidamelio,charli d’amelio,135400000,18700000,2600000,54700,35200,,,,0
luvadepedreiro,Iran Ferreira (Lai),11400000,24800000,2600000,32700,26800,,,,0
badbunny,Bad Bunny,16100000,17600000,4000000,28000,26200,,,,0
khaby.lame,Khabane lame,135200000,17700000,2300000,18000,11200,,,,0
leomahalo,Leo Mahalo,6800000,19000000,2200000,11800,14400,,,,0
swagboygorringe,Daniel Gorringe,5600000,9900000,1800000,25300,35900,,,,0
jennmelon,Jenn Melon,2000000,11000000,2300000,15100,24500,,,,0
jounggustav,Joung Gustav,1900000,16400000,2200000,9900,13400,,,,0
txt.bighitent,TOMORROW X TOGETHER,16200000,7700000,1800000,33200,12200,,,,0
pongamoslo_a_prueba,Pongámoslo a Prueba,30400000,16000000,2500000,6300,7300,,,,0
bdylanhollis,B. Dylan Hollis,7600000,8600000,1600000,11500,20000,,,,0
lyczak,👑Łyczuu👑,1500000,11800000,1400000,16100,8600,,,,0
juandamc,JuanDa.,17100000,7500000,1700000,9100,19500,,,,0
lifeinanimati0n,A <3,745200,6200000,1100000,8800,40200,,,,0
zlusha,Zlusha,2000000,7200000,1100000,12900,29500,,,,0
amauryguichon,Amaury Guichon,5400000,11000000,1600000,5800,13300,,,,0
eupereiraoficial,Eu Pereira,4600000,12200000,1200000,5700,11500,,,,0
druskitv,DRUSKI,3200000,6400000,1200000,7700,25900,,,,0
adrianbliss,Adrian Bliss,5200000,7700000,1500000,5400,16000,,,,0
kimberly.loaiza,Kimberly Loaiza,61000000,9900000,1300000,14100,4500,,,,0
deborahyowa,Deborah yowa,10300000,12600000,688700,17000,9100,,,,0
nekoglai,Николай,9400000,8500000,982300,22500,4400,,,,0
domelipa,Dominik,50700000,7900000,1200000,17300,6200,,,,0
diego.cr_,Diego Rodríguez,238100,9100000,845000,9100,19500,,,,0
addisonre,Addison Rae,87300000,9300000,1200000,13400,5900,,,,0
mastertingus,mastertingus,1500000,4200000,859200,25100,33800,,,,0
santandave,Santan,1100000,6200000,1000000,21300,12000,,,,0
machinegunkelly,Colson,3400000,10800000,822600,13700,9000,,,,0
bellapoarch,Bella Poarch,88500000,11100000,1000000,14300,1600,,,,0
daddyyankee,daddyyankee,10400000,6000000,696300,18100,20600,,,,0
official_nct,NCT Official,7300000,3200000,1200000,23100,17600,,,,0
zeth,Zeth,10800000,6600000,1300000,4100,12800,,,,0
larrayeeee,LARRAY,25600000,5400000,1200000,17600,4100,,,,0
mrbeast,MrBeast,34700000,6800000,1100000,16100,1500,,,,0
jypestraykids,Stray Kids,10800000,2900000,1100000,27600,12000,,,,0
iamferv,Fernanda,26100000,7800000,1100000,10300,3800,,,,0
nicocaponecomedy,nicocapone.comedy,20300000,11800000,691800,3900,10200,,,,0
honeybobabear,HoneyBobaBear,7800000,10100000,1400000,5000,2400,,,,0
masondenverr,mason,2000000,4400000,1200000,7300,11300,,,,0
nicoletv,Kayla Nicole,10200000,6100000,999300,4900,10000,,,,0
aquajock_h2bro,JæBæ,509700,5400000,966400,5400,10600,,,,0
terryreloaded,Terry Reloaded,3900000,4900000,1000000,6300,10200,,,,0
soysuco,soysuco,9600000,6300000,999500,11100,2000,,,,0
itzyofficial,ITZY,7300000,4700000,1200000,10400,3600,,,,0
oldtimehawkey,Old Time Hawkey,5100000,4800000,831600,11000,7000,,,,0
missionaryjack,Jack Harlow,3300000,8300000,837000,4900,5500,,,,0
conormaynard,Conor Maynard,6200000,5800000,794300,8900,6600,,,,0
conormaynard,Conor Maynard,6200000,5800000,794300,8900,6600,,,,0
itssassagurl,Sassa Gurl,5300000,6000000,969600,6200,6000,,,,0
terryreloaded,Terry Reloaded,4000000,4400000,955300,6200,9400,,,,0
jimmydarts,Jimmy Darts,8100000,5300000,893400,10300,2900,,,,0
alshad95,Alshad Ahmad,1600000,7300000,761900,6200,5000,,,,0
bayashi.tiktok,バヤシ🥑Bayashi,24100000,7700000,958000,5800,2500,,,,0
rosalia,La Rosalia,18300000,9800000,978500,3800,2300,,,,0
daniel.labelle,Daniel LaBelle,25500000,4600000,754900,5500,11800,,,,0
masonmount,Mason Mount,2800000,4800000,806900,9900,5100,,,,0
theandrewschulz,Andrew Schulz,3000000,4000000,602200,2200,21600,,,,0
activesufi,activesufi,364600,13800000,1100000,2200,1500,,,,0
hayleygeorgiamorris,Hayley Morris,2900000,4600000,586900,1900,18400,,,,0
lilnasx,lil nas x,27700000,5700000,804600,9000,3000,,,,0
willsmith,Will Smith,67400000,6900000,658500,10000,2000,,,,0
clarissaperezlara,Clari,129500,3900000,370000,2700,34200,,,,0
spriteder_spd,Prite Netijen Netirattanapaiboon,2700000,8000000,924800,3700,3500,,,,0
paytonking,Payton King,5100000,2800000,685400,11800,15800,,,,0
lexibrookerivera,Lexi Rivera,21100000,7000000,937400,6200,1900,,,,0
snoopdogg,Snoop Dogg,19700000,7400000,647200,6600,4300,,,,0
tuckerbudzyn,tuckerbudzyn,10100000,4000000,638600,3300,16700,,,,0
jaykindafunny8,Jaykindafunny,23300000,9600000,685700,2400,5200,,,,0
solsito.pe,Solsito.pe,80200,3500000,503100,10600,17800,,,,0
jake2r,"Jake2r, Ph.D.",2100000,2800000,739600,5200,17100,,,,0
