rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,category_1_unified,category_2_unified,category_primary,if_exist
1,yossikramer,Yossi,145600,26800000,2200000,30100,71200,,,,0
2,mrbeast,MrBeast,55600000,38100000,3800000,19000,7800,,,,0
3,adinross,adin,5400000,16600000,2000000,10900,12500,,,,0
4,daniel.labelle,Daniel LaBelle,27900000,11800000,1700000,6900,29300,,,,0
5,hotspanishmx,HotSpanish,8200000,19200000,1700000,7400,9500,,,,0
6,nicocaponecomedy,nicocapone.comedy,24300000,16900000,952900,5600,27300,,,,0
7,juandamc,JuanDa.,19100000,9200000,2200000,11100,9300,,,,0
8,amauryguichon,Amaury Guichon,17600000,12400000,2000000,5800,11300,,,,0
9,thezachchoi,Zach Choi,8000000,14200000,1500000,5400,13300,,,,0
10,bdylanhollis,B. Dylan Hollis,9200000,6400000,1300000,6300,39500,,,,0
11,janneksplace,Janneksplace,1900000,11600000,1500000,8800,11400,,,,0
12,twice_tiktok_official,TWICE,18400000,8000000,1600000,15900,10600,,,,0
13,kyliejenner,Kylie Jenner,49100000,14500000,2500000,5500,3400,,,,0
14,niallhoran,Niall Horan,4600000,4100000,1200000,31600,23700,,,,0
15,txt.bighitent,TOMORROW X TOGETHER,18500000,4300000,1500000,29000,11200,,,,0
16,khaby.lame,Khabane lame,152000000,15000000,1800000,6500,3200,,,,0
17,vibin.wit.tay,Tay,5100000,4200000,897300,7700,39600,,,,0
18,steve.lacy,steve lacy,1300000,8200000,1400000,12000,2900,,,,0
19,taylorswift,Taylor Swift,15300000,6000000,843100,21300,10600,,,,0
20,iamferv,Fernanda,32900000,8600000,1300000,7700,4500,,,,0
21,poudi,Poudii,145900,8100000,1200000,4000,9900,,,,0
22,mikaylahau,Mikaylah,5400000,7600000,559200,18400,12500,,,,0
23,onwardwanna,Wanna🥊,8300000,6700000,1300000,9900,3100,,,,0
24,adamsheey,Adam Shi,6700000,7300000,1200000,3400,9000,,,,0
25,lokiandthetesseract,-ʟᴇɴᴀ-,427000,4600000,1000000,5800,15400,,,,0
26,domelipa,domelipa,60500000,9100000,1200000,6000,2700,,,,0
27,stickyboy69,stickyboy69,9100000,7100000,1200000,7400,3300,,,,0
28,jdiasss_,João Dias,8100000,6800000,1400000,5000,3400,,,,0
29,dylanmulvaney,Dylan Mulvaney,8900000,5300000,874200,14600,2400,,,,0
30,jonatan.clay,Jonatan Clay,2900000,6700000,1100000,6200,3600,,,,0
31,pietro_morello,Pietro Morello,3100000,17200000,961300,2600,1700,,,,0
32,britneyspears,Britney Spears,7300000,5900000,317400,15300,22200,,,,0
33,charlidamelio,charli d’amelio,148400000,8600000,641900,9700,2500,,,,0
