rank,handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg,category_1_unified,category_2_unified,category_primary,if_exist
1,jypestraykids,Stray Kids,13800000,6400000,2300000,50200,34200,,,,0
2,khaby.lame,Khabane lame,149200000,17300000,2300000,15200,8700,,,,0
3,scarlettsspam2,scarlett,2100000,17900000,845800,53900,6300,,,,0
4,addisonre,Addison Rae,88700000,22000000,906600,7600,26200,,,,0
5,belindatok,Belinda,4800000,14200000,1500000,14500,15300,,,,0
6,onwardwanna,Wanna🥊,7500000,12000000,2000000,20400,4200,,,,0
7,therock,The Rock,55400000,13100000,1500000,14300,11900,,,,0
8,bizarrap,bzrp,5800000,16200000,2700000,4200,6900,,,,0
9,landonbarkerr,Landon Barker,3800000,11700000,1200000,19100,15200,,,,0
10,mrbeast,MrBeast,42200000,13000000,1700000,17200,2100,,,,0
11,charlidamelio,charli d’amelio,146200000,15200000,959400,20800,4600,,,,0
12,amauryguichon,Amaury Guichon,14500000,11400000,1500000,7200,11800,,,,0
13,jetbentlee,Jet,3900000,12400000,2200000,3600,6600,,,,0
14,kervo.dolo,Kervo.dolo,10300000,5700000,1300000,7900,27600,,,,0
15,ttdramanews,TT Drama Layla,856300,6100000,1100000,16600,17700,,,,0
16,mishayoung,Миша Городецкий 🇺🇦,4000000,10800000,680000,5700,22500,,,,0
17,domelipa,domelipa,58100000,10400000,1500000,9100,3500,,,,0
18,kyliejenner,Kylie Jenner,47000000,12300000,1900000,5500,2600,,,,0
19,enhypen,enhypen,12700000,4300000,1100000,24800,14300,,,,0
20,kimberly.loaiza,Kimberly Loaiza,67200000,8800000,1200000,12100,4300,,,,0
21,ramonvitor,ramonvitor,8700000,9300000,1900000,7300,2400,,,,0
22,txt.bighitent,TOMORROW X TOGETHER,18100000,3800000,1100000,27400,9500,,,,0
23,emraynea,emraynea,1100000,5100000,1400000,6600,13500,,,,0
24,bp_tiktok,blackpinkofficial,31200000,4500000,839600,13900,22200,,,,0
25,mtarek.official3,Mohamed Tarek - محمد طارق,1300000,4700000,864200,21900,8000,,,,0
26,zeth,Zeth,13000000,8500000,1700000,2200,6200,,,,0
27,kurtsworld,Kurt Kunkle,1300000,4900000,685900,30100,3300,,,,0
28,joshtgodfrey,Josh Godfrey,285500,6400000,587600,12800,16300,,,,0
29,justinflom,JustinFlom,6100000,12900000,789200,4500,6200,,,,0
30,williesalim,WILLIE SALIM,15500000,8100000,589200,17400,5400,,,,0
31,rosalia,La Rosalia,25500000,14200000,1200000,3300,2600,,,,0
32,birovr,Biro,3000000,6400000,760900,6100,14300,,,,0
33,kiet.ac.quy,Kiệt Ắk Wỷ,3300000,5200000,842200,12300,8500,,,,0
34,threedotcorey,corey,4900000,6300000,1400000,2900,7100,,,,0
35,iamferv,Fernanda,31500000,6600000,962300,10000,3900,,,,0
36,winnermaxyt,WinnerMax,4500000,13800000,1000000,1800,4500,,,,0
37,devankey,Devan Key,8000000,6900000,976200,8600,3700,,,,0
38,yunggravy,Yung Gravy 🍯,6600000,9500000,1400000,3500,2700,,,,0
39,siscakohl,Sisca Kohl,12400000,9200000,1100000,6200,1800,,,,0
40,lexibrookerivera,Lexi Rivera,23200000,7500000,992500,8500,1800,,,,0
41,leith1423,Leithal,1100000,7900000,1300000,3800,3200,,,,0
42,imeyhou,Meyden,3000000,9000000,799500,8000,1600,,,,0
43,b.blek,b.blek,2600000,8000000,616700,6400,7400,,,,0
44,mc.pedrinhoofc,Mc Pedrinho,5000000,8200000,1200000,5000,2000,,,,0
45,jennmelon,Jenn Melon,2200000,5500000,1400000,3800,4900,,,,0
46,nilered,NileRed,10300000,6000000,1000000,4400,6300,,,,0
47,zhangxi_acupuntura,doctor Zhang Xi,2900000,7000000,378500,1500,22500,,,,0
48,pongamoslo_a_prueba,Pongámoslo a Prueba,36700000,9300000,1600000,2300,2000,,,,0
49,itsmacdoogle,ItsMacDoogle,1800000,3900000,685900,10100,13000,,,,0
50,jesusnalgas,jesus_nalgas,2600000,5000000,970100,6000,6000,,,,0
51,notemmamarie,Em,493900,4400000,775200,9100,6700,,,,0
52,daniel.labelle,Daniel LaBelle,27000000,5200000,816800,3800,8400,,,,0
53,conangray,conangray,6400000,3900000,1100000,7000,4900,,,,0
54,spencer_serafica,Xspencer,13600000,5200000,924300,5900,4000,,,,0
55,musikyotogsj,うさっくま♡Movie,1200000,4300000,192000,1800,55900,,,,0
56,ryanbakery,𝙍𝙮𝙖𝙣𝘽𝙖𝙠𝙚𝙧𝙮,2900000,5400000,548200,7800,7700,,,,0
57,soyminisech,🐻🐻SECHITO🐻🐻,1200000,6500000,603400,2000,9500,,,,0
58,katya.ross,Katya Ross,293300,2800000,665300,5700,18100,,,,0
59,vinnyguadagnino,vinnyguadagnino,3100000,5100000,629300,5900,7200,,,,0
60,lelepons,Lele Pons,27900000,12200000,1000000,1500,1700,,,,0
61,mattsturniolo,Matt,3200000,3200000,812000,10900,4600,,,,0
62,rayssabuq,Rayssa Buq,7200000,4300000,775300,7900,4100,,,,0
63,charl1d4meli0,charlidamelio,64600,5400000,804000,6900,1700,,,,0
64,pkllipe,Pk,19000000,4800000,893300,3000,5600,,,,0
65,selenagomez,Selena Gomez,43200000,5200000,804900,4200,4500,,,,0
66,_.the.meme.hub._,RANDOM MEMES,2300000,3800000,787700,2900,9000,,,,0
67,lexibrookerivera,Lexi Rivera,23400000,7600000,870600,3100,1800,,,,0
68,bhadbhabie,bhadbhabie,6300000,5100000,899500,3000,4000,,,,0
69,acpitos,acpitos on ig 📸,489600,5700000,858800,3500,3100,,,,0
70,sofiacarson,SofiaCarson,6200000,5700000,903500,3200,2900,,,,0
71,youngswagonoriginal,YoungSwagon,4900000,5100000,752500,1400,6700,,,,0
72,montpantoja,Montpantoja,35700000,6800000,1000000,2500,1900,,,,0
73,azzyland,Azzyland,4600000,5300000,774200,7000,462,,,,0
74,soysuco,soysuco,12500000,5400000,570500,8700,1100,,,,0
75,bellapoarch,Bella Poarch,91400000,7400000,677300,4900,1100,,,,0
76,max7424453118,Max Taylor,2800000,3500000,572600,5200,9500,,,,0
77,jordanemel,Jordan e Mel,10200000,4400000,436100,3000,12200,,,,0
78,hannahstocking,Hannah Stocking,26500000,7800000,840800,1600,2500,,,,0
79,_xochitl.gomez,Xóchitl Gómez,7300000,7000000,1300000,26,2900,,,,0
80,rubentuestaok,Ruben Tuesta,21300000,5500000,802300,1600,4400,,,,0
81,charrliiieeee,Charlieee,5100000,12000000,470200,1700,2900,,,,0
82,kallmekris,Kris HC,46300000,5400000,936600,3400,1500,,,,0
83,dereklipp_,Derek Lipp,5300000,3100000,440500,2500,15700,,,,0
84,jaxwritessongs,Jax,11700000,4100000,683500,5400,3200,,,,0
85,calfreezy,Calfreezy,960600,6500000,869100,1700,2400,,,,0
86,loveofhuns,loveofhuns x,144700,3500000,382400,8300,8900,,,,0
87,lizzza,Liza Koshy,29900000,4900000,802800,2200,3600,,,,0
88,victormelo,Victor Melo,21900000,4500000,736700,2500,4200,,,,0
89,wisdm8,Wisdom Kaye,8500000,4600000,874400,3500,2000,,,,0
90,qpark,Q Park,33600000,5000000,415300,3900,6600,,,,0
91,_lilg4,LIL G,1700000,4400000,521900,5500,4000,,,,0
92,dylanmulvaney,Dylan Mulvaney,7300000,3800000,730800,6600,1200,,,,0
93,hafizmahamad,Hafiz Mahamad,1100000,3000000,325100,14400,7500,,,,0
94,oficialmarcuseni,marcus_eni,4500000,2200000,198600,1300,46000,,,,0
95,hola.margo,margo✨,4100000,6700000,868100,2400,1200,,,,0
96,dhar.mann,Dhar Mann,14300000,4200000,528100,6900,2400,,,,0
97,mementoe,Máté Méhész,3600000,3400000,588500,4400,5800,,,,0
98,kaelimaee,kaeli mae,10600000,5500000,733800,1500,3500,,,,0
99,paralympics,paralympics,2500000,5400000,467800,1800,6300,,,,0
100,ynchq,Янчик,6400000,4900000,660100,2700,3500,,,,0
101,connordewolfe,Connor DeWolfe,5400000,3000000,628400,1600,9000,,,,0
102,awildani13,NgebisOnline,77200,3700000,498400,5900,4400,,,,0
103,paansih16,gustian_magrib,1100000,2900000,230500,1200,27700,,,,0
104,otoha_danso,音羽-otoha-,1500000,3400000,268000,9500,11200,,,,0
105,ivanlomelitv,Iván Lomeli Travel Blogger,44000,2400000,188100,1200,39600,,,,0
106,davidguetta,David Guetta,4500000,4400000,419900,4100,5900,,,,0
107,quynh.aka,Quỳnh Aka ✅,1900000,4700000,333200,4400,7300,,,,0
108,gianlucavacchi,Gianluca Vacchi,21500000,7700000,477100,2000,2800,,,,0
109,ashhasacamera,ash,871700,3400000,854700,4100,2000,,,,0
110,abdelrhman_boda1,💎☝️ عہبدالہرحہمن_احہمد☝️💎,2800000,8100000,337400,1300,5100,,,,0
111,garett__nolan,garett nolan,13400000,4200000,337100,2400,10000,,,,0
112,sturniolo.triplets,Sturniolo’s,4000000,2800000,654200,7600,2000,,,,0
113,juliano,juliano,9900000,6800000,625200,3000,1000,,,,0
114,jwaltonnn,ᴊ⚡️,733400,1600000,350900,27000,2500,,,,0
115,zodiac.boyfriend,Zodiac Boyfriend🪐🔮,2100000,2700000,444700,5200,8500,,,,0
116,litkillah,LIT killah🩸,2400000,3200000,428300,1300,10600,,,,0
117,stickyboy69,stickyboy69,8900000,1900000,478800,14600,3800,,,,0
118,shxtsngigs,ShxtsNGigs Podcast,4900000,3600000,603100,1900,5600,,,,0
119,faeleamendoim,Fael Alegria e Isaac Amendoim,3600000,5500000,321600,1300,7900,,,,0
120,thallyssonsb,Thallysson Borges,10700000,3000000,450100,3800,8100,,,,0
121,saramohannad_,Sara,7900000,4500000,364900,6300,3100,,,,0
122,miakhalifa,Mia K.,35700000,5400000,610300,2500,2200,,,,0
123,qamar_altaey,𝑄𝐴𝑀𝐴𝑅,3800000,3000000,298100,7000,9900,,,,0
124,sofyank96,Sofyank96,2600000,4500000,565100,2500,3400,,,,0
125,kooovryt,kika,2500000,2900000,516200,4000,6000,,,,0
126,leesiyoung38,이시영,17400000,3500000,658800,3800,2800,,,,0
127,jdpantoja,JD Pantoja,30500000,4600000,751900,3500,799,,,,0
128,billlnai,nai,8700000,3400000,934200,2600,1900,,,,0
129,itssassagurl,Sassa Gurl,6600000,3500000,565300,3100,4100,,,,0
130,bargain.bethany,bargainbethany,124800,2200000,208700,1800,28300,,,,0
131,terryreloaded,Terry Reloaded,6500000,2300000,508700,2700,8700,,,,0
132,gordonramsayofficial,Gordon Ramsay,33800000,6400000,488100,2200,2100,,,,0
133,larissagloor,𝗟𝗮𝗿𝗶𝘀𝘀𝗮 𝗚𝗹𝗼𝗼𝗿,3400000,3100000,756800,3900,1800,,,,0
134,rah_money1,General ock,3400000,3200000,426300,3100,6300,,,,0
135,aymanehamedi,Weld Mimoune,1100000,3400000,298500,2800,9800,,,,0
136,luvadepedreiro,Iran Ferreira (Lai),19400000,4200000,571700,3700,1700,,,,0
137,brookemonk_,Brooke Monk,23600000,5900000,678900,1900,1400,,,,0
