handle_youtube,name_youtube,category_1,followers,audience_country,views_avg,likes_avg,comments_avg,category_1_unified,category_2_unified,category_primary,if_exist
tseries,T-Series,Music & Dance,212100000,India,323700,9800.0,290.0,Music,,Music,1
checkgate,Cocomelon - Nursery Rhymes,Education,132100000,,13800000,80900.0,,Info/Business,,Info/Business,1
setindia,SET India,,130400000,India,23600,314.0,21.0,,,,0
PewDiePie,PewDiePie,Animation,111400000,United States,1400000,80800.0,4600.0,Entertainment,,Entertainment,1
MrBeast6000,MrBeast,Video games,92500000,United States,30600000,1700000.0,67700.0,Tech/Gaming,,Tech/Gaming,1
✿ Kids Diana Show,✿ Kids Diana Show,Animation,92400000,,10600000,46800.0,,Entertainment,,Entertainment,1
Like Nastya,Like Nastya,Animation,90100000,,13700000,74200.0,,Entertainment,,Entertainment,1
WWEFanNation,WWE,Video games,86900000,United States,76600,2800.0,163.0,Tech/Gaming,,Tech/Gaming,1
zeemusiccompany,Zee Music Company,Music & Dance,82700000,India,108700,4200.0,155.0,Music,,Music,1
Vlad and Niki,Vlad and Niki,Toys,80400000,,7000000,42200.0,,,,,0
5-Minute Crafts,5-Minute Crafts,,76200000,United States,255600,2100.0,68.0,,,,0
kidrauhl,Justin Bieber,Music & Dance,68100000,United States,2700000,162700.0,7900.0,Music,,Music,1
GoldminesTelefilms,Goldmines,,67900000,India,107100,1000.0,39.0,,,,0
CanalKondZilla,Canal KondZilla,Music & Dance,65500000,Brazil,36800,2300.0,153.0,Music,,Music,1
BANGTANTV,BANGTANTV,Music & Dance,65000000,United States,2800000,598900.0,14200.0,Music,,Music,1
sabtv,Sony SAB,Movies,64900000,India,46500,899.0,27.0,Entertainment,,Entertainment,1
ibighit,HYBE LABELS,Music & Dance,64700000,United States,401700,62300.0,2600.0,Music,,Music,1
zeetv,Zee TV,,61500000,India,146200,1800.0,17.0,,,,0
filmigaane,Shemaroo Filmi Gaane,Music & Dance,59200000,India,64500,631.0,33.0,Music,,Music,1
corycotton,Dude Perfect,Video games,57400000,United States,10300000,375700.0,9100.0,Tech/Gaming,,Tech/Gaming,1
SmartBooksMedia,Pinkfong Baby Shark - Kids' Songs & Stories,Animation,56600000,,412000,1400.0,,Entertainment,,Entertainment,1
ChuChu TV Nursery Rhymes & Kids Songs,ChuChu TV Nursery Rhymes & Kids Songs,Education,55200000,,498700,5400.0,,Info/Business,,Info/Business,1
Marshmello,Marshmello,Music & Dance,55000000,United States,636000,47400.0,4900.0,Music,,Music,1
BHOJPURIWAVE,Wave Music,Music & Dance,51500000,India,85800,1400.0,155.0,Music,,Music,1
colorstv,Colors TV,,51200000,India,20200,290.0,8.0,,,,0
aajtaktv,Aaj Tak,News & Politics,50900000,India,8900,128.0,10.0,Info/Business,,Info/Business,1
sonymusicindiaSME,Sony Music India,Music & Dance,50300000,India,60200,2600.0,75.0,Music,,Music,1
tipsmusic,Tips Official,Music & Dance,49900000,India,230800,1800.0,85.0,Music,,Music,1
ReinoMariaElenaWalsh,El Reino Infantil,Music & Dance,48900000,,254400,1000.0,,Music,,Music,1
LooLooKids,LooLoo Kids - Nursery Rhymes and Children's Songs,Music & Dance,48700000,,1700000,7400.0,,Music,,Music,1
tseriesbhakti,T-Series Bhakti Sagar,Music & Dance,48300000,India,26400,1200.0,73.0,Music,,Music,1
Badabun,Badabun,,45500000,Mexico,4900,129.0,14.0,,,,0
JuegaGerman,JuegaGerman,Animation,45500000,Mexico,1400000,140700.0,4800.0,Entertainment,,Entertainment,1
yrf,YRF,Music & Dance,45300000,India,184200,5500.0,104.0,Music,,Music,1
Billie Eilish,Billie Eilish,Music & Dance,45100000,United States,1300000,149700.0,7200.0,Music,,Music,1
felipeneto,Felipe Neto,,44000000,Brazil,280600,34000.0,245.0,,,,0
whinderssonnunes,whinderssonnunes,Movies,43800000,Brazil,140800,17000.0,145.0,Entertainment,,Entertainment,1
BRIGHT SIDE,BRIGHT SIDE,Animation,43200000,United States,79700,1900.0,137.0,Entertainment,,Entertainment,1
KatyPerryMusic,Katy Perry,Music & Dance,42600000,United States,151600,10700.0,824.0,Music,,Music,1
vcsabiavideos,Você Sabia?,,42600000,Brazil,987200,129000.0,2700.0,,,,0
infobellshindirhymes,Infobells - Hindi,Education,42600000,India,883300,4700.0,,Info/Business,,Info/Business,1
DjWalkzz,Alan Walker,Music & Dance,41600000,United States,146700,12900.0,378.0,Music,,Music,1
sonymusicindiaVEVO,SonyMusicIndiaVEVO,Music & Dance,41200000,India,2300,136.0,19.0,Music,,Music,1
Like Nastya Show,Like Nastya Show,Animation,40800000,,723900,3500.0,,Entertainment,,Entertainment,1
speedrecordss,Speed Records,Music & Dance,40000000,India,42300,1800.0,79.0,Music,,Music,1
A4,A4,Animation,39000000,Russia,12300000,650500.0,43900.0,Entertainment,,Entertainment,1
ABSCBNOnline,ABS-CBN Entertainment,,38800000,Philippines,1700,26.0,1.0,,,,0
getmovies,Get Movies,,38700000,,542400,3000.0,,,,,0
LuisitoComunicaa,Luisito Comunica,,38400000,Mexico,2400000,74600.0,3300.0,,,,0
LittleBabyBum,Little Baby Bum - Nursery Rhymes & Kids Songs,Education,38400000,,489400,1600.0,,Info/Business,,Info/Business,1
TheEllenShow,TheEllenShow,,38200000,United States,42100,944.0,54.0,,,,0
MashaMedvedTV,Маша и Медведь,Education,37400000,,1200000,7800.0,,Info/Business,,Info/Business,1
gr6explode,GR6 EXPLODE,Music & Dance,37200000,Brazil,179600,11400.0,190.0,Music,,Music,1
luccasneto,LUCCAS NETO - LUCCAS TOON,Animation,37100000,Brazil,625700,13300.0,,Entertainment,,Entertainment,1
venus,Ishtar Music,Music & Dance,36500000,India,67800,790.0,59.0,Music,,Music,1
Kimberly Loaiza,Kimberly Loaiza,Daily vlogs,36000000,Mexico,9200000,646500.0,42300.0,Lifestyle,,Lifestyle,1
ShemarooEnt,Shemaroo,,35800000,India,103600,604.0,18.0,,,,0
DaddyYankeeOFFTV,Daddy Yankee,Music & Dance,35800000,Argentina,1700000,174600.0,15800.0,Music,,Music,1
Voot Kids,Voot Kids,Movies,35800000,India,2400000,17200.0,,Entertainment,,Entertainment,1
WorkpointOfficial,WorkpointOfficial,,35600000,Thailand,10100,139.0,7.0,,,,0
Toys and Colors,Toys and Colors,Toys,35100000,,1100000,2900.0,,,,,0
shfa,shfa,Daily vlogs,34900000,France,3600000,52400.0,,Lifestyle,,Lifestyle,1
shfa2 - شفا,shfa2 - شفا,Daily vlogs,34500000,,632100,4500.0,,Lifestyle,,Lifestyle,1
SuperSimpleSongs,Super Simple Songs - Kids Songs,Music & Dance,33700000,,1700000,3700.0,,Music,,Music,1
Jkk Entertainment,Jkk Entertainment,,33700000,India,11300000,103300.0,1400.0,,,,0
JbalvinTube,J Balvin,Music & Dance,33300000,Colombia,0,,,Music,,Music,1
gmmonetv,one31,,33300000,Thailand,7000,133.0,4.0,,,,0
vegetta777,VEGETTA777,Video games,32900000,Mexico,394200,31700.0,256.0,Tech/Gaming,,Tech/Gaming,1
Masha and The Bear,Masha and The Bear,Animation,32800000,,1200000,7500.0,,Entertainment,,Entertainment,1
YouTube,YouTube,,32800000,United States,41500,2000.0,,,,,0
Goldmines Gaane Sune Ansune,Goldmines Gaane Sune Ansune,Music & Dance,32700000,India,65700,515.0,22.0,Music,,Music,1
markiplierGAME,Markiplier,Animation,32500000,United States,3000000,165300.0,6000.0,Entertainment,,Entertainment,1
Like Nastya ESP,Like Nastya ESP,,32300000,,418400,1700.0,,,,,0
Ryan's World,Ryan's World,Animation,32100000,,975200,4400.0,,Entertainment,,Entertainment,1
abpnewstv,ABP NEWS,News & Politics,32100000,India,2600,35.0,3.0,Info/Business,,Info/Business,1
NoCopyrightSounds,NoCopyrightSounds,Music & Dance,32100000,United States,535500,19700.0,1200.0,Music,,Music,1
Desi Music Factory,Desi Music Factory,Music & Dance,32100000,India,10800000,396400.0,143600.0,Music,,Music,1
Geet MP3,Geet MP3,Music & Dance,31900000,India,381400,25800.0,1000.0,Music,,Music,1
Total Gaming,Total Gaming,,31700000,India,1400000,140000.0,6800.0,,,,0
Maria Clara & JP,Maria Clara & JP,,31500000,,2800000,22100.0,,,,,0
UltraHindi,Ultra Bollywood,,31500000,India,88100,570.0,24.0,,,,0
tseriesapnapunjab,T-Series Apna Punjab,Music & Dance,31300000,India,34300,1400.0,64.0,Music,,Music,1
SSSniperWolf,SSSniperWolf,Humor,31000000,United States,4900000,141900.0,7300.0,Entertainment,,Entertainment,1
Mikecrack,Mikecrack,Animation,30900000,Mexico,3800000,277400.0,9600.0,Entertainment,,Entertainment,1
GENIAL,GENIAL,Animation,30900000,Mexico,74300,2400.0,83.0,Entertainment,,Entertainment,1
KHANDESHI MOVIES,KHANDESHI MOVIES,,30900000,India,7500000,65800.0,931.0,,,,0
tv3official,Ch3Thailand,,30700000,Thailand,120500,1400.0,33.0,,,,0
Luis Fonsi,Luis Fonsi,,30500000,United States,37000,2700.0,131.0,,,,0
sonypalindia,Sony PAL,,30500000,India,12200,220.0,17.0,,,,0
AllTrapNation,Trap Nation,Music & Dance,30500000,United States,129300,4700.0,136.0,Music,,Music,1
IndiaTV,IndiaTV,News & Politics,30500000,India,13600,219.0,11.0,Info/Business,,Info/Business,1
