rank,followers,engagement_rate,audience_country,topic,potential_reach,name,handle
1,9100000,6.19,Afghanistan,Cricket Sports,2700000,Rashid Khan,@rashid.khan19
2,5100000,,Afghanistan,Fitness Fitness and Health,1500000,GYM VOGUE,@thegymvogue
3,3600000,1.07,Afghanistan,Art,1100000,Steve McCurry,@stevemccurryofficial
4,3300000,0.19,Afghanistan,Celebrities,993100,د. وسيم يوسف,@waseem_yousef
5,3200000,1.71,Afghanistan,Music Singer Songwriting,948300,AHMAD SAEEDI / احمد سعيدي,@ahmadsaeedi1
6,2200000,2.86,Afghanistan,Art,653100,Shakila Mohseni,@shakila.music
7,1900000,0.35,Afghanistan,Entertainment and Music Romance and Wedding Music Singer,583700,𝝠𝗥𝗬𝝠𝗡𝝠 𝗦𝝠𝗬𝗘𝗘𝗗 👑 آریانا سعید,@aryanasayeedofficial
8,1700000,1.82,Afghanistan,Beauty and Self Care Fashion and Accessories Modeling,511700,غزل سادات Ghazal Sadat,@officialghazalsadat
9,1700000,0.86,Afghanistan,Entertainment and Music Music,510900,GHEZAAL ENAYAT ❤️‍🔥🎙غزال عنایت,@ghezaalmusic
10,1500000,8.86,Afghanistan,Sports,459600,Rahmanullah Gurbaz,@rahmanullah.gurbaz
11,1400000,0.79,Afghanistan,,434200,Zainab Ameeri,@zainab_ameeri
12,1400000,2.6,Afghanistan,Art,426800,ApoRed,@apored
13,1400000,2.58,Afghanistan,Acting and Drama Celebrity Modeling,408200,مریم معصومی,@maryammasoumi_
14,1300000,1.7,Afghanistan,Acting and Drama,398000,Qays Sheikh Najib,@qayssheikhnajibofficial
15,1100000,0.3,Afghanistan,Travel Food,330200,Ziba Ghafar,@zebagulley
16,1100000,4.5,Afghanistan,Art Modeling,325900,Fatima Esmat ف,@esmatfatima
17,1000000,0.1,Afghanistan,,309400,💗🇦🇫AFG_love_official🇦🇫💗,@afg_.loves
18,1000000,0.68,Afghanistan,Entertainment and Music Music,304500,Seeta_Qasemie سیتا قاسمی🧿,@seetaqasemieofficial
19,984600,2.29,Afghanistan,Entertainment and Music Acting and Drama Celebrity Entertainment,295400,KEHINDE BANKOLE,@_kehindebankole
20,948800,0.04,Afghanistan,Entertainment and Music,284600,AfghanBollywood,@afghanbollywood
21,928700,0.19,Afghanistan,Entertainment and Music Photography Music News,278600,AFGHAN FACE,@afghanface
22,855200,1.22,Afghanistan,Entertainment and Music Celebrity Singer Music,256600,Qais Ulfat,@qaisulfat
23,836400,1.6,Afghanistan,Entertainment and Music,250900,Maryam Khorami مريم خُرمي,@maryam.khorami
24,792200,0.4,Afghanistan,,237700,⃟🧿𝔒𝔣𝔣𝔦𝔠𝔦𝔞𝔩𝔪𝔬𝔷𝔥𝔡𝔞𝔥𝔣𝔭 ⃟🧿,@officialwelovemozhdah
25,744400,1.0,Afghanistan,Fitness and Health Outdoor Activity Sports Coaching,223300,Ali,@aliabdelaziz000
26,697300,0.81,Afghanistan,Beauty and Self Care Music,209200,Ziba Hamidi,@ziba.hamidiofficial
27,682800,0.22,Afghanistan,Entertainment and Music Music Singer,204800,BIG BINO🤴,@kayumbaasosie
28,614600,0.4,Afghanistan,Entertainment and Music Singer Music,184400,Dr.Ramsha Shafa,@dr.ramshashafa
29,549900,0.76,Afghanistan,,165000,ARG,@arg1880
30,533000,0.79,Afghanistan,Entertainment and Music Singer Music Songwriting,159900,Farhad Darya,@farhaddaryaofficial
31,531100,0.1,Afghanistan,,159300,❤️🇦🇫afg__.love🇦🇫❤️,@afg__.love
32,504600,0.05,Afghanistan,,151400,Afghanmedia1🇦🇫,@afghan_media1
33,483200,4.17,Afghanistan,,145000,zahra,@zahr4
34,476300,0.15,Afghanistan,,142900,Afghan clips افغان کلیپ,@afghan.live
35,470200,0.23,Afghanistan,,141100,Afghanistan Online,@afghanistan.online
36,465000,0.94,Afghanistan,Beauty and Self Care Marketing and Advertising Hair & Beauty Celebrities,139500,Frouzan M. 💄🇦🇫🇨🇦,@froartistry
37,460600,0.3,Afghanistan,,138200,اخبار افغانستان Online News,@afghanistan_news____
38,450200,0.84,Afghanistan,Sports Coaching Modeling,135000,Dr Nadia Nadim,@nadi9nadim
39,441900,4.9,Afghanistan,Education Upskilling Business and Finance,132600,AF WORLD by AFLU,@afluhere
40,432700,0.83,Afghanistan,,129800,Kabul1400,@kabul1400
41,425100,0.1,Afghanistan,,127500,Ariana News,@ariananews.official
42,423900,0.2,Afghanistan,,127200,❣️afghan__happy_offlcial🇦🇫,@afghan_happy_offlcial_2
43,421600,0.5,Afghanistan,Fashion and Accessories,126500,Afghan Fashion - افغان فيشن,@afghan.fashions
44,416500,0.22,Afghanistan,Photography Modeling,124900,Ali Hosseini,@hazara_nationality90
45,413300,0.19,Afghanistan,Fashion and Accessories,124000,Fatma Badran,@maison.fatma
46,410700,0.93,Afghanistan,family Celebrity Acting,123200,The Ohana Adventure,@theohanaadventure
47,404300,0.11,Afghanistan,,121300,دختران افغانستان🇦🇫,@afghanistan.girls
48,395400,0.15,Afghanistan,,118600,𝐒𝐄𝐄𝐓𝐀★سیتا,@seeta_qasmie_page
49,393500,1.54,Afghanistan,,118000,𝐇𝐚𝐧𝐢𝐲𝐞 𝐇𝐨𝐬𝐬𝐚𝐢𝐧𝐢,@haniyemazariofficial
50,387800,1.12,Afghanistan,,116300,Dr. Abdullah Abdullah,@abdullahabdullah.af
51,386600,0.4,Afghanistan,Beauty and Self Care family,116000,Shafiqa shamel,@shafiqa_shamel
52,379400,0.4,Afghanistan,,113800,Fatima Rasa,@fatima.rasa777
53,377700,0.3,Afghanistan,,113300,deltange_watan🇦🇫,@deltange_watan
54,374200,34.39,Afghanistan,Sports Cricket,112200,Afghanistan Cricket Board,@afghanistancricketboard
55,364000,9.82,Afghanistan,Fitness and Health,109200,Bilal F Mohammad,@alihealth_1
56,359500,0.49,Afghanistan,,107800,لايك بزن و بخند 😂✌️(official),@afg.joooke
57,344900,0.4,Afghanistan,,103500,Afghan 🖤❤️ 💚🇦🇫,@afghan.insta_12
58,343200,,Afghanistan,,103000,Anil Jan,@i.aniljan
59,340100,1.09,Afghanistan,Entertainment and Music Home and Garden Coaching Actors,102000,Moe Shalizi,@shalizi
60,330700,0.81,Afghanistan,,99200,Sahar Saidi,@saharariyanmusic
61,330200,0.3,Afghanistan,,99100,ariana.ar.news,@ariana.ar.news
62,324500,0.1,Afghanistan,Entertainment and Music,97400,Afghan Saiyan .🇦🇫🔥...🎬CLIPS ♠🔵,@afghan_star_clips_
63,321500,4.5,Afghanistan,,96500,🕊khoshy 🕊,@khoshy_rabi
64,315400,0.22,Afghanistan,Entertainment and Music Funny Celebrity News,94600,Kabul Music,@kabul_music
65,300000,0.3,Afghanistan,Acting and Drama,90000,Ali Fareedon | علي فريدون,@alifareedon.official
66,293900,0.4,Afghanistan,Entertainment and Music,88200,Jawid Sharif,@jawidsharifmusicofficial
67,292200,0.19,Afghanistan,Entertainment and Music Fashion and Accessories Beauty and Self Care Business and Finance,87700,شيمـاء رحيمـي,@shaimarahimi
68,291000,0.12,Afghanistan,Romance and Wedding Parenting Marketing and Advertising Events,87300,Afghan▕ Turkish▕ Iranian,@afghanwedding_
69,287900,0.02,Afghanistan,Entertainment and Music,86400,Najiba Faiz Queen نجيبه فيض,@najiba_queen
70,285000,0.1,Afghanistan,,85500,افغان_طنز,@afghan_tanzz
71,283600,1.7,Afghanistan,,85100,Faisal Tabibzada,@kingrolexx
72,283500,0.65,Afghanistan,,85100,The Royal Afghan,@the.royal.afghan
73,281700,2.45,Afghanistan,Music,84500,Afghan Star 14⚡صدیقه مددگار,@sadiqa_madadgar
74,269100,5.94,Afghanistan,Music,80700,𝗔𝘀𝗵𝗸𝗮𝗻 𝗔𝗿𝗮𝗯 | اشكان عرب,@ashkan_arab
75,267700,0.8,Afghanistan,,80300,🇦🇫__ShahDokht__Afghanistan__🇦🇫,@shahdokht___afg
76,265300,0.2,Afghanistan,,79600,🇦🇫فالو❤,@shakofe.afghan
77,263700,28.07,Afghanistan,,79100,Mansour Sahak,@mansour_sahak
78,261500,0.4,Afghanistan,Entertainment and Music Funny,78400,AFGHAN ORG,@afghanorg
79,257200,13.01,Afghanistan,,77200,The Afghan,@theafghan
80,256600,0.06,Afghanistan,Fashion Pets,77000,🔱معرفي جراحان بيني👃🏼 🔱,@jarahibinii
81,255900,1.01,Afghanistan,Entertainment and Music Television,76800,Andro 🦋,@andro121
82,255400,1.2,Afghanistan,,76600,🇦🇫 Khaisto 🇦🇫,@decent_kochai
83,252400,4.5,Afghanistan,Sports Education Cricket,75700,Mohammad Nabi,@mohammadnabi07
84,251900,0.3,Afghanistan,,75600,Salam Afghanistan,@salamafghanistan1
85,251200,0.2,Afghanistan,,75400,🇦🇫 فالو کن مره🤗,@sara420afg
86,240100,0.2,Afghanistan,,72000,Afghanistan 🇦🇫🕊افغانستان,@afghanistan.voice
87,237300,0.4,Afghanistan,,71200,Shabana Mehryar,@shabana_mehryar_music
88,236600,0.47,Afghanistan,Entertainment and Music Modeling Music Entertainment,71000,Aryana Sayeed Updates,@aryanasayeed.updates
89,232800,0.2,Afghanistan,,69800,Q A I S E M A D Y,@qais_emady
90,230000,0.01,Afghanistan,,69000,NajibaFaiz Superstarنجيبه فيض,@najibafaizsuperstar
91,229600,0.19,Afghanistan,Photography Travel,68900,AFGHAN INSTA,@afghan_insta
92,224800,5.58,Afghanistan,,67400,Edrees!!,@edreessharifi
93,221400,3.33,Afghanistan,,66400,Jawed Ibrahimi ★ 🇦🇫 ★,@jawed_ibrahimi786
94,219300,0.4,Afghanistan,,65800,Daniel.Afg,@afg.face.official
95,218600,0.3,Afghanistan,Entertainment and Music Singer,65600,#Teamwork#TagMeWhenSheReplies✌,@wemareplies
96,217200,0.1,Afghanistan,,65200,queenafghanistan 🧿,@queenafghanistann
97,215800,1.61,Afghanistan,Romance and Wedding Celebrity,64700,Asma Nawid,@asmanawid1
98,207100,3.29,Afghanistan,Shopping,62100,Mastora Akbari,@mastora__akbari
99,205600,0.9,Afghanistan,,61700,Afghan Vibes افغان وایب,@afghanvibesofficial
100,205400,3.6,Afghanistan,,61600,The Lady Star🌟,@zahra.elham.official
