rank,followers,engagement_rate,audience_country,topic,potential_reach,name,handle
1,3800000,,Afghanistan,,1100000,Bindaas Tv - Funny Comedy Stories,@UCDgT3ji8WmI8SnoDobzqCHg
2,1500000,,Afghanistan,,456000,Azmir Recording,@UCC0QJFYdd4Wa4_4hlDlYF_g
3,1400000,,Afghanistan,,414000,MBC5,@UCVad7F4_ZuILXyBsBj-WEnQ
4,972000,0.4,Afghanistan,,291600,BARONE LOVE FUNK,@UC9G7A5Dhfa5f3_xVJqqQDjA
5,802000,,Afghanistan,,240600,India's Funniest Videos,@UCt3g98Qvlv7diKWcJy6QR1A
6,767000,,Afghanistan,,230100,LemarTV,@UC4TjjoiklE7zMJPN7jEqJGw
7,648000,0.2,Afghanistan,,194400,كومه دي,@UCp6tqIJG9dQs2jAaBKQqH_A
8,551000,,Afghanistan,,165300,Wins/Fails Videos,@UCdUgq5_GUWyssgoEOMo_rHw
9,412000,,Afghanistan,,123600,Shabake Khanda,@UCvF0dhWBERzD6YH296cOVFw
10,337000,,Afghanistan,,101100,LEMBRANÇAS MUSICAIS,@UCBFKMv7Y-gjdm0GMi_ql1gA
11,336000,,Afghanistan,,100800,moiegy,@UCWUJwemS3xkwrpkW80vQcFg
12,324000,,Afghanistan,,97200,SL Sanda,@UCP0c5BYBtfVJ4qJUEYn9pEA
13,289000,0.9,Afghanistan,,86700,DeadLine Music,@UCZWwKCj8AZiYz6ZKtmxfQsw
14,286000,,Afghanistan,,85800,Sahara Flash Official,@UCJK5_rc-flQfbvGeIRlP3-Q
15,217000,,Afghanistan,,65100,Pashton Plus,@UCspIOkfGVZndGDJ7V2K1qPw
16,215000,,Afghanistan,,64500,Watan Click,@UCaR9s_3Gw5und85Rw5zaf4w
17,183000,,Afghanistan,,54900,Toot,@UCA4TrwbEMjhxOOFC8ho6vJA
18,182000,,Afghanistan,,54600,Ro Dar Ro [Family Feud Afghanistan],@UCGRY8FcPNoRVvv-THQsa0Nw
19,169000,,Afghanistan,,50700,Azadi Radio,@UCvpFmIw-T0BH8rn13CPfWlQ
20,149000,,Afghanistan,,44700,KLionVEVO,@UCj70UXxfl2Fogw0OgRN-Wag
21,143000,,Afghanistan,,42900,ullash icp,@UCTU5aTQxXABbC_rA4ZIDoFA
22,138000,,Afghanistan,,41400,VOA Pashto,@UC6RAiJqLwCQgoedNP0a2qiw
23,133000,,Afghanistan,,39900,TOP 5 DARI/دری,@UCULyRJJ806zvg4SFhqaF3QQ
24,124000,,Afghanistan,,37200,Tembang Kenangan,@UCsPuvzcEB3Am7zZpqRdJeoQ
25,115000,0.2,Afghanistan,,34500,Project Runway,@UCH88cPPLV-DUEvH2WXVV_QA
26,108000,,Afghanistan,,32400,Bijoy Study,@UCDsGA2aP8u9SSWiZX1WvbRw
