rank,name,followers,er,country,topic_of_influence,potential_reach,unified_category,handle
1,Khabane lame,161900000,0.2,Italy,Funny Entertainment and Music,48600000,Music,@khaby.lame
2,Bella Poarch,92600000,0.8,United States,,27800000,,@bellapoarch
3,Addison Rae,88500000,1.0,United States,Beauty and Self Care,26600000,Beauty/Fashion,@addisonre
4,MrBeast,85400000,4.0,,Entertainment and Music,25600000,Music,@mrbeast
5,Zach King,78100000,2.9,United States,Entertainment and Music,23400000,Music,@zachking
6,Kimberly Loaiza,76100000,1.6,Mexico,,22800000,,@kimberly.loaiza
7,The Rock,74200000,0.9,United States,Entertainment and Music Fitness and Health Business and Finance,22300000,Music,@therock
8,Will Smith,74100000,0.7,United States,,22200000,,@willsmith
9,cznburak,72000000,0.2,,,21600000,,@cznburak
10,Jason Derulo,58900000,0.4,United States,Entertainment and Music,17700000,Music,@jasonderulo
11,Kylie Jenner,56000000,3.2,United States,Beauty and Self Care Fashion and Accessories,16800000,Beauty/Fashion,@kyliejenner
12,Karol G,51900000,3.8,Colombia,Entertainment and Music,15600000,Music,@karolg
13,Michael Le,51400000,,Vietnam,,15400000,,@justmaiko
14,BTS,51000000,1.0,,Entertainment and Music,15300000,Music,@bts_official_bighit
15,BILLIE EILISH,51000000,,,,15300000,,@billieeilish
16,JoJo Siwa,45600000,0.3,United States,Entertainment and Music,13700000,Music,@itsjojosiwa
17,ESPN,44000000,,,Entertainment and Music,13200000,Music,@espn
18,Junya/じゅんや,42800000,,,,12800000,,@junya1gou
19,ХОМЯК,42100000,,,Fashion and Accessories,12600000,Beauty/Fashion,@homm9k
20,XO Team,41400000,,,Entertainment and Music,12400000,Music,@xoteam
21,ROD🫠,41100000,,,Entertainment and Music,12300000,Music,@elrodcontreras
22,Joe,40800000,,,family Entertainment and Music,12200000,Music,@joealbanese
23,Gordon Ramsay,40000000,1.1,United Kingdom,Food,12000000,Lifestyle,@gordonramsayofficial
24,Carlos Feria,39200000,,,,11800000,,@carlosferiag
25,ondy mikula,38800000,,,,11600000,,@ondymikula
26,Scott 🔥,38400000,0.2,,Entertainment and Music,11500000,Music,@scottsreality
27,Shakira,38200000,2.0,,,11500000,,@shakira
28,Barstool Sports,36900000,0.1,United States,Entertainment and Music Sports,11100000,Sports,@barstoolsports
29,James Charles,36200000,,United States,Beauty and Self Care Arts and Crafts,10900000,Beauty/Fashion,@jamescharles
30,kyle thomas 🌿,35400000,0.1,,,10600000,,@kylethomas
31,Q Park,35200000,,,,10600000,,@qpark
32,GIL CROES,35100000,,,Entertainment and Music,10500000,Music,@gilmhercroes
33,Kevin Hart,34800000,1.7,United States,Entertainment and Music,10400000,Music,@imkevinhart
34,Kirya Kolesnikov,34700000,,,Entertainment and Music Funny,10400000,Music,@thekiryalife
35,arianagrande,34400000,,,Entertainment and Music,10300000,Music,@arianagrande
36,Pongámoslo a Prueba,34200000,,,,10300000,,@pongamoslo_a_prueba
37,ThatLittlePuff,33500000,0.6,,Pets,10100000,Lifestyle,@thatlittlepuff
38,Montpantoja,33300000,,,,10000000,,@montpantoja
39,Devon Rodriguez,32100000,0.2,United States,Arts and Crafts Education Upskilling,9600000,Info/Business,@devonrodriguezart
40,Bad Bunny,31800000,18.4,Puerto Rico,,9500000,,@badbunny
41,Brooke Monk,31700000,2.1,United States,Entertainment and Music Funny,9500000,Music,@brookemonk_
42,Indi skovar,31600000,0.4,,Entertainment and Music,9500000,Music,@indiskovar3.0
43,Lele Pons,31500000,0.9,United States,,9500000,,@lelepons
44,Stokes Twins,31200000,,United States,Entertainment and Music,9400000,Music,@stokestwins
45,Kira Kosarin,31100000,0.7,,Entertainment and Music,9300000,Music,@kirakosarin
46,La Rosalia,30900000,,Spain,,9300000,,@rosalia
47,Alejandro Nieto,30400000,,Colombia,,9100000,,@soybans
48,Michel Chavez,30200000,,Mexico,,9100000,,@its.michhh
49,Liza Koshy,30200000,,United States,,9100000,,@lizzza
50,beca,29200000,1.0,Brazil,Travel,8800000,Lifestyle,@beca
51,Topper Guild,29000000,,United States,Entertainment and Music Celebrity,8700000,Music,@topperguild
52,Ignacia Antonia👑,28200000,,Chile,Beauty and Self Care,8500000,Beauty/Fashion,@ignaciaa_antonia
