rank,name,followers,er,country,topic_of_influence,potential_reach,unified_category,handle
1,Rashid Khan,9100000,6.19,Afghanistan,Cricket Sports,2700000,Sports,@rashid.khan19
2,GYM VOGUE,5100000,,Afghanistan,Fitness Fitness and Health,1500000,Lifestyle,@thegymvogue
3,Steve McCurry,3600000,1.07,Afghanistan,Art,1100000,Entertainment,@stevemccurryofficial
4,د. وسيم يوسف,3300000,0.19,Afghanistan,Celebrities,993100,Entertainment,@waseem_yousef
5,AHMAD SAEEDI / احمد سعيدي,3200000,1.71,Afghanistan,Music Singer Songwriting,948300,Music,@ahmadsaeedi1
6,Shakila Mohseni,2200000,2.86,Afghanistan,Art,653100,Entertainment,@shakila.music
7,𝝠𝗥𝗬𝝠𝗡𝝠 𝗦𝝠𝗬𝗘𝗘𝗗 👑 آریانا سعید,1900000,0.35,Afghanistan,Entertainment and Music Romance and Wedding Music Singer,583700,Music,@aryanasayeedofficial
8,غزل سادات Ghazal Sadat,1700000,1.82,Afghanistan,Beauty and Self Care Fashion and Accessories Modeling,511700,Beauty/Fashion,@officialghazalsadat
9,GHEZAAL ENAYAT ❤️‍🔥🎙غزال عنایت,1700000,0.86,Afghanistan,Entertainment and Music Music,510900,Music,@ghezaalmusic
10,Rahmanullah Gurbaz,1500000,8.86,Afghanistan,Sports,459600,Sports,@rahmanullah.gurbaz
11,Zainab Ameeri,1400000,0.79,Afghanistan,,434200,,@zainab_ameeri
12,ApoRed,1400000,2.6,Afghanistan,Art,426800,Entertainment,@apored
13,مریم معصومی,1400000,2.58,Afghanistan,Acting and Drama Celebrity Modeling,408200,Beauty/Fashion,@maryammasoumi_
14,Qays Sheikh Najib,1300000,1.7,Afghanistan,Acting and Drama,398000,Entertainment,@qayssheikhnajibofficial
15,Ziba Ghafar,1100000,0.3,Afghanistan,Travel Food,330200,Lifestyle,@zebagulley
16,Fatima Esmat ف,1100000,4.5,Afghanistan,Art Modeling,325900,Beauty/Fashion,@esmatfatima
17,💗🇦🇫AFG_love_official🇦🇫💗,1000000,0.1,Afghanistan,,309400,,@afg_.loves
18,Seeta_Qasemie سیتا قاسمی🧿,1000000,0.68,Afghanistan,Entertainment and Music Music,304500,Music,@seetaqasemieofficial
19,KEHINDE BANKOLE,984600,2.29,Afghanistan,Entertainment and Music Acting and Drama Celebrity Entertainment,295400,Music,@_kehindebankole
20,AfghanBollywood,948800,0.04,Afghanistan,Entertainment and Music,284600,Music,@afghanbollywood
21,AFGHAN FACE,928700,0.19,Afghanistan,Entertainment and Music Photography Music News,278600,Music,@afghanface
22,Qais Ulfat,855200,1.22,Afghanistan,Entertainment and Music Celebrity Singer Music,256600,Music,@qaisulfat
23,Maryam Khorami مريم خُرمي,836400,1.6,Afghanistan,Entertainment and Music,250900,Music,@maryam.khorami
24,⃟🧿𝔒𝔣𝔣𝔦𝔠𝔦𝔞𝔩𝔪𝔬𝔷𝔥𝔡𝔞𝔥𝔣𝔭 ⃟🧿,792200,0.4,Afghanistan,,237700,,@officialwelovemozhdah
25,Ali,744400,1.0,Afghanistan,Fitness and Health Outdoor Activity Sports Coaching,223300,Sports,@aliabdelaziz000
26,Ziba Hamidi,697300,0.81,Afghanistan,Beauty and Self Care Music,209200,Music,@ziba.hamidiofficial
27,BIG BINO🤴,682800,0.22,Afghanistan,Entertainment and Music Music Singer,204800,Music,@kayumbaasosie
28,Dr.Ramsha Shafa,614600,0.4,Afghanistan,Entertainment and Music Singer Music,184400,Music,@dr.ramshashafa
29,ARG,549900,0.76,Afghanistan,,165000,,@arg1880
30,Farhad Darya,533000,0.79,Afghanistan,Entertainment and Music Singer Music Songwriting,159900,Music,@farhaddaryaofficial
31,❤️🇦🇫afg__.love🇦🇫❤️,531100,0.1,Afghanistan,,159300,,@afg__.love
32,Afghanmedia1🇦🇫,504600,0.05,Afghanistan,,151400,,@afghan_media1
33,zahra,483200,4.17,Afghanistan,,145000,,@zahr4
34,Afghan clips افغان کلیپ,476300,0.15,Afghanistan,,142900,,@afghan.live
35,Afghanistan Online,470200,0.23,Afghanistan,,141100,,@afghanistan.online
36,Frouzan M. 💄🇦🇫🇨🇦,465000,0.94,Afghanistan,Beauty and Self Care Marketing and Advertising Hair & Beauty Celebrities,139500,Beauty/Fashion,@froartistry
37,اخبار افغانستان Online News,460600,0.3,Afghanistan,,138200,,@afghanistan_news____
38,Dr Nadia Nadim,450200,0.84,Afghanistan,Sports Coaching Modeling,135000,Sports,@nadi9nadim
39,AF WORLD by AFLU,441900,4.9,Afghanistan,Education Upskilling Business and Finance,132600,Info/Business,@afluhere
40,Kabul1400,432700,0.83,Afghanistan,,129800,,@kabul1400
41,Ariana News,425100,0.1,Afghanistan,,127500,,@ariananews.official
42,❣️afghan__happy_offlcial🇦🇫,423900,0.2,Afghanistan,,127200,,@afghan_happy_offlcial_2
43,Afghan Fashion - افغان فيشن,421600,0.5,Afghanistan,Fashion and Accessories,126500,Beauty/Fashion,@afghan.fashions
44,Ali Hosseini,416500,0.22,Afghanistan,Photography Modeling,124900,Music,@hazara_nationality90
45,Fatma Badran,413300,0.19,Afghanistan,Fashion and Accessories,124000,Beauty/Fashion,@maison.fatma
46,The Ohana Adventure,410700,0.93,Afghanistan,family Celebrity Acting,123200,Lifestyle,@theohanaadventure
47,دختران افغانستان🇦🇫,404300,0.11,Afghanistan,,121300,,@afghanistan.girls
48,𝐒𝐄𝐄𝐓𝐀★سیتا,395400,0.15,Afghanistan,,118600,,@seeta_qasmie_page
49,𝐇𝐚𝐧𝐢𝐲𝐞 𝐇𝐨𝐬𝐬𝐚𝐢𝐧𝐢,393500,1.54,Afghanistan,,118000,,@haniyemazariofficial
50,Dr. Abdullah Abdullah,387800,1.12,Afghanistan,,116300,,@abdullahabdullah.af
51,Shafiqa shamel,386600,0.4,Afghanistan,Beauty and Self Care family,116000,Beauty/Fashion,@shafiqa_shamel
52,Fatima Rasa,379400,0.4,Afghanistan,,113800,,@fatima.rasa777
53,deltange_watan🇦🇫,377700,0.3,Afghanistan,,113300,,@deltange_watan
54,Afghanistan Cricket Board,374200,34.39,Afghanistan,Sports Cricket,112200,Sports,@afghanistancricketboard
55,Bilal F Mohammad,364000,9.82,Afghanistan,Fitness and Health,109200,Lifestyle,@alihealth_1
56,لايك بزن و بخند 😂✌️(official),359500,0.49,Afghanistan,,107800,,@afg.joooke
57,Afghan 🖤❤️ 💚🇦🇫,344900,0.4,Afghanistan,,103500,,@afghan.insta_12
58,Anil Jan,343200,,Afghanistan,,103000,,@i.aniljan
59,Moe Shalizi,340100,1.09,Afghanistan,Entertainment and Music Home and Garden Coaching Actors,102000,Music,@shalizi
60,Sahar Saidi,330700,0.81,Afghanistan,,99200,,@saharariyanmusic
61,ariana.ar.news,330200,0.3,Afghanistan,,99100,,@ariana.ar.news
62,Afghan Saiyan .🇦🇫🔥...🎬CLIPS ♠🔵,324500,0.1,Afghanistan,Entertainment and Music,97400,Music,@afghan_star_clips_
63,🕊khoshy 🕊,321500,4.5,Afghanistan,,96500,,@khoshy_rabi
64,Kabul Music,315400,0.22,Afghanistan,Entertainment and Music Funny Celebrity News,94600,Music,@kabul_music
65,Ali Fareedon | علي فريدون,300000,0.3,Afghanistan,Acting and Drama,90000,Entertainment,@alifareedon.official
66,Jawid Sharif,293900,0.4,Afghanistan,Entertainment and Music,88200,Music,@jawidsharifmusicofficial
67,شيمـاء رحيمـي,292200,0.19,Afghanistan,Entertainment and Music Fashion and Accessories Beauty and Self Care Business and Finance,87700,Music,@shaimarahimi
68,Afghan▕ Turkish▕ Iranian,291000,0.12,Afghanistan,Romance and Wedding Parenting Marketing and Advertising Events,87300,Info/Business,@afghanwedding_
69,Najiba Faiz Queen نجيبه فيض,287900,0.02,Afghanistan,Entertainment and Music,86400,Music,@najiba_queen
70,افغان_طنز,285000,0.1,Afghanistan,,85500,,@afghan_tanzz
71,Faisal Tabibzada,283600,1.7,Afghanistan,,85100,,@kingrolexx
72,The Royal Afghan,283500,0.65,Afghanistan,,85100,,@the.royal.afghan
73,Afghan Star 14⚡صدیقه مددگار,281700,2.45,Afghanistan,Music,84500,Music,@sadiqa_madadgar
74,𝗔𝘀𝗵𝗸𝗮𝗻 𝗔𝗿𝗮𝗯 | اشكان عرب,269100,5.94,Afghanistan,Music,80700,Music,@ashkan_arab
75,🇦🇫__ShahDokht__Afghanistan__🇦🇫,267700,0.8,Afghanistan,,80300,,@shahdokht___afg
76,🇦🇫فالو❤,265300,0.2,Afghanistan,,79600,,@shakofe.afghan
77,Mansour Sahak,263700,28.07,Afghanistan,,79100,,@mansour_sahak
78,AFGHAN ORG,261500,0.4,Afghanistan,Entertainment and Music Funny,78400,Music,@afghanorg
79,The Afghan,257200,13.01,Afghanistan,,77200,,@theafghan
80,🔱معرفي جراحان بيني👃🏼 🔱,256600,0.06,Afghanistan,Fashion Pets,77000,Beauty/Fashion,@jarahibinii
81,Andro 🦋,255900,1.01,Afghanistan,Entertainment and Music Television,76800,Music,@andro121
82,🇦🇫 Khaisto 🇦🇫,255400,1.2,Afghanistan,,76600,,@decent_kochai
83,Mohammad Nabi,252400,4.5,Afghanistan,Sports Education Cricket,75700,Sports,@mohammadnabi07
84,Salam Afghanistan,251900,0.3,Afghanistan,,75600,,@salamafghanistan1
85,🇦🇫 فالو کن مره🤗,251200,0.2,Afghanistan,,75400,,@sara420afg
86,Afghanistan 🇦🇫🕊افغانستان,240100,0.2,Afghanistan,,72000,,@afghanistan.voice
87,Shabana Mehryar,237300,0.4,Afghanistan,,71200,,@shabana_mehryar_music
88,Aryana Sayeed Updates,236600,0.47,Afghanistan,Entertainment and Music Modeling Music Entertainment,71000,Music,@aryanasayeed.updates
89,Q A I S E M A D Y,232800,0.2,Afghanistan,,69800,,@qais_emady
90,NajibaFaiz Superstarنجيبه فيض,230000,0.01,Afghanistan,,69000,,@najibafaizsuperstar
91,AFGHAN INSTA,229600,0.19,Afghanistan,Photography Travel,68900,Music,@afghan_insta
92,Edrees!!,224800,5.58,Afghanistan,,67400,,@edreessharifi
93,Jawed Ibrahimi ★ 🇦🇫 ★,221400,3.33,Afghanistan,,66400,,@jawed_ibrahimi786
94,Daniel.Afg,219300,0.4,Afghanistan,,65800,,@afg.face.official
95,#Teamwork#TagMeWhenSheReplies✌,218600,0.3,Afghanistan,Entertainment and Music Singer,65600,Music,@wemareplies
96,queenafghanistan 🧿,217200,0.1,Afghanistan,,65200,,@queenafghanistann
97,Asma Nawid,215800,1.61,Afghanistan,Romance and Wedding Celebrity,64700,Lifestyle,@asmanawid1
98,Mastora Akbari,207100,3.29,Afghanistan,Shopping,62100,Lifestyle,@mastora__akbari
99,Afghan Vibes افغان وایب,205600,0.9,Afghanistan,,61700,,@afghanvibesofficial
100,The Lady Star🌟,205400,3.6,Afghanistan,,61600,,@zahra.elham.official
1,Leo Messi,501100000,0.01,Argentina,Sports Soccer Activity General General Interest,150300000,Sports,@leomessi
2,Paulo Dybala,57600000,2.07,Argentina,Sports Soccer,17300000,Sports,@paulodybala
3,Antonela Roccuzzo,38200000,7.06,Argentina,family Modeling,11500000,Beauty/Fashion,@antonelaroccuzzo
4,Sergio Leonel Agüero,31000000,1.68,Argentina,,9300000,,@kunaguero
5,Ángel Di María,26500000,1.35,Argentina,Sports Marketing and Advertising Soccer Lifestyle,7900000,Sports,@angeldimariajm
6,Wanda Nara,16800000,2.21,Argentina,Beauty and Self Care Fashion and Accessories Journalists,5000000,Beauty/Fashion,@wanda_nara
7,𝗟𝘂𝗶𝘀 𝗙𝗼𝗻𝘀𝗶,14600000,0.8,Argentina,Entertainment and Music Music Singer,4400000,Music,@luisfonsi
8,Maria Becerra,13800000,2.85,Argentina,Entertainment and Music Actors,4100000,Music,@mariabecerra
9,Selección Argentina,12800000,2.75,Argentina,Sports Soccer,3800000,Sports,@afaseleccion
10,𝙈𝘼𝙐𝙍𝙊 𝙄𝘾𝘼𝙍𝘿𝙄,11800000,5.67,Argentina,Sports Soccer,3500000,Sports,@mauroicardi
11,Lautaro Javier Martinez,10900000,2.65,Argentina,Sports Actors Journalists,3300000,Sports,@lautaromartinez
12,Marcelo Tinelli,10700000,0.76,Argentina,Entertainment and Music Actors Journalists,3200000,Music,@marcelotinelli
13,Agus Bernasconi,9200000,1.45,Argentina,Actors Music,2800000,Music,@agusbernasconi07
14,Alejo Igoa,9100000,4.86,Argentina,Entertainment and Music Lifestyle,2700000,Music,@alejoigoa
15,René Pérez Joglar,8600000,2.97,Argentina,Entertainment and Music Actors Music,2600000,Music,@residente
16,Ricardo Montaner,8600000,0.48,Argentina,Music Songwriting,2600000,Music,@montaner
17,Cande Molfese,8500000,0.36,Argentina,Acting and Drama Actors,2500000,Entertainment,@candemolfese
18,Diego Maradona,8400000,1.72,Argentina,Entertainment and Music,2500000,Music,@maradona
19,Boca Juniors,8200000,1.02,Argentina,Sports,2500000,Sports,@bocajrsoficial
20,Pampita,7800000,0.46,Argentina,Actors Modeling Fashion,2300000,Beauty/Fashion,@pampitaoficial
21,Marley,7700000,0.18,Argentina,Entertainment and Music Actors,2300000,Music,@marley_ok
22,Natan Bianco,7500000,1.97,Argentina,,2300000,,@natan.biancoo
23,River Plate,7000000,2.81,Argentina,Sports Soccer,2100000,Sports,@riverplate
24,Luisana Lopilato,6800000,0.25,Argentina,Acting and Drama family Celebrity Moms,2000000,Lifestyle,@luisanalopilato
25,Lizy Tagliani,6800000,0.3,Argentina,Acting and Drama Actors Journalists,2000000,Info/Business,@lizytagliani
26,Sol Perez,6600000,0.85,Argentina,Fitness and Health Beauty and Self Care Actors,2000000,Beauty/Fashion,@lasobrideperez
27,LA CHINA,6600000,2.7,Argentina,Acting and Drama Actors,2000000,Entertainment,@sangrejaponesa
28,Florencia Peña,6400000,0.34,Argentina,Entertainment and Music Fashion and Accessories Actors Modeling,1900000,Music,@flor_de_p
29,Javi Mascherano,6300000,3.49,Argentina,Sports,1900000,Sports,@mascherano14
30,Cinthia Fernandez,6000000,1.41,Argentina,family Actors,1800000,Lifestyle,@cinthia_fernandez_
31,FLOR VIGNA,5700000,0.84,Argentina,Entertainment and Music Actors Artist,1700000,Music,@florivigna
32,Laurita Fernández,5000000,0.34,Argentina,Actors,1500000,Entertainment,@holasoylaurita
33,Donato,4900000,2.87,Argentina,Events Actors,1500000,Lifestyle,@thedonato
34,Agus Liporace,4700000,4.27,Argentina,,1400000,,@kulinaria.recetas
35,𝕷𝖊𝖑𝖊’,4600000,0.39,Argentina,Marketing and Advertising Actors,1400000,Info/Business,@candelariatinelli
36,◬ Nestor En Bloque ◬,4600000,2.3,Argentina,Entertainment and Music,1400000,Music,@nestor_nblq
37,𝗔𝗺𝗮𝗿𝗮 𝗾𝘂𝗲 𝗹𝗶𝗻𝗱𝗮,4500000,0.34,Argentina,Beauty and Self Care Fashion and Accessories Lifestyle,1400000,Beauty/Fashion,@amara.aa
38,Nathy Peluso,4500000,3.27,Argentina,Entertainment and Music Music Actors,1300000,Music,@nathypeluso
39,Gime Accardi,4400000,1.45,Argentina,Actors Fashion Modeling,1300000,Beauty/Fashion,@gimeaccardi
40,Daniela Viaggiamari (La Chepi),4300000,1.04,Argentina,Entertainment and Music Marketing and Advertising Actors Virtualization,1300000,Music,@danilachepi
41,Nicolás Vazquez,4300000,0.38,Argentina,Acting and Drama Celebrity Actors Journalists,1300000,Info/Business,@nicovazquezok
42,Marcos Rojo ⚽️,4100000,2.96,Argentina,Sports Actors Journalists,1200000,Sports,@marcosrojo
43,Ezequiel Lavezzi,4100000,1.0,Argentina,,1200000,,@pocho22lavezzi
44,Barbie Pucheta #BarbieVelez,3800000,0.41,Argentina,Acting and Drama family Actors,1100000,Lifestyle,@barbiepucheta
45,ℜ𝔢𝔶 𝔡𝔢 𝔄𝔯𝔪𝔞𝔡𝔞,3800000,11.07,Argentina,Fashion and Accessories,1100000,Beauty/Fashion,@ceciarmy
46,Stef Roitman,3800000,1.39,Argentina,Acting and Drama Actors Modeling Celebrities,1100000,Beauty/Fashion,@stefroitman
47,Micaela Lorena Viciconte,3700000,0.66,Argentina,Entertainment and Music Food Modeling,1100000,Music,@micaviciconte
48,ANTONELLA,3600000,2.87,Argentina,Travel Journalists,1100000,Info/Business,@lasirena69
49,Giovani Lo Celso,3500000,4.81,Argentina,Sports Soccer,1100000,Sports,@locelsogiovani
50,ıllıllı Papu Gomez ıllıllı,3500000,4.9,Argentina,Sports Food Product Showcase,1000000,Sports,@papugomez_official
51,Oleksandr Danylenko,3400000,3.81,Argentina,Entertainment and Music Music Actors,1000000,Music,@irelleyoko
52,Carolina Kopelioff,3400000,0.25,Argentina,Celebrity Actors Modeling,1000000,Beauty/Fashion,@carolinakopelioff
53,Susana Gimenez🫀,3400000,1.42,Argentina,Art Actors Journalists,1000000,Info/Business,@gimenezsuok
54,Catherine Fulop,3400000,1.28,Argentina,Acting and Drama Celebrity Actors,1000000,Entertainment,@fulopcatherine
55,Malena Ratner,3200000,0.33,Argentina,Acting and Drama Celebrity Actors,972800,Entertainment,@malenaratner
56,Maria del Cerro 🇦🇷,3200000,0.26,Argentina,Acting and Drama family Fashion and Accessories Actors,971300,Beauty/Fashion,@merydelcerrok
57,NATALIE,3200000,0.53,Argentina,Acting and Drama Romance and Wedding Actors Modeling,958800,Beauty/Fashion,@natalieperez
58,Karina La Princesita,3200000,2.5,Argentina,Actors Artist,955300,Entertainment,@kariprinceoficial
59,*BELU LUCIUS*,3100000,2.27,Argentina,Celebrity Actors,941400,Entertainment,@belulucius
60,Iɢɴᴀᴄɪᴏ Bᴀʟᴀᴅᴀɴ,3100000,1.72,Argentina,Food Marketing and Advertising Chef,938500,Info/Business,@ignaciobaladan
61,Locos X el Asado,3100000,1.63,Argentina,Video Blogger Chef Food,938100,Lifestyle,@locosxelasado
62,Julián Serrano ♎️🇦🇷,3100000,0.5,Argentina,Entertainment and Music Business and Finance Celebrity Actors,937300,Music,@julianserrano01
63,Marcela Kloosterboer,3000000,0.86,Argentina,Acting and Drama Actors Modeling,908100,Beauty/Fashion,@m.klooster
64,Virginia Gallardo,3000000,0.08,Argentina,Art Modeling,896000,Beauty/Fashion,@virchugallardo
65,CALLEJERO FINO,2900000,5.48,Argentina,Entertainment and Music Actors,879200,Music,@callejerofino
66,𝐄𝐕𝐀 𝐃𝐄 𝐃𝐎𝐌𝐈𝐍𝐈𝐂𝐈,2900000,0.83,Argentina,Actors Fashion Lifestyle,871600,Beauty/Fashion,@dedominicieva
67,Albere,2800000,12.66,Argentina,Fashion and Accessories Celebrity,847500,Beauty/Fashion,@albereee_
68,Mariano Diaz,2800000,3.21,Argentina,Entertainment and Music Soccer,838200,Sports,@marianodiazmejia
69,Papo MC,2700000,3.76,Argentina,Art Actors,812300,Entertainment,@labestiadelhardcore
70,Mica Suarez,2700000,4.8,Argentina,Entertainment and Music Celebrity Video Blogger Actors,812100,Music,@micasuarez12
71,María Constanza Romero,2700000,10.95,Argentina,,811000,,@cotyrommero
72,celeste cid,2700000,1.56,Argentina,Arts and Crafts Celebrity,800300,Entertainment,@mcelestia
73,Guillermina Valdes🦋,2700000,0.5,Argentina,Beauty and Self Care family Actors,797500,Beauty/Fashion,@guillevaldes1
74,Tipico de Argentinos,2600000,2.58,Argentina,Funny,794600,Entertainment,@tipico_de_argentinos
75,Luciano Pereyra,2600000,0.69,Argentina,Actors Fashion Modeling,792000,Beauty/Fashion,@lucianopereyraoficial
76,Barby Silenzi,2600000,1.2,Argentina,Parenting Actors,790200,Lifestyle,@barby_silenzi
77,Alberto Fernández,2600000,0.7,Argentina,,777000,,@alferdezok
