rank,name,followers,er,country,topic_of_influence,potential_reach,unified_category,handle
1,Ziba Gulley 🥀,14500000,0.3,Afghanistan,Business and Finance,4400000,Info/Business,@xzayx89
2,Bryan Kazaka,9000000,,Afghanistan,Entertainment and Music Finance Upskilling,2700000,Music,@bryankazaka
3,JasleenKaur Official,4100000,,Afghanistan,Beauty and Self Care Acting and Drama Celebrity,1200000,Beauty/Fashion,@jasleenxbeauty
4,Pary Gull Moti,1400000,,Afghanistan,Business and Finance,420000,Info/Business,@parygullofficial
5,Valentino,1300000,,Afghanistan,,390000,,@baravalentino_
6,QueenofTikTok👸,1100000,,Afghanistan,Fitness,330000,Lifestyle,@mashazlatifiofficial7
7,Mehral Shams,1100000,,Afghanistan,,330000,,@mehral
8,haniyemazariofficial,946500,,Afghanistan,,284000,,@haniye_mazari_officiall
9,SlayerGirl💕,928100,,Afghanistan,Beauty,278400,Beauty/Fashion,@x_s.l.a.y.e.r.g.i.r.l_x
10,777zvrahfn,860900,,Afghanistan,Entertainment and Music,258300,Music,@777zvrahfn
11,MC RAJI,852900,0.1,Afghanistan,Entertainment and Music Funny Celebrity,255900,Music,@mcrajiofficial
12,Soma Zafari,813800,,Afghanistan,Travel,244100,Lifestyle,@somazafari
13,Andro,806400,,Afghanistan,,241900,,@andro_121
14,Ayesha khan 🇦🇫🇵🇰,806300,,Afghanistan,,241900,,@nageen_afghan
15,A,749100,6.6,Afghanistan,,224700,,@arsalannoori07
16,『Savage』GIRL❣️,706500,,Afghanistan,Video Gaming,212000,Tech/Gaming,@savage.bye
17,Z E R O,706200,,Afghanistan,Video Gaming,211900,Tech/Gaming,@zero.503
18,😝Ziarat khan funny😝🙈,702600,,Afghanistan,,210800,,@ziaratkhan5050
19,Zainab-official,674700,,Afghanistan,,202400,,@zainabjan2001
20,🇦🇫🇹🇷,658800,,Afghanistan,,197600,,@shabir_7m
21,Ｒ¹丨ＢＯＯＭ,622200,0.2,Afghanistan,,186700,,@r1.boom
22,𝐇𝐚𝐬𝐞𝐞𝐛 𝐊𝐡𝐚𝐧,584200,,Afghanistan,,175300,,@thekhan_
23,Jeffy Nachapim,575300,,Afghanistan,,172600,,@jeffynachapim
24,Afsana Zeddi,558200,,Afghanistan,,167500,,@afsanazeddi
25,Icxmaria,534300,,Afghanistan,,160300,,@icxmaria
26,Free Fire 🔥,522100,,Afghanistan,,156600,,@moe_ff
27,¹Ｏp・MARYAM 👸🏻🇦🇫,521900,,Afghanistan,,156600,,@official_maryam
28,Siyad Abdali,516300,,Afghanistan,Nature,154900,Lifestyle,@siyad998
29,Habari_Njema,513400,0.2,Afghanistan,Entertainment and Music Education,154000,Music,@habari_njema
30,menokakar,505000,,Afghanistan,,151500,,@menokakar
31,Sami Sadat,490200,,Afghanistan,,147100,,@sami_sadat
32,Aimal Habibi,486600,,Afghanistan,,146000,,@aimalhabibi01
33,🔥Jan Nawid🔥,484700,,Afghanistan,Games,145400,Tech/Gaming,@nawidsamadi_07
34,96 | B L A C K,481700,,Afghanistan,Video Gaming,144500,Tech/Gaming,@96black1
35,theshaniproject,477900,,Afghanistan,Education,143400,Info/Business,@theshaniproject
36,khushal_jan,476900,,Afghanistan,,143100,,@khushal_jan28
37,Yassna,474300,,Afghanistan,,142300,,@anarkali_08
38,Abid Mahmood Khogyanai,460100,,Afghanistan,Food Nature,138000,Lifestyle,@abidmahmoodkhogya
39,🅗🅐🅚🅘🅜🅘,449300,,Afghanistan,,134800,,@_shamshakimi
40,❦︎🅒︎🅡︎🅘︎🅖︎🅔︎ 🅜︎🅐︎🅝︎❦︎,444700,,Afghanistan,,133400,,@gamergalaxyskin009_yt
41,♥️🤤,440000,0.1,Afghanistan,,132000,,@sonasadat
42,Rahmanullah 21,437100,,Afghanistan,,131100,,@rahmanullahgurbaz31
43,🇦🇫👑Salman Helmandai 👑🇦🇫,435700,,Afghanistan,,130700,,@ismailshahjeweller
44,❤️Javed Afghan❤️,433400,,Afghanistan,,130000,,@javedafghanshinwari
45,IM AFGHANISTAN FAMILY PIOLT,417800,,Afghanistan,family,125300,Lifestyle,@niloofar_rahmani
46,Rukhsar Achakzai,416700,,Afghanistan,Funny,125000,Entertainment,@rukhsar_x0o
47,Massud Shirzad,416200,,Afghanistan,,124900,,@massud.shirzad
48,🧿مرواری هوتک🧿افغانی مور🇦🇫,405400,,Afghanistan,,121600,,@marwari_hotak
49,Latifa Azizi,403400,,Afghanistan,,121000,,@latifaazizi404
50,official_hafsaidris4,391400,,Afghanistan,Entertainment and Music,117400,Music,@hafsaidris4
51,🥀فیضو_مندوخیل🥀,390900,,Afghanistan,,117300,,@malang_weror
52,✨⚡️Shinwari ⚡️✨,388900,,Afghanistan,,116700,,@pekhawari_laila
53,hazratullah Zazai 3,379100,,Afghanistan,Sports,113700,Sports,@hazratullah_zazai33333
54,👑 Įᒪ¥𝐀ş💙ｋ𝐡,376900,,Afghanistan,,113100,,@ilyas_khan41
55,majidkha991,371800,,Afghanistan,,111500,,@majidkpk991
56,Mr. 🇦🇫🐅,368900,,Afghanistan,,110700,,@rahilreehanofficial
57,Sultana2,367900,0.3,Afghanistan,,110400,,@sultanalove2
58,user8902640896943,355200,0.1,Afghanistan,,106600,,@altaf.mokhlis123
59,Pathan,354000,,Afghanistan,,106200,,@suliman_kaka
60,Ada qaderi 007,345600,,Afghanistan,,103700,,@ada.qaderi007
61,Ziba hamidi,340200,,Afghanistan,,102100,,@ziba.hamidiofficial
62,🖤ツلـونـګـيـن🇦🇫🥀,338300,,Afghanistan,,101500,,@mr_lawangen
63,Sana faisal 🇦🇫,337600,,Afghanistan,,101300,,@sana_faisal_official1
64,Neyaz Mohseni 🥇,330800,,Afghanistan,Celebrity Medical Health Music,99200,Music,@neyazmohseni
65,S I K A N D A R©️ سکندر نجیب,330100,,Afghanistan,Entertainment and Music Upskilling,99000,Music,@sikandar.najib7
66,chief 💫,325100,0.5,Afghanistan,Entertainment and Music,97500,Music,@officiallchief
67,ROOHULLAH,322800,,Afghanistan,,96800,,@roohullah_tareen
68,user243360,322300,,Afghanistan,,96700,,@mohammad78123
69,🍁🅼🅰🆀🆂🅾🅾🅳 🅳🅰🆆🅰🆁 🍁,320200,,Afghanistan,,96100,,@maqsood_dawar
70,𝖘𝖍𝖚𝖍𝖆𝖎𝖑𝖆🇦🇫🇵🇭,320100,,Afghanistan,,96000,,@shuhailasayedsultan0
71,RTG_ شيخ,307300,,Afghanistan,,92200,,@rtg_shikh
72,دختر اسلام,305900,,Afghanistan,,91800,,@dokhtar_islam
73,Hejro To,304400,,Afghanistan,,91300,,@hejro_afghan75
74,Ataulahafghan☝️🇦🇫,303800,,Afghanistan,,91100,,@ataualahafghan1
75,Abadullah Niazi,296600,,Afghanistan,,89000,,@abadullah_niazi
76,naz,295200,,Afghanistan,,88600,,@nazfarzana24
