rank,name,followers,er,country,topic_of_influence,potential_reach,unified_category,handle
1,Bindaas Tv - Funny Comedy Stories,3800000,,Afghanistan,,1100000,,@UCDgT3ji8WmI8SnoDobzqCHg
2,Azmir Recording,1500000,,Afghanistan,,456000,,@UCC0QJFYdd4Wa4_4hlDlYF_g
3,MBC5,1400000,,Afghanistan,,414000,,@UCVad7F4_ZuILXyBsBj-WEnQ
4,BARONE LOVE FUNK,972000,0.4,Afghanistan,,291600,,@UC9G7A5Dhfa5f3_xVJqqQDjA
5,India's Funniest Videos,802000,,Afghanistan,,240600,,@UCt3g98Qvlv7diKWcJy6QR1A
6,LemarTV,767000,,Afghanistan,,230100,,@UC4TjjoiklE7zMJPN7jEqJGw
7,كومه دي,648000,0.2,Afghanistan,,194400,,@UCp6tqIJG9dQs2jAaBKQqH_A
8,Wins/Fails Videos,551000,,Afghanistan,,165300,,@UCdUgq5_GUWyssgoEOMo_rHw
9,Shabake Khanda,412000,,Afghanistan,,123600,,@UCvF0dhWBERzD6YH296cOVFw
10,LEMBRANÇAS MUSICAIS,337000,,Afghanistan,,101100,,@UCBFKMv7Y-gjdm0GMi_ql1gA
11,moiegy,336000,,Afghanistan,,100800,,@UCWUJwemS3xkwrpkW80vQcFg
12,SL Sanda,324000,,Afghanistan,,97200,,@UCP0c5BYBtfVJ4qJUEYn9pEA
13,DeadLine Music,289000,0.9,Afghanistan,,86700,,@UCZWwKCj8AZiYz6ZKtmxfQsw
14,Sahara Flash Official,286000,,Afghanistan,,85800,,@UCJK5_rc-flQfbvGeIRlP3-Q
15,Pashton Plus,217000,,Afghanistan,,65100,,@UCspIOkfGVZndGDJ7V2K1qPw
16,Watan Click,215000,,Afghanistan,,64500,,@UCaR9s_3Gw5und85Rw5zaf4w
17,Toot,183000,,Afghanistan,,54900,,@UCA4TrwbEMjhxOOFC8ho6vJA
18,Ro Dar Ro [Family Feud Afghanistan],182000,,Afghanistan,,54600,,@UCGRY8FcPNoRVvv-THQsa0Nw
19,Azadi Radio,169000,,Afghanistan,,50700,,@UCvpFmIw-T0BH8rn13CPfWlQ
20,KLionVEVO,149000,,Afghanistan,,44700,,@UCj70UXxfl2Fogw0OgRN-Wag
21,ullash icp,143000,,Afghanistan,,42900,,@UCTU5aTQxXABbC_rA4ZIDoFA
22,VOA Pashto,138000,,Afghanistan,,41400,,@UC6RAiJqLwCQgoedNP0a2qiw
23,TOP 5 DARI/دری,133000,,Afghanistan,,39900,,@UCULyRJJ806zvg4SFhqaF3QQ
24,Tembang Kenangan,124000,,Afghanistan,,37200,,@UCsPuvzcEB3Am7zZpqRdJeoQ
25,Project Runway,115000,0.2,Afghanistan,,34500,,@UCH88cPPLV-DUEvH2WXVV_QA
26,Bijoy Study,108000,,Afghanistan,,32400,,@UCDsGA2aP8u9SSWiZX1WvbRw
27,EL TIO RENTE,99600,,Afghanistan,,29900,,@UCGXyQUE1s31Qu7hksFiQDsw
28,Afghanistan Premier League,90000,,Afghanistan,,27000,,@UC7SVSIfie8pt1kgMjbUJ_vQ
29,VOA Dari,87000,,Afghanistan,,26100,,@UCx8nPzCzHi127J3CkMBrSYg
30,Donia Press,80600,,Afghanistan,,24200,,@UC8o0hJ5RPX6CFYJBtjcr2Eg
31,ARG1880,80100,,Afghanistan,,24000,,@UCF_fUrvSVJcLabN9XRRW8kw
32,Netflix Magyarország,79000,,Afghanistan,,23700,,@UCSvfcIsvn6be03soK4pw2XQ
33,J TECH,75100,,Afghanistan,Technology,22500,Tech/Gaming,@UC6nhC29o23pHqftZ-Jp406g
34,الآنسة فرح,59100,0.8,Afghanistan,,17700,,@UC12h3VrpkgVRt00h0N851dw
35,YorubaBest Tv,56600,,Afghanistan,,17000,,@UCrfVFZ6JyBtwIc67ncVbwIg
36,BUNDELKHAND HOME VIDEO,54500,,Afghanistan,,16400,,@UCjmSL3O8UjurtTs78khjZxg
37,Netflix Česká republika,51100,,Afghanistan,,15300,,@UCYanivSzoiXJcJ1MUOsKVkQ
38,Bhojpuri HD Movies,46600,,Afghanistan,,14000,,@UC78Uaz8qyo-y5pALAPAwKCQ
39,Abdullah Tenin,46200,,Afghanistan,,13900,,@UCYLociHwuiOP-5TeceJnSxw
40,LEGO Masters,44900,,Afghanistan,,13500,,@UCnGb5xbCV8OKgf-j58n8IoQ
41,Afghanistan TV,41900,,Afghanistan,,12600,,@UCM5scR56vViZ0pmavpYwXqg
42,Daily News Tech,41600,0.1,Afghanistan,,12500,,@UC6_T1FvlEwwmQTb_F_oGI0w
43,Good Oldies Song,39900,,Afghanistan,,12000,,@UCPkX_y0cMktPQ3GrT5RthwQ
44,Afghan Famous,38800,,Afghanistan,,11600,,@UCv27l1NCVWRHUj4hJbGIH-w
45,heratsoftware,36700,,Afghanistan,,11000,,@UCWMx4MFO4gWlH4dYmlrT0Yg
46,AK47,36400,1.7,Afghanistan,,10900,,@UC9mkpqIWie0Dw1nqZ7S_wAg
47,Angel & Vario,36400,0.3,Afghanistan,,10900,,@UCjWSgRIsTxMTpEOb3CsKn9g
48,Kabulnews TV,34400,,Afghanistan,,10300,,@UCgMmFt7mWJ5Ue_hP_-VJG5A
49,Farid Bromand,32200,,Afghanistan,,9700,,@UCzcuLLpwY1M-sanWjtBfeZQ
50,Indian Express Bangla,27100,,Afghanistan,,8100,,@UCpthbAb5DDRfcG68VMn6q0g
51,Phy RAk,26900,,Afghanistan,,8100,,@UCE1O7WsA0H8JSfx2Dbn9OMg
52,lil boosty,26200,0.4,Afghanistan,,7900,,@UChF-9hFpxxiKWNa6pM7Dc3A
53,Kabul Media Plus,25800,,Afghanistan,,7700,,@UCvk0ft9BGaTaXVEoreGVtCQ
54,DentalManiaK,25200,,Afghanistan,,7600,,@UCit_XEO1XMt0WlA_a5Y25ZA
55,Xolabaj TV2,25100,,Afghanistan,,7500,,@UCGTHibrua-lSpcpGgyBCE9Q
