#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,category_unified,if_exist
1,Khabane lame @khaby.lame,161.9M,0.2%,Italy,Funny Entertainment and Music,48.6M,Entertainment,1
2,Bella Poarch @bellapoarch,92.6M,0.8%,United States,,27.8M,,0
3,Addison Rae @addisonre,88.5M,1%,United States,Beauty and Self Care,26.6M,Beauty/Fashion,1
4,MrBeast @mrbeast,85.4M,4%,,Entertainment and Music,25.6M,Entertainment,1
5,Zach King @zachking,78.1M,2.9%,United States,Entertainment and Music,23.4M,Entertainment,1
6,Kimberly Loaiza @kimberly.loaiza,76.1M,1.6%,Mexico,,22.8M,,0
7,The Rock @therock,74.2M,0.9%,United States,Entertainment and Music Fitness and Health Business and Finance,22.3M,Sports,1
8,Will Smith @willsmith,74.1M,0.7%,United States,,22.2M,,0
9,cznburak @cznburak,72M,0.2%,,,21.6M,,0
10,Jason Derulo @jasonderulo,58.9M,0.4%,United States,Entertainment and Music,17.7M,Entertainment,1
11,Kylie Jenner @kyliejenner,56M,3.2%,United States,Beauty and Self Care Fashion and Accessories,16.8M,Beauty/Fashion,1
12,Karol G @karolg,51.9M,3.8%,Colombia,Entertainment and Music,15.6M,Entertainment,1
13,Michael Le @justmaiko,51.4M,-,Vietnam,,15.4M,,0
14,BTS @bts_official_bighit,51M,1%,,Entertainment and Music,15.3M,Entertainment,1
15,BILLIE EILISH @billieeilish,51M,-,,,15.3M,,0
16,JoJo Siwa @itsjojosiwa,45.6M,0.3%,United States,Entertainment and Music,13.7M,Entertainment,1
17,ESPN @espn,44M,-,,Entertainment and Music,13.2M,Entertainment,1
18,Junya/じゅんや @junya1gou,42.8M,-,,,12.8M,,0
19,ХОМЯК @homm9k,42.1M,-,,Fashion and Accessories,12.6M,Beauty/Fashion,1
20,XO Team @xoteam,41.4M,-,,Entertainment and Music,12.4M,Entertainment,1
21,ROD🫠 @elrodcontreras,41.1M,-,,Entertainment and Music,12.3M,Entertainment,1
22,Joe @joealbanese,40.8M,-,,family Entertainment and Music,12.2M,Entertainment,1
23,Gordon Ramsay @gordonramsayofficial,40M,1.1%,United Kingdom,Food,12M,Lifestyle,1
24,Carlos Feria @carlosferiag,39.2M,-,,,11.8M,,0
25,ondy mikula @ondymikula,38.8M,-,,,11.6M,,0
26,Scott 🔥 @scottsreality,38.4M,0.2%,,Entertainment and Music,11.5M,Entertainment,1
27,Shakira @shakira,38.2M,2%,,,11.5M,,0
28,Barstool Sports @barstoolsports,36.9M,0.1%,United States,Entertainment and Music Sports,11.1M,Sports,1
29,James Charles @jamescharles,36.2M,-,United States,Beauty and Self Care Arts and Crafts,10.9M,Beauty/Fashion,1
30,kyle thomas 🌿 @kylethomas,35.4M,0.1%,,,10.6M,,0
31,Q Park @qpark,35.2M,-,,,10.6M,,0
32,GIL CROES @gilmhercroes,35.1M,-,,Entertainment and Music,10.5M,Entertainment,1
33,Kevin Hart @imkevinhart,34.8M,1.7%,United States,Entertainment and Music,10.4M,Entertainment,1
34,Kirya Kolesnikov @thekiryalife,34.7M,-,,Entertainment and Music Funny,10.4M,Entertainment,1
35,arianagrande @arianagrande,34.4M,-,,Entertainment and Music,10.3M,Entertainment,1
36,Pongámoslo a Prueba @pongamoslo_a_prueba,34.2M,-,,,10.3M,,0
37,ThatLittlePuff @thatlittlepuff,33.5M,0.6%,,Pets,10.1M,Lifestyle,1
38,Montpantoja @montpantoja,33.3M,-,,,10M,,0
39,Devon Rodriguez @devonrodriguezart,32.1M,0.2%,United States,Arts and Crafts Education Upskilling,9.6M,Info/Business,1
40,Bad Bunny @badbunny,31.8M,18.4%,Puerto Rico,,9.5M,,0
41,Brooke Monk @brookemonk_,31.7M,2.1%,United States,Entertainment and Music Funny,9.5M,Entertainment,1
42,Indi skovar @indiskovar3.0,31.6M,0.4%,,Entertainment and Music,9.5M,Entertainment,1
43,Lele Pons @lelepons,31.5M,0.9%,United States,,9.5M,,0
44,Stokes Twins @stokestwins,31.2M,-,United States,Entertainment and Music,9.4M,Entertainment,1
45,Kira Kosarin @kirakosarin,31.1M,0.7%,,Entertainment and Music,9.3M,Entertainment,1
46,La Rosalia @rosalia,30.9M,-,Spain,,9.3M,,0
47,Alejandro Nieto @soybans,30.4M,-,Colombia,,9.1M,,0
48,Michel Chavez @its.michhh,30.2M,-,Mexico,,9.1M,,0
49,Liza Koshy @lizzza,30.2M,-,United States,,9.1M,,0
50,beca @beca,29.2M,1%,Brazil,Travel,8.8M,Lifestyle,1
51,Topper Guild @topperguild,29M,-,United States,Entertainment and Music Celebrity,8.7M,Entertainment,1
52,Ignacia Antonia👑 @ignaciaa_antonia,28.2M,-,Chile,Beauty and Self Care,8.5M,Beauty/Fashion,1
53,Camilo @camilo,28M,-,,Entertainment and Music,8.4M,Entertainment,1
54,Daniel Ibarra @juandaniel.ibarra,27.6M,-,,Entertainment and Music,8.3M,Entertainment,1
55,시아지우 sia_jiwoo @sia_jiwoo,27.5M,0.2%,South Korea,,8.3M,,0
56,Lexi Rivera @lexibrookerivera,27.1M,4.5%,,,8.1M,,0
57,KEEMOKAZI @keemokazi,27M,-,,Entertainment and Music,8.1M,Entertainment,1
58,psg @psg,26.7M,-,,Sports,8M,Sports,1
59,JeisonGiraldo @jeison_giraldo,26.3M,-,,family Romance and Wedding,7.9M,Lifestyle,1
60,JeanCarlo Leon @jashlem,26.3M,-,,,7.9M,,0
61,Jimena @jimena.jimenezr,26.1M,1.2%,,Funny,7.8M,Entertainment,1
62,Doja Cat @dojacat,26M,0.1%,United States,Entertainment and Music,7.8M,Entertainment,1
63,Bader Al Safar @baderalsafar,26M,-,Kuwait,Fashion and Accessories,7.8M,Beauty/Fashion,1
64,DAVID DOBRIK @daviddobrik,26M,-,United States,Entertainment and Music Funny,7.8M,Entertainment,1
65,LARRAY @larrayeeee,25.9M,-,,Entertainment and Music,7.8M,Entertainment,1
66,Era Ays @era_ays,25.9M,-,,,7.8M,,0
