handle_instagram,name_instagram,category_1,category_2,followers,audience_country,engagement_auth,engagement_avg
433,433,Sports with a ball,,48500000.0,Spain,383100.0,637000.0
__youngbae__,TAEYANG,Music,,12700000.0,Indonesia,478000.0,542300.0
_agentgirl_,НАСТЯ ИВЛЕЕВА,Shows,,18800000.0,Russia,310800.0,377900.0
_imyour_joy,Joy,Lifestyle,,13500000.0,Indonesia,1100000.0,1400000.0
_jeongjaehyun,Jaehyun,,,11100000.0,Indonesia,2500000.0,3100000.0
_mariahwasa,HWASA,,,7900000.0,Brazil,915100.0,1200000.0
_rl9,Robert Lewandowski,Sports with a ball,,25000000.0,Poland,588600.0,749000.0
_seorina,설인아 sᴇᴏʀɪɴᴀ,Lifestyle,Cinema & Actors/actresses,3000000.0,South Korea,803900.0,997800.0
_shotaroo_,SHOTARO ショウタロウ,,,4900000.0,Indonesia,860100.0,1100000.0
03_hu,박지후,,,4099999.9999999995,South Korea,711000.0,872600.0
21savage,,Music,,13200000.0,United States,263500.0,462000.0
333cyj333,Ars 🎗,Music,,6500000.0,Thailand,359300.0,427700.0
3gerardpique,Gerard Piqué,Sports with a ball,,19800000.0,Spain,446100.0,658800.0
50cent,50 Cent,Music,,27900000.0,United States,177500.0,283200.0
9gag,9GAG: Go Fun The World,Humor & Fun & Happiness,,58300000.0,Indonesia,214700.0,276900.0
abdevilliers17,AB de Villiers,Sports with a ball,Lifestyle,17200000.0,India,534000.0,615900.0
aboflah,AboFlah,Humor & Fun & Happiness,,7200000.0,Iraq,793400.0,949400.0
achrafhakimi,Achraf Hakimi,Sports with a ball,,8800000.0,Morocco,520000.0,764500.0
actorleeminho,이민호 leeminho,Cinema & Actors/actresses,,28900000.0,Indonesia,2800000.0,3700000.0
actorprabhas,Prabhas,,,8199999.999999999,India,482200.0,540200.0
actorsuriya,Suriya Sivakumar,,,4099999.9999999995,India,491300.0,637700.0
acunilicali,Acun Ilıcalı,Cinema & Actors/actresses,,13600000.0,Turkey,233800.0,286300.0
adamsandler,Adam Sandler,Cinema & Actors/actresses,,12700000.0,United States,395900.0,503900.0
addisonraee,,Beauty,,40500000.0,United States,1100000.0,1600000.0
adele,Adele,Music,,49700000.0,United States,2600000.0,3600000.0
adidasoriginals,adidas Originals,Clothing & Outfits,Shopping & Retail,34200000.0,United States,52400.0,71800.0
adinross,,,,2600000.0,United States,551100.0,1100000.0
aespa_official,aespa 에스파,,,8300000.000000001,Indonesia,1100000.0,1600000.0
agustd,SUGA of BTS 민윤기,,,31500000.0,,10900000.0,10900000.0
aishwaryaraibachchan_arb,AishwaryaRaiBachchan,Cinema & Actors/actresses,,10000000.0,India,247600.0,316500.0
aislinnderbez,𝔸 𝕀 𝕊 𝕃 𝕀 ℕ ℕ  𝕕 𝕖 𝕣 𝕓 𝕖 𝕫,Cinema & Actors/actresses,,12000000.0,Mexico,235700.0,295400.0
akshaykumar,Akshay Kumar,Cinema & Actors/actresses,,61100000.0,India,815300.0,971000.0
alejandrospeitzer,Alejandro Speitzer,Lifestyle,,5100000.0,Mexico,313300.0,488600.0
aleoliveiracm,Alê Oliveira,Humor & Fun & Happiness,,8300000.000000001,Brazil,235800.0,598400.0
alexademie,,,,10800000.0,United States,1200000.0,2100000.0
alexandradaddario,alexandra daddario,Cinema & Actors/actresses,,22400000.0,India,487900.0,596600.0
alexis_officia1,Sanchez Alexis,Sports with a ball,,13400000.0,Chile,185200.0,304800.0
alexisren,Alexis Ren,Lifestyle,,15800000.0,United States,102000.0,158100.0
alfinetei,Alfinetadas Dos Famosos 📌,Humor & Fun & Happiness,,21100000.0,Brazil,99500.0,223600.0
aliaabhatt,Alia Bhatt 🤍☀️,Cinema & Actors/actresses,,61800000.0,India,1200000.0,1500000.0
alidaei,Ali Daei,Sports with a ball,,8000000.0,Iran,555800.0,937000.0
aliiiiiiiikarimi8,Ali Karimi,Sports with a ball,,9100000.0,Iran,328700.0,495100.0
alishalehmann7,Alisha Lehmann,Sports with a ball,,6800000.0,Brazil,373800.0,705300.0
alluarjunonline,Allu Arjun,Cinema & Actors/actresses,,17600000.0,India,1600000.0,2000000.0
alok,Alok,Music,Art/Artists,27000000.0,Brazil,249600.0,319900.0
alvaromorata,Álvaro Morata,Sports with a ball,Literature & Journalism,16200000.0,Italy,113100.0,175200.0
alvaromorte,Álvaro Morte,Cinema & Actors/actresses,,12400000.0,India,244500.0,334700.0
alvxaro,ALVARO,Lifestyle,,9200000.0,Brazil,169600.0,424700.0
alwaysramcharan,Ram Charan,Lifestyle,Cinema & Actors/actresses,5600000.0,India,596800.0,668300.0
amadorat,N I C O L E   A M A D O 🐉,Fashion,Lifestyle,8100000.0,Mexico,505000.0,564400.0
amandacerny,Amanda 𝕮𝖊𝖗𝖓𝖞,Humor & Fun & Happiness,,24100000.0,India,112900.0,180600.0
amandamanopo,,Modeling,Beauty,15200000.0,Indonesia,189600.0,250500.0
amarantavp,A M A 🤍,,,4900000.0,Mexico,483800.0,605600.0
amauryguichon,Amaury Guichon,Food & Cooking,,6700000.0,United States,357300.0,435700.0
amitabhbachchan,Amitabh Bachchan,Cinema & Actors/actresses,,30000000.0,India,88500.0,103600.0
amybethmcnulty,AB Mcn,Lifestyle,Cinema & Actors/actresses,6300000.0,Brazil,561400.0,771300.0
ana_d_armas,A N A   D E   A R M A S,Cinema & Actors/actresses,Lifestyle,6100000.0,United States,543400.0,735300.0
ananyapanday,Ananya 💛💫,Cinema & Actors/actresses,,21900000.0,India,318200.0,371800.0
anasmarwah,Anas Marwah,Family,Shows,5500000.0,Iraq,431800.0,557500.0
andreavaldirisos,ANDREA VALDIRI 🇨🇴,Lifestyle,Beauty,7700000.0,Colombia,411300.0,584300.0
andresiniesta8,Andres Iniesta,Sports with a ball,,39000000.0,Spain,91500.0,132300.0
angela_aguilar_,Ángela Aguilar 🇲🇽,Lifestyle,,8199999.999999999,Mexico,285500.0,346000.0
angeldimariajm,Ángel Di María,Sports with a ball,,16300000.0,Argentina,294600.0,434100.0
angelinajolie,Angelina Jolie,,,12600000.0,Brazil,274600.0,456200.0
angelinajolie,Angelina Jolie,Lifestyle,,12600000.0,Brazil,274600.0,456100.0
angeliqueboyer,Angelique Boyer,Shows,Cinema & Actors/actresses,13900000.0,Brazil,247400.0,310600.0
angelrai07,Angel Rai :),Humor & Fun & Happiness,,14900000.0,India,462200.0,557400.0
anguscloud,Angus Cloud,,,8300000.000000001,United States,1300000.0,2100000.0
anitta,Anitta 🎤,Music,,61100000.0,Brazil,542800.0,1000000.0
anjimaxuofficially,Anjali Arora,Lifestyle,,11100000.0,India,173300.0,221200.0
annakendrick47,Anna Kendrick,Cinema & Actors/actresses,,20300000.0,United States,210000.0,274200.0
annecurtissmith,Anne Curtis,Music,Cinema & Actors/actresses,17800000.0,Philippines,134700.0,152300.0
annehathaway,Anne Hathaway,Cinema & Actors/actresses,,22600000.0,United States,704300.0,928400.0
annemarie,ANNE-MARIE,Shows,Music,9200000.0,India,242500.0,339600.0
ansufati,Ansu Fati,Sports with a ball,,8000000.0,Spain,475200.0,721000.0
anthonyjoshua,Throwback Fighter 🧠,Fitness & Gym,,13600000.0,United Kingdom,142000.0,192800.0
antogriezmann,Antoine Griezmann,Sports with a ball,,35500000.0,Spain,205300.0,329600.0
antonelaroccuzzo,Antonela Roccuzzo,Modeling,Family,19000000.0,Argentina,970700.0,1600000.0
anuel,“REAL HASTA LA MUERTE”,Music,,27900000.0,Spain,586000.0,892100.0
anupamaparameswaran96,Anupama Parameswaran,Cinema & Actors/actresses,,11400000.0,India,510400.0,583300.0
anushkasen0408,Anushka Sen,Cinema & Actors/actresses,,34500000.0,India,379100.0,443800.0
anushkasharma,AnushkaSharma1588,Cinema & Actors/actresses,,57500000.0,India,1100000.0,1300000.0
anyageraldine,anya geraldine,Music,,10700000.0,Indonesia,182300.0,305200.0
anyataylorjoy,Anya Taylor-Joy,,,8800000.0,United States,679600.0,979900.0
aoc,Alexandria Ocasio-Cortez,,,8500000.0,United States,290100.0,363000.0
apple,apple,Computers & Gadgets,Photography,27400000.0,India,83400.0,111200.0
araikgalstyanmoscowschool,ＡＲＡＩＫ  ＧＡＬＳＴＹＡＮ®️,Beauty,,13000000.0,Turkey,323000.0,416700.0
arianagrande,Ariana Grande,Music,,302300000.0,United States,2900000.0,4099999.9999999995
arigameplays,ARIGAMEPLAYS,,,9700000.0,Mexico,900600.0,1100000.0
arishfakhan138,Sayyed Arishfa Khan 💎,Cinema & Actors/actresses,,28000000.0,India,183100.0,221400.0
arminzareeiofficial,Armin Zareei,,,9500000.0,Iran,178500.0,286100.0
aron.piper,ARON🌜🌞,Music,Lifestyle,13900000.0,Brazil,273100.0,515600.0
arsenal,Arsenal Official,Sports with a ball,,21500000.0,United Kingdom,79900.0,120000.0
arthuraguiar,Arthur Aguiar,Music,Cinema & Actors/actresses,12700000.0,Brazil,104100.0,236800.0
asalamaleh,Asala Maleh,Shows,,6600000.0,Iraq,415900.0,514500.0
asaprocky,GRIM,Music,,14600000.0,United States,383600.0,641700.0
ashishchanchlani,Ashish Chanchlani,Cinema & Actors/actresses,,13300000.0,India,832600.0,1000000.0
ashleybenson,Ashley Benson,Modeling,,22400000.0,Brazil,101000.0,144300.0
ashleygraham,A S H L E Y  G R A H A M,Modeling,,17200000.0,United States,392700.0,519500.0
aslisona,Sonakshi Sinha,Cinema & Actors/actresses,Lifestyle,21400000.0,India,110200.0,134100.0
ateez_official_,ATEEZ(에이티즈),Music,,6300000.0,United States,410900.0,472100.0
attahalilintar,Atta Halilintar - PAPATA,Art/Artists,Shows,23100000.0,Indonesia,140200.0,192300.0
auba,Pierre-Emerick Aubameyang,Sports with a ball,,12000000.0,United Kingdom,379300.0,602100.0
