rank,handle_instagram,name_instagram,followers,audience_country,engagement_auth,engagement_avg,category_1,category_2
1,cristiano,Cristiano Ronaldo,477900000.0,India,5000000.0,6200000.0,Sports with a ball,
2,kyliejenner,Kylie 🤍,368100000.0,United States,3500000.0,5500000.0,Fashion,Modeling
3,arianagrande,Ariana Grande,329600000.0,United States,2900000.0,4000000.0,,
4,leomessi,Leo Messi,358600000.0,Indonesia,2700000.0,3500000.0,Sports with a ball,Family
5,zendaya,Zendaya,151100000.0,United States,4300000.0,5800000.0,Cinema & Actors/actresses,Fashion
6,selenagomez,Selena Gomez,344200000.0,United States,1800000.0,2400000.0,Lifestyle,
7,taylorswift,Taylor Swift,223500000.0,Brazil,2500000.0,3300000.0,,
8,thv,V,50800000.0,South Korea,12700000.0,12700000.0,,
9,virat.kohli,Virat Kohli,212600000.0,India,2600000.0,2900000.0,Sports with a ball,
10,beyonce,Beyoncé,274100000.0,United States,1500000.0,2100000.0,Fashion,
11,kimkardashian,Kim Kardashian,329800000.0,United States,1200000.0,1600000.0,Fashion,Beauty
12,tomholland2013,Tom Holland,68000000.0,United States,6300000.0,7700000.0,Cinema & Actors/actresses,
13,j.m,JIMIN,43500000.0,South Korea,11600000.0,11600000.0,,
14,billieeilish,BILLIE EILISH,106200000.0,United States,3500000.0,4600000.0,,
15,lalalalisa_m,LISA,81700000.0,Indonesia,5000000.0,5800000.0,,
16,justinbieber,Justin Bieber,256300000.0,Brazil,1300000.0,1800000.0,,
17,neymarjr,NJ 🇧🇷,178100000.0,Brazil,1500000.0,2200000.0,Sports with a ball,
18,agustd,SUGA of BTS 민윤기,38300000.0,South Korea,9900000.0,9900000.0,Lifestyle,
19,sooyaaa__,JISOO🤍,63800000.0,Indonesia,4900000.0,5600000.0,Beauty,
20,jin,Jin of BTS,39500000.0,United States,8800000.0,8800000.0,,
21,kendalljenner,Kendall,255400000.0,United States,852000.0,1300000.0,Modeling,Fashion
22,karolg,KAROL G,56200000.0,Mexico,5000000.0,6100000.0,,
23,kourtneykardash,Kourtney Kardashian Barker,196400000.0,United States,1200000.0,1700000.0,Lifestyle,
24,khaby00,Khaby Lame,79300000.0,India,2800000.0,3900000.0,Sports with a ball,
25,uarmyhope,jhope,39400000.0,South Korea,7800000.0,7800000.0,,
26,jennierubyjane,J,69800000.0,Indonesia,3700000.0,4400000.0,,
27,roses_are_rosie,ROSÉ,62700000.0,Indonesia,3700000.0,4300000.0,,
28,badbunnypr,,42800000.0,United States,3600000.0,5600000.0,,
29,milliebobbybrown,Millie Bobby Brown,58400000.0,Brazil,3100000.0,4000000.0,Cinema & Actors/actresses,
30,jlo,Jennifer Lopez,220900000.0,United States,830400.0,1100000.0,Cinema & Actors/actresses,
31,zayn,Zayn Malik,47000000.0,India,3100000.0,4900000.0,,
32,rkive,RM,37800000.0,,5900000.0,5900000.0,Lifestyle,
33,instagram,Instagram,546600000.0,India,285400.0,356600.0,Photography,
34,bts.bighitofficial,BTS official,67500000.0,Indonesia,2500000.0,2700000.0,,
35,iamcardib,Cardi B,140400000.0,United States,893800.0,1300000.0,Fashion,
36,jungkook.97,전 정국 이올시다,45800000.0,,3800000.0,3800000.0,,
37,champagnepapi,champagnepapi,120200000.0,United States,877000.0,1400000.0,,
38,therock,Dwayne Johnson,335900000.0,India,375200.0,477500.0,Cinema & Actors/actresses,Fitness & Gym
39,nickiminaj,Barbie,201800000.0,United States,486100.0,765500.0,,
40,narendramodi,Narendra Modi,69300000.0,India,1800000.0,2000000.0,Finance & Economics,Business & Careers
41,kingjames,👑,131500000.0,United States,618300.0,1100000.0,Sports with a ball,
42,khloekardashian,Khloé Kardashian,268399999.99999997,United States,403100.0,499300.0,Clothing & Outfits,Lifestyle
43,dualipa,DUA LIPA,86300000.0,United States,1200000.0,1500000.0,,
44,willsmith,Will Smith,63700000.0,United States,1600000.0,1900000.0,Cinema & Actors/actresses,
45,shawnmendes,Shawn Mendes,70200000.0,Brazil,1200000.0,1700000.0,,
46,eunwo.o_c,차은우,30200000.0,Indonesia,3200000.0,3900000.0,Lifestyle,
47,harrystyles,,47300000.0,United States,1700000.0,2300000.0,Fashion,
48,dlwlrma,이지금 IU,27600000.0,South Korea,3200000.0,3800000.0,,
49,actorleeminho,이민호 leeminho,30700000.0,Indonesia,2600000.0,3400000.0,Cinema & Actors/actresses,
50,noahschnapp,Noah Schnapp,27500000.0,Brazil,2800000.0,3700000.0,Cinema & Actors/actresses,
51,adele,Adele,50800000.0,United States,1400000.0,1900000.0,,
52,shraddhakapoor,Shraddha ✶,74400000.0,India,1100000.0,1300000.0,Cinema & Actors/actresses,
53,gigihadid,Gigi Hadid,75400000.0,United States,795500.0,1200000.0,Modeling,Lifestyle
54,oliviarodrigo,Olivia Rodrigo,27800000.0,India,2500000.0,3100000.0,Cinema & Actors/actresses,
55,georginagio,Georgina Rodríguez,39100000.0,India,1500000.0,2100000.0,Lifestyle,Fashion
56,katrinakaif,Katrina Kaif,66599999.99999999,India,1100000.0,1200000.0,Beauty,
57,haileybieber,Hailey Rhode Baldwin Bieber,47600000.0,United States,1300000.0,1700000.0,Lifestyle,Modeling
58,k.mbappe,Kylian Mbappé,72600000.0,France,797200.0,1100000.0,Sports with a ball,
59,blakelively,Blake Lively,35000000.0,United States,1500000.0,2300000.0,Cinema & Actors/actresses,
60,anushkasharma,AnushkaSharma1588,59700000.0,India,1200000.0,1300000.0,Cinema & Actors/actresses,
61,nasa,NASA,82300000.0,India,800400.0,961700.0,Science,Photography
62,handemiyy,Hande Erçel,28900000.0,Turkey,2100000.0,2700000.0,Cinema & Actors/actresses,
63,sadiesink_,Sadie Sink,24600000.0,Brazil,2200000.0,3100000.0,Modeling,Lifestyle
64,ester_exposito,Ester 🌙,29200000.0,Mexico,1700000.0,2500000.0,Cinema & Actors/actresses,
65,johnnydepp,Johnny Depp,27600000.0,India,1900000.0,2500000.0,Cinema & Actors/actresses,
66,chrishemsworth,Chris Hemsworth,56000000.0,India,929300.0,1200000.0,Cinema & Actors/actresses,
67,robertdowneyjr,Robert Downey Jr. Official,53400000.0,India,987500.0,1200000.0,Cinema & Actors/actresses,
68,jongsuk0206,이종석,23500000.0,Indonesia,2100000.0,2800000.0,Cinema & Actors/actresses,
69,karimbenzema,Karim Benzema,57100000.0,France,798600.0,1100000.0,Sports with a ball,
70,fcbarcelona,FC Barcelona,111900000.0,Indonesia,383800.0,585400.0,Sports with a ball,
71,charlidamelio,charli,49100000.0,United States,1100000.0,1300000.0,Lifestyle,Shows
72,camila_cabello,camila,65099999.99999999,Brazil,704300.0,956700.0,,
73,bn_sj2013,박서준,22700000.0,Indonesia,2200000.0,2600000.0,Cinema & Actors/actresses,Modeling
74,lelepons,Lele Pons,49400000.0,Mexico,759900.0,1200000.0,,
75,realmadrid,Real Madrid C.F.,124600000.0,Spain,324400.0,450700.0,Sports with a ball,
76,blackpinkofficial,BLΛƆKPIИK,49000000.0,Indonesia,907000.0,1100000.0,,
77,ddlovato,Demi Lovato,139200000.0,United States,302700.0,392000.0,,
78,gal_gadot,Gal Gadot,86400000.0,United States,485500.0,627300.0,Cinema & Actors/actresses,
79,dishapatani,disha patani (paatni) 🦋,53600000.0,India,802500.0,988000.0,Cinema & Actors/actresses,Lifestyle
80,niallhoran,Niall Horan,30500000.0,United States,1200000.0,1700000.0,,
81,rashmika_mandanna,Rashmika Mandanna,33100000.0,India,1300000.0,1600000.0,Beauty,Cinema & Actors/actresses
82,dojacat,Doja Cat,24200000.0,United States,1500000.0,2000000.0,,
83,dovecameron,DOVE,48300000.0,United States,767900.0,1000000.0,Cinema & Actors/actresses,
84,realstraykids,Stray Kids,22700000.0,Indonesia,1700000.0,2100000.0,,
85,beingsalmankhan,Salman Khan,53900000.0,India,690300.0,883400.0,Cinema & Actors/actresses,
86,ursulolita,Úrsula Corberó ✨,23700000.0,Brazil,1400000.0,2000000.0,Cinema & Actors/actresses,Modeling
87,paulodybala,Paulo Dybala,48600000.0,Argentina,583500.0,934000.0,Sports with a ball,
88,songkang_b,송강,14700000.0,Mexico,2200000.0,3000000.0,,
89,virginia,Virginia Fonseca Costa,39200000.0,Brazil,708400.0,1100000.0,Shows,Lifestyle
90,hardikpandya93,Hardik Himanshu Pandya,23000000.0,India,1500000.0,1900000.0,Sports with a ball,
91,jacksonwang852g7,Jackson Wang,30000000.0,China,1200000.0,1400000.0,,
92,zacefron,Zac Efron,54800000.0,United States,534400.0,774700.0,Cinema & Actors/actresses,
93,jacquelinef143,Jacqueline Fernandez,63000000.0,India,551400.0,672100.0,Cinema & Actors/actresses,
94,yawnzzn,YEONJUN,10700000.0,India,3000000.0,3900000.0,,
95,oohsehun,SEHUN,23200000.0,Indonesia,1500000.0,1800000.0,,
96,bellahadid,Bella 🦋,54600000.0,United States,474500.0,758900.0,Modeling,
97,kimberly.loaiza,KIM LOAIZA 🖤,35800000.0,Mexico,959200.0,1200000.0,Clothing & Outfits,Lifestyle
98,iamzlatanibrahimovic,Zlatan Ibrahimović,55400000.0,Italy,481000.0,740700.0,Sports with a ball,
99,chrisevans,Chris Evans,17700000.0,United States,1900000.0,2300000.0,Cinema & Actors/actresses,
100,maluma,MALUMA,62900000.0,Italy,413300.0,636900.0,,
101,aliaabhatt,Alia Bhatt 🤍☀️,69700000.0,India,452500.0,560000.0,Cinema & Actors/actresses,
102,tchalamet,Timothée Chalamet,17800000.0,United States,1300000.0,2200000.0,Cinema & Actors/actresses,
103,championsleague,UEFA Champions League,97600000.0,Brazil,285700.0,389300.0,Sports with a ball,
104,vindiesel,Vin Diesel,82700000.0,Brazil,353200.0,457400.0,Cinema & Actors/actresses,
105,anitta,Anitta 🎤,63200000.0,Brazil,316200.0,590400.0,,
106,kiaraaliaadvani,KIARA,25000000.0,India,1200000.0,1400000.0,Cinema & Actors/actresses,
107,shahidkapoor,Shahid Kapoor,35700000.0,India,858000.0,971600.0,Cinema & Actors/actresses,
108,davidbeckham,David Beckham,75100000.0,India,360500.0,462300.0,Family,Sports with a ball
109,finnwolfhardofficial,Finn Wolfhard,26300000.0,Brazil,1000000.0,1300000.0,Cinema & Actors/actresses,
110,mosalah,Mohamed Salah,52700000.0,Egypt,458800.0,650000.0,Sports with a ball,
111,priyankachopra,Priyanka,81800000.0,India,343400.0,417300.0,Cinema & Actors/actresses,
112,antonelaroccuzzo,Antonela Roccuzzo,20200000.0,Argentina,1000000.0,1700000.0,Modeling,Family
113,tyga,T-Raww,36500000.0,United States,628400.0,939200.0,,
114,hoooooyeony,Hoyeon,22900000.0,South Korea,1100000.0,1500000.0,Lifestyle,
115,lucas_xx444,LUCAS,11500000.0,Indonesia,2400000.0,3000000.0,,
116,mrbeast,MrBeast,19900000.0,United States,1200000.0,1700000.0,Shows,Humor & Fun & Happiness
117,jenniferaniston,Jennifer Aniston,40700000.0,Brazil,554900.0,805300.0,Cinema & Actors/actresses,
118,iamsrk,Shah Rukh Khan,30400000.0,India,863300.0,1100000.0,Cinema & Actors/actresses,
119,kritisanon,Kriti,50600000.0,India,547600.0,638300.0,Modeling,
120,chrisbrownofficial,BREEZY,119100000.0,United States,172000.0,268200.0,,
121,_rl9,Robert Lewandowski,29400000.0,Poland,844400.0,1100000.0,Sports with a ball,
122,deepikapadukone,Deepika Padukone,68800000.0,India,342000.0,446200.0,Cinema & Actors/actresses,
123,pewdiepie,PewDiePie,21800000.0,United States,1200000.0,1400000.0,Computers & Gadgets,
124,madelame,Madelaine Petsch,25200000.0,Russia,861200.0,1200000.0,Cinema & Actors/actresses,
125,ronaldinho,Ronaldo de Assis Moreira,67800000.0,Brazil,256200.0,445600.0,Sports with a ball,
126,alluarjunonline,Allu Arjun,19100000.0,India,1300000.0,1600000.0,Cinema & Actors/actresses,
127,rosalia.vt,LA ROSALÍA,21900000.0,Spain,1000000.0,1400000.0,,
128,emrata,Emily Ratajkowski,29600000.0,United States,629900.0,1000000.0,Modeling,
129,addisonraee,Addison Rae,40000000.0,United States,481000.0,742200.0,Beauty,
130,433,433,51600000.0,Spain,339400.0,563900.0,Sports with a ball,
131,katyperry,KATY PERRY,171200000.0,Brazil,130500.0,168300.0,,
132,_jeongjaehyun,Jaehyun,12400000.0,Indonesia,1900000.0,2300000.0,,
133,madisonbeer,Madison Beer,32400000.0,United States,588900.0,879500.0,,
134,marcelotwelve,Marcelo Vieira,58500000.0,Spain,325700.0,484200.0,Sports with a ball,
135,phs1116,박형식 / PARKHYUNGSIK,10500000.0,Indonesia,2200000.0,2700000.0,Business & Careers,
136,sergioramos,Sergio Ramos,53100000.0,Spain,344100.0,527400.0,Sports with a ball,
137,casemiro,Casemiro,17400000.0,Brazil,1100000.0,1600000.0,Sports with a ball,
138,emmachamberlain,emma chamberlain,16100000.000000002,United States,1100000.0,1700000.0,Lifestyle,Shows
139,luvadepedreiro,Iran Ferreira,18400000.0,Brazil,894200.0,1500000.0,Family,Sports with a ball
140,rohittt_09_,𝐑𝐨𝐡𝐢𝐭 𝐙𝐢𝐧𝐣𝐮𝐫𝐤𝐞 ~ 𝐫𝐞𝐚𝐜𝐭𝐢𝐨𝐧𝐛𝐨𝐢 💫,24100000.0,India,807500.0,1100000.0,Shows,Lifestyle
141,nike,Nike,235700000.0,United States,89700.0,116200.0,Fitness & Gym,Shopping & Retail
142,luisitocomunica,Luisillo El Pillo,32400000.0,Mexico,627100.0,828500.0,Humor & Fun & Happiness,Clothing & Outfits
143,miakhalifa,Mia K.,27700000.0,India,605500.0,968500.0,Fitness & Gym,Lifestyle
144,theweeknd,The Weeknd,42900000.0,United States,456600.0,618700.0,,
145,ladygaga,Lady Gaga,53300000.0,United States,351000.0,492300.0,Cinema & Actors/actresses,
146,varundvn,VarunDhawan,44100000.0,India,484000.0,589800.0,Cinema & Actors/actresses,
147,zefelipecantor,Zé,25000000.0,Brazil,591400.0,1000000.0,,
148,manchesterunited,Manchester United,60200000.0,United Kingdom,265600.0,425000.0,Sports with a ball,
149,sidhu_moosewala,Sidhu Moosewala (ਮੂਸੇ ਆਲਾ),11200000.0,India,2000000.0,2400000.0,Lifestyle,
150,thedeverakonda,Vijay Deverakonda,17500000.0,India,1200000.0,1400000.0,Cinema & Actors/actresses,
151,emilia_clarke,,27000000.0,India,733500.0,922200.0,Cinema & Actors/actresses,
152,elrubiuswtf,el rubius WTF,17300000.0,Mexico,1300000.0,1400000.0,Computers & Gadgets,
153,hegdepooja,Pooja Hegde,21300000.0,India,995700.0,1100000.0,Cinema & Actors/actresses,
154,vinijr,Vinicius Jr. ⚡️🇧🇷,22300000.0,Brazil,610100.0,1100000.0,Sports with a ball,Lifestyle
155,feliciathegoat,"Tyler, The Creator",13200000.0,United States,1100000.0,1800000.0,,
156,lewishamilton,Lewis Hamilton,29800000.0,Brazil,564500.0,810500.0,Racing Sports,
157,zidane,zidane,33700000.0,Spain,524200.00000000006,714000.0,Sports with a ball,
158,natgeo,National Geographic,238300000.0,United States,78800.0,100300.0,Nature & landscapes,Science
159,madelyncline,Maddie,12600000.0,United States,1300000.0,1900000.0,Cinema & Actors/actresses,
160,henrycavill,Henry Cavill,21700000.0,Brazil,897000.0,1100000.0,Cinema & Actors/actresses,
161,theestallion,Megan Thee Stallion,29800000.0,United States,451400.0,788200.0,,
162,saraalikhan95,Sara Ali Khan,41200000.0,India,459900.0,561200.0,Cinema & Actors/actresses,
163,jacobelordi,Jacob Elordi,13200000.0,Brazil,1100000.0,1700000.0,Cinema & Actors/actresses,
164,bizarrap,BZRP,14900000.0,Argentina,1300000.0,1500000.0,,
165,leedongwook_official,이동욱 (Official_Instagram),14800000.0,Indonesia,1200000.0,1600000.0,Cinema & Actors/actresses,
166,thenameisyash,Yash,11200000.0,India,1700000.0,2000000.0,Cinema & Actors/actresses,
167,hrithikroshan,Hrithik Roshan,43900000.0,India,407500.0,515700.00000000006,Cinema & Actors/actresses,
168,kapilsharma,Kapil Sharma,42600000.0,India,463900.0,528600.0,Cinema & Actors/actresses,Shows
169,shakira,Shakira,76200000.0,India,216500.0,296200.0,,
170,jichangwook,지창욱,21400000.0,Indonesia,828300.0,1100000.0,Cinema & Actors/actresses,
171,imhyoseop,안효섭,8900000.0,Indonesia,2200000.0,2500000.0,Lifestyle,
172,norafatehi,Nora Fatehi,42100000.0,India,424400.0,522299.99999999994,Cinema & Actors/actresses,Shows
173,cznburak,Burak Özdemir,40400000.0,Turkey,398900.0,541900.0,Food & Cooking,
174,na.jaemin0813,JAEMIN,10000000.0,Indonesia,1800000.0,2200000.0,,
175,paulpogba,Paul Labile Pogba,55300000.0,Brazil,218300.0,388600.0,Sports with a ball,
176,zkdlin,KAI,14200000.0,Indonesia,1200000.0,1500000.0,,
177,sabrinacarpenter,Sabrina Carpenter,27700000.0,Brazil,631400.0,775400.0,,
178,nehakakkar,Neha Kakkar (Mrs. Singh),70800000.0,India,259100.00000000003,302500.0,,
179,lanarhoades,Lana Rhoades,16600000.000000002,United States,771400.0,1300000.0,Lifestyle,Modeling
180,jannatzubair29,Jannat Zubair Rahmani,44100000.0,India,386700.0,471200.0,Cinema & Actors/actresses,
181,emmawatson,Emma Watson,67500000.0,United States,224300.0,306200.0,Literature & Journalism,Cinema & Actors/actresses
182,domelipa,domelipa,19800000.0,Mexico,850500.0,1000000.0,Lifestyle,
183,bbrightvc,bright,16100000.000000002,Indonesia,1000000.0,1300000.0,Cinema & Actors/actresses,
184,erling.haaland,Erling Braut Haaland,18300000.0,Brazil,722600.0,1100000.0,Lifestyle,Sports with a ball
185,strangerthingstv,Stranger Things Netflix,22600000.0,Brazil,649800.0,869600.0,Cinema & Actors/actresses,Shows
186,bambam1a,BamBam,16700000.0,Brazil,917300.0,1200000.0,,
187,vancityreynolds,Ryan Reynolds,45100000.0,United States,323400.0,425500.0,Cinema & Actors/actresses,
188,nina,Nina Dobrev,25900000.0,Brazil,512900.0,735400.0,Cinema & Actors/actresses,
189,iambeckyg,Becky G,33500000.0,Mexico,470300.0,566800.0,,
190,onyourm__ark,Mark,9300000.0,Indonesia,1700000.0,2100000.0,Lifestyle,
191,daddyyankee,Daddy Yankee,46000000.0,Argentina,296900.0,414000.0,,
192,jamesrodriguez10,James Rodríguez,49900000.0,Colombia,250000.0,380500.0,Sports with a ball,
193,kartikaaryan,KARTIK AARYAN,26000000.0,India,580400.0,721800.0,Cinema & Actors/actresses,
194,do0_nct,Doyoung,10500000.0,Indonesia,1300000.0,1700000.0,Lifestyle,
195,twicetagram,TWICE,26600000.0,Indonesia,564000.0,684300.0,Modeling,
196,m10_official,Mesut Özil,24200000.0,Turkey,539000.0,758100.0,Sports with a ball,
197,aurelie.hermansyah,Aurelie Hermansyah Atta,27100000.0,Indonesia,528200.0,666200.0,Beauty,
198,enhypen,ENHYPEN,10900000.0,Indonesia,1200000.0,1600000.0,Lifestyle,
199,loganpaul,Logan Paul,23800000.0,United States,548200.0,731000.0,Fitness & Gym,
200,momo,모모 (MOMO),8000000.0,Turkey,1500000.0,2200000.0,Lifestyle,
201,zachking,Zach King,24500000.0,Indonesia,455500.0,701700.0,Shows,Humor & Fun & Happiness
202,akshaykumar,Akshay Kumar,63100000.0,India,229800.0,273000.0,Cinema & Actors/actresses,
203,iamhalsey,halsey,30500000.0,United States,422700.0,556300.0,,
204,serna_amini,Serna Amini,9600000.0,Iran,1400000.0,1800000.0,,
205,nct,NCT Official Instagram,14600000.0,Indonesia,918300.0,1100000.0,,
206,kajalaggarwalofficial,Kajal A Kitchlu,23500000.0,India,583000.0,704600.0,Cinema & Actors/actresses,
207,tatawerneck,Tata Werneck,54100000.0,Brazil,197100.0,306000.0,Cinema & Actors/actresses,Family
208,angelrai07,Angel Rai :),22500000.0,India,591400.0,712500.0,Cinema & Actors/actresses,
209,brentrivera,Brent Rivera,22300000.0,United States,556000.0,721700.0,Cinema & Actors/actresses,
210,taeyeon_ss,TaeYeon,18800000.0,South Korea,696600.0,847100.0,,
211,louist91,Louis Tomlinson,18500000.0,Brazil,636600.0,870900.0,,
212,itzy.all.in.us,ITZY,17900000.0,Indonesia,714500.0,873700.0,,
