handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg
___nicoichi___,NICO【平成フラミンゴ】,1300000.0,1900000.0,225300.0,1700.0,1100.0
_.anime.edits_0,video,97000.0,1700000.0,75600.0,1500.0,8700.0
_.respect.boss._,Respect compilation 🤝🥶,1500000.0,4400000.0,241900.0,249.0,797.0
_.the.meme.hub._,RANDOM MEMES,2300000.0,3800000.0,787700.0,2900.0,9000.0
_andrewcurtiss,Andrew Curtis,2500000.0,1400000.0,300400.0,5800.0,4000.0
_emil_official,EMİL❤️,600900.0,2500000.0,61900.0,1200.0,9500.0
_ikyikyyy,ikyikyyy,3100000.0,1500000.0,185300.0,1500.0,1600.0
_jennifernierva,Jennifer Nierva,1000000.0,2400000.0,321100.0,1900.0,1000.0
_mister_z,Marco Zedda,4900000.0,2300000.0,407300.0,3200.0,3000.0
_nch04,𝐍𝐠𝐮𝐲𝐞̂̃𝐧 𝐇𝐚̉𝐢,4900000.0,3900000.0,235300.0,1300.0,1200.0
_space.draws_,Space Draws,2600000.0,2000000.0,227100.0,1600.0,817.0
_subtitulos_,KUWTK,92800.0,3400000.0,432700.0,960.0,690.0
_surya_editz_,😈,551200.0,3500000.0,330600.0,1100.0,2100.0
_xochitl.gomez,Xóchitl Gómez,4400000.0,6100000.0,1100000.0,9.0,3400.0
_xsyalisx_,Nya uwu xd,144300.0,1800000.0,347500.0,2400.0,2700.0
.jmwalton,𝙅 ⚡️,1200000.0,3400000.0,667000.0,15300.0,5600.0
1642l4,عطوي خانته سود الليالي,15000.0,1300000.0,64200.0,2800.0,13600.0
1asos,اسراء فرج,3500000.0,2500000.0,174300.0,1200.0,1400.0
230.s,نصائح واخبار فيفا.,13600.0,2200000.0,159200.0,1500.0,1300.0
42psy42,PSY,3900000.0,2500000.0,417800.0,2200.0,1200.0
4q2y,دنوو,1500000.0,1700000.0,140200.0,3600.0,1200.0
7uss.n,حسين الحريبي🌻,1500000.0,2200000.0,225500.0,2200.0,2500.0
aachoyy,chaa ˚◞♡,494900.0,2400000.0,356200.0,2400.0,519.0
abba,ABBA,2500000.0,10100000.0,2000000.0,7600.0,8000.0
abbieherbert,AbbieHerbert,13200000.0,4200000.0,557000.0,1400.0,959.0
abir.sag,Abir e sag,12700000.0,3900000.0,302800.0,2100.0,2100.0
aboody_kareem,عبودي كريم,7200000.0,1500000.0,167700.0,2600.0,1500.0
actressbecc,Becca Bastos,1400000.0,745200.0,207400.0,1500.0,3700.0
actually.average,Reed,1200000.0,1100000.0,320900.0,4000.0,3000.0
adammilardovicc,Adammilardovic,8100000.0,2200000.0,184800.0,1600.0,943.0
adamsilvera,Adam Silvera,93700.0,2200000.0,616300.0,6000.0,4600.0
addisonre,Addison Rae,88000000.0,7500000.0,704300.0,4300.0,2000.0
adi.syahreza,Adi Syahreza,7000000.0,2200000.0,278700.0,1900.0,1800.0
adrianbliss,Adrian Bliss,6000000.0,3000000.0,479000.0,1500.0,4800.0
adrilatinatv,adrilatinatv,25600000.0,3100000.0,243400.0,1500.0,190.0
