handle_tiktok,name_tiktok,followers,views_avg,likes_avg,comments_avg,shares_avg
ekin.721,MOMO’s,221700.0,26000000.0,2800000.0,29400.0,116400.0
dojacat,Doja Cat,22200000.0,25400000.0,5000000.0,36700.0,46800.0
kiet.ac.quy,Kiệt Ắk Wỷ,2100000.0,20700000.0,3500000.0,38800.0,33900.0
charlidamelio,charli d’amelio,135400000.0,18700000.0,2600000.0,54700.0,35200.0
luvadepedreiro,Iran Ferreira (Lai),11400000.0,24800000.0,2600000.0,32700.000000000004,26800.0
badbunny,Bad Bunny,16100000.000000002,17600000.0,4000000.0,28000.0,26200.0
khaby.lame,Khabane lame,135200000.0,17700000.0,2300000.0,18000.0,11200.0
leomahalo,Leo Mahalo,6800000.0,19000000.0,2200000.0,11800.0,14400.0
swagboygorringe,Daniel Gorringe,5600000.0,9900000.0,1800000.0,25300.0,35900.0
jennmelon,Jenn Melon,2000000.0,11000000.0,2300000.0,15100.0,24500.0
jounggustav,Joung Gustav,1900000.0,16399999.999999998,2200000.0,9900.0,13400.0
txt.bighitent,TOMORROW X TOGETHER,16200000.0,7700000.0,1800000.0,33200.0,12200.0
pongamoslo_a_prueba,Pongámoslo a Prueba,30400000.0,16000000.0,2500000.0,6300.0,7300.0
bdylanhollis,B. Dylan Hollis,7600000.0,8600000.0,1600000.0,11500.0,20000.0
lyczak,👑Łyczuu👑,1500000.0,11800000.0,1400000.0,16100.000000000002,8600.0
juandamc,JuanDa.,17100000.0,7500000.0,1700000.0,9100.0,19500.0
lifeinanimati0n,A <3,745200.0,6200000.0,1100000.0,8800.0,40200.0
zlusha,Zlusha,2000000.0,7200000.0,1100000.0,12900.0,29500.0
amauryguichon,Amaury Guichon,5400000.0,11000000.0,1600000.0,5800.0,13300.0
eupereiraoficial,Eu Pereira,4600000.0,12200000.0,1200000.0,5700.0,11500.0
druskitv,DRUSKI,3200000.0,6400000.0,1200000.0,7700.0,25900.0
adrianbliss,Adrian Bliss,5200000.0,7700000.0,1500000.0,5400.0,16000.0
kimberly.loaiza,Kimberly Loaiza,61000000.0,9900000.0,1300000.0,14100.0,4500.0
deborahyowa,Deborah yowa,10300000.0,12600000.0,688700.0,17000.0,9100.0
nekoglai,Николай,9400000.0,8500000.0,982300.0,22500.0,4400.0
domelipa,Dominik,50700000.0,7900000.0,1200000.0,17300.0,6200.0
diego.cr_,Diego Rodríguez,238100.0,9100000.0,845000.0,9100.0,19500.0
addisonre,Addison Rae,87300000.0,9300000.0,1200000.0,13400.0,5900.0
mastertingus,mastertingus,1500000.0,4200000.0,859200.0,25100.0,33800.0
santandave,Santan,1100000.0,6200000.0,1000000.0,21300.0,12000.0
machinegunkelly,Colson,3400000.0,10800000.0,822600.0,13700.0,9000.0
bellapoarch,Bella Poarch,88500000.0,11100000.0,1000000.0,14300.0,1600.0
daddyyankee,daddyyankee,10400000.0,6000000.0,696300.0,18100.0,20600.0
official_nct,NCT Official,7300000.0,3200000.0,1200000.0,23100.0,17600.0
zeth,Zeth,10800000.0,6600000.0,1300000.0,4100.0,12800.0
larrayeeee,LARRAY,25600000.0,5400000.0,1200000.0,17600.0,4100.0
mrbeast,MrBeast,34700000.0,6800000.0,1100000.0,16100.000000000002,1500.0
jypestraykids,Stray Kids,10800000.0,2900000.0,1100000.0,27600.0,12000.0
iamferv,Fernanda,26100000.0,7800000.0,1100000.0,10300.0,3800.0
nicocaponecomedy,nicocapone.comedy,20300000.0,11800000.0,691800.0,3900.0,10200.0
honeybobabear,HoneyBobaBear,7800000.0,10100000.0,1400000.0,5000.0,2400.0
masondenverr,mason,2000000.0,4400000.0,1200000.0,7300.0,11300.0
nicoletv,Kayla Nicole,10200000.0,6100000.0,999300.0,4900.0,10000.0
aquajock_h2bro,JæBæ,509700.0,5400000.0,966400.0,5400.0,10600.0
terryreloaded,Terry Reloaded,3900000.0,4900000.0,1000000.0,6300.0,10200.0
soysuco,soysuco,9600000.0,6300000.0,999500.0,11100.0,2000.0
itzyofficial,ITZY,7300000.0,4700000.0,1200000.0,10400.0,3600.0
oldtimehawkey,Old Time Hawkey,5100000.0,4800000.0,831600.0,11000.0,7000.0
missionaryjack,Jack Harlow,3300000.0,8300000.000000001,837000.0,4900.0,5500.0
conormaynard,Conor Maynard,6200000.0,5800000.0,794300.0,8900.0,6600.0
conormaynard,Conor Maynard,6200000.0,5800000.0,794300.0,8900.0,6600.0
itssassagurl,Sassa Gurl,5300000.0,6000000.0,969600.0,6200.0,6000.0
terryreloaded,Terry Reloaded,4000000.0,4400000.0,955300.0,6200.0,9400.0
jimmydarts,Jimmy Darts,8100000.0,5300000.0,893400.0,10300.0,2900.0
alshad95,Alshad Ahmad,1600000.0,7300000.0,761900.0,6200.0,5000.0
bayashi.tiktok,バヤシ🥑Bayashi,24100000.0,7700000.0,958000.0,5800.0,2500.0
rosalia,La Rosalia,18300000.0,9800000.0,978500.0,3800.0,2300.0
daniel.labelle,Daniel LaBelle,25500000.0,4600000.0,754900.0,5500.0,11800.0
masonmount,Mason Mount,2800000.0,4800000.0,806900.0,9900.0,5100.0
theandrewschulz,Andrew Schulz,3000000.0,4000000.0,602200.0,2200.0,21600.0
activesufi,activesufi,364600.0,13800000.0,1100000.0,2200.0,1500.0
hayleygeorgiamorris,Hayley Morris,2900000.0,4600000.0,586900.0,1900.0,18400.0
lilnasx,lil nas x,27700000.0,5700000.0,804600.0,9000.0,3000.0
willsmith,Will Smith,67400000.0,6900000.0,658500.0,10000.0,2000.0
clarissaperezlara,Clari,129500.0,3900000.0,370000.0,2700.0,34200.0
spriteder_spd,Prite Netijen Netirattanapaiboon,2700000.0,8000000.0,924800.0,3700.0,3500.0
paytonking,Payton King,5100000.0,2800000.0,685400.0,11800.0,15800.0
lexibrookerivera,Lexi Rivera,21100000.0,7000000.0,937400.0,6200.0,1900.0
snoopdogg,Snoop Dogg,19700000.0,7400000.0,647200.0,6600.0,4300.0
tuckerbudzyn,tuckerbudzyn,10100000.0,4000000.0,638600.0,3300.0,16700.0
jaykindafunny8,Jaykindafunny,23300000.0,9600000.0,685700.0,2400.0,5200.0
solsito.pe,Solsito.pe,80200.0,3500000.0,503100.0,10600.0,17800.0
jake2r,"Jake2r, Ph.D.",2100000.0,2800000.0,739600.0,5200.0,17100.0
thejoeyswoll,Joey Swoll,2400000.0,5300000.0,804500.0,8400.0,2500.0
kallmekris,Kris HC,43300000.0,5400000.0,988000.0,5500.0,3100.0
jdpantoja,JD Pantoja,26800000.0,4800000.0,942200.0,8700.0,1300.0
