#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Pearl Thusi @pearlthusi,93.6K,0.63%,Afghanistan,Entertainment & Music,28.1K
2,Moe Shalizi @shalizi,21K,1.48%,Afghanistan,Entertainment & Music,6.3K
3,TOLOnews Official @tolonewsofficial,14.3K,0.07%,Afghanistan,News & Politics,4.3K
4,"Dr Nadine Hosny El Said, PhD. @nounamoz",7.1K,0.05%,Afghanistan,Fitness & Health Dance Education,2.1K
5,Ali Abdelaziz @aliabdelaziz000,5.9K,0.25%,Afghanistan,Fitness & Health Outdoor Activity Sports,1.8K
6,Afghanistan International @afintl.tv,5.8K,-,Afghanistan,Education Entertainment & Music,1.7K
7,Yeldah یلدا | 🇦🇫🇨🇦 @beautiful.bibliophile,4.5K,0.48%,Afghanistan,Arts & Crafts Education Travel Food,1.4K
8,خالد صافي Khaled Safi @khaledsafi,4K,0.24%,Afghanistan,Education Finance Life & Society,1.2K
9,Mansoor Abdullatif @sangeema74,3.9K,0.11%,Afghanistan,Life & Society,1.2K
10,Afghanistan_You_Never_See 🇦🇫 @afghanistan_you_never_see,3.3K,0.27%,Afghanistan,Nature,999
11,Didi Beauty Co. @didibeautyco,3.2K,0.18%,Afghanistan,Beauty & Self Care Product Showcase,945
12,Ayeda Shadab @ayeda.shadab,2.4K,4.33%,Afghanistan,Fashion & Accessories Business,705
13,Delpiero Salazar @delpierosalazar,2.2K,0.14%,Afghanistan,Entertainment & Music,672
14,DOTTS MEDIA HOUSE @dottsmediahouse,1.8K,-,Afghanistan,Entertainment & Music,531
15,افغان @afghanfunnygags,1.6K,0.4%,Afghanistan,Entertainment & Music Funny,486
16,Afsar Zazai @afsar_zazai_78,1.6K,1.03%,Afghanistan,Sports,465
17,Badri malayeri @badrihematyar,1.5K,0.83%,Afghanistan,Entertainment & Music Comedy,447
18,Mahroof Sharif @mahroof.sharif,1.5K,-,Afghanistan,Entertainment & Music,447
19,Everyday Kabul @everydaykabul,1.3K,-,Afghanistan,Photography Life & Society,375
20,Danish Nazari @deeesinterlude,1.2K,0.92%,Afghanistan,Life & Society,366
21,🔱معرفي جراحان بيني👃🏼 🔱 @jarahibinii,1.1K,-,Afghanistan,Health & Fitness,321
22,ANNatnatcha36. AF . TheVoice . @annatnatcha,1.1K,0.59%,Afghanistan,Entertainment & Music Beauty & Self Care,318
23,MAPP Africa @mappafrica,1K,-,Afghanistan,Entertainment & Music Arts & Crafts Photography,312
