#,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,Name,ID
1,161.9M,0.2%,Italy,Funny Entertainment and Music,48.6M,Khabane lame ,khaby.lame
2,92.6M,0.8%,United States,,27.8M,Bella Poarch ,bellapoarch
3,88.5M,1%,United States,Beauty and Self Care,26.6M,Addison Rae ,addisonre
4,85.4M,4%,,Entertainment and Music,25.6M,MrBeast ,mrbeast
5,78.1M,2.9%,United States,Entertainment and Music,23.4M,Zach King ,zachking
6,76.1M,1.6%,Mexico,,22.8M,Kimberly Loaiza ,kimberly.loaiza
7,74.2M,0.9%,United States,Entertainment and Music Fitness and Health Business and Finance,22.3M,The Rock ,therock
8,74.1M,0.7%,United States,,22.2M,Will Smith ,willsmith
9,72M,0.2%,,,21.6M,cznburak ,cznburak
10,58.9M,0.4%,United States,Entertainment and Music,17.7M,Jason Derulo ,jasonderulo
11,56M,3.2%,United States,Beauty and Self Care Fashion and Accessories,16.8M,Kylie Jenner ,kyliejenner
12,51.9M,3.8%,Colombia,Entertainment and Music,15.6M,Karol G ,karolg
13,51.4M,-,Vietnam,,15.4M,Michael Le ,justmaiko
14,51M,1%,,Entertainment and Music,15.3M,BTS ,bts_official_bighit
15,51M,-,,,15.3M,BILLIE EILISH ,billieeilish
16,45.6M,0.3%,United States,Entertainment and Music,13.7M,JoJo Siwa ,itsjojosiwa
17,44M,-,,Entertainment and Music,13.2M,ESPN ,espn
18,42.8M,-,,,12.8M,Junya/じゅんや ,junya1gou
19,42.1M,-,,Fashion and Accessories,12.6M,ХОМЯК ,homm9k
20,41.4M,-,,Entertainment and Music,12.4M,XO Team ,xoteam
21,41.1M,-,,Entertainment and Music,12.3M,ROD🫠 ,elrodcontreras
22,40.8M,-,,family Entertainment and Music,12.2M,Joe ,joealbanese
23,40M,1.1%,United Kingdom,Food,12M,Gordon Ramsay ,gordonramsayofficial
24,39.2M,-,,,11.8M,Carlos Feria ,carlosferiag
25,38.8M,-,,,11.6M,ondy mikula ,ondymikula
26,38.4M,0.2%,,Entertainment and Music,11.5M,Scott 🔥 ,scottsreality
27,38.2M,2%,,,11.5M,Shakira ,shakira
28,36.9M,0.1%,United States,Entertainment and Music Sports,11.1M,Barstool Sports ,barstoolsports
29,36.2M,-,United States,Beauty and Self Care Arts and Crafts,10.9M,James Charles ,jamescharles
30,35.4M,0.1%,,,10.6M,kyle thomas 🌿 ,kylethomas
31,35.2M,-,,,10.6M,Q Park ,qpark
32,35.1M,-,,Entertainment and Music,10.5M,GIL CROES ,gilmhercroes
33,34.8M,1.7%,United States,Entertainment and Music,10.4M,Kevin Hart ,imkevinhart
34,34.7M,-,,Entertainment and Music Funny,10.4M,Kirya Kolesnikov ,thekiryalife
35,34.4M,-,,Entertainment and Music,10.3M,arianagrande ,arianagrande
36,34.2M,-,,,10.3M,Pongámoslo a Prueba ,pongamoslo_a_prueba
37,33.5M,0.6%,,Pets,10.1M,ThatLittlePuff ,thatlittlepuff
38,33.3M,-,,,10M,Montpantoja ,montpantoja
39,32.1M,0.2%,United States,Arts and Crafts Education Upskilling,9.6M,Devon Rodriguez ,devonrodriguezart
40,31.8M,18.4%,Puerto Rico,,9.5M,Bad Bunny ,badbunny
41,31.7M,2.1%,United States,Entertainment and Music Funny,9.5M,Brooke Monk ,brookemonk_
42,31.6M,0.4%,,Entertainment and Music,9.5M,Indi skovar ,indiskovar3.0
43,31.5M,0.9%,United States,,9.5M,Lele Pons ,lelepons
44,31.2M,-,United States,Entertainment and Music,9.4M,Stokes Twins ,stokestwins
45,31.1M,0.7%,,Entertainment and Music,9.3M,Kira Kosarin ,kirakosarin
46,30.9M,-,Spain,,9.3M,La Rosalia ,rosalia
47,30.4M,-,Colombia,,9.1M,Alejandro Nieto ,soybans
48,30.2M,-,Mexico,,9.1M,Michel Chavez ,its.michhh
49,30.2M,-,United States,,9.1M,Liza Koshy ,lizzza
50,29.2M,1%,Brazil,Travel,8.8M,beca ,beca
51,29M,-,United States,Entertainment and Music Celebrity,8.7M,Topper Guild ,topperguild
52,28.2M,-,Chile,Beauty and Self Care,8.5M,Ignacia Antonia👑 ,ignaciaa_antonia
53,28M,-,,Entertainment and Music,8.4M,Camilo ,camilo
54,27.6M,-,,Entertainment and Music,8.3M,Daniel Ibarra ,juandaniel.ibarra
55,27.5M,0.2%,South Korea,,8.3M,시아지우 sia_jiwoo ,sia_jiwoo
56,27.1M,4.5%,,,8.1M,Lexi Rivera ,lexibrookerivera
57,27M,-,,Entertainment and Music,8.1M,KEEMOKAZI ,keemokazi
58,26.7M,-,,Sports,8M,psg ,psg
59,26.3M,-,,family Romance and Wedding,7.9M,JeisonGiraldo ,jeison_giraldo
60,26.3M,-,,,7.9M,JeanCarlo Leon ,jashlem
61,26.1M,1.2%,,Funny,7.8M,Jimena ,jimena.jimenezr
62,26M,0.1%,United States,Entertainment and Music,7.8M,Doja Cat ,dojacat
63,26M,-,Kuwait,Fashion and Accessories,7.8M,Bader Al Safar ,baderalsafar
64,26M,-,United States,Entertainment and Music Funny,7.8M,DAVID DOBRIK ,daviddobrik
65,25.9M,-,,Entertainment and Music,7.8M,LARRAY ,larrayeeee
66,25.9M,-,,,7.8M,Era Ays ,era_ays
67,25.7M,0.1%,,,7.7M,Karla Bustillos ❤️ ,karla.bustillos
68,25.7M,4.6%,,,7.7M,BORREGO ,lagranjadelborrego
69,25.4M,-,,Beauty and Self Care Funny,7.6M,Arnaldo Mangini ,arnaldomangini
70,25.4M,-,,Funny,7.6M,Jaykindafunny ,jaykindafunny8
71,25.2M,-,,,7.6M,Malu Trevejo ,malutrevejo
72,25.1M,1%,,Games,7.5M,AriGameplays ,arigameplays
73,24.9M,0.6%,,,7.5M,Dina ,dina
74,24.7M,-,,Animals,7.4M,DonaldDucc 🦆 ,donaldducc
75,24.5M,-,,,7.4M,adrilatinatv ,adrilatinatv
76,24.5M,-,,,7.4M,Victor Melo ,victormelo
77,24.1M,-,,Food Beauty and Self Care,7.2M,Chingu Amiga ,chinguamiga
78,24M,0.8%,,Entertainment and Music Funny,7.2M,The Mannii Show ,the_mannii
79,23.9M,0.4%,United States,Entertainment and Music Celebrity,7.2M,Terry Crews ,terrycrews
80,23.7M,-,United States,Entertainment and Music,7.1M,Jacob Sartorius ,jacobsartorius
81,23.6M,0.6%,,,7.1M,Luara ,luara
82,23.4M,5.1%,,,7M,Nicolle Figueroa ,nicollefigueroaa
83,22.9M,8.5%,Canada,,6.9M,Ryan Reynolds ,vancityreynolds
84,22.6M,0.3%,United States,Entertainment and Music family,6.8M,Lauren Godwin ,laurengodwin
85,22.5M,-,,,6.8M,mingweirocks ,mingweirocks
86,22.4M,8%,,,6.7M,Cardi B ,iamcardib
87,22.2M,-,,Funny Entertainment and Music,6.7M,Latiktokeuse869 ,latiktokeuse869
88,22.1M,-,,,6.6M,Mackenzie Ziegler ,mackenzieziegler
89,22.1M,-,United States,Entertainment and Music,6.6M,Lance Stewart ,lance210
90,22.1M,0.8%,,,6.6M,Anitta ,anitta
91,22.1M,-,,,6.6M,Marrkadams ,marrkadams
92,22M,0.2%,United States,Entertainment and Music,6.6M,ROMINA ,rominagafur
93,22M,-,,,6.6M,창하CHANGHA ,chang._.a
94,21.9M,-,,Funny,6.6M,josi ,jmartineze_
95,21.9M,-,,Entertainment and Music,6.6M,Caín Guzmán ,cainguzman
96,21.5M,-,United States,Entertainment and Music,6.5M,Bryce Hall ,brycehall
97,21.5M,-,,Entertainment and Music,6.5M,온오빠 On Oppa ,korea.on
98,21.3M,-,,,6.4M,Seany ,seandoesmagic
99,21.3M,2.6%,,,6.4M,Pk ,pkllipe
100,21.1M,-,,Entertainment and Music,6.3M,The Hype House ,thehypehouse
