#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Leo Messi @leomessi,501.1M,0.01%,Argentina,Sports Soccer Activity General General Interest,150.3M
2,Paulo Dybala @paulodybala,57.6M,2.07%,Argentina,Sports Soccer,17.3M
3,Antonela Roccuzzo @antonelaroccuzzo,38.2M,7.06%,Argentina,family Modeling,11.5M
4,Sergio Leonel Agüero @kunaguero,31M,1.68%,Argentina,,9.3M
5,Ángel Di María @angeldimariajm,26.5M,1.35%,Argentina,Sports Marketing and Advertising Soccer Lifestyle,7.9M
6,Wanda Nara @wanda_nara,16.8M,2.21%,Argentina,Beauty and Self Care Fashion and Accessories Journalists,5M
7,𝗟𝘂𝗶𝘀 𝗙𝗼𝗻𝘀𝗶 @luisfonsi,14.6M,0.8%,Argentina,Entertainment and Music Music Singer,4.4M
8,Maria Becerra @mariabecerra,13.8M,2.85%,Argentina,Entertainment and Music Actors,4.1M
9,Selección Argentina @afaseleccion,12.8M,2.75%,Argentina,Sports Soccer,3.8M
10,𝙈𝘼𝙐𝙍𝙊 𝙄𝘾𝘼𝙍𝘿𝙄 @mauroicardi,11.8M,5.67%,Argentina,Sports Soccer,3.5M
11,Lautaro Javier Martinez @lautaromartinez,10.9M,2.65%,Argentina,Sports Actors Journalists,3.3M
12,Marcelo Tinelli @marcelotinelli,10.7M,0.76%,Argentina,Entertainment and Music Actors Journalists,3.2M
13,Agus Bernasconi @agusbernasconi07,9.2M,1.45%,Argentina,Actors Music,2.8M
14,Alejo Igoa @alejoigoa,9.1M,4.86%,Argentina,Entertainment and Music Lifestyle,2.7M
15,René Pérez Joglar @residente,8.6M,2.97%,Argentina,Entertainment and Music Actors Music,2.6M
16,Ricardo Montaner @montaner,8.6M,0.48%,Argentina,Music Songwriting,2.6M
17,Cande Molfese @candemolfese,8.5M,0.36%,Argentina,Acting and Drama Actors,2.5M
18,Diego Maradona @maradona,8.4M,1.72%,Argentina,Entertainment and Music,2.5M
19,Boca Juniors @bocajrsoficial,8.2M,1.02%,Argentina,Sports,2.5M
20,Pampita @pampitaoficial,7.8M,0.46%,Argentina,Actors Modeling Fashion,2.3M
21,Marley @marley_ok,7.7M,0.18%,Argentina,Entertainment and Music Actors,2.3M
22,Natan Bianco @natan.biancoo,7.5M,1.97%,Argentina,,2.3M
23,River Plate @riverplate,7M,2.81%,Argentina,Sports Soccer,2.1M
24,Luisana Lopilato @luisanalopilato,6.8M,0.25%,Argentina,Acting and Drama family Celebrity Moms,2M
25,Lizy Tagliani @lizytagliani,6.8M,0.3%,Argentina,Acting and Drama Actors Journalists,2M
26,Sol Perez @lasobrideperez,6.6M,0.85%,Argentina,Fitness and Health Beauty and Self Care Actors,2M
27,LA CHINA @sangrejaponesa,6.6M,2.7%,Argentina,Acting and Drama Actors,2M
28,Florencia Peña @flor_de_p,6.4M,0.34%,Argentina,Entertainment and Music Fashion and Accessories Actors Modeling,1.9M
29,Javi Mascherano @mascherano14,6.3M,3.49%,Argentina,Sports,1.9M
30,Cinthia Fernandez @cinthia_fernandez_,6M,1.41%,Argentina,family Actors,1.8M
31,FLOR VIGNA @florivigna,5.7M,0.84%,Argentina,Entertainment and Music Actors Artist,1.7M
32,Laurita Fernández @holasoylaurita,5M,0.34%,Argentina,Actors,1.5M
33,Donato @thedonato,4.9M,2.87%,Argentina,Events Actors,1.5M
34,Agus Liporace @kulinaria.recetas,4.7M,4.27%,Argentina,,1.4M
35,𝕷𝖊𝖑𝖊’ @candelariatinelli,4.6M,0.39%,Argentina,Marketing and Advertising Actors,1.4M
36,◬ Nestor En Bloque ◬ @nestor_nblq,4.6M,2.3%,Argentina,Entertainment and Music,1.4M
37,𝗔𝗺𝗮𝗿𝗮 𝗾𝘂𝗲 𝗹𝗶𝗻𝗱𝗮 @amara.aa,4.5M,0.34%,Argentina,Beauty and Self Care Fashion and Accessories Lifestyle,1.4M
38,Nathy Peluso @nathypeluso,4.5M,3.27%,Argentina,Entertainment and Music Music Actors,1.3M
39,Gime Accardi @gimeaccardi,4.4M,1.45%,Argentina,Actors Fashion Modeling,1.3M
40,Daniela Viaggiamari (La Chepi) @danilachepi,4.3M,1.04%,Argentina,Entertainment and Music Marketing and Advertising Actors Virtualization,1.3M
41,Nicolás Vazquez @nicovazquezok,4.3M,0.38%,Argentina,Acting and Drama Celebrity Actors Journalists,1.3M
42,Marcos Rojo ⚽️ @marcosrojo,4.1M,2.96%,Argentina,Sports Actors Journalists,1.2M
43,Ezequiel Lavezzi @pocho22lavezzi,4.1M,1%,Argentina,,1.2M
44,Barbie Pucheta #BarbieVelez @barbiepucheta,3.8M,0.41%,Argentina,Acting and Drama family Actors,1.1M
45,ℜ𝔢𝔶 𝔡𝔢 𝔄𝔯𝔪𝔞𝔡𝔞 @ceciarmy,3.8M,11.07%,Argentina,Fashion and Accessories,1.1M
46,Stef Roitman @stefroitman,3.8M,1.39%,Argentina,Acting and Drama Actors Modeling Celebrities,1.1M
47,Micaela Lorena Viciconte @micaviciconte,3.7M,0.66%,Argentina,Entertainment and Music Food Modeling,1.1M
