#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Sergio Agüero @kunaguero,10.4M,-,Argentina,Sports,3.1M
2,ᴄᴏɴʀᴀ @conradovillagra,9.9M,-,Argentina,Entertainment and Music,3M
3,🇦🇷ARITO🇦🇷 @arito__,8.2M,-,Argentina,Entertainment and Music,2.5M
4,Cande Copello @cande.copello,8M,0.3%,Argentina,Animation and Cosplay,2.4M
5,Andrade❤️🎬 @moreeandrade,7.1M,-,Argentina,Acting and Drama,2.1M
6,Alejo Igoa @alejoigoa,6M,-,Argentina,,1.8M
7,catita reyes @catareyyes,5.5M,-,Argentina,Food,1.7M
8,Andres Vernazza @emprendedormoderno,4.6M,-,Argentina,Education,1.4M
9,Yuli cagna @yulicagna,3.2M,-,Argentina,,960K
10,Martina Catini @marttucatiniii,3M,-,Argentina,,900K
11,EZE @ezequielitto,3M,-,Argentina,Travel,900K
12,Jonas Montanaro @jonasmontanaro,2.8M,-,Argentina,,840K
13,juststef @iamjuststef,2.7M,-,Argentina,,810K
14,Fran Silva @fran_silva11,2.7M,-,Argentina,,810K
15,Alicia Castro @aliciacastro___,2.6M,-,Argentina,Funny Entertainment and Music,780K
16,Julieta 🍒 @juli.castroo,2.6M,-,Argentina,,780K
17,mariam🦋 @mariamstar1,2.6M,-,Argentina,Entertainment and Music,780K
18,Tincho Ruiz @tinchoo.ruiz,2.4M,-,Argentina,,720K
19,Maxi Fontan @maxi.fontan,2.4M,4.3%,Argentina,Entertainment and Music,720K
20,Nico Melo @melojnico,2.2M,-,Argentina,Entertainment and Music,660K
21,Francisco Ferella @franferellaa,2.2M,-,Argentina,Entertainment and Music,660K
22,MatyCocinaok @matycocinaok,2.1M,-,Argentina,Home and Garden,630K
23,Mica Coppola @micacoppola_,2.1M,-,Argentina,,630K
24,Jorgito_barrionuevo @jorgito_barrionuevo,1.9M,-,Argentina,,570K
25,bugutu @gerolaiker,1.8M,-,Argentina,Entertainment and Music,540K
26,Maxi Chime @maxichimenti,1.8M,-,Argentina,Entertainment and Music,540K
27,Ailu Tokman @ailutokman,1.7M,0.6%,Argentina,Food,510K
28,Catarata @catalinafg1,1.7M,-,Argentina,Entertainment and Music,510K
29,Ginecóloga juvenil @gineco.yvos,1.6M,-,Argentina,,480K
30,Natan Bianco @natanbianco,1.6M,-,Argentina,,480K
31,unXavi @unxavi,1.6M,0.1%,Argentina,Entertainment and Music,480K
32,TN - Todo Noticias @todonoticias,1.5M,-,Argentina,,450K
33,einstein.libreria @einstein.libreria,1.5M,-,Argentina,Education,450K
34,Eva Aranda @evarandaa,1.4M,-,Argentina,,420K
35,messi.magic @messi.magiic,1.4M,0.3%,Argentina,,420K
36,D I E G O S A N T ✨ @dieesant,1.4M,-,Argentina,Entertainment and Music,420K
37,clari cremaschi @clari_cremaschi,1.3M,9.6%,Argentina,Beauty and Self Care,390K
38,Ximena Coronel @ximecoronel_,1.3M,0.3%,Argentina,,390K
