#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Oracle Red Bull Racing @redbullracing,194.4K,0.83%,Austria,Sports Auto and Vehicles,58.3K
2,Irina Meier @irine_meier,48.2K,1.5%,Austria,Animation & Cosplay,14.5K
3,تالين بازارباشيان 💫 @talin_tube,42K,1.29%,Austria,Entertainment & Music,12.6K
4,América de Cali @americadecali,40.5K,-,Austria,Sports,12.2K
5,Jorge Bordón @cocobordon,9.8K,0.39%,Austria,Arts & Crafts,2.9K
6,Gamze Esen @esengamze_,8.2K,0.5%,Austria,Fashion & Accessories Travel,2.5K
7,Paddy Vil @weloveflorian,6.4K,0.08%,Austria,Fashion & Accessories,1.9K
8,RefectoCil Brasil @refectocilbrasil,6.3K,0.06%,Austria,Beauty & Self Care,1.9K
9,Anna Karsten @anna.everywhere,6K,0.2%,Austria,Travel,1.8K
10,Official Vlisco partner @exclusive_wears_,5.8K,0.45%,Austria,Fashion & Accessories,1.7K
11,Red Bull Austria 🇦🇹 @redbullaustria,5.1K,2.38%,Austria,Food Outdoor Activity,1.5K
12,Red Bull MotoGP Rookies Cup @redbullrookiescup,5.1K,-,Austria,Sports,1.5K
13,RNSSNC✨ @maxi,4.1K,0.41%,Austria,Nature,1.2K
14,Myriam Van Neste @myriam__vanneste,4.1K,0.21%,Austria,Arts & Crafts,1.2K
15,Ортодонт Tatiana Zhuravleva @dr.tati_zhuravleva,3.6K,-,Austria,Education,1.1K
16,Susanne Kaufmann @susannekaufmann_,2.8K,0.12%,Austria,Beauty & Self Care,843
17,Jasmine Choi 최나경 @jasminechoi_flutist,2.7K,0.79%,Austria,Entertainment & Music,801
18,John Braynard @jbraynard,2.3K,-,Austria,Outdoor Activity,696
19,𝐸𝓃𝒽𝒶𝓃𝒸𝑒𝒹 𝐵𝓎 𝒯𝑒𝒾𝓈𝒽𝒶 @enhancedbyteisha,1.9K,0.15%,Austria,Beauty & Self Care Travel,561
20,Clemens Kuchinka / CK @c__k_,1.9K,0.49%,Austria,Auto and Vehicles,555
21,DZEJLA RAMOVIC @dzejlaramovic,1.8K,12.56%,Austria,Entertainment & Music,525
22,Chino Carlo | Social Media Manager | Content Marketing @iamchinoa,1.5K,0.58%,Austria,Arts & Crafts,462
23,白石美亜 @miashiraishi,1.5K,3.77%,Austria,Fashion & Accessories Beauty & Self Care,462
24,Red Bull Greece @redbullgre,1.5K,-,Austria,Entertainment & Music,462
25,Lipe Bernardi @_lipebernardi,1.3K,0.2%,Austria,Beauty & Self Care,390
26,FABIAN KITZWEGER @fabiankitzweger,1.3K,-,Austria,Fitness & Health,387
27,Santé Skincare @santebyenjo,1.2K,0.08%,Austria,Beauty & Self Care Product Education,372
28,Ahme.Almaksusi @tataawii,1.2K,0.59%,Austria,Travel,357
29,jazz @jazzegger,1.2K,0.13%,Austria,Fashion & Accessories,351
30,Kuro | 23 | Nonbinary🌈 @kuro.liu,1.1K,0.68%,Austria,Fashion & Accessories Games Animation & Cosplay,324
31,𝐊𝐂 𝘊𝘙𝘌𝘈𝘛𝘐𝘝𝘌 𝘋𝘐𝘙𝘌𝘊𝘛𝘖𝘙 | 𝘉𝘙𝘈𝘕𝘋 + 𝘔𝘌𝘋𝘐𝘈 𝘊𝘖𝘕𝘚𝘜𝘓𝘛𝘈𝘕𝘛 @kristencrowleytv,1.1K,0.74%,Austria,Entertainment & Music Fashion & Accessories,318
