#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Mr&Mrs Hart @korimario,1.8M,0.1%,Austria,Romance and Wedding,540K
2,Lisa Übelsbacher @lisaueb,1.4M,-,Austria,Entertainment and Music,420K
3,Stefan Warecka @techmagnet,1.1M,-,Austria,Auto and Vehicles Education Business and Finance Video Gaming,330K
4,🌹Ann @iamroannm,990.5K,-,Austria,,297.2K
5,EYOCANOO @eyocanoo,955.7K,0.1%,Austria,,286.7K
6,Sarah 🧸 @sarahthei,918.9K,-,Austria,Travel,275.7K
7,Diablo @eldeldiablo_,844K,-,Austria,,253.2K
8,wibmergabriel @wibmergabriel,829K,-,Austria,Outdoor Activity,248.7K
9,ابو عباس @taanmohamed,817.5K,-,Austria,,245.3K
10,mero🖤🔥 @nermenhassan02,793.1K,-,Austria,Acting and Drama,237.9K
11,@dave.vero.ink @dave.vero.ink,763.4K,-,Austria,,229K
12,vienna ❤️‍🔥 @viennaayla,763.3K,0.1%,Austria,,229K
13,الزير Delshair @delshair777,732.9K,-,Austria,,219.9K
14,Avva @avva.ballerina3,691.1K,-,Austria,,207.3K
15,Bildhauer Alex @official_bildhauer,678.1K,-,Austria,Arts and Crafts Home and Garden,203.4K
16,Maximilian Mateo 🤍✨ @maximilian.mateo,666.9K,-,Austria,Funny,200.1K
17,andiisworld @andiisworld,659.7K,-,Austria,Entertainment and Music Fashion and Accessories,197.9K
18,geridrux @gerid_rux,656.8K,-,Austria,Fitness and Health Travel Food,197K
19,Lukas @lukas.spindler,643.2K,-,Austria,Sports,193K
20,Sarah @niziundsatsch,614.8K,-,Austria,,184.4K
21,DJ Ötzi @dj_oetzi,614.4K,-,Austria,,184.3K
22,Caroll @carollgil_,609.1K,-,Austria,,182.7K
23,Red Bull Austria @redbullaustria,607.7K,-,Austria,Sports,182.3K
24,Sascha Zille @saschazille,588.3K,-,Austria,Entertainment and Music,176.5K
25,edits_detodo_un_poc0o @edits_detodo_un_poc0o,567.3K,0.2%,Austria,,170.2K
26,✨Anαsταsια ✨ @nasti_pot,559.5K,-,Austria,,167.9K
27,Bee/Luna 🐝 @lunalupo.cosplay,539.5K,-,Austria,,161.9K
28,melsomm @melsomm,536.3K,-,Austria,Travel,160.9K
29,แทนแทนฟุตบอลคลับ @tantan_football,523.1K,-,Austria,,156.9K
30,kiana @kiana.e.a,512K,3.9%,Austria,Life and Society,153.6K
31,danny on canvas @dannyoncanvas,486.4K,-,Austria,,145.9K
32,hansi @hannahtulnik,457.5K,9.8%,Austria,Entertainment and Music,137.3K
33,STIVFITNESS @stivfitness,449.3K,-,Austria,,134.8K
34,Schaefchen @schaefchen_17,441.5K,0.1%,Austria,,132.5K
35,شجاع🤞😎 @l5lz_1,421.7K,-,Austria,,126.5K
36,Hale Gündüz @hale.gndz,416.7K,-,Austria,,125K
37,HicksMarvin | Marvin Teufl @hicksmarvin,416.7K,2%,Austria,Entertainment and Music,125K
38,emilia @hey_its_emi_,411.5K,-,Austria,,123.5K
39,Doniaelhelw @doniaelhelw,404.9K,-,Austria,,121.5K
40,juliachavanne @juliachavanne,402.9K,-,Austria,Fitness and Health,120.9K
41,AMELIEBRRR🐣 @ameliebrrr,390.2K,-,Austria,,117.1K
42,ÖFB @oefb1904,387.5K,-,Austria,,116.3K
43,Tony Z. Chen @tonyzchen,381K,-,Austria,,114.3K
44,Clemens Graf von Hoyos @kniggeakademie,363.7K,-,Austria,,109.1K
45,Kat @katpacher,362.1K,-,Austria,,108.6K
46,خواطر اسلامية @hazem_taan_1,354K,-,Austria,,106.2K
47,mk_creative @mk_creative,353.3K,0.1%,Austria,Photography,106K
48,Eldin_S7 @eldin_s7,335K,-,Austria,,100.5K
49,fabi.enne0805 @fabi.enne0805,331.4K,-,Austria,Entertainment and Music,99.4K
50,martyaustria @martyaustria,326.1K,-,Austria,Entertainment and Music Funny,97.8K
51,@كائن الريهام😎🔥 @rihamkhalid183,325.9K,-,Austria,,97.8K
52,Noah @noahgusi,325.4K,0.4%,Austria,,97.6K
53,Lena @justtrustmeiknow,320.1K,-,Austria,,96K
54,Tabea Lehner @tabealehner,317.1K,-,Austria,Entertainment and Music,95.1K
55,Hanna 🤍 @hannexa,304.8K,-,Austria,Entertainment and Music,91.4K
56,🅱️ a z z l e r o @bazzlero,304.4K,9%,Austria,Entertainment and Music,91.3K
57,Benni Wolf @benniiwolf,303.7K,-,Austria,Funny Life and Society,91.1K
58,Azu @azuka_on_tiktok,296.6K,-,Austria,,89K
59,Tirolerschmäh @tirolerschmaeh,294K,0.1%,Austria,,88.2K
60,Hamodyyyy🖤🔥 @hamody_20_7,289.5K,-,Austria,,86.9K
61,No Way Out Escape @nowayoutescape,287.7K,-,Austria,,86.3K
62,Zeit im Bild - ZIB @zeitimbild,287.3K,0.8%,Austria,,86.2K
63,Lissy @lissytagebuch,287.2K,-,Austria,,86.2K
64,Nathan Trent @uptrent,266.5K,-,Austria,,80K
65,Mattiiiodersooo @mattiiiodersooo,263.6K,-,Austria,Entertainment and Music,79.1K
66,Mostafa Mohamed @mustafamohamed.11,263.3K,-,Austria,,79K
67,✨BENU✨ @benuofficiaal,263K,0.1%,Austria,,78.9K
68,𝑊𝑜𝑟𝑘𝑖𝑛𝑔𝑑𝑜𝑔𝑠 🇦🇹 @frano91,260.9K,-,Austria,Animals,78.3K
69,amy9x19 @amy9x19,260.9K,-,Austria,Education Upskilling,78.3K
70,Austriasginger @austriasginger,259.9K,-,Austria,,78K
71,NoooN @jeffxchris,258.5K,0.8%,Austria,Entertainment and Music,77.6K
72,Charly Schwarz @charly_schwarz,257.8K,-,Austria,,77.3K
73,Gibly @giblynow,253K,0.7%,Austria,Animation and Cosplay,75.9K
74,مقتطفات+18😉 @jalals.tv,251.9K,0.1%,Austria,,75.6K
75,Izudin Vejzovic @isko.izudin,238K,0.1%,Austria,Entertainment and Music,71.4K
76,SAM @samscheri,235.6K,0.2%,Austria,,70.7K
77,Edith Mair @edithmair,233.7K,-,Austria,Beauty and Self Care Fashion and Accessories,70.1K
78,majaaurell @majaaurell,232K,-,Austria,,69.6K
79,Ardik7 @ardiiiii.k,229.3K,-,Austria,,68.8K
80,JZ_VIE @jz_vie,229.1K,-,Austria,,68.7K
81,PE 🇦🇹 @haqpyman,227.7K,0.5%,Austria,,68.3K
82,florianmacek @florianmacek,227.7K,-,Austria,,68.3K
83,𝕊𝕨𝕚𝕝𝕝 @swill_123,227.4K,-,Austria,,68.2K
84,Yorman Sc @yorman_r.r,226.8K,0.1%,Austria,,68K
85,alexej hauser @alexejhauser,223.3K,5.5%,Austria,,67K
