#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Red Bull @UCblfuW_4rakIf2h6aqANefA,10.5M,-,Austria,Sports Video Gaming,3.2M
2,Talin tube family - عائلة تالين تيوب @UC7P48PVdffKY8ym4_QbcArg,4.6M,-,Austria,,1.4M
3,Кулинарим с Таней @UCW0vtJy0fmLBO8TNIOUAoDg,2.2M,0.7%,Austria,,669K
4,KsFreakWhatElse @UCV9OLReC5bMvuiCFGBdK7Mg,2.1M,0.3%,Austria,,630K
5,Leila Gharani @UCJtUOos_MwJa_Ewii-R3cJA,1.9M,0.3%,Austria,Business and Finance,573K
6,Nykk Deetronic @UC_QpWfHruASmuR9E8KMXtWw,1.9M,0.1%,Austria,,561K
7,RADAL @UCT1mF-u0Lcf7bYuUWTvDcpw,1.9M,2.8%,Austria,,558K
8,SOUNTEC @UCtwSCDjbQKShJU0kIzBgTdA,1.8M,0.1%,Austria,,543K
9,Lingualizer @UCpeSv0N9tbe2V5fLMVrlodA,1.8M,-,Austria,,540K
10,IMPERIA @UCaWaxupwQ7Pssm94Xcxi8LA,1.8M,-,Austria,,525K
11,Dare to do. Motivation @UC5VP2Yr-U7PHyDKHQQfkH9w,1.7M,-,Austria,,522K
12,boty phen @UC601ZH0CojHYMHy-Ws1xlMA,1.7M,0.1%,Austria,,513K
13,Richtiger Kevin @UCo6utge9KpJI61gXe7ngUJQ,1.7M,1%,Austria,,510K
14,TOPS DOPS @UCOv3MFPLgGLfZDqAmcqVj9Q,1.7M,-,Austria,,495K
15,Red Bull Bike @UCXqlds5f7B2OOs9vQuevl4A,1.6M,0.1%,Austria,,492K
16,Chaosflo44 @UCQM0bS4_04-Y4JuYrgmnpZQ,1.4M,0.2%,Austria,,432K
17,Kim Lianne @UC9VCyVOqou6wf-BMBYlEkjQ,1.4M,0.7%,Austria,Celebrity Fitness Beauty,411K
18,Gangsta Philosopher @UCSXFaThRuBGbqOaZsTxZnTQ,1.3M,0.2%,Austria,,399K
19,Nafis Taomlar @UCQUPfyCc45RG2OaVh6xjeJQ,1.3M,-,Austria,,384K
20,AustrianBrickFan @UCuk26DMu7ewAkC-ntx7esiA,1.2M,-,Austria,,372K
21,eslamic @UC8Ip85NYRKCV5T-rm6l4OKg,1.2M,-,Austria,,366K
22,Austrian @UCu6f00Mhgx36sgCxICxM44Q,1.2M,-,Austria,,351K
23,"Rogandar NEWs - Новости, факты, события @UCJ9e_x5_ZuR9TwZwzvqRsIA",1.2M,1.2%,Austria,News,345K
24,Cute Life Hacks @UCwy2Kt-F4D4Y_CJQmonmLhg,1.1M,-,Austria,,321K
25,King Ck Films & Vlogs @UC6QLSkGrFb25WnyvRxtxHGA,1M,0.5%,Austria,,309K
26,Dirisle Abdi @UCVATK3UnAynWNIci3S_0k9A,1M,-,Austria,,303K
27,Red Bull Motorsports @UC0mJA1lqKjB4Qaaa2PNf0zg,1M,-,Austria,,303K
28,CSYON @UCtJTqwX2h8MiuFWd6dsyzbw,1M,0.9%,Austria,,303K
29,DieBuddiesZocken @UCRczwdk2G-MjcdWQTupFrAw,987K,-,Austria,,296.1K
30,เรื่องเล่าข่าว การเมืองออนไลน์ @UCI_JymOkdOU7jLjDfhqqdOw,980K,-,Austria,,294K
31,Merg @UCt4rBxvKlCKw5NcOy-tpQJQ,980K,-,Austria,Books Video Gaming,294K
32,HSO - حسو @UCtBL1lepnGp28Gko5ZItSeg,900K,-,Austria,,270K
33,inong sam @UCrgOLliCxhj7xU820-FAm1A,893K,-,Austria,,267.9K
34,Robert Höck @UCCi_yf4nkVmWaE0IoNweTlw,864K,-,Austria,,259.2K
35,FrediSaalAnimations @UCX2MqAEb-7gO9GKO0SdZSIg,861K,-,Austria,,258.3K
36,Red Bull BC One @UC9oEzPGZiTE692KucAsTY1g,859K,-,Austria,,257.7K
37,itsabudy @UCd-v2OHQZf2ssfIlghRSNrw,850K,-,Austria,,255K
38,Luigikid Gaming @UCPsV7o0y_il6tF5vhl8fhTQ,848K,0.1%,Austria,,254.4K
39,TouchGameplay @UCfelpouIc8hS7cBXnVKRBpQ,841K,-,Austria,,252.3K
40,Adnan Ibrahim @UCMkgz4L22HV3e-1yy9zlYPg,826K,-,Austria,,247.8K
41,Tiktus color Art @UCeAvBShy5a2_vTFflQG_zWg,809K,0.1%,Austria,Art,242.7K
42,Ark-أرك @UChcZaTnJkPueZRFtlXEDEzA,783K,-,Austria,,234.9K
43,Military History Visualized @UCK09g6gYGMvU-0x1VCF1hgA,736K,1.1%,Austria,,220.8K
44,TechWorld with Nana @UCdngmbVKX1Tgre699-XLlUA,731K,-,Austria,,219.3K
45,BERNTH @UCZvo8TZtUZkLgiH3rJsj-Ow,693K,-,Austria,,207.9K
46,Meme City @UCKK7Awk5j_HuZ-J6TUBlRug,678K,-,Austria,,203.4K
47,Sherliza Moé @UCsTyy6F3-D6RFFt7bxRqKUA,632K,3.6%,Austria,,189.6K
48,Nancy Semeda - The Counseling Psychologist @UCBVs-EPgbwIWLNg4Wkt6N0w,598K,-,Austria,,179.4K
49,Austor - FIFA Prediction & More @UC8FKs4WsbwC8ZH9r4T57CGQ,589K,0.7%,Austria,,176.7K
50,Simply Aviation @UCEF-9XhkdyFY0hMRUkmxXfQ,546K,-,Austria,News,163.8K
51,Moga @UCE5eZeSPb14e3XIE7AecEqQ,536K,1.5%,Austria,,160.8K
52,Katrin Dox @UCMusqH2CnhzQlVHO9X2ONIw,532K,-,Austria,,159.6K
53,KTM @UCb3-KtEqkRuJeT2ekC5Mzow,522K,-,Austria,Travel,156.6K
