#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Anabel Angus @anabelangus,1M,1.3%,Bolivia,Journalists,304.6K
2,Andrea Villarroel @soyandreatv,931K,1.22%,Bolivia,Entertainment and Music Fashion and Accessories Arts and Crafts Marketing and Advertising,279.3K
3,𝒢𝒶𝒷𝓇𝒾𝑒𝓁𝒶 𝒵𝑒𝑔𝒶𝓇𝓇𝒶 @gabyzegarra_gz,879.1K,1.09%,Bolivia,Beauty and Self Care Marketing and Advertising Actors Modeling,263.7K
4,Albertina sacaca @albertinasacaca,764.1K,2.14%,Bolivia,,229.2K
5,Um a Uno @um.a.uno,630.2K,0.86%,Bolivia,Travel,189K
6,Andres Salvatierra J. @andres.salvatierraj,582.9K,4.6%,Bolivia,,174.9K
7,Fiorella Zamora @fiorellazoe_zamora,503.7K,0.33%,Bolivia,,151.1K
8,Grisel Quiroga @griselquiroga,482.9K,0.15%,Bolivia,Fashion and Accessories Actors,144.9K
9,L A C L A U 🍍 @laclauoficial,467.9K,0.98%,Bolivia,,140.4K
10,𝙔𝙐𝙑𝙄𝙉𝙆𝘼 𝘼Ñ𝙀𝙕 ✨ @yuvinkaanez96,426.6K,2.12%,Bolivia,Beauty and Self Care Fashion and Accessories Actors Modeling,128K
11,Gabo Chavarría @gabocharria,425.5K,0.67%,Bolivia,Celebrity,127.7K
12,Eliana Gonzalez @elugonzalez,368K,0.41%,Bolivia,,110.4K
13,Elias Ayaviri @eliasayavirioficial,325.3K,0.35%,Bolivia,Entertainment and Music Music Actors,97.6K
14,Fernando Eid @fernandoeidok,318.8K,1.61%,Bolivia,Entertainment and Music Television Actors Journalists,95.6K
15,Bonny Lovy @bonnylovyoficial,312.9K,0.4%,Bolivia,Entertainment and Music Actors Music Architecture,93.9K
16,Evo Morales Ayma @evomoralesayma,293.3K,0.57%,Bolivia,,88K
17,Marco Antelo (YeYo) @yeyoantelo,293.2K,0.6%,Bolivia,Actors,88K
18,Nɪᴄᴏʟ Sᴀʟᴄᴇ “𝕆𝕤𝕚𝕥𝕒”🐻 @nicol_salce,290.1K,0.27%,Bolivia,Romance and Wedding Actors Modeling,87K
19,Isa Vargas @iisamarvg,287.8K,2.26%,Bolivia,Actors Journalists,86.3K
20,Ximena Zalzer @ximzal,287.1K,1.61%,Bolivia,Entertainment and Music Automotive Actors Modeling,86.1K
21,Ronico @ronicocs,275.8K,0.34%,Bolivia,Entertainment and Music Celebrity Marketing and Advertising Actors,82.7K
22,Red Uno de Bolivia @redunotv,272K,0.3%,Bolivia,,81.6K
23,hbl_Fit_leon @hbl_fit_leon,267.1K,0.27%,Bolivia,Fitness and Health Marketing and Advertising Coaching Gym,80.1K
24,MISS BOLIVIA @missboliviamusica,262.6K,0.5%,Bolivia,Entertainment and Music Actors,78.8K
25,GRACIELA VNOVASKI @gracinovaski,260.6K,1.9%,Bolivia,Television Actors Virtualization Journalists,78.2K
26,Alejandro Fabio Pinedo Terrazas @alepinedotv,255.6K,0.1%,Bolivia,Celebrity Video Gaming,76.7K
27,Angelica Merida Duran @angelicamerida,251.5K,0.27%,Bolivia,Entertainment and Music Romance and Wedding Marketing and Advertising Actors,75.5K
28,Calle 7 Bolivia @callesietebolivia,232.1K,0.3%,Bolivia,Entertainment and Music Games Marketing and Advertising Actors,69.6K
29,Melissa Gate @meligate.tv,231.2K,3.8%,Bolivia,,69.4K
30,Lenka Nemer @lenkanemeroficial,230.9K,0.32%,Bolivia,Fashion Beauty Travel Fashion and Accessories,69.3K
31,Ronald Arnez￼ @ronaldarnez,224.8K,0.14%,Bolivia,Acting and Drama Celebrity Actors,67.4K
32,𝐸𝑟𝑖𝑘𝑎 𝑆𝑒𝑐𝑎𝑑𝑒𝑠🦋 @erikasecades,204.6K,1.14%,Bolivia,Beauty and Self Care Fashion and Accessories Actors Virtualization,61.4K
33,VALENTINA @valeentina_98,204.4K,1.06%,Bolivia,,61.3K
34,Stephanie Herela @stephanieherela,201.4K,0.39%,Bolivia,Celebrity Actors Modeling,60.4K
35,Cinéfilo Boliviano @cinefiloboliviano,199.8K,0.25%,Bolivia,Entertainment and Music,59.9K
36,Carlos Rocabado @carlosrocabadook,199.4K,0.2%,Bolivia,Entertainment and Music Acting and Drama Celebrity Actors,59.8K
