#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Ale Pinedo @alepinedotv,4.2M,-,Bolivia,,1.3M
2,Alex SG. Lyrics♪ @alex___sg,2.5M,-,Bolivia,,750K
3,𝙘𝙤𝙥𝙮 𝙘𝙖𝙩 @juli_antecam,2.3M,-,Bolivia,,690K
4,Carlos Marquina @carlosmarquina,1.3M,-,Bolivia,Entertainment and Music,390K
5,Minecraft Picraftsso @picraftsso,1.3M,0.3%,Bolivia,Arts and Crafts DIY and Life Hacks,390K
6,YOSSU @yossuvalerioo,1M,-,Bolivia,,300K
7,Eduardo Escobar @eduescobar11,980.1K,-,Bolivia,,294K
8,Ferjin💜 @ferjin010,969.3K,-,Bolivia,Entertainment and Music,290.8K
9,SOYFENIX @soy.fenix,965.5K,-,Bolivia,,289.7K
10,A tu rollo @a_tu_rollosczbo,892.5K,-,Bolivia,,267.8K
11,𝓓𝓪𝓿𝓲 🤍 @daviartl,874.1K,-,Bolivia,Nature,262.2K
12,LuisLuchoVLogs @luislucho_vlogs,859.5K,-,Bolivia,,257.9K
13,Betza Bot @ff_betzaaa,856.7K,0.1%,Bolivia,,257K
14,King Paz @kingpaz_oficial,837.3K,0.1%,Bolivia,,251.2K
15,Nagueli_1 @nagueli,819.7K,-,Bolivia,Travel,245.9K
16,Paluleos paluleos @paluleos2,804.1K,-,Bolivia,,241.2K
17,Yarit @yaritmusica,797.2K,0.1%,Bolivia,Entertainment and Music,239.2K
18,BTSANTO🇧🇴 @btsanto_,794.8K,-,Bolivia,,238.4K
19,Fernando Villarroel @ferchovillarroel,792.6K,0.1%,Bolivia,,237.8K
20,Jime @jimenasuarezv,775.8K,-,Bolivia,,232.7K
21,Paisanitas 🤗🇧🇴 @valeriapaisanita,775.7K,0.2%,Bolivia,,232.7K
22,@soyluciAn’S @lucianamunoz7857,771.9K,0.5%,Bolivia,,231.6K
23,Anabel Angus @anabelangusa,766.5K,-,Bolivia,,230K
24,Haruu_xdd @haruu_414,755K,-,Bolivia,,226.5K
25,Middagh @eimimiddagh,736K,0.1%,Bolivia,,220.8K
26,Daniela Galvan M. @danielagalvanmolina,720.9K,-,Bolivia,,216.3K
27,🇦🇹 🇧🇴🇳🇬 SCZ LEO❤️ @scz_leo1,698.5K,0.1%,Bolivia,,209.6K
28,mavis..70 @mavis..70,693.5K,-,Bolivia,,208.1K
29,Raion @theraionmc,665.8K,-,Bolivia,Entertainment and Music,199.7K
30,Maria Rene Leaños @rene_0002,657.4K,-,Bolivia,,197.2K
31,Ceci ✨ @ceciliaanayaa,656.2K,0.3%,Bolivia,,196.9K
32,Jose Maria Nuñez Lop @josema2197,652.6K,0.1%,Bolivia,,195.8K
33,ff_D!€GU!TO_ff @ff_thdiego,650.6K,0.2%,Bolivia,,195.2K
34,⛩⬛🈲️ANIMA🈲️⬛⛩ @anima.f7,650.5K,0.2%,Bolivia,,195.2K
35,David Mercado @davidmercadop,642.8K,-,Bolivia,,192.8K
36,Cristian Quino @quino27_7,639.1K,-,Bolivia,,191.7K
37,Librada Vergara @libradavergara4,613.8K,-,Bolivia,,184.1K
38,🎶 Yoana ✨ @_..yoana_..music,608.1K,0.2%,Bolivia,,182.4K
39,Ana Ormeño @anaormeno,596.3K,-,Bolivia,Travel,178.9K
40,cake_boss0 @cake_boss0,591.8K,-,Bolivia,,177.5K
41,𝐀𝐧𝐭𝐨𝐧𝐲 @antony_sau1,589.7K,-,Bolivia,Photography,176.9K
42,Gabriel Justiniano @elgaboooo0,585.7K,0.1%,Bolivia,,175.7K
43,Alex ozu♥️💥 @alexozusoge12,577.9K,-,Bolivia,,173.4K
44,ElBoliviano @e.p.r.s,565.9K,-,Bolivia,,169.8K
45,Kevin Valencia @valenciak7,557K,0.2%,Bolivia,Education,167.1K
46,gatocringe @gatocringe211,552.1K,-,Bolivia,,165.6K
47,Edson Castro @soypapiedson,542.3K,0.2%,Bolivia,,162.7K
48,🌈 Nico Arnez 🌟 @nicoarnezz,531.7K,-,Bolivia,,159.5K
49,Cesar Mollinedo @cesarwithyou2,524.3K,-,Bolivia,,157.3K
50,ＬＵＣＫＥＲღᴳ @lucker_cocalero,521.9K,-,Bolivia,,156.6K
51,Jonathan Bacana @jonathanbacana6,520K,0.2%,Bolivia,Video Gaming,156K
52,Ana Laura Franco Sua @anafrancosrz,516.8K,-,Bolivia,,155K
53,Natalia T @nattoledop,512.2K,-,Bolivia,,153.7K
54,RED UNO DE BOLIVIA @redunotv,492.3K,-,Bolivia,Entertainment and Music,147.7K
55,Jhoanna22 @jhoanna22_,491.8K,-,Bolivia,,147.5K
56,Khail @khail_27,491.6K,0.6%,Bolivia,,147.5K
57,Ainhoa Agreda @babynhoauwu,488.6K,-,Bolivia,,146.6K
58,useranime_Naruto_ @useranime_naruto_oficial,483.8K,-,Bolivia,,145.1K
59,𝒜𝒷𝒷𝓎🤍 @abigailriosnieve,461.7K,0.1%,Bolivia,,138.5K
60,Anavacortes @anavacortes,459.8K,-,Bolivia,,137.9K
61,亚瑟 arthur @dt8arthur,444.1K,-,Bolivia,,133.2K
62,PANÉ CONTRERAS @_el_pana_futbol_,437.6K,0.2%,Bolivia,,131.3K
63,Gilmar Zambrana @gigito_max1,424.7K,-,Bolivia,,127.4K
64,Hache. @_hache__,421.3K,-,Bolivia,,126.4K
65,Daniel Cuéllar @d4niel_cuell4r,413.7K,-,Bolivia,,124.1K
66,Sun Ho @ritodeviluke3,412.8K,-,Bolivia,,123.8K
67,Luz cruz 2117 @luzcruz2117,411.3K,-,Bolivia,,123.4K
68,Ruby Avila @rubyavilauriona,401.5K,-,Bolivia,,120.5K
69,Patricia Pedraza @patriciapedraza58,394.3K,-,Bolivia,,118.3K
70,🌻🌷marina carrim🌹🌺 @marimend177,394.1K,0.5%,Bolivia,,118.2K
71,Tumblr. Its @tumblr114,389.2K,0.1%,Bolivia,,116.8K
72,KIRYNG @kiryng,388K,-,Bolivia,,116.4K
73,David palacios @alanw131david,386.8K,-,Bolivia,,116K
74,Sergio Gumiel @sergiogumiel,383.5K,-,Bolivia,,115.1K
75,Jahiron Bascopé @jahironfotografia,371.9K,0.1%,Bolivia,Photography,111.6K
76,Tik toker @ntl_ex,371.2K,1.6%,Bolivia,,111.4K
77,Noemi Ramos @noemiramos027,368K,-,Bolivia,,110.4K
78,ani_diybts @ani_diybts,367K,0.6%,Bolivia,DIY and Life Hacks,110.1K
79,carolcarla_megaruffo @megaruffo_carolcarla,366.1K,-,Bolivia,,109.8K
80,videosdeterror64 @videosdeterror.666,366.1K,-,Bolivia,,109.8K
81,Moira Armella Barriga @moibarriga,365.1K,-,Bolivia,,109.5K
82,kinyocassidy @kinyocassidy,363.8K,-,Bolivia,Pets,109.1K
83,⚡Soy_Hilda🥰🌹 @soy_hilda1,358.5K,0.3%,Bolivia,,107.6K
84,Pelusita123 @pelu123,357.2K,-,Bolivia,Pets,107.2K
85,Alvinich @alvinicho,356.2K,0.5%,Bolivia,,106.9K
86,mamensaavedra @mamensaavedra,352K,0.6%,Bolivia,,105.6K
87,RanitaAlva @ranitaalva,346.4K,-,Bolivia,Pets,103.9K
88,frederick.kelley @frederick.kelley,344.4K,-,Bolivia,,103.3K
89,Izumi_Jamado @izumi_jamado,342.9K,0.1%,Bolivia,,102.9K
90,GonzaloXZ @gonzaloxz,340.1K,5.5%,Bolivia,,102K
91,Nicol Michel @nicolmichelq,336.7K,-,Bolivia,,101K
92,Haru_xd @haruu_xd,335.8K,-,Bolivia,,100.7K
93,Juan Vargas @simpply.juan,334.9K,-,Bolivia,,100.5K
94,Bryan Limon @lemonsvet,333.7K,-,Bolivia,,100.1K
95,✨ 𝓐𝓝𝓓𝓡𝓔𝓐 ✨ @andreaferrada976,331.3K,0.3%,Bolivia,Entertainment and Music,99.4K
96,Abuelita Divertida 🇧🇴🇧🇴 @abuelitadivertidajr,329.9K,-,Bolivia,,99K
97,Daniela Rodriguez @soydanyelamx,328.3K,-,Bolivia,,98.5K
98,Nikokoro @nofun.com,327.2K,0.4%,Bolivia,,98.2K
99,Roxeth @roxeth_a,319.8K,-,Bolivia,,95.9K
100,CAMI @camilanenos,319.7K,-,Bolivia,,95.9K
