#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Elias Ayaviri @UCLBmLEAIdnTb5I5IZfJr-eQ,2.4M,0.5%,Bolivia,,729K
2,Akiles @UCL5fKPWJxkSvc3w54lEQWQw,2M,0.2%,Bolivia,,597K
3,PapiEdson @UC8OiYQHHqwoS-4yEWncoh3w,1.3M,0.4%,Bolivia,,381K
4,Unitel Bolivia @UCBTuUY99I5plMaC_ZcmXIYw,1.1M,-,Bolivia,,327K
5,Mr.Mandibulas @UCYDHYCeyvQ-RU01T1b96VuQ,931K,1%,Bolivia,,279.3K
6,Tips For Diabetics @UCGk6zb4Jn2tvemmg23oeIpQ,917K,-,Bolivia,,275.1K
7,Yoney Gallardo @UCz8QPKIj84JE091eK-lEImg,858K,-,Bolivia,,257.4K
8,Consejos Magicos @UC88xTFNEPk_uSpEsvvWa6Ew,794K,-,Bolivia,,238.2K
9,Soyalexius @UCE1vl0kIsXSZAEgPqSLsaxA,625K,12.4%,Bolivia,,187.5K
10,Ramirin @UC19t31cfGizq07i3Uj3R3bg,613K,-,Bolivia,,183.9K
11,Omzo74 @UCJdxv_eb2Pj5AO97EHziI3w,597K,0.1%,Bolivia,,179.1K
12,White magic and money @UCQZSw-hivW5iL1nwPTp_beQ,587K,-,Bolivia,,176.1K
13,VicenticoTD @UCVVFdY3RhnqDIb8nRAIcZHw,543K,-,Bolivia,,162.9K
14,Gabriel Arana @UCexNFUkRp5gs25LnyC0PtDQ,520K,0.1%,Bolivia,,156K
15,Finanzas con Gus @UCrr-NczCJHrwi1oBS97uwnw,489K,0.4%,Bolivia,,146.7K
16,Dr Tips and Remedies @UCOaleSB11KbuOO6IakEQuLQ,408K,-,Bolivia,Medical Health,122.4K
17,Eddy OZ @UCO4sHmVeuzybEt63RB082kg,382K,0.8%,Bolivia,,114.6K
18,Eddy OS @UCAUQDn6bskD2Ts1SvnWjcew,357K,-,Bolivia,,107.1K
19,EDDER @UC47zKIH0dECftkcTcAOrhVQ,347K,1.7%,Bolivia,,104.1K
20,Ken- YCat @UClzXK9yjlTWzED0GTcwM6Gg,335K,0.2%,Bolivia,,100.5K
21,Dante Garcia @UCpVneV1AkByE4LpqTh0u3PQ,320K,-,Bolivia,,96K
