#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Ronaldo de Assis Moreira @ronaldinho,3M,0.6%,Brazil,Sports,898.1K
2,Anitta 🎤 @anitta,2.5M,0.8%,Brazil,Entertainment & Music,764.9K
3,Richarlison @richarlison,2M,0.54%,Brazil,Sports,589.1K
4,Iran Ferreira @luvadepedreiro,1.8M,0.3%,Brazil,Funny,525.2K
5,MEL MAIA 🍯 @melissamelmaia,1.6M,0.57%,Brazil,Entertainment & Music,487.5K
6,JoJo @jojotodynho,1.5M,0.49%,Brazil,Entertainment & Music,449.9K
7,🏛 Gusttavo Lima 🏛 @gusttavolima,1.4M,0.28%,Brazil,Entertainment & Music Romance & Wedding,432.4K
8,Mirella Santos @eumirellasantos,1.4M,0.69%,Brazil,Fitness & Health,420.3K
9,+A @maisa,1.4M,0.33%,Brazil,Acting & Drama Business & Entrepreneurship,417.3K
10,LUÍSA SONZA @luisasonza,1.3M,0.59%,Brazil,Entertainment & Music,404.1K
11,Hugo Gloss @hugogloss,1.2M,0.03%,Brazil,Entertainment & Music,353.7K
12,Larissa Manoela @larissamanoela,1.1M,0.18%,Brazil,Acting & Drama Fashion & Accessories Entertainment & Music Motherhood,344.5K
13,LUDMILLA @ludmilla,1.1M,0.46%,Brazil,Entertainment & Music,338.2K
14,Júlio Cocielo Estaniecki @cocielo,1.1M,0.51%,Brazil,Entertainment & Music Comedy,334.1K
15,IZA @iza,1M,0.49%,Brazil,Entertainment & Music,305.3K
16,Sabrina Sato @sabrinasato,1M,0.19%,Brazil,Entertainment & Music Acting & Drama,303.7K
17,isis valverde @isisvalverde,949.3K,0.08%,Brazil,Entertainment & Music,284.8K
18,LUCAS RANGEL @lucasranngel,940.4K,0.46%,Brazil,Beauty & Self Care,282.1K
19,Forbes Brasil @forbesbr,896.6K,0.13%,Brazil,Finance,269K
20,Tata Estaniecki Cocielo @tata,887.6K,0.42%,Brazil,Product Showcase,266.3K
21,Eliana Michaelichen @eliana,882.6K,0.36%,Brazil,Entertainment & Music,264.8K
22,ALVARO @alvxaro,856.9K,0.68%,Brazil,Entertainment & Music Funny,257.1K
23,Poze Do Rodo 🤑 @pozevidalouca,849.3K,0.63%,Brazil,Entertainment & Music,254.8K
24,Felipe Neto 🦉 @felipeneto,817.9K,0.38%,Brazil,Entertainment & Music,245.4K
25,Andressa Suita @andressasuita,814.5K,-,Brazil,Fashion & Accessories family,244.3K
26,Bruno Gagliasso @brunogagliasso,813.8K,0.15%,Brazil,Fashion & Accessories Auto and Vehicles,244.1K
27,Junior Caldeirão @juniorcaldeiraoo,784.7K,0.68%,Brazil,Entertainment & Music Beauty & Self Care,235.4K
