#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Canal KondZilla @UCffDXn7ycAzwL2LDlbyWOTw,66.3M,-,Brazil,,19.9M
2,Felipe Neto @UCV306eHqgo0LvBf3Mh36AHg,44.4M,-,Brazil,,13.3M
3,Você Sabia? @UCj0O6W8yDuLg3iraAXKgCrQ,43M,-,Brazil,,12.9M
4,LUCCAS NETO - LUCCAS TOON @UC_gV70G_Y51LTa3qhu8KiEA,38.6M,-,Brazil,,11.6M
5,Maria Clara & JP @UCKe6w0exI94U-RzqAyoY1VA,33.8M,0.1%,Brazil,,10.1M
6,rezendeevil @UCbTVTephX30ZhQF5zwFppBg,31.5M,-,Brazil,,9.5M
7,Marília Mendonça @UCwfEOn0O1DWcyTgzVVu28ig,25.5M,-,Brazil,,7.7M
8,Renato Garcia @UChMJkHCD2wdvSO7CMOuLR-w,25.2M,0.4%,Brazil,,7.6M
9,Enaldinho @theenaldinho,22M,0.1%,Brazil,,6.6M
10,Canal Canalha @UCPHXtOVmjvbP9OJihsd7gCg,20.7M,-,Brazil,,6.2M
11,Totoy kids - Português @UCy7whoHQXzhYxp9AQmrPFVw,19.9M,-,Brazil,,6M
12,Gusttavo Lima Oficial @UCXooz9whNJZBRTHi9AqdjPw,19.3M,-,Brazil,,5.8M
13,Robin Hood Gamer @UCYtaoJSk9iIrFxx8eZB15ag,19.2M,-,Brazil,,5.8M
14,Dan-Sa / Daniel Saboya @UCEUf_uUDUfJJ3XfgwOxm-0A,18M,-,Brazil,,5.4M
15,Masha e o Urso @UCJKBSfD5JSUxGhriFeoPCCg,17.4M,-,Brazil,,5.2M
16,DUDU e CAROL @UC371icpvZj2oQaocL0i9L-g,17.1M,0.5%,Brazil,,5.1M
17,Rafa & Luiz @UC6paX0kLA8D81aYogceMufw,16.6M,0.1%,Brazil,,5M
18,Canal IN @UCIR9VKPE70KJ4DX2zCjHObw,16.1M,-,Brazil,,4.8M
19,Henrique e Juliano @UCfLTxnQboSLcoSakgONmukQ,15.3M,-,Brazil,,4.6M
20,Gato Galactico | GALÁXIA @UCbt4SegZBQLeXMTMvnrfZtw,15.3M,-,Brazil,,4.6M
21,Zé Neto e Cristiano @UCRRu9OXVYd5clj2Bs29gUVQ,14.7M,-,Brazil,,4.4M
22,MK MUSIC @UCbVwJCxsVbmaP1PFmbGQDeQ,14.6M,-,Brazil,,4.4M
23,Jorge & Mateus Oficial @UCL64gn1KZ1C-u87BGQv3b6w,14.6M,0.2%,Brazil,,4.4M
24,IDEIAS INCRÍVEIS @UCcQeJmGXpa_t03Zjrl8Aq4g,14.6M,-,Brazil,,4.4M
25,Canal Nostalgia @UCH2VZQBLFTOp6I_qgnBJCuQ,14.4M,0.2%,Brazil,,4.3M
26,Camila Loures @UCvuJTWl_peL49CUfF2EAbyg,14.2M,-,Brazil,,4.3M
27,O Canal do Joãozinho - Little Angel Português @UCAdpXDXkrrYQXFtAbJixRUg,14.2M,-,Brazil,,4.3M
28,Invento na Hora @UCR3vcUrhFUdzagng58ueI2w,14.1M,0.8%,Brazil,,4.2M
29,Juliana Baltar @UCqDauP_ke8Lwt8Hg3Xv-8Iw,14M,-,Brazil,,4.2M
30,AM3NlC @UCrGnb5RdHA9M6WGmBGYo4ZQ,13.9M,0.1%,Brazil,,4.2M
31,MAIKI021 @UCXhDFaOPG2zhiYm9eXuMKkA,13.7M,-,Brazil,,4.1M
32,TazerCraft @UCjBO43ykxlSs3j7F7EXcBUQ,13.4M,0.2%,Brazil,,4M
33,PlayHard @UC4IMfO_--bwBaNgWeoLxAgg,13.4M,-,Brazil,,4M
34,O Reino Infantil @UCooY3HgjOMWoDpIHMDM4ghQ,13.2M,-,Brazil,,4M
35,O Que Não Dizer Oficial @UC19aAr6UojQesIVCBsXJGIw,13.1M,-,Brazil,,3.9M
36,Matheus Yurley @UC-4kjzuh4822B9yPSgpZQgA,13.1M,0.3%,Brazil,,3.9M
37,Ei Nerd @UCt_4wzTQqmcUvemNkeO0plA,13M,-,Brazil,,3.9M
38,Everson Zoio @UChPa3fnlI3RKuzEbeEPKRFw,12.9M,0.8%,Brazil,,3.9M
39,Peppa Pig em Português Brasil - Canal Oficial @UCvD9GB-E4q_TuMpwUtFBhLA,12.8M,-,Brazil,,3.8M
40,Hungria Hip Hop @UCAI8SmRbXgSpP8Zo3xZbxzQ,12.7M,1.3%,Brazil,,3.8M
41,Crescendo com Luluca @UCnrGkE2AmBAv6Vxj6kjf1jg,12.5M,0.3%,Brazil,,3.8M
42,Bispo Bruno Leonardo @UCVNouUw3d3l5JYVCxhAQXKA,12.5M,2.2%,Brazil,,3.8M
43,Parafernalha @UCddYq41_tZ1FnLlguLT6-Ow,12.5M,-,Brazil,,3.8M
44,LOUD @UC7iwNp4GUynlGXvK-6KD0Rw,12.4M,0.1%,Brazil,,3.7M
45,Bela Bagunça @UChYWDADhmWJU6_X7Vm7FzDw,12.2M,-,Brazil,,3.7M
46,EU FICO LOKO @UCwQSkyrft0ohf-ra21yIs9Q,11.8M,-,Brazil,,3.5M
47,LipaoGamer @UCHuZmQ0lSW8TG81dVZZh5rw,11.8M,-,Brazil,,3.5M
48,Dani Russo Tv @UCgdnrd2Ae_H07_N8j1l18Xw,11.7M,0.1%,Brazil,,3.5M
49,SBT @UCR3TOnFWDeAlT-Ho6LueDmg,11.7M,-,Brazil,,3.5M
50,MC Divertida @UCllJguE1AIxYBmZJ8NUWiHg,11.7M,-,Brazil,,3.5M
51,Pastor Antônio Júnior @UCKEM87jzVqdIfAdTr0xNBfA,11.5M,0.6%,Brazil,,3.5M
52,Simone e Simaria @UCSriAVggapS9Fb43fRB2vyQ,11.3M,0.2%,Brazil,,3.4M
53,Virgínia Fonseca @UCsaB2VrLZrtGbum6Eo0ClbA,11.3M,-,Brazil,,3.4M
54,Coisa de Nerd @UCuxfOdbKQy0tgGXcm9sjHiw,11.1M,-,Brazil,,3.3M
55,Games EduUu @UCYzp8-P162Em-3uZnCuGJOg,11M,1.2%,Brazil,,3.3M
56,Viih Tube @UCl5i1KWUAV7hdT5_tL8l6RA,11M,-,Brazil,,3.3M
57,Milena Stepanienco - MILENINHA @UCMQGjL7ft6aNLKPp5xN-P3A,10.8M,-,Brazil,,3.2M
58,Galo Frito @UCyb0T6J6nL5ibo0HLRMINKw,10.7M,-,Brazil,,3.2M
59,Mussoumano @UC607Gii1uo93qDqiGR6-c3w,10.7M,0.7%,Brazil,,3.2M
60,Franciny Ehlke @UCoTM-vvs2hnv2mCvzNJ5uXA,10.6M,0.2%,Brazil,,3.2M
61,Lucas Rangel @UCNmBUECIkUyPr2hxIAT3vzw,10.5M,-,Brazil,,3.2M
62,The Noite com Danilo Gentili @UCEWOoncsrmirqnFqxer9lmA,10.5M,0.1%,Brazil,,3.2M
63,Matheus e Kauan @UC4WvVh0AwJ6K9w1JLepce7A,10.5M,-,Brazil,,3.2M
64,Lorrayne Oliveira @UC--FL6OwLFWGIZfLfazY4yA,10.4M,-,Brazil,,3.1M
65,Netflix Brasil @UCc1l5mTmAv2GC_PXrBpqyKQ,10.3M,-,Brazil,,3.1M
66,PineappleStormTV @UCqrFwa5vueOTzGZ7NSlnvlQ,10.1M,0.5%,Brazil,,3M
67,BETO GAMER @UCPl_3zCQnCB4Iv79UD_i-5A,10M,-,Brazil,Video Gaming,3M
68,Receitas de Pai @UCF5WzS-iBJRfp_EcFI-GT1w,10M,0.1%,Brazil,,3M
69,BIBI @UCF5VmU9N3sqqVe-F6E4gewg,9.7M,-,Brazil,,2.9M
70,MALOUCOS @UCQ7VIoEXgNHBmXPoh002rlw,9.6M,-,Brazil,,2.9M
71,Garena Free Fire Brasil @UCr4ARxgElIO21GWfIraZezg,9.5M,-,Brazil,,2.9M
72,COMÉDIA SELVAGEM @UCrKj1r2Q7UIeltxsUneeZyQ,9.4M,0.6%,Brazil,,2.8M
73,Irmãos Berti @UC6pImjv_fejsPD19uXU_V-A,9.4M,-,Brazil,,2.8M
74,Cátia Damasceno @UCqV7ADkocFVOLxvPGqTEyDw,9.3M,0.1%,Brazil,,2.8M
