#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Dr. Jordan B. Peterson @jordan.b.peterson,565.8K,0.62%,Canada,Education,169.7K
2,Crumbl Cookies @crumblcookies,277.6K,0.28%,Canada,Food,83.3K
3,Simu Liu @simuliu,211.4K,1.08%,Canada,Acting & Drama Education,63.4K
4,rupi kaur @rupikaur_,206.1K,0.37%,Canada,Entertainment & Music,61.8K
5,kris.h.collins @kriscollins,195.3K,1.71%,Canada,Entertainment & Music,58.6K
6,Schitt's Creek @schittscreek,149.5K,0.72%,Canada,Entertainment & Music,44.9K
7,6ixBuzz TV 6️⃣🐝 @6ixbuzztv,148.1K,0.25%,Canada,Entertainment & Music,44.4K
8,Mei Pang @meicrosoft,144.1K,1.4%,Canada,Beauty & Self Care,43.2K
9,Nabaut Etminan @nabauti,131.6K,4.9%,Canada,Entertainment & Music,39.5K
10,Jordan Kilganon @jordankilganon,122.7K,0.22%,Canada,Sports,36.8K
11,October's Very Own @welcomeovo,119.4K,0.28%,Canada,,35.8K
12,Brooke Lynn Hytes @bhytes,110.3K,0.47%,Canada,Entertainment & Music Fashion & Accessories,33.1K
13,Lauren Riihimaki @laurdiy,104.2K,0.6%,Canada,Arts & Crafts Fashion & Accessories Entertainment & Music DIY & Life Hacks,31.3K
14,Explore Canada @explorecanada,104K,0.3%,Canada,Travel,31.2K
15,TSN @tsn_official,98.7K,0.08%,Canada,Sports,29.6K
16,SSENSE @ssense,96.2K,0.25%,Canada,Fashion & Accessories Arts & Crafts,28.8K
17,Nick Eh 30 @nickeh30,95.7K,1.6%,Canada,Games Entertainment & Music,28.7K
18,CarsWithoutLimits @carswithoutlimits,94.6K,0.43%,Canada,Auto and Vehicles,28.4K
19,Nidhi Nagori @nidhinagori29,94.4K,0.13%,Canada,Finance Upskilling,28.3K
20,𝐖𝐈𝐋𝐋 𝐏𝐀𝐑𝐅𝐈𝐓𝐓 @will_parfitt,90.9K,0.5%,Canada,Entertainment & Music,27.3K
21,Sadaf @shellbeauty1,88.9K,2.21%,Canada,Beauty & Self Care Marketing,26.7K
22,Jillian Harris @jillian.harris,86.3K,0.21%,Canada,Beauty & Self Care family Home & Garden,25.9K
23,Herb @herb,85.5K,0.58%,Canada,Adult content,25.6K
24,Narcity Canada @narcitycanada,84K,0.25%,Canada,Travel,25.2K
25,Kaitlyn Bristowe @kaitlynbristowe,81.8K,0.25%,Canada,Romance & Wedding Entertainment & Music,24.5K
26,STPeach @lisapeachy,80.9K,0.36%,Canada,Funny Fashion & Accessories Health & Fitness,24.3K
27,Ariel Fitz @arielfitz.patrick,77.5K,1.33%,Canada,Entertainment & Music,23.2K
28,Jeff Nippard @jeffnippard,77.1K,0.66%,Canada,Fitness & Health,23.1K
29,Thomas Vijayan @thomasvijayan,77K,0.33%,Canada,Nature Animals Travel Photography,23.1K
30,MATTY MATHESON @mattymatheson,75.8K,1.53%,Canada,Food,22.7K
31,Muna Hawwa | مُنى حوّا @munahawwa,72.1K,0.82%,Canada,Fashion & Accessories,21.6K
32,Michele Alves @miaalvescz,71.5K,0.32%,Canada,Entertainment & Music,21.4K
33,Saif Shawaf @saifshawaf,70K,0.47%,Canada,Entertainment & Music,21K
34,Cristine 😸😽+💅💿+🧦+🇨🇦 @simplynailogical,68K,0.88%,Canada,Beauty & Self Care,20.4K
35,Khloë Terae 🇨🇦 @khloe,67.3K,0.3%,Canada,Travel Modeling Outdoor Activity Animals,20.2K
36,Motivation Success Quotes @motivation_mondays,64.2K,0.25%,Canada,Education Sports,19.3K
37,Azzy 💕 @azzyland,62.1K,0.36%,Canada,Gaming,18.6K
38,EMMETT SPARLING 🌎 TRAVEL @emmett_sparling,61.7K,0.63%,Canada,Photography Outdoor Activity Travel,18.5K
39,Sportsnet @sportsnet,60.3K,0.44%,Canada,Sports,18.1K
40,Jagmeet Singh @jagmeetsingh,59.3K,2.36%,Canada,Politics,17.8K
41,Daniel Schiffer @daniel.schiffer,58.8K,0.33%,Canada,Arts & Crafts DIY & Life Hacks Entertainment & Music,17.6K
42,Grece Ghanem @greceghanem,53.4K,0.37%,Canada,Fashion & Accessories,16K
43,Melly Sanchez @thefashionfreakk,51.9K,0.52%,Canada,Fashion & Accessories Beauty & Self Care,15.6K
44,Yvonne Ng @yvonnieng,50.9K,2.15%,Canada,Games,15.3K
45,Chris Hau @thechrishau,48.7K,1.55%,Canada,Travel Tech Comedy,14.6K
46,priyanka @thequeenpriyanka,48.6K,0.81%,Canada,Entertainment & Music,14.6K
47,Humble The Poet @humblethepoet,46.7K,0.2%,Canada,Arts & Crafts Entertainment & Music,14K
48,Atosa Aghakhani @atosaaghakhani,44.3K,0.21%,Canada,Beauty & Self Care,13.3K
49,غادة حسن | Ghada Hassan @ghadahassan25,44K,0.37%,Canada,Fashion & Accessories Travel Finance,13.2K
50,spencer e barbosa✨🦋💕🧸 @spencer.barbosa,41.9K,1.79%,Canada,Fashion & Accessories Food,12.6K
51,ChuBoi | EA SPORTS FC 24 #EASPORTSFC @chuboi,39.9K,1.1%,Canada,Games,12K
52,MTL Blog @mtlblog,39K,0.21%,Canada,Travel Food Product Showcase,11.7K
53,Michael Sidofsky @mindz.eye,38.6K,1.68%,Canada,,11.6K
54,Black Forest Wood Co. @blackforestwoodco,38.3K,-,Canada,Home & Garden,11.5K
55,Jeff Mack Designs @jeffmackdesigns,38.3K,0.09%,Canada,Arts & Crafts,11.5K
56,Jen Brett @jenbretty,37.1K,0.6%,Canada,Entertainment & Music Funny,11.1K
57,Tanya Sam @itstanyatime,35.9K,0.19%,Canada,Fitness & Health Education Fashion & Accessories,10.8K
58,STRETCHIT Stretching Mobility @stretchitapp,35.7K,0.05%,Canada,Fitness & Health Outdoor Activity,10.7K
59,Nick Walker @nickwalkerfitness,34.9K,1.03%,Canada,Fitness & Health,10.5K
60,⠀⠀⠀⠀⠀⠀⠀⠀⠀CHELSEA GREEN @chelseaagreen,34.2K,1.47%,Canada,Sports Entertainment & Music,10.3K
61,Vancouver Canucks @canucks,34K,0.81%,Canada,,10.2K
