#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,James Rodríguez @jamesrodriguez10,1.4M,0.43%,Colombia,Sports,411.9K
2,MALUMA @maluma,1.2M,0.48%,Colombia,Entertainment & Music,357.8K
3,sujin kim @chinguamiga,717.8K,0.93%,Colombia,Animation & Cosplay,215.3K
4,SOL LEON ⏳🍑💋 @solleon21,266.9K,0.37%,Colombia,Fashion & Accessories family,80.1K
5,Daniela Rodriguez @danielarodrice,253.5K,1.95%,Colombia,Beauty & Self Care,76.1K
6,Sara Uribe @sara_uribe,249.1K,0.13%,Colombia,Beauty & Self Care family,74.7K
7,Para Damas Oficial @paradamaslaoficial,239.9K,0.22%,Colombia,Fashion & Accessories,72K
8,LUISA CASTRO✨ @luisa_castro1585,238.6K,0.55%,Colombia,,71.6K
9,EL TIEMPO @eltiempo,205.5K,0.16%,Colombia,News,61.7K
10,A M A 🤍 @amarantavp,196.3K,1.4%,Colombia,Entertainment & Music Romance & Wedding,58.9K
11,TULIO Recomienda @tuliorecomienda,189.9K,0.32%,Colombia,Food,57K
12,Gustavo Petro @gustavopetrourrego,186.8K,0.83%,Colombia,Politics,56K
13,ＭＡＴＴＥＬＳＡ @mattelsa,174.2K,0.44%,Colombia,Fashion & Accessories,52.3K
14,nejoelbroko @nejoelbroko,166.2K,0.17%,Colombia,Entertainment & Music,49.9K
15,Espacio de Mujeres @espaciodemujeres,163.9K,0.3%,Colombia,Beauty & Self Care,49.2K
16,Pipe Bueno @pipebueno,162.1K,0.26%,Colombia,Entertainment & Music,48.6K
17,Maria Pineda @mia_astral,159.5K,0.33%,Colombia,Education,47.8K
18,Suso el Paspi @susoelpaspi,157.2K,0.13%,Colombia,Comedy Entertainment & Music,47.1K
19,Amor Novios Frases @abcdamor,151.5K,0.2%,Colombia,Romance & Wedding,45.4K
20,Sara Orrego @saraorrego,145K,0.4%,Colombia,Entertainment & Music Fashion & Accessories,43.5K
21,Ricardo Quevedo @cejaspobladas,139.5K,1.67%,Colombia,Entertainment & Music,41.8K
22,Mafe Méndez 🦋 @lamafemendez,137.6K,0.35%,Colombia,Beauty & Self Care Fashion & Accessories,41.3K
23,ÚLTIMA HORA COL @ultimahoracol,130.8K,0.1%,Colombia,News,39.2K
24,Revista Semana @revistasemana,130.4K,-,Colombia,Education News & Politics,39.1K
25,DOCTOR JAVIER SOTO @drjaviersoto,130.2K,0.07%,Colombia,Beauty & Self Care,39K
26,JOHA FADUL @johannafadul,126.7K,0.3%,Colombia,Entertainment & Music,38K
27,Sebastian Carvajal @sebastiancarva,122.6K,1.57%,Colombia,,36.8K
28,BE⚡️ @belosmaki,121.2K,0.13%,Colombia,Fitness & Health,36.4K
29,Valery Altamar @valeryaltamar001,113.8K,0.55%,Colombia,Beauty & Self Care,34.1K
30,Camilo Pulgarin @jcamilopulgarin,112.9K,0.54%,Colombia,Entertainment & Music,33.9K
31,Alejandro Leiva (PiterAlbeiro) @piteralbeiro,110.6K,0.16%,Colombia,Fitness & Health Education Upskilling Entertainment & Music,33.2K
32,Catherine Siachoque Varoni @catherinesiachoque,110.6K,0.21%,Colombia,Acting & Drama,33.2K
33,NTN24 @ntn24,110.5K,0.02%,Colombia,News & Media,33.2K
34,KARINA GARCIA @karinagarciaoficiall,109.8K,0.23%,Colombia,Beauty & Self Care Food,32.9K
35,Fonseca @fonsecamusic,109.4K,-,Colombia,Entertainment & Music,32.8K
36,Atlético Nacional SA @nacionaloficial,108.6K,0.25%,Colombia,Sports,32.6K
37,𝐕𝐀𝐋𝐄𝐍𝐓𝐈𝐍𝐀 𝐆𝐀𝐑𝐙𝐎𝐍 @valentinagarzonc,104.3K,1.7%,Colombia,Romance & Wedding,31.3K
38,Daniel Patiño @paisa,103.3K,0.35%,Colombia,Entertainment & Music,31K
39,𝒞𝓇𝒾𝓈𝓉𝑜 𝓉𝑒 𝒶𝓂𝒶 @frases_cristianas777,102.4K,0.88%,Colombia,Education,30.7K
40,Felipe Peláez @felipepelaez,100.3K,0.09%,Colombia,Entertainment & Music,30.1K
41,Martina @martinalapeligrosa,100.3K,0.35%,Colombia,Entertainment & Music,30.1K
42,Pibe Valderrama @pibevalderramap,99.7K,0.58%,Colombia,Sports,29.9K
43,Acción Poetica Colombia 🔵 @accioncolombia,99.3K,0.41%,Colombia,Entertainment & Music,29.8K
44,Makeup Maquillaje Belleza @maquillaje.paramujeres,95.4K,0.49%,Colombia,Beauty & Self Care,28.6K
45,Eclipse Design SAS @eclipsedesignsas,91.8K,0.01%,Colombia,Arts & Crafts Home & Garden,27.5K
46,Lulu99 @luisalulu99,89.5K,0.88%,Colombia,Beauty & Self Care Fashion & Accessories,26.9K
47,Jonatan Clay @jonatanclay,88.9K,0.45%,Colombia,Entertainment & Music,26.7K
48,Claudia López 👍 @claudialopezcl,86.5K,-,Colombia,Politics,25.9K
49,Nicolas Arrieta @nicolasarrieta,81.4K,0.39%,Colombia,Entertainment & Music,24.4K
50,Dailyn Alejandra Montañez Guerrero @tremenda.show,78.7K,0.31%,Colombia,Entertainment & Music Romance & Wedding,23.6K
51,MrStivenTc @stiven.tc,75K,1.05%,Colombia,Entertainment & Music,22.5K
52,Yurielkys Ojeda 🕷 @yurielkys.ojeda,74.4K,1.39%,Colombia,Entertainment & Music,22.3K
53,Tian @tianbz,71.7K,0.33%,Colombia,Fashion & Accessories,21.5K
