#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Karol G @karolg,51.9M,3.8%,Colombia,Entertainment and Music,15.6M
2,Alejandro Nieto @soybans,30.4M,-,Colombia,,9.1M
3,NICOLE AMADO 🐉 @amadorat,21M,-,Colombia,,6.3M
4,🎭 Deiry Vargas 🎭 @deiryvargas,19.6M,0.6%,Colombia,Acting and Drama,5.9M
5,Gemelas Ortega @gemelasortega,17.3M,-,Colombia,Pets Beauty and Self Care,5.2M
6,Maleja 👑 @soymaaleja,11.7M,0.7%,Colombia,Entertainment and Music Fashion and Accessories,3.5M
7,mapusa🦖 @mapusa,7.8M,-,Colombia,,2.3M
8,jcamilopulgarin @jcamilopulgarin,7.5M,-,Colombia,Funny,2.3M
9,Sofia Brano @sofiabrano,7.2M,-,Colombia,Entertainment and Music,2.2M
10,DIEGO CADENA @diegocadena,7.1M,-,Colombia,family Entertainment and Music,2.1M
11,Johanna Fadul @johafadul,5.8M,-,Colombia,Acting and Drama,1.7M
12,Calle y Poché @calleypoche,5.8M,-,Colombia,Entertainment and Music,1.7M
13,Carolina Gaitán (La Gaita) @lagaitagaitan,5.3M,-,Colombia,Acting and Drama,1.6M
14,Bianki Place ♡ @bianki,4.8M,-,Colombia,Fashion and Accessories,1.4M
15,Daniel & Nicolas García 🇨🇴 @brotherstwinz,4.6M,-,Colombia,,1.4M
16,Lina Tejeiro @linatejeiro8,4.5M,0.1%,Colombia,Acting and Drama,1.4M
17,frank trejos @franktrejos,4.1M,-,Colombia,Entertainment and Music,1.2M
18,Yanita Karpova @yanitabebecita,3.8M,-,Colombia,,1.1M
19,ZenSoto @zensoto10,3.5M,-,Colombia,,1.1M
20,Sebastián Villalobos @sebas,3.2M,-,Colombia,,960K
21,Valu @valuhenaoo1,3.1M,-,Colombia,,930K
22,Juan Pablo Toro X @juanpatorox,3M,0.1%,Colombia,,900K
23,ALEX <3 @alexitoxedits,2.8M,0.3%,Colombia,Arts and Crafts,840K
24,Saibu @sai_bu,2.8M,-,Colombia,Entertainment and Music,840K
25,Andrea Brown @andreabrownvera,2.6M,0.1%,Colombia,,780K
26,Sebastian @sebastianteransilva,2.6M,-,Colombia,,780K
27,Daneydy Barrera @epa_colombia1,2.5M,-,Colombia,,750K
28,Kevin Daza @kevindaza,2.3M,-,Colombia,,690K
29,Mol @cmolasmr,2.2M,-,Colombia,Entertainment and Music,660K
30,La Mafe Mendez @lamafemendez,2.1M,-,Colombia,Beauty and Self Care,630K
31,Maleja Restrepo @malejarestrepo0,2M,-,Colombia,,600K
32,Yokoi Kenji @yokoikenjidiaz,2M,0.1%,Colombia,,600K
33,thejasondiaz @thejasondiaz,2M,-,Colombia,,600K
34,Veronicahoyoz @veronicahoyozz,1.9M,-,Colombia,,570K
35,Golden @goldengera,1.8M,-,Colombia,,540K
36,Javier Silva @javier7silva,1.8M,-,Colombia,,540K
37,Baila Facilito @bailafacilito,1.6M,-,Colombia,,480K
38,💙YUZNEY💙 @yuzyaruro,1.5M,-,Colombia,,450K
39,YEIMY PAOLA V @yeimypaolav,1.5M,-,Colombia,,450K
40,Juanpadue @juanpadue,1.5M,-,Colombia,Romance and Wedding family,450K
41,Alejo Ospina @aospinad_tt,1.4M,-,Colombia,Fitness and Health Entertainment and Music,420K
42,Alejo Suárez @alejoosuarez,1.4M,-,Colombia,,420K
43,!!..Lu..!! @reina_luciaapp_oficial,1.4M,-,Colombia,,420K
44,Belinda Milanes Frieri @belindamilanesfrieri,1.4M,-,Colombia,Education,420K
45,Laura Tobon @laura_tobon,1.4M,1.1%,Colombia,,420K
46,Valeria Giraldo @valeriagldr,1.3M,-,Colombia,,390K
47,🎶Nicolas Nuvan🎵 @nicolasnuvan,1.3M,-,Colombia,Entertainment and Music,390K
48,valkeel @valkeel,1.2M,0.2%,Colombia,,360K
49,Marto @jemartob,1.2M,0.6%,Colombia,Animation and Cosplay,360K
50,Ximena Duque @ximenaduque30,1.2M,-,Colombia,Education Upskilling Acting and Drama Celebrity,360K
51,Olga Lucía Vives @olgaluciavives,1.2M,-,Colombia,,360K
52,S_HADES12 @s_hades12,1.2M,-,Colombia,,360K
53,David Barajas @davidfbarajas,1.2M,-,Colombia,,360K
54,Kelly apraez @kelly.apraez,1.2M,0.5%,Colombia,,360K
55,melissa @melissaarojas,1.2M,-,Colombia,,360K
56,Shaira Oficial @shairaoficial,1.1M,-,Colombia,,330K
57,FedeXx😛🔥 @fedricomontoya,1.1M,-,Colombia,Celebrity,330K
58,Sebas @sebasberon,1.1M,-,Colombia,Games,330K
59,Alicia Valencia @aliciavalenciaf_,1.1M,-,Colombia,,330K
60,Sara Orrego @saraorrego__,1M,-,Colombia,Fashion and Accessories,300K
61,Missdayannavargas @missdayannavargas,1M,-,Colombia,,300K
62,Nis @nisriinejr,1M,0.3%,Colombia,,300K
63,𝙸𝚜𝚜𝚊𝚋 @i_ssab,1M,-,Colombia,,300K
64,estrellahurtado @soyestrellahurtado,999.1K,-,Colombia,Arts and Crafts Animation and Cosplay Acting and Drama,299.7K
65,LA PLAGA ♛ @soy.laplaga,993.3K,0.6%,Colombia,,298K
66,Aprender Online @aprenderonline,992.1K,-,Colombia,Education Upskilling,297.6K
67,Salchimonster Colombia @salchimonsterco,988.2K,-,Colombia,,296.5K
68,Soy janin @soyjaninalchair,986.2K,-,Colombia,,295.9K
69,Pipe Pinzon @soypipepinzon,984.5K,-,Colombia,,295.4K
70,Andrea Alayon @andreaalayon,984.5K,-,Colombia,,295.4K
71,Vanessa Torres @vanessatorrescubi,983.4K,-,Colombia,,295K
72,Julian Alexander Madrid @piroberta1,979.7K,0.1%,Colombia,Entertainment and Music Funny,293.9K
73,Marcela @marcelaglow,979.5K,-,Colombia,,293.9K
74,Cristian F. Torres @cftorres,975.5K,-,Colombia,,292.7K
75,Oscar Velasquez @oscarovelasquez08,973K,-,Colombia,,291.9K
76,ElAndrex @elandrex_,971.8K,0.2%,Colombia,,291.5K
77,Gabriela Hurtado @gabriellaa2606,967.7K,0.5%,Colombia,,290.3K
78,Pitizion @pitizion,967.7K,-,Colombia,,290.3K
79,Don adony @adonys16don,964.2K,-,Colombia,,289.3K
80,Juan Jose @juanjop0,958.7K,-,Colombia,Video Gaming,287.6K
81,Lau J Madrid @soylaujmadrid,958.4K,-,Colombia,,287.5K
82,Mateo Agudelo @matowelie,955.8K,0.3%,Colombia,,286.7K
83,canelaa_20 @canelaa_20,953.1K,-,Colombia,,285.9K
84,Tatiana 😍 @tatiana.bm_,951.9K,-,Colombia,Beauty and Self Care,285.6K
85,Carolina @carolina.la.rosa,948.9K,4.5%,Colombia,,284.7K
86,Legarda @legardaoficial,947.3K,0.9%,Colombia,,284.2K
87,🇨🇴Juan Sebastian Toro🇨🇴 @inefable_jstj,944.9K,-,Colombia,,283.5K
88,Es Ale @esalepulido,943.6K,0.1%,Colombia,Business and Finance,283.1K
89,Mariana Borrero @m.borrero00,943.5K,-,Colombia,Entertainment and Music,283.1K
90,Jicardenas @jicardenas2.0,938.4K,0.3%,Colombia,Entertainment and Music Funny,281.5K
91,hoolie! 🍒 @juliesofiaa,934.4K,-,Colombia,,280.3K
92,Laura Mejia @lauramejiar,934K,-,Colombia,Beauty,280.2K
93,Jhooss_ 🌵 @jhooss_,933.7K,1%,Colombia,Arts and Crafts Education,280.1K
94,Nicolas Moud @nicolasmoud,932.3K,-,Colombia,,279.7K
95,Nicolas Santanilla @nicolassantanilla,929.8K,-,Colombia,,278.9K
96,Angie Vargas @soyangievargas,926.5K,-,Colombia,Entertainment and Music,278K
97,Failed World👽🌎 @failedworld88,925.7K,-,Colombia,,277.7K
98,Crisbasabe @crisbasabe,923.9K,0.1%,Colombia,Funny,277.2K
99,Valentina Garzon @littlevalee,923.6K,-,Colombia,,277.1K
100,Mallas Y Cerramientos Bogotá @mallasycerramientosbogot,923.4K,-,Colombia,,277K
