#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,J Balvin @UCt-k6JwNWHMXDBGm9IYHdsg,33.6M,-,Colombia,,10.1M
2,KAROL G @UCZuPJZ2kGFdlbQu1qotZaHw,27.3M,0.1%,Colombia,,8.2M
3,toycantando @UC2xjgvWb9cx5F637XjsUNxw,25.4M,-,Colombia,,7.6M
4,Anuel AA @UCRI7hheejBbWS6etTNwMT0g,22.2M,1.3%,Colombia,,6.7M
5,Camilo @UCw0aKHSGFGyrnMeVnHeYMyw,15.3M,-,Colombia,,4.6M
6,Lulu99 @UCCyCcRlr_NRDP-JFAhBxq1g,12.1M,-,Colombia,,3.6M
7,MrStiven Tc @UCwq-AEFGSdkSTeqcnBsgSlQ,9.8M,-,Colombia,,2.9M
8,Pautips @UCiLARavvxPYccbXCPNbwGGQ,9M,-,Colombia,,2.7M
9,Sofia Castro @UCBdBf2Eh24nM5PJyM2sdFPg,9M,0.5%,Colombia,,2.7M
10,MTZ Manuel Turizo @UC5Jn-9jqrVvKm9Hx0WW8Pgw,8.7M,-,Colombia,,2.6M
11,Amara Que Linda @UChq_qmwRxTMgmggitRTiIEA,8.5M,-,Colombia,,2.6M
12,Kika Nieto @UC67qfftymkxZk_3aWOklaaA,7.9M,0.2%,Colombia,,2.4M
13,Calle y Poché @UC-BZEmUUUIXmD1CgkWACVyQ,7.5M,1%,Colombia,,2.3M
14,Piso 21 @UCEFNzT2RoVqGkV4e3Osyx4A,7.5M,-,Colombia,,2.2M
15,8D TUNES @UCrRpYEytIHGyDgNWO6VbHlQ,7.2M,-,Colombia,,2.2M
16,FlexVega @UCzzJ6gx-RPibuPbTCyHy51w,7M,1.5%,Colombia,,2.1M
17,Paulettee @UCV_64Emay6e8d-pHYGQaWbA,6.9M,0.1%,Colombia,,2.1M
18,Caracol Televisión @UCcpE1fmG2qBZatj28bak2ng,6.9M,-,Colombia,,2.1M
19,Canal RCN @UCSCAJJ1RJ4rfRTVW4gjYTpQ,6.8M,-,Colombia,,2M
20,Cuentos y Canciones Infantiles @UCfG8Gc1JjarMcPFNLjIuBKw,6.6M,-,Colombia,,2M
21,Fausto Murillo @UCbVNBFaRkgL-6kg92q1fsYw,6.2M,-,Colombia,,1.9M
22,Go Ami Go! @UCp4Fk7Xy_wYq8sFKcKNrQCA,6.2M,0.2%,Colombia,,1.9M
23,The Voice Kids Colombia @UCpS_1IwmQd_f2AmTSBIqnyw,6M,-,Colombia,,1.8M
24,Carlos Vives @UCcoTDF00osWsjkiO3eC9viw,5.7M,-,Colombia,,1.7M
25,100%JC @UCKNaHR0S6SES9qgsD3AhR-A,5.6M,-,Colombia,,1.7M
26,SORPRENDENTE @UCqo103ltx_rUXCqJhpoF1Qw,5.4M,0.1%,Colombia,,1.6M
27,Mundo Canticuentos @UCfasN8yPGTweEGtC_WK7O2Q,5.3M,-,Colombia,,1.6M
28,Noticias Caracol @UC2Xq2PK-got3Rtz9ZJ32hLQ,5.2M,-,Colombia,,1.6M
29,JeanCarlo León @UC9l8dGTa6UMJfhHFj7ZugLQ,5.1M,-,Colombia,,1.5M
30,PANDA @UCidiEXdWtuFT6DH3RYiUs3w,4.9M,-,Colombia,,1.5M
31,julioprofe @UCIkCzk3ezlAxX5r2OFlHLaQ,4.8M,-,Colombia,,1.4M
32,Javier Ramirez @UCJufShm_lek_NjinsoRwvnQ,4.8M,-,Colombia,,1.4M
33,Libardo Isaza @UC0qE-Iq_PEYCYyKJAnBEeHg,4.2M,1.5%,Colombia,,1.3M
34,Yokoi Kenji Diaz @UCGeCSS6g1D7rv2LppDXcAdg,4M,-,Colombia,,1.2M
35,Nanpa Basico Oficial @UC4Boh-JJrLC60ZiNTaSwAxA,3.7M,-,Colombia,,1.1M
36,Mario Ruiz @UCshS74b7n8wVEREIqrMmlEg,3.6M,0.1%,Colombia,,1.1M
37,Sophie Giraldo @UCHuXsb-S_iar6HipS_pzEeQ,3.4M,-,Colombia,,1M
38,KapitalMusicTv @UCu-qQNeaTJpbWB-NayPsABg,3.3M,0.1%,Colombia,,1M
39,Frank Jr. Navarro @UCP0lDkVPjT3fAxvKNO5oLNg,3.1M,3.1%,Colombia,,933K
40,Tops Y Misterios @UC3jLoYJEB5oDreCRhkMkPAA,3M,-,Colombia,,903K
41,ELpeluca XD @UCcxItMkOHx0c6pgTaRX8Q8g,3M,0.3%,Colombia,,888K
42,BrosNacion @UC_jirlXCNqUBaARzja50y8Q,2.8M,0.9%,Colombia,,846K
43,Flow Urban @flowurbanmusic,2.8M,-,Colombia,Music,843K
44,Juanes @UC5sQe-dDsoobC6TRokL7SMQ,2.8M,-,Colombia,,834K
45,Consejero Espiritual @UCqIZCncVSY9U77WB3T1vfyA,2.7M,-,Colombia,,819K
46,Jonatan Clay @UCR-ZXezvsDLUb-vLv95AQQg,2.7M,-,Colombia,,795K
47,MdeMatu @UCootdudxV2EbMHOlvtKeDAg,2.6M,-,Colombia,,786K
48,Yo creo en Dios @UCVlSHowGJjtQ-38HmV5RuZQ,2.6M,-,Colombia,,765K
49,Bianki Place @biankiplace,2.5M,-,Colombia,,762K
50,JORPA _17 @UCYGD-6F9QQduxtTrxHf7esQ,2.5M,-,Colombia,,744K
51,Farina @UCMSu01Lf2JW5mx6xFxg_IOA,2.5M,-,Colombia,,744K
52,Universal Camera @UCkY37g7U_rv1Z9cJ9vBBbpg,2.4M,-,Colombia,,732K
53,Yei Palmezano TV @UCNvCQAxMnleyftTuamTvIcw,2.4M,0.1%,Colombia,Celebrity News Pets Sports,717K
