#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Dee @deestroying,2.5M,9.06%,Costa Rica,Entertainment and Music Sports Life and Society Soccer,757.6K
2,BRENDA KELLERMAN @brenda_kellerman,1.6M,0.25%,Costa Rica,Celebrity Actors,485.2K
3,SAVANNAH MONTANO @savmontano,1.6M,8.74%,Costa Rica,Modeling Fashion,484.3K
4,Grecia 🌊🎙️ @grecia,1.5M,0.94%,Costa Rica,Food Business and Finance Music Actors,455.1K
5,Laura Marcela De León Céspedes @lauradeleonc,1.5M,0.6%,Costa Rica,Entertainment and Music Fashion and Accessories Actors Journalists,443.6K
6,Millions | Manifesting | Magic @reganhillyer,1.1M,1.29%,Costa Rica,Education Finance Business and Finance Celebrity,330.9K
7,ROSARIO @alejandrosario,1M,4.88%,Costa Rica,,304.6K
8,Melissa Mora 🇨🇷 @melissamoraoficial,1M,0.19%,Costa Rica,Entertainment and Music Fashion and Accessories Actors Modeling,300.1K
9,Costa @costaokis,872.1K,0.22%,Costa Rica,Entertainment and Music Acting and Drama Marketing and Advertising Actors,261.6K
10,DARIANKA @darianka,857.6K,2.62%,Costa Rica,Fashion and Accessories Lifestyle Modeling,257.3K
11,𝑲𝒆𝒚𝒍𝒂 𝑺𝒂𝒏𝒄𝒉𝒆𝒛 @keysg,850.6K,1.17%,Costa Rica,Fashion and Accessories family Marketing and Advertising Actors,255.2K
12,María José Naranjo @majonaranjo27,643K,0.78%,Costa Rica,Beauty and Self Care Actors Virtualization,192.9K
13,Johanna Solano @johasolano,642.5K,1.29%,Costa Rica,Outdoor Activity Fitness and Health Animals Actors,192.7K
14,Santiago Saez @santiagosaez_,601K,2.38%,Costa Rica,Entertainment and Music Actors Music,180.3K
15,@andreasua00,594.9K,0.2%,Costa Rica,,178.5K
16,Karla Allen @karlaallenn,587.4K,0.2%,Costa Rica,Travel Fashion Photography,176.2K
17,Natalia Rodríguez @natyrodriguezcr,587.4K,0.32%,Costa Rica,Entertainment and Music Actors Virtualization Journalists,176.2K
18,Raquel 506 @raquel506,568.2K,0.81%,Costa Rica,Entertainment and Music Fashion and Accessories Actors,170.5K
19,Nancy Dobles @nandobles,555.3K,0.5%,Costa Rica,Television Actors Journalists Modeling,166.6K
