#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Dee @deestroying,160.9K,0.27%,Costa Rica,Entertainment & Music Sports Life & Society,48.3K
2,Mücahit Muğlu @mucahitmuglu,80.2K,0.52%,Costa Rica,Nature Travel Photography,24.1K
3,BRENDA KELLERMAN @brenda_kellerman,52K,0.1%,Costa Rica,,15.6K
4,Grecia 🌊🎙️ @grecia,50.2K,0.12%,Costa Rica,Food,15.1K
5,Deportivo Saprissa @deportivo_saprissa,36.2K,0.68%,Costa Rica,Sports,10.9K
6,Costa @costaokis,35.4K,-,Costa Rica,Entertainment & Music Acting & Drama,10.6K
7,ale @alejandrosario,35.3K,1.01%,Costa Rica,,10.6K
8,Megha Gupta @meghaguptaofficial,33.7K,0.36%,Costa Rica,Acting & Drama Fitness & Health,10.1K
9,𝑲𝒆𝒚𝒍𝒂 𝑺𝒂𝒏𝒄𝒉𝒆𝒛 @keysg,26K,0.4%,Costa Rica,Fashion & Accessories family,7.8K
10,Sunfyre🍄 @sunfyretv,19K,1.35%,Costa Rica,Entertainment & Music,5.7K
11,Visit Costa Rica @visit_costarica,18.6K,-,Costa Rica,Travel,5.6K
12,Purp @purplemiami,17.1K,0.46%,Costa Rica,Entertainment & Music Outdoor Activity,5.1K
13,Edgar Silva @edgarsilvacr,16.5K,1.59%,Costa Rica,Life & Society,5K
14,La Nación @lanacion,15.7K,0.19%,Costa Rica,News & Journalism,4.7K
15,Jefferson Kellerman @jeffkellerman,15.6K,0.13%,Costa Rica,Fitness & Health Outdoor Activity,4.7K
16,Tome pal pinto @tomepalpintocr,13.6K,1.16%,Costa Rica,Funny Travel,4.1K
17,NCR Noticias Costa Rica @ncr_noticias,13.5K,0.08%,Costa Rica,News,4.1K
18,DIEGO BRAVO @eldiegobravo,12.9K,0.53%,Costa Rica,Entertainment & Music,3.9K
19,𝙅𝙖𝙡𝙚 𝘼 𝘾𝙤𝙢𝙚𝙧 @jale_a_comer,12.3K,0.19%,Costa Rica,Food Travel,3.7K
