#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Ariasna @ariasna.ug,3M,-,Costa Rica,,900K
2,Jeka 24 @superjekitaa,3M,0.1%,Costa Rica,,900K
3,Milena González @milenagonzalez0810,2.3M,-,Costa Rica,,690K
4,Ashlooks @aashlooks,2.2M,-,Costa Rica,Beauty and Self Care,660K
5,rodezel @rodezel,1.5M,0.3%,Costa Rica,,450K
6,PeitonYT @peitonyt,1.2M,0.3%,Costa Rica,Entertainment and Music,360K
7,Dra. Margarita Tercero @dramargaritatercero,993K,-,Costa Rica,Education,297.9K
8,Sebastián Cartín @thenutristudent,907.9K,-,Costa Rica,Fitness,272.4K
9,ᴡᵃᵍⁿᵉʳ ᴍᵒⁿᶜᵃᵈᵃ @wagnermoncada_,883.1K,-,Costa Rica,,264.9K
10,Valentino Lázaro @valentinolazarohpriv,830.1K,0.1%,Costa Rica,,249K
11,Tiby Ulloa @tiby_ojitos14,815.2K,-,Costa Rica,,244.6K
12,bryan morera @bryan.morera,798.7K,-,Costa Rica,,239.6K
13,J.o.h.n.ny_Funado @j.o.h.n.ny_funado,794.8K,-,Costa Rica,,238.4K
14,Dina @gerardina291286,770.4K,-,Costa Rica,,231.1K
15,Emma 🦻🏻✨ @emmafallas0,711.6K,0.1%,Costa Rica,,213.5K
16,Paula Dobles🕊🪴✨ @paudobless,710.8K,-,Costa Rica,Entertainment and Music,213.2K
17,Andy Ríos @andyriosm,684.4K,1.2%,Costa Rica,,205.3K
18,Diego Madrigal @eldiegomadrigal,680.4K,-,Costa Rica,Entertainment and Music,204.1K
19,Frank Lopez Campos @djfrankplatinumcrew,679.6K,0.3%,Costa Rica,,203.9K
20,♥️ Charlie ♥️ @charlie__castro,669.4K,-,Costa Rica,,200.8K
21,Tony s2 @tony_ff_s2,666.7K,0.1%,Costa Rica,Video Gaming,200K
22,Esposito Mery @espositomery,657.7K,-,Costa Rica,,197.3K
23,Cristian Garro @elprofecris,642.3K,-,Costa Rica,Entertainment and Music,192.7K
24,Georgeana🌷🧚✨ @dream_18_george,630.4K,-,Costa Rica,,189.1K
25,Keyla Sánchez Granad @keylasanchezg,579.7K,0.1%,Costa Rica,,173.9K
26,Madeling Mendoza @abig975,508.1K,-,Costa Rica,,152.4K
27,Brenda Barrantes @brendabarrantes.cr,452.6K,-,Costa Rica,Beauty and Self Care,135.8K
28,gabiconejooo @gabiconejooo,449.3K,-,Costa Rica,,134.8K
29,Rachelle🌼 @just.rachelle,423.2K,-,Costa Rica,,127K
30,Shany 🍄🌻🌙 @shanyceshakti,411.2K,-,Costa Rica,,123.4K
31,Geoffrey Arburola @elge0ff,398.2K,0.1%,Costa Rica,Entertainment and Music,119.5K
32,Andrea Diaz @andreadiaz134,392K,-,Costa Rica,,117.6K
33,LA VOZ DE DIOS @the.voice.of.god,377.2K,0.1%,Costa Rica,,113.2K
34,Kriis Castillo Avila @kavaliere09,360.6K,-,Costa Rica,,108.2K
35,VALENTINA @cherrybombvalen,359.2K,-,Costa Rica,Beauty,107.8K
36,Pamela Cascante @pamelacascant,357K,0.1%,Costa Rica,,107.1K
37,F_W@_SHA_1998 @f_w_sha_1998,356.6K,-,Costa Rica,,107K
38,fashionista sneakers cartago @fashionistasneakers1,353K,-,Costa Rica,Fashion and Accessories,105.9K
39,JP Olivato 🇧🇷🇨🇷 @soyjpolivato,350.9K,-,Costa Rica,,105.3K
40,Stephanie Soto @stephaniesotocr,348.2K,-,Costa Rica,,104.5K
41,Yerling Villagra @yerling32pekee,343.9K,-,Costa Rica,,103.2K
42,Zoeeeeee ✨ @4k.zowii,343.4K,-,Costa Rica,,103K
43,Reychel Suárez @reych_s2,341.9K,-,Costa Rica,Fashion and Accessories,102.6K
44,Ali @alispace17,339.3K,-,Costa Rica,,101.8K
45,Chaini @chainiman,334.7K,0.2%,Costa Rica,Travel,100.4K
46,Johan✅ @johansc_,332.8K,-,Costa Rica,,99.8K
47,Camila Mena @menacami,329.8K,-,Costa Rica,,98.9K
48,Caleb Solano @calebsolano555,325.3K,0.1%,Costa Rica,,97.6K
49,Happy Organics @happyorganics,322.8K,-,Costa Rica,Nature,96.8K
50,Marilin Mendesmolina @marilinmendesmolina,320.8K,-,Costa Rica,,96.2K
51,Mike Alvarado @mikealvaradocr,315.8K,-,Costa Rica,,94.7K
52,Valeria Méndez @valemendezjk,314.5K,-,Costa Rica,,94.4K
53,Keiry Vega @keiry_vegaa,313.8K,-,Costa Rica,,94.1K
54,Kary Ramos @karyramoss,312.7K,-,Costa Rica,,93.8K
55,Tracy Mattis 🇨🇷 @tray_ma,305.1K,-,Costa Rica,Fitness and Health,91.5K
56,Rasta Fire @rasta.fire,304.9K,-,Costa Rica,,91.5K
57,Jafeth Jiménez @_jafeth,304.8K,-,Costa Rica,,91.4K
58,Kim Briceño🐯 @itsqueenkimx,304.4K,-,Costa Rica,Funny,91.3K
59,Jou Corrales @joucorrales,302.8K,-,Costa Rica,,90.8K
60,💙𝙅𝙚 𝙉𝙖𝙣.!💙 @nan_12kk,301.7K,-,Costa Rica,,90.5K
61,🔥Ťĥúťă Óó🔥🇨🇷 @thutawinoo,295.9K,-,Costa Rica,,88.8K
62,Fer Kazerouni @ferkazerouni,291.6K,-,Costa Rica,,87.5K
63,Fio García @fio_1409,285.6K,-,Costa Rica,,85.7K
64,kevin Ramírez @keviinramirez0k,285.4K,-,Costa Rica,,85.6K
65,Kosta @brotherkosta,284.7K,0.2%,Costa Rica,,85.4K
66,digamejuanjo @digamejuanjo,283.5K,0.1%,Costa Rica,,85.1K
67,GalliCR @gallicr,281.8K,-,Costa Rica,Entertainment and Music,84.5K
68,evansninja4 @evansninja4,281.2K,-,Costa Rica,,84.4K
69,Andy Gonzalez @i.feeling.blue,279.9K,-,Costa Rica,,84K
70,Karlita97 @karlitaesp97,278.7K,-,Costa Rica,,83.6K
71,SabrinaTencio22 @sabrinatencio22,278.1K,-,Costa Rica,,83.4K
72,Shantall y Madisson @_shanymadi_,274.5K,-,Costa Rica,,82.4K
73,Félix Jiménez @felixxjimenez,271.9K,-,Costa Rica,Nature Travel,81.6K
74,Stephanny Delgado Mo @stephannydelgadom,271.3K,-,Costa Rica,,81.4K
75,José @jose_edits1801,269.7K,-,Costa Rica,,80.9K
76,JeNiFeR LeOn SaLaZaR. @_.janshlyn._,269.3K,-,Costa Rica,,80.8K
77,fabiarayaa @fabiarayaa,268.3K,-,Costa Rica,,80.5K
78,Fernando el Badfluencer @fernandojose_cr,263.4K,0.1%,Costa Rica,,79K
79,Catalina Murillo @catamurillocr,258.9K,-,Costa Rica,,77.7K
80,Dr. Salas Camacho @dr.salasc,256.3K,-,Costa Rica,family,76.9K
81,ariasseg89 @ariasseg89,252.9K,-,Costa Rica,,75.9K
82,ĤĚŘǾ @hero70586,251.1K,-,Costa Rica,,75.3K
83,シ.𝐺.𝑅.7. シ. @gxcr77,248.9K,-,Costa Rica,Entertainment and Music,74.7K
84,Cap World @funfunworld2020,248.7K,-,Costa Rica,,74.6K
85,Marco @marcobe7,246.2K,0.1%,Costa Rica,,73.9K
86,Rafita y Mami @rafitaymami,246.1K,-,Costa Rica,,73.8K
87,Marisol Gómez @marisol_oficial.0,245.1K,-,Costa Rica,,73.5K
88,♡ 𝓟𝓪𝓻𝓲𝓷 @vin___98,243.5K,-,Costa Rica,,73.1K
89,Jale A Comer @jale_a_comer,242K,-,Costa Rica,,72.6K
90,Diego Rodríguez @diego.cr_,241.7K,-,Costa Rica,,72.5K
91,Mau Seco @mauseco,241.5K,-,Costa Rica,,72.5K
92,Victoria @killedbyvic,240.3K,-,Costa Rica,,72.1K
93,Erick BC @erickbc0,239.3K,-,Costa Rica,,71.8K
94,Daniela🌺 @abbydbm0,238.6K,-,Costa Rica,,71.6K
95,Alex Costa Comedy @juankagalindo,237.6K,-,Costa Rica,Funny Entertainment and Music,71.3K
96,Daniel Hernández @danielitoshoow,235.5K,-,Costa Rica,,70.7K
97,Allan Cruz @cruzxclusive,233.6K,-,Costa Rica,Acting and Drama Celebrity,70.1K
98,ʏᴀᴍᴀᴅᴀ @yamada2003,232.2K,0.4%,Costa Rica,,69.7K
99,Roy Chavarria @shikumy,231.5K,-,Costa Rica,,69.5K
100,Joe c @joseph.calderon,230.5K,-,Costa Rica,,69.2K
