#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Germán Rodezel @UCj8-o-AOsl6elcsjVDAc1JA,2.1M,2.1%,Costa Rica,,618K
2,Al AHLY TV @UCmeqakSoEdmxEtTnCFSbunw,1.9M,-,Costa Rica,,561K
3,La Habitación Oscura @UCJLxCZnSr19-2qr8arbppWA,1.8M,0.4%,Costa Rica,,537K
4,La cultura para todos @UCtttZpjrsMvm9YHjR3rB5fQ,1.2M,-,Costa Rica,,366K
5,Superlibro @UCu9-HLbjEbczQDBXzEqaSVQ,1.1M,-,Costa Rica,,321K
6,Fabii Puffle @UC2TCmZmRi2twi9Ycn34tfkQ,953K,0.1%,Costa Rica,,285.9K
7,Jose Gonzalez @UCb_V4bF50eX6pekMsziQI7w,836K,0.2%,Costa Rica,,250.8K
8,Cocina con Jenny @UCOgb8SNPgGjK0CyHz6N3fSQ,695K,-,Costa Rica,,208.5K
9,Pao CH @UC327Ph1qmZl5Ny0LKP6mmHw,578K,-,Costa Rica,,173.4K
10,Sarah Steller Beauty @UCaw-2FYtedq50jXWMLKHidA,498K,-,Costa Rica,,149.4K
11,Kaleta Senpai @UCmNU9dmhrP9evWqyjuweRWA,484K,1.2%,Costa Rica,,145.2K
12,Fabricio Alvarado @UCDuXt79QnnLjCUzXwd-5CXQ,457K,-,Costa Rica,,137.1K
13,Betesda La alternativa natural @UC0fcnCzeRithSR-JeRAs7bA,447K,-,Costa Rica,,134.1K
14,Teletica Costa Rica @UCOC6n5gbktagxIUrQrp42yw,421K,-,Costa Rica,,126.3K
15,CocoChickyy @UCh9kz9gfvKC9bk5E6VgZ4uw,402K,0.4%,Costa Rica,,120.6K
16,𝐒𝐡𝐢𝐧𝐧𝐨𝐛𝐮 @UCMKrq2mFp-qfXAuPwtMyT4A,401K,0.3%,Costa Rica,,120.3K
17,PLACE @UCo3BbgAZgkT7T7rEag6KRdw,380K,-,Costa Rica,,114K
18,l o s t @UCkGO30BMaWyxncIspVE6rEQ,359K,1.4%,Costa Rica,,107.7K
