#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Josephine Skriver @josephineskriver,8.8M,0.25%,Denmark,Fashion and Accessories Modeling Lifestyle Celebrities,2.6M
2,Лучшие видео🚀😏 @yarik_devidson,3.4M,-,Denmark,Entertainment and Music Animation and Cosplay,1M
3,Mia Sand @missmiafit,3M,3.62%,Denmark,Fitness and Health Auto and Vehicles Coaching Training,901.2K
4,Nikolaj Coster Waldau @nikolajwilliamcw,3M,0.43%,Denmark,Actors,899.7K
5,🍰 ПРОСТЫЕ РЕЦЕПТЫ ОТ ДАНИИ 🍛 @daniya_alt,2.3M,0.94%,Denmark,Food Product Education Home and Garden Gym,691.3K
6,The Boss Babes @beautifybabez_,2.2M,0.22%,Denmark,Fitness and Health Music Entertainment Singer,654.4K
7,Alex Høgh Andersen @alexhoeghandersen,2.2M,3.8%,Denmark,Art Modeling Actors,648.5K
8,Mads Mikkelsen Official @theofficialmads,2.1M,8.82%,Denmark,Entertainment and Music Film Actors,623K
9,Nina Agdal @ninaagdal,1.9M,19.44%,Denmark,Fitness and Health Modeling,573.6K
10,Kris Grippo @kris8an,1.8M,6.24%,Denmark,Fashion and Accessories,541.5K
11,Pernille Teisbaek @pernilleteisbaek,1.5M,0.64%,Denmark,Fashion and Accessories Arts and Crafts Home and Garden Modeling,442.5K
12,Caroline Wozniacki @carowozniacki,1.4M,1.42%,Denmark,Sports,420.8K
13,ANINE BING @aninebing,1.2M,0.51%,Denmark,Fashion and Accessories Styling Lifestyle,371K
14,Josefine Haaning Jensen @josefinehj,1.2M,0.7%,Denmark,Fashion and Accessories Arts and Crafts Lifestyle Hair & Beauty,366.7K
15,Mads Peter Iversen Photography @madspeteriversen_photography,1.1M,0.43%,Denmark,Photography Arts and Crafts Landscaping Nature & Outdoors,319.4K
16,Rene Redzepi @reneredzepinoma,1M,1.18%,Denmark,Food Chef,306.2K
17,Zakia Abid @zikalooks,1M,1.41%,Denmark,Beauty and Self Care Fashion and Accessories Food and Drink,305K
18,Kasper Schmeichel @kasperschmeichel,1M,2.02%,Denmark,Sports,303.5K
19,Tülin Şahin @tulinsahinofficial,1M,0.35%,Denmark,Fashion and Accessories,301K
20,Viktor Axelsen @viktoraxelsen,862.2K,2.91%,Denmark,Outdoor Activity Sports Fitness and Health Tennis,258.6K
21,Simon Kjær @simonkjaer.official,828K,15.7%,Denmark,Sports,248.4K
22,Andrea Preti @andreapreti88,733.5K,17.46%,Denmark,Acting and Drama Celebrity Actors Lifestyle,220.1K
23,Jonas Vingegaard @jonasvingegaard,671.4K,17.77%,Denmark,Sports,201.4K
24,S O F I E L I N D E @sofielinde1,665.1K,2.03%,Denmark,Home and Garden Events Design Interior Design,199.5K
25,Lukas Graham @lukasgraham,655.7K,1.1%,Denmark,Singer Music Songwriting,196.7K
26,DET DANSKE KONGEHUS 🇩🇰 @detdanskekongehus,654.6K,2.52%,Denmark,Design Interior Design,196.4K
27,Stephanie Karma Salvarli🕊 @geggo,635.6K,3.77%,Denmark,Design Interior Design Fashion,190.7K
28,Jesper Søndergård Krogh @jespersoendergaard,587K,5.6%,Denmark,Fashion and Accessories Lifestyle Styling,176.1K
29,ANDREA RODRIGUEZ @andreasbook,554.7K,17.89%,Denmark,,166.4K
30,ISABELLA @isabella,516.4K,0.7%,Denmark,News Music Singer Celebrities,154.9K
31,Herrelandsholdet @herrelandsholdet,515K,2.04%,Denmark,Sports,154.5K
32,Sophia Roe @sophiaroe,508.5K,0.34%,Denmark,Fashion and Accessories Hair & Beauty Design Celebrities,152.5K
33,AMANDA MARIE @amandampn,490.8K,3.83%,Denmark,Fashion and Accessories,147.2K
34,Linse Kessler @linsekesslerofficiel,489.2K,0.66%,Denmark,Entertainment and Music family Design Interior Design,146.8K
35,Pierre-Emile Højbjerg @hojbjerg23,479.8K,7.75%,Denmark,,143.9K
36,Peter Corp @petercorp,471.4K,0.06%,Denmark,Entertainment and Music Celebrity Music Modeling,141.4K
37,⚔️The Vikings | ⚔️ ©️ @vikings.the,460.8K,1.91%,Denmark,Entertainment and Music Television,138.2K
38,Fie Laursen @fielaursens,444.3K,9.4%,Denmark,,133.3K
39,Lida @iliridakrasniqi,421.6K,1.28%,Denmark,Education Product Education Celebrities Hair & Beauty,126.5K
40,Fedja Salihbasic @felecool,399.2K,0.15%,Denmark,Travel Photography Architecture Nature & Outdoors,119.8K
41,P H I L I N E P I @philineroepstorff,393.6K,0.59%,Denmark,Fashion and Accessories Styling Modeling,118.1K
42,Mette Frederiksen @mette,386.2K,2.4%,Denmark,,115.9K
43,Mark Wosgerau @markwosgerau,382.6K,0.29%,Denmark,Art,114.8K
44,Amalie Moosgaard Nielsen @amaliemoosgaard,369.4K,1.85%,Denmark,Fashion and Accessories Arts and Crafts Modeling,110.8K
45,Maja Vase @majachocolat,368.5K,3.15%,Denmark,Food Recipes Chef Cooking,110.6K
46,EyeGalore™ 🇩🇰 @eyegalore,365.5K,1.16%,Denmark,Beauty and Self Care Lifestyle Modeling Celebrities,109.7K
47,Nicky Andersen @nickyandersen,364.8K,4.56%,Denmark,Arts and Crafts,109.4K
48,Christiane Schaumburg-Müller Aaxman @christianesm,362.8K,0.44%,Denmark,Fashion and Accessories Actors Design Interior Design,108.8K
49,Dennis @5000dennis_nature,361.4K,0.72%,Denmark,,108.4K
50,DANIELLA JONES @dandanjones,357.7K,1.31%,Denmark,Art Design Celebrities,107.3K
51,Imran Shaikh @imranintou,347.6K,4.57%,Denmark,Beauty and Self Care Education Styling Hair Salons,104.3K
52,Jeanette @_jeanettemadsen_,346.6K,0.28%,Denmark,Fashion and Accessories Arts and Crafts DIY and Life Hacks Styling,104K
53,Frederikke Wærens - Food & Cake inspiration @frederikkewaerens,346.2K,0.48%,Denmark,Food and Drink Food Recipes Ice Hockey,103.9K
54,Rap Galsen Officiel🇸🇳 @rap.galsen,340.4K,0.09%,Denmark,Entertainment and Music News Singer Music,102.1K
55,Anders Matthesen @andersandenmatthesen,338.1K,0.55%,Denmark,Entertainment and Music Design Interior Design,101.4K
56,Oliver Svejstrup Brynnum @oliverbrynnum,337K,4.79%,Denmark,,101.1K
57,Cecilie Moosgaard Nielsen @ceciliemoosgaard,332.9K,1.76%,Denmark,Fashion and Accessories Modeling,99.9K
58,Hella Ben R. @thehellabr,330.1K,1.68%,Denmark,Entertainment and Music Business,99K
59,Nordic Chefs 🇩🇰🇸🇪🇳🇴🇫🇮🇫🇴 @nordic_chefs,310.3K,0.37%,Denmark,Food Product Education Product Showcase Food and Drink,93.1K
60,Carina Melissa @mrscarlissa,309.6K,0.08%,Denmark,Home and Garden Parenting Design Interior Design,92.9K
61,JULIA SOFIA AASTRUP @juliasofiaaastrup,298.9K,0.98%,Denmark,Business and Finance Design Interior Design Celebrities,89.7K
