#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Josephine Skriver @josephineskriver,152.8K,0.2%,Denmark,Fashion & Accessories,45.8K
2,SinTurbulencias ✈️ @sinturbulencias,41.7K,0.09%,Denmark,Travel,12.5K
3,🍰 ПРОСТЫЕ РЕЦЕПТЫ ОТ ДАНИИ 🍛 @daniya_alt,21.3K,0.6%,Denmark,Food Product Education,6.4K
4,Viktor Axelsen @viktoraxelsen,13.3K,2.15%,Denmark,Outdoor Activity Sports Fitness & Health,4K
5,⚔️The Vikings | ⚔️ ©️ @vikings.the,13.2K,0.31%,Denmark,Entertainment & Music,4K
6,Nicolas Perez @nicolasperezcoello,11.3K,0.03%,Denmark,Arts & Crafts Entertainment & Music,3.4K
7,Studio Arhoj @studioarhoj,10.9K,0.43%,Denmark,Home & Garden Arts & Crafts,3.3K
8,SKAGEN @skagendenmark,10.8K,-,Denmark,Fashion & Accessories,3.2K
9,Peter “Danish Pete” Honoré @mrpeterhonore,10.2K,1.01%,Denmark,Music,3.1K
10,Jonas Hornehoj | Photographer @jonashornehoj,8.4K,0.83%,Denmark,Arts & Crafts Photography Outdoor Activity,2.5K
11,Jeff Kerby @jtkerby,4.7K,8.89%,Denmark,Nature Photography,1.4K
12,Parikshit Balochi | RJ | Travel Blogger | Lifestyle | Dubai @parikshitbalochi,4.1K,0.83%,Denmark,Photography,1.2K
13,Sally Javadi 🌙 سالی @sallyssneakers,3.5K,1.21%,Denmark,Fashion & Accessories,1.1K
14,Novo Nordisk @novonordisk,3.2K,-,Denmark,Health & Fitness Product Education,972
15,Ken Siwakorn @kensiwakorn,2.8K,-,Denmark,Travel,846
16,Sara Johansen @sarafjohansen,2K,-,Denmark,Fashion & Accessories Business,597
17,Zina Samoletova • Tattoo Artist @zina_samoletova,2K,0.15%,Denmark,Fashion & Accessories,594
18,MOEBE @moebecph,1.9K,-,Denmark,Home & Garden Product Showcase,576
19,𝙆𝘼𝙎𝙋𝙀𝙍 @kasperloooove,1.3K,0.25%,Denmark,Fashion & Accessories,393
20,Pancho | DNK @djshortypofficial,1.1K,1.13%,Denmark,Entertainment & Music Romance & Wedding,333
21,𝐃𝐈𝐌𝐀 𝐌𝐂𝐊𝐈𝐍𝐍𝐄𝐘 🇺🇦 @dimas_korniychuk,1K,1.17%,Denmark,Sports,306
