#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,MACHALA THE GREAT @carterefe,167.9K,2.32%,Ecuador,Fitness & Health,50.4K
2,DILO CON DIBUJOS🔹 @dilocondibujos,135.9K,0.57%,Ecuador,Arts & Crafts,40.8K
3,Diario El Comercio de Ecuador @elcomerciocom,91.8K,0.99%,Ecuador,News & Media,27.5K
4,Kevlex Pazmiño @kevlexd,79.8K,0.24%,Ecuador,,23.9K
5,Mayita arizaga @mayitaarizaga,79K,0.2%,Ecuador,family Fashion & Accessories,23.7K
6,El Universo @eluniversocom,64.1K,0.38%,Ecuador,News & Politics,19.2K
7,Johann Vera @johannvera,63.2K,0.31%,Ecuador,Entertainment & Music,19K
8,Michela PinBu @michelapinbu,55K,0.89%,Ecuador,Entertainment & Music Beauty & Self Care,16.5K
9,Guillermo Lasso @guillermolasso,52.9K,0.34%,Ecuador,Politics,15.9K
10,En Contacto - Ecuavisa @encontactoecuavisa,50.8K,0.21%,Ecuador,Entertainment & Music,15.2K
11,Marlon Chito Vera 🇪🇨 @chitoveraufc,48.6K,0.48%,Ecuador,Sports,14.6K
12,BarcelonaSC @barcelonasc,48.1K,0.76%,Ecuador,Sports,14.4K
13,FEF🇪🇨 @fefecuador,46.8K,1.23%,Ecuador,Sports,14K
14,Erika Velez @erikavelez,46.3K,0.84%,Ecuador,Fashion & Accessories,13.9K
15,𝔸𝕝𝕖𝕩 𝕍𝕚𝕫𝕦𝕖𝕥𝕖 •Actor @alexvizuete,40.1K,1.13%,Ecuador,Funny Acting & Drama Entertainment & Music,12K
16,TC Televisión 📺 @tctelevision,38.4K,0.11%,Ecuador,Entertainment & Music,11.5K
17,Evelyn Vanessa Calderón @evelynvcalderon,36.2K,0.47%,Ecuador,Fashion & Accessories,10.9K
18,Mar Rendón @marrendonmusica,35.6K,0.89%,Ecuador,Entertainment & Music,10.7K
19,María Teresa Guerrero @flacaguerrerog,32.9K,0.54%,Ecuador,Fitness & Health Travel family,9.9K
20,Nathalie Carvajal @nathalie_carvajalcampoverde,30.7K,0.23%,Ecuador,Photography,9.2K
21,Marcelo Freire @marce_freire,28.2K,0.01%,Ecuador,Entertainment & Music,8.4K
22,Teleamazonas @teleamazonasec,26.4K,0.15%,Ecuador,News,7.9K
23,KikeJav @kikejav,25.2K,0.36%,Ecuador,Entertainment & Music,7.6K
24,Liga Deportiva Universitaria @ldu_oficial,22.8K,0.77%,Ecuador,Sports,6.8K
25,Cotopaxi @cotopaxi,21.6K,0.13%,Ecuador,Outdoor Activity Travel,6.5K
26,Estefania Saavedra @estefisaavy,20.9K,0.68%,Ecuador,Funny Beauty & Self Care,6.3K
27,Mare @marecevallos,18.6K,-,Ecuador,Acting & Drama,5.6K
28,Jasmine Briones 🇪🇨🇵🇭 @sweetsimplevegan,17.7K,0.38%,Ecuador,Food Fitness & Health,5.3K
29,Kristy Alvarado Cabello @sambaalvaradoc,15.3K,0.2%,Ecuador,Sports,4.6K
30,Carlos Jose Matamoros Icaza @carlosjosemi,15K,0.07%,Ecuador,Acting & Drama Education Health & Fitness,4.5K
31,Fernanda Robles @lucifer.roble,14.2K,0.16%,Ecuador,Food Fun,4.2K
32,Angelique. @angelamarolise,14.1K,0.32%,Ecuador,,4.2K
33,Ropa Gallardo @ropagallardo_ec,14.1K,0.12%,Ecuador,Fashion & Accessories,4.2K
34,Damián (El Champ) @damianbernalf,13.9K,1.27%,Ecuador,Food,4.2K
35,Perdomo Por Mariana @marianaperdomoconfeitaria,13.7K,-,Ecuador,Food,4.1K
36,DANIEL BETANCOURTH @danielbeta,13.5K,0.4%,Ecuador,Entertainment & Music,4.1K
37,Giovanna Andrade Franco @giovaandrade7,13.3K,0.36%,Ecuador,Entertainment & Music family,4K
38,Chicho Trujillo @chichotrujillo5,13K,0.17%,Ecuador,Product Education,3.9K
39,Sara Medina @saram2401,13K,0.11%,Ecuador,Arts & Crafts Education Influencer Marketing,3.9K
40,Jay Jay @jasminechiquito,12.2K,0.04%,Ecuador,Entertainment & Music,3.6K
41,Dra. Andrea Cardozo| Esp en Lactancia Materna/BLW @tipspediatricos,12K,0.1%,Ecuador,family Health & Fitness,3.6K
42,Jorge Berzosa @berzosajorge7,11.6K,0.98%,Ecuador,Entertainment & Music Funny,3.5K
43,Paola Matute @paox33,11.6K,0.27%,Ecuador,Beauty & Self Care Fashion & Accessories,3.5K
44,ETAFASHION @etafashion_ec,11.5K,0.04%,Ecuador,Fashion & Accessories,3.4K
45,Tienda Fitness | Fajas Colombianas & Waist Trainers @tiendafitnessecuador,11.3K,0.02%,Ecuador,Fitness & Health Product Showcase,3.4K
46,Me Encanta el Chocolate @elchocolatemeencanta,11K,0.11%,Ecuador,Food,3.3K
47,DMujeres Beauty Market @dmujeres_beautymarket,10.8K,0.13%,Ecuador,Beauty & Self Care Product Showcase,3.2K
48,McDonald's Ecuador @mcdonalds_ecu,10.8K,0.52%,Ecuador,Food,3.2K
49,Camila Nicole Auz M @itscamiauz,10.5K,0.58%,Ecuador,Fitness & Health Food,3.1K
50,FRANCISCO PINOARGOTTI @fcopinoargotti,10.3K,0.11%,Ecuador,Entertainment & Music,3.1K
51,MOI ® @moiropayaccesorios,10.3K,0.02%,Ecuador,Fashion & Accessories,3.1K
52,Erika Valencia @lanegraerika,10.2K,0.14%,Ecuador,Acting & Drama Fashion & Accessories,3K
53,Supermaxi Ecuador @supermaxiecuador,10.1K,0.14%,Ecuador,Food Product Showcase,3K
54,Elena Viteri @elenaviterilaprima,10.1K,0.58%,Ecuador,Entertainment & Music Acting & Drama,3K
55,DIANNA GUEVARA 🧿 @la_diannita,9.8K,0.43%,Ecuador,Beauty & Self Care,2.9K
56,Novicompu.com @novicompu,9.7K,0.2%,Ecuador,Auto and Vehicles Product Education,2.9K
57,Dr. Giovanni Jaramillo Lino @giojaramillolino,9.7K,-,Ecuador,Education,2.9K
