#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Kelly y David @busta_brothers,19.5M,-,Ecuador,Entertainment and Music,5.9M
2,arelí tutoriales @otracuentadetutoriales,6.6M,-,Ecuador,Education Upskilling,2M
3,Mauro @mauro_mt2,4.6M,-,Ecuador,,1.4M
4,yilda banchon @yildabanchon,4.4M,-,Ecuador,Entertainment and Music,1.3M
5,samiaalava @samiaalava,2.7M,-,Ecuador,,810K
6,Gina López @ginaalopeez,2.5M,-,Ecuador,,750K
7,LOGO AJ21 @logoaj21,2.2M,0.2%,Ecuador,Arts and Crafts,660K
8,Anny🇪🇨 @annyborja2,2M,-,Ecuador,,600K
9,Shailyn Garzón Merchán @shailyngarzon,2M,-,Ecuador,,600K
10,Chrisx Trejo @chrisxtrejo,1.9M,-,Ecuador,,570K
11,mafernandapr @mafernandapr,1.8M,-,Ecuador,,540K
12,macias.ff @macias.ff,1.7M,-,Ecuador,,510K
13,GlamecStudio @glamec,1.6M,0.3%,Ecuador,,480K
14,Artur Perchuk @_justspinning_,1.5M,-,Ecuador,,450K
15,Stechell @stechell,1.5M,-,Ecuador,,450K
16,BabyLeoff @babyleoff,1.3M,-,Ecuador,,390K
17,Guillermo Lasso @guillermolasso,1.3M,0.4%,Ecuador,,390K
18,jandino @jandino,1.3M,-,Ecuador,Entertainment and Music,390K
19,ToRy @victoriacomelibros,1.2M,-,Ecuador,,360K
20,Vivi Almeida @vivialmeida,1M,-,Ecuador,,300K
21,Tomas Delgado La Vecina @tomasdelgadoec,1M,0.1%,Ecuador,Acting and Drama Celebrity,300K
22,"rolitas “cz"" @rolitas_cz",993.6K,-,Ecuador,,298.1K
23,Anthony @a3v_22,950.8K,-,Ecuador,,285.2K
24,Silvana💠 @silvimunozz @silvimunozz,950K,1.6%,Ecuador,Food,285K
25,DOGGI Style @doggistyleec,947.1K,0.1%,Ecuador,,284.1K
26,Jonathan Ortiz @jonathan.ortizls,934K,-,Ecuador,,280.2K
27,ロバート @chocloboy,926.1K,-,Ecuador,,277.8K
28,Botsito_Ecuatoriano @sport_goe,923.5K,-,Ecuador,,277.1K
29,LesterGabrieel @lester.gabrieel,922.7K,-,Ecuador,,276.8K
30,LIRYKAL @lirykal,892.3K,-,Ecuador,,267.7K
31,Maria Sol Corral @mariasolcorral0,885.6K,-,Ecuador,,265.7K
32,Brian Coro @iambriancoro,876.6K,-,Ecuador,,263K
33,⚡JoelBy15⚡ @joelby15.ff,863.7K,0.1%,Ecuador,,259.1K
34,Salsitas Bakanas 🎶🎺🍻 @salsitasbakanas,859.4K,0.1%,Ecuador,,257.8K
35,Marcos Otavalo @marcosotavalo,850.8K,-,Ecuador,,255.2K
36,Jose Erazo @elpepe_jl,847.1K,-,Ecuador,Travel,254.1K
37,Gene Marquinez @genemarquinez,845.4K,-,Ecuador,,253.6K
38,jenny.zambrano.24 @jenny.zambrano.242,844.5K,-,Ecuador,,253.4K
39,SELENE.YT @seleneytt,826.9K,-,Ecuador,,248.1K
40,Soff ☁️ @sofireynes,825.9K,-,Ecuador,Fashion and Accessories,247.8K
41,KikeCuy @elcuy.ec,825K,-,Ecuador,,247.5K
42,maykeloficial @maykeloficial,820.2K,-,Ecuador,,246.1K
43,Navila Dieb @naviladieb_oficial,818.4K,-,Ecuador,,245.5K
44,Gaby Brave @gaby.brave,799.4K,-,Ecuador,,239.8K
45,Eldariu @eldariu,799K,-,Ecuador,,239.7K
46,Tik Toker @emo.fio,796.9K,-,Ecuador,,239.1K
47,pichirringo 1112 vanessita @pichirringovannesita,795K,-,Ecuador,,238.5K
48,beckerchicaiza @beckerchicaiza,794K,-,Ecuador,,238.2K
49,Mommy?! @agenteperryyyyy,789.9K,-,Ecuador,,237K
50,Gladys 2021 @gladys2021,781.6K,-,Ecuador,,234.5K
51,Hernan PG @hernan_oficiall,781K,-,Ecuador,,234.3K
52,Marath Dáger @marathdageryalbita,777.5K,-,Ecuador,,233.3K
53,Jonathan Quiñonez @eljonattthan,766.1K,-,Ecuador,,229.8K
54,Gaby Ruiz @gabyruizoficial,765.4K,-,Ecuador,,229.6K
55,Carlos @carloor,764.4K,-,Ecuador,,229.3K
56,Rahab Villacres @rahabvillacres,763.3K,-,Ecuador,,229K
57,💞Doménica Llagua💞 @domenicallagua1,756.9K,0.5%,Ecuador,,227.1K
58,Mare Cevallos @marecevallos,741.8K,-,Ecuador,Arts and Crafts,222.5K
59,Ana Mera @anamera71,738.1K,-,Ecuador,,221.4K
60,Jhulyanabell @jhulyanabell,731.3K,-,Ecuador,,219.4K
61,Josué_Lince @josue_lince,723.8K,-,Ecuador,,217.1K
62,Naye Escobar Bastidas @nayeescobarbastid,721.5K,-,Ecuador,,216.5K
63,Kerly Moran @kerlymoran1,720.1K,-,Ecuador,,216K
64,Tik Toker @joeltuarez41,718.8K,0.3%,Ecuador,,215.6K
65,Ren Kai - 人凯 @renkaiy,712.8K,-,Ecuador,,213.8K
66,JUCE LUGARES @jucelugares,705.8K,0.3%,Ecuador,,211.7K
67,mariamimedianaranja @maria_mimedianaranja,698.4K,-,Ecuador,,209.5K
68,frases MJ @alavamanuel_17,689K,1.2%,Ecuador,,206.7K
69,Nadira @nadiramusica,680.9K,-,Ecuador,,204.3K
70,Bicho Cedeño @vicho2005_ff,679.9K,0.4%,Ecuador,,204K
71,El_chico_de_las_frases @jose_pg.02,678.6K,0.4%,Ecuador,,203.6K
72,Yesly Selena @yeslybustamanteok,678K,-,Ecuador,Fashion and Accessories,203.4K
73,🌑🌒🌓🌔🌕🌖🌗🌘🌑 @joseantonio99972,675.9K,-,Ecuador,Entertainment and Music Games,202.8K
74,Yuribeth Cornejo @yuribethcp,668.6K,-,Ecuador,Romance and Wedding,200.6K
75,Priscila Elizabeth Jaramillo @priscilae.jaramil,663.8K,-,Ecuador,,199.1K
76,Alexis Coba AG @alexiscobaag,660.4K,0.1%,Ecuador,,198.1K
