#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Doc Tops @UCAolsolgHiURrQBuZ4qe0lg,13.8M,0.2%,Ecuador,,4.1M
2,RaptorGamer @UCS4OZlj8753fezBtH62TRDg,12.7M,-,Ecuador,,3.8M
3,MIS PEQUEÑOS ACTORES @UCFE81LrtSi1lxL0h_6GwyaQ,9.1M,-,Ecuador,,2.7M
4,QUISBROT @UCPH4Uvr87z9HTwCalXPZqOQ,3.1M,-,Ecuador,,942K
5,Wallas Da Silva @UCyWkiZfibCH6ENLl6D--gng,2.7M,0.1%,Ecuador,,822K
6,Nancy Risol @UCDZhJlgKdsdk_5bodS7Gm7A,2.6M,0.1%,Ecuador,,792K
7,TopMan @UCcGSN_X2rHEwej7zXFL6-gQ,2.6M,-,Ecuador,,780K
8,KreckGamer @UCgsNNwktpmDxiFX1hz5KrkQ,2.3M,3.2%,Ecuador,,693K
9,KevleX Show @UC7QGPzPwBROLbwl-T_iIGRQ,2.2M,0.5%,Ecuador,,648K
10,Positivos @UCF-178L6ewervVYFHbpEsOw,1.9M,-,Ecuador,,579K
11,JorgeIsaac115 @UCDp-aWLlOZUWwtG4c1maZKQ,1.9M,0.5%,Ecuador,,561K
12,NAYLA Vlogs @UC_zaLJ30yLlq5Pd86jdu_Og,1.8M,0.1%,Ecuador,,549K
13,Adrian Yepez Fitness @UCB0vssTrVuRXTf_7vFRoxzw,1.8M,-,Ecuador,,531K
14,WefeOfficial @wefeofficial,1.6M,2.6%,Ecuador,,483K
15,Deriam Studios @UC-aJ5-YxVUH77ro5MGJt7Dg,1.5M,-,Ecuador,,435K
16,Luz María @UCohmArq3kiopKqYbSwmVbHw,1.4M,-,Ecuador,,423K
17,Ecuavisa @UCRUV3nUNSc-xpBrTwQOCQQg,1.4M,-,Ecuador,,414K
18,GabSolf @gabsolf,1.3M,0.3%,Ecuador,,402K
19,CRONOS FILMS TV @UCvPidFo-5ipjKeoDPPBpSFQ,1.3M,-,Ecuador,,381K
20,JoelThePro @UCR7C98e3SYFXF207_XMRCAQ,1.3M,-,Ecuador,,375K
21,Mois @UCInry9EVnzn9dwu6so-1ZIQ,1.2M,0.3%,Ecuador,,354K
22,DJ EDUARDO @UCYOxMYgsLgRYnHZY8fEQa2g,1.1M,14%,Ecuador,,333K
23,Jefferson Rescata @UCbT2MOpQ4nQ2F8fEWrk5T3g,1.1M,-,Ecuador,,330K
24,Mikecrack Noticias @UCAPV5WaIJGRO7zCKWOwSTlw,1.1M,-,Ecuador,,321K
25,ECDF - El Canal del Fútbol @UComm7W4UIS_sIP4QIj-afQQ,1.1M,-,Ecuador,,315K
26,Kasterwey Music @UClBfPO2qq7YlKwzn6B5sT4Q,1.1M,-,Ecuador,,315K
27,Reflexiones de Vida @UCVuSsaWgsyoECvCiYLgsTsQ,1.1M,-,Ecuador,,315K
28,VITERI BOXING @UClGNpfpf2ZJjToo4Mn34k8g,1M,0.1%,Ecuador,,306K
29,AshukitO @UCXi_Od0G-Qc7Y3kQmhKZAgw,996K,-,Ecuador,,298.8K
30,Chakita @UCLb3PvD5RlySOqwUmbD7Wzg,903K,1.2%,Ecuador,,270.9K
31,the DuWard player @UCxejMO24F9dniXyob_QdSnw,898K,-,Ecuador,,269.4K
32,FinnHDA @UCa5kta_r_lLyAVAGLYD-FCA,892K,-,Ecuador,,267.6K
33,KWA @UCW508ZZAAJg_O99kFHio_ew,891K,0.1%,Ecuador,,267.3K
34,MEJORES FREESTYLE RAP @UCSZkHPRwZOBrHVYGHa2k0Sg,850K,-,Ecuador,,255K
35,Remedios Caseros 10 @UCzHkXxPRO0LpTcno_x2Y0wQ,841K,-,Ecuador,,252.3K
36,HipotesisdePoder @UCp-ZlVc-lJ7MrdlzMOJU36g,832K,0.8%,Ecuador,,249.6K
37,Smith Benavides @UCXxRXli3jLXd75Z9YLr5Qig,802K,-,Ecuador,,240.6K
38,OSHITA FF @oshitaff,773K,0.5%,Ecuador,,231.9K
39,FernandoOtv @UCCrr-sZMoa2PjuFugEFNZ6g,766K,0.2%,Ecuador,,229.8K
40,Regala Siempre Amor @bequiharo,760K,0.1%,Ecuador,,228K
41,Maikel Moreira @maikelmoreira,752K,0.5%,Ecuador,,225.6K
42,CharlieTales @UCOQ-ru8bJZSj_gqDyO9r1dQ,748K,1.5%,Ecuador,,224.4K
43,elgranqenk2 @UCTVlEYIot8eHlhSlziENlog,744K,0.7%,Ecuador,,223.2K
44,EL INCREIBLE MUNDO DEL VINE @UCqljMN6apJAE7Y04Zja6BwA,743K,-,Ecuador,,222.9K
45,Marcos Otavalo @UCZ0CaICGPGgjLgMbNWM44jg,709K,0.2%,Ecuador,,212.7K
46,Mabe Blog @mabelacosta,698K,0.2%,Ecuador,,209.4K
47,El Cabra @UC25VXlvds0XycRDdcCnH7lw,693K,-,Ecuador,,207.9K
48,Aaron Cuenca @aaroncuencavlogs,678K,-,Ecuador,,203.4K
49,Dreaming TV @UCF87l5C1yvDUZxzxdJ94JVw,652K,-,Ecuador,,195.6K
50,NanDito Ind @UCSvDtZxWenZ2jt0-oHzPM9A,649K,-,Ecuador,,194.7K
51,Hacia un Nuevo Estilo de Vida @UCygsuqHrjo5Tv5L1hPzryog,649K,-,Ecuador,,194.7K
52,The Covers Duo @UC2X-Km5vNPYT647tHFLcnWw,648K,-,Ecuador,,194.4K
53,Keydan SK @UC4hEC152wXH_-UyX6LjrLgg,644K,-,Ecuador,,193.2K
54,Alex Espin @UCNJtFEVQ_FKvKEh6OGpKZhQ,636K,-,Ecuador,,190.8K
55,enchufeplus @UCh78F0yEEeFWKoo4aNvCqgg,625K,-,Ecuador,,187.5K
56,Kido Senpai @UCi9x-GTbIG78jOb_I_KvGlA,593K,0.8%,Ecuador,,177.9K
57,Emprende Rapeando @UCqsr0GoekQiuBzipL4SSloA,573K,-,Ecuador,,171.9K
58,Fighter 593 @UCR9Qg7_XsLjtNK1uvtabkhQ,565K,0.1%,Ecuador,,169.5K
59,iLuisCrah @UCyKvYdD5KeS2wgeNAgm5xSQ,556K,-,Ecuador,,166.8K
60,LEONARDBLUE S.A. @UCE8VEu6qMJ_6Wp-7B-i4sug,555K,-,Ecuador,,166.5K
61,EsqueSoyBrandon @UCIou54V3KNzvzDi39u353hQ,536K,-,Ecuador,,160.8K
62,Paris Fernando @UC3XmTHt0IN_C0ETJec2lpKg,529K,0.5%,Ecuador,,158.7K
63,DEKUZAM @UCR_M-VagOOrAqFoWqubGjXQ,529K,0.1%,Ecuador,,158.7K
64,AdoNis @UCwVs_-H_9HZWQaWWc8rWUkg,524K,-,Ecuador,,157.2K
65,Logan y Logan @UCAH2A_kID45Z0GLhD49Eykw,513K,0.1%,Ecuador,,153.9K
66,ben 10 (2016) @UC9PVGpJVaPzeSiaDKTIoD7w,498K,-,Ecuador,,149.4K
67,ErickGN @UCHdlIN9ML84kiJgrh0AmZYA,491K,-,Ecuador,,147.3K
68,JushiTo @UCD4gB5Rr1G5MA92K9v84aig,465K,-,Ecuador,,139.5K
69,PC fácil Digital @UCKPlk0uN5ydu5kH03CY9EVQ,464K,-,Ecuador,,139.2K
70,Bubaloh @UCo7nkFLLpL2D-TfU2GwLXgg,462K,-,Ecuador,,138.6K
71,MOFLETV @UCxVjI2MMQD74BtWfQuWSo_Q,461K,-,Ecuador,,138.3K
72,Chaval´s Gameplays @UCMuwWguuOUj_lOdsiE9et-w,453K,-,Ecuador,Video Gaming,135.9K
73,Ramón Torres Psicólogo Oficial @UC879sSxcToO3pbkkdi8Y-eg,435K,0.1%,Ecuador,,130.5K
74,VILLADROOP @UCOWNxSh110y4czGk03oC9rw,433K,-,Ecuador,,129.9K
75,Ahora Pit @UCmIqy8hFea4zxFom67ra32w,427K,-,Ecuador,,128.1K
76,Jorge E. Penagos P. @UCxlDL-ZpdAzESIvr-9cbjjw,426K,-,Ecuador,,127.8K
77,Zarex @UCa3P1zy6RvbmYd7ut20izDw,424K,0.3%,Ecuador,,127.2K
78,Raul Alejo @UCY2TExlp2plFrdTUOBhhgIw,416K,-,Ecuador,,124.8K
79,Luz María Historias de Vida @UC2M2U64a1frYW0oXh-9jzPg,411K,0.5%,Ecuador,,123.3K
80,Esta Es Mi Historia Tv @UCAbHJYCH9kGY92rBqVac-Ow,404K,-,Ecuador,,121.2K
81,SELENE YT @UCG7az8mRcybvaImh_KIy0yw,402K,-,Ecuador,,120.6K
82,Capsules for Alma - Ricardo Bonilla @UCry8j-3lNmnn65Z906UnwFA,394K,0.1%,Ecuador,,118.2K
83,Orquiplanet @UCGjRlQ3fT35a8z015A71yTA,388K,-,Ecuador,,116.4K
84,RayXaX @UCDCq_4XxhMHIAG850pHcM9A,387K,0.8%,Ecuador,,116.1K
85,Rabbito @UCEmimq4jw6uVL2HiaN5_2kg,379K,0.3%,Ecuador,,113.7K
86,Damian @UCIh-g_DaRRxn9PWfj1Kpvfw,378K,1.3%,Ecuador,,113.4K
87,Miranda García Delicias Ecuatorianas @UCD618AB54f0UXnhp8EZ6YIw,375K,-,Ecuador,,112.5K
88,Pavlova Charpentier @UCT2J9abS8F2Ja60gncodM0w,364K,-,Ecuador,,109.2K
89,Doctor Amor @UCtPOzqJMV0iuhu5Rm7c1FKQ,356K,-,Ecuador,,106.8K
90,Otro canal sin sentido @UC1MNgg87Hfgc5bl99ZFHizg,356K,-,Ecuador,,106.8K
