#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Gehad hassan👸🏻 @gehadhassann,7.5M,-,Egypt,,2.3M
2,Ahmed Helmy @ahmedhelmy,6.9M,-,Egypt,Entertainment and Music,2.1M
3,MBC مصر @mbcmasr,4.6M,-,Egypt,,1.4M
4,ahmedhassan🇹🇷🇪🇬 @ahmedhhassan0,4.3M,2.6%,Egypt,,1.3M
5,ᔕ𝔼ᒪ𝕍ᗩـــسيلڤاـ︎. @mo_selva,3.9M,-,Egypt,,1.2M
6,حمو شاكر _Hamo Shaker @hamoshakerofficial,3.4M,0.1%,Egypt,Entertainment and Music,1M
7,youssefesawy @youssef_esawy,3.2M,0.2%,Egypt,Fashion and Accessories,960K
8,Bella Tharwat - بيلا ثروت @bella.tharwat,3.1M,-,Egypt,,930K
9,"🇪🇬⚡""ALALMEI""⚡🇵🇸 @ashraf_alalmei",2.9M,-,Egypt,,870K
10,Enawy | قناوي @abdallahenawy,2.7M,-,Egypt,,810K
11,Manga official🥭 @mrmroga,2.4M,0.4%,Egypt,Beauty and Self Care,720K
12,هجرس_HGRAS @hgras1,2.3M,-,Egypt,,690K
13,Malak @malakelsheriif17,2.3M,-,Egypt,,690K
14,SALMA ADEL 🎤 @salmaadel_official,2.1M,-,Egypt,Entertainment and Music Celebrity Music,630K
15,🎨محمد فاروق الرسام🎨 @king_misr,2.1M,0.3%,Egypt,,630K
16,اعلاميه ايه خليل @aya19941994,2.1M,-,Egypt,,630K
17,Shaimaa Elmaghrapyشيماءالمغربي @shaimaaelmaghrapy,2M,-,Egypt,Entertainment and Music,600K
18,🇪🇬﮼ميار﮼عماد﮼نجيب🇪🇬 @mayare.nagiib,2M,-,Egypt,Beauty and Self Care,600K
19,Doctora Eslam 🩺🇪🇬 @doctoraeslam,1.9M,-,Egypt,,570K
20,nour @_nonosh_,1.8M,-,Egypt,,540K
21,رضا البحراوي @redaelbahrawy.official,1.7M,-,Egypt,Entertainment and Music Music,510K
22,princess 🎀👑 @faye_mansour22,1.7M,-,Egypt,,510K
23,👑K3m99👑 @kemoo_falco,1.7M,-,Egypt,,510K
24,مسرح مصر #مسرح_مصر @theater.misr.official,1.7M,-,Egypt,Entertainment and Music,510K
25,Ahmed Zaher @ahmedzaher228,1.6M,-,Egypt,,480K
26,🔥🇪🇬𝐀𝐋𝐃𝐀𝐖𝐋𝐘🇪🇬🔥 @alaa.dawlyy,1.5M,-,Egypt,,450K
27,FoodDolls @fooddolls,1.4M,-,Egypt,Food,420K
28,Weam Magdy @weammagdy30,1.4M,-,Egypt,,420K
29,المبرمج اشرف مصطفي @ashrafzamka,1.4M,-,Egypt,Education Upskilling,420K
30,Ahmed Emad @aahmmedx,1.4M,-,Egypt,,420K
31,Gemyabdelnasserr @gemyabdelnasserr,1.3M,-,Egypt,,390K
32,عرنو @__haron_whdan__,1.3M,-,Egypt,,390K
33,لمض افندي 🇪🇬📸 @hassan_soliman11,1.3M,-,Egypt,,390K
34,صاحب الكوكب✅ @mohmed.7asona,1.3M,-,Egypt,,390K
35,–––•(-• ابو شعر كيرلي😅❤️ •-) @pasha_aswan,1.3M,-,Egypt,Romance and Wedding,390K
36,Mahmoud ElMohandes @mahmoudelmohandes,1.3M,-,Egypt,Entertainment and Music Romance and Wedding,390K
37,soso @israa.nageeb,1.3M,-,Egypt,,390K
38,Dr. Hossam Abolatta @drhossamabolatta,1.3M,-,Egypt,,390K
39,#إمبراطورية_شيكو_الماجيك💪🇪🇬 @sheko.el.magic,1.2M,0.1%,Egypt,,360K
40,Hamoda Elsory @hamodaelsory,1.2M,0.1%,Egypt,,360K
41,Menna El-zohiry @mennaelzohiry,1.2M,-,Egypt,Education,360K
42,⚡️Youssef joe⚡️ @yousseefjoe,1.2M,-,Egypt,,360K
43,مصراوي 🧞‍♂️ @abd0saper,1.1M,0.1%,Egypt,,330K
44,رانيا عمر❤️ @raniiabae,1.1M,0.4%,Egypt,,330K
45,Mahmoud Fadl محمود فضل @mahmoudfadl24,1.1M,-,Egypt,Education,330K
46,Sarah Badr @sarahbadrart,1.1M,-,Egypt,Beauty and Self Care,330K
47,Mbc4 @mbc4,1M,-,Egypt,,300K
48,Fouad Elkaffas | فؤاد القفاص @its.fouad1,1M,-,Egypt,Food,300K
49,Kayan Essam @jojoahmed7213,999.5K,0.1%,Egypt,,299.9K
50,حسام حسين @hossam_hussein_official,997.7K,-,Egypt,,299.3K
51,Ahmed Younis | احمد يونس @ahmedyouniis,996.7K,-,Egypt,,299K
52,they call me Mego 🥴 @jannamagdykhalil,992.6K,-,Egypt,Pets,297.8K
53,Engy Abdo @engyyabdo,991.8K,-,Egypt,,297.5K
54,Kelma production @mohamedadaweya0,990K,-,Egypt,,297K
55,Chee Tos @rouhalsharq,986.3K,-,Egypt,,295.9K
56,Hamdy.ashourr @hamdy.ashourr,983K,-,Egypt,Acting and Drama,294.9K
57,Chef Eman 👩🏻‍🍳 @eman.ibrahiim,977.3K,0.1%,Egypt,Food,293.2K
58,Bassel @basseljr,975.1K,-,Egypt,Business and Finance,292.5K
59,ايه ده في ايه 🤣 @mohamed__fadl,974.6K,-,Egypt,,292.4K
60,القارئ محمد أبو سيف @mohamedabosaif14,972.1K,-,Egypt,,291.6K
61,Jihan & Siwar @jihan.siwar,966.5K,-,Egypt,,290K
62,الظلام | 𝐓𝐡𝐞 𝐃𝐚𝐫𝐤🐾 @mogli._,964.9K,0.3%,Egypt,,289.5K
63,Mallakhassan.q 🇵🇸🇪🇬 @mallakhassan,961.6K,-,Egypt,,288.5K
64,Alsaid_official @alsaid_official,960.3K,-,Egypt,,288.1K
65,❤️الرحاله ❤️ @salma_elogil,956.7K,-,Egypt,,287K
66,Seif Mohamed @elkhawagaenglish,952.5K,-,Egypt,,285.8K
67,Mostafa Tanta ❤️😲 @mustafaalsaid12,949.8K,-,Egypt,,284.9K
68,﮼سعيد ﮼تيتو ⚔️🇪🇬... @saeedelfky,949.1K,-,Egypt,,284.7K
69,بتاع الكوميدي☝️♥️ @ahmedsamir0088,944.3K,-,Egypt,,283.3K
70,Dr-Ali Hussein @dr3lii,943.8K,-,Egypt,Fitness and Health,283.1K
71,Haneen Magdi🦄 @haneenmagdii,936.9K,-,Egypt,,281.1K
72,Omar Adel @omaradel862,936K,0.1%,Egypt,,280.8K
73,المنشد حازم محمد🇦🇪🇪🇬 @hazem.mohamed2,935.5K,-,Egypt,,280.7K
74,💪 ابن اسكندرية 💪 @hamo_tark,933.5K,-,Egypt,,280.1K
75,Ahmed Elawady أحمد العوضي @elmeadadi,933.2K,-,Egypt,Acting and Drama Sports,280K
76,كريم ناجي ♥️🖤🧿 @dmnhori201944,932.2K,0.1%,Egypt,,279.7K
77,Hussien Elgohary @hussien.elgohary,931.6K,-,Egypt,,279.5K
78,tameemyouness @tameemyouness,925.9K,0.1%,Egypt,,277.8K
79,عمر الجبلي @omarlgabaly,925.8K,-,Egypt,,277.7K
80,BADRMUUHAMED | بدر محمد @badrmuuhamed,921.1K,-,Egypt,,276.3K
81,مصطفى منعم @8mu_13,919.6K,0.4%,Egypt,,275.9K
82,Kaido 🧠☁️ @kaido55,919.1K,-,Egypt,,275.7K
83,Ebraam Samir @ebraamsamir,917.7K,-,Egypt,Acting and Drama Celebrity Medical Health,275.3K
84,Diaa🦁 @diaatalaat00,913.3K,-,Egypt,,274K
85,كاءن النوتيلا❤️ @gogoana621,908.8K,-,Egypt,,272.6K
86,Sensei Mamdouh Bakkar @mamdouhbakkar1,908.3K,-,Egypt,,272.5K
87,هشام بلاطة @spidermanalmokattam,904.2K,-,Egypt,,271.3K
88,Mohanaderabii @erabii,904K,-,Egypt,,271.2K
89,﮼چورى💜🦄 @haageerahmed,902.6K,-,Egypt,,270.8K
90,3 Twins @3twins7,898.8K,-,Egypt,,269.6K
91,Belal L Galy @estetsh0,898.5K,0.8%,Egypt,Beauty and Self Care,269.6K
92,محمد رمضان @mohamed_ramdan_100,895.6K,-,Egypt,,268.7K
93,Mostafa Ayman @mostafa.aymann,894.9K,-,Egypt,,268.5K
94,Hussien elshahat @h.elshahat,890.8K,-,Egypt,,267.2K
95,ابراهيم الطوخي الاصلي🔥👌 @abrahemalto5e2,887.9K,-,Egypt,,266.4K
96,Sãmär Elnagar @samarelnagar11,887.2K,-,Egypt,Beauty and Self Care,266.2K
97,ᗩᕼᗰEᗪ_TOᖇKY 🇪🇬🇹🇷 @ahmed_torky,886.6K,-,Egypt,,266K
98,Dr JOO SOLIMAN 💫 @drjoosoliman,885.2K,-,Egypt,,265.6K
99,👉 L O S T E R 👈 @losterhossam,882.4K,-,Egypt,,264.7K
100,Maged Elmasry @magedelmasry1919,878.9K,-,Egypt,,263.7K
