#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Nayib Bukele @nayibbukele,5.4M,3.66%,El Salvador,Actors,1.6M
2,Carlos lopez portillo @lopeztips53,3.5M,0.16%,El Salvador,Education Marketing and Advertising,1M
3,Eden Levine @eden__levine,2.1M,0.17%,El Salvador,Beauty and Self Care Travel Fashion and Accessories Fitness and Health,635.6K
4,Elsy Guevara @elsyguevara,1.4M,4.8%,El Salvador,Fashion and Accessories Hair & Beauty Celebrities Design,416.4K
5,Sisy Guzmán @sisygarcia4,1.4M,0.84%,El Salvador,Romance and Wedding Life and Society Actors,414.3K
6,Elizabeth Cader @elizabethcader,933.5K,1.13%,El Salvador,Beauty,280K
7,Zully Rodríguez @zullyrodriguezm,893.1K,0.5%,El Salvador,Sports Virtualization Actors,267.9K
8,Ciproshow @ciproshow,892.8K,1.58%,El Salvador,Entertainment and Music Actors Journalists,267.8K
9,Adriana Daabub @adhasbun,821.8K,6.22%,El Salvador,Beauty and Self Care,246.5K
10,✨ J O S S Y ✨ @joselinmartinezz98,690.5K,5.2%,El Salvador,,207.1K
11,SIVAR ES HUMOR® @sivareshumor,677.3K,2.1%,El Salvador,Funny Entertainment and Music Life and Society,203.2K
12,Gaby 👑 @gabyosvel,674.4K,1.01%,El Salvador,,202.3K
13,Irene Castillo @irenecastillotv,593.5K,0.97%,El Salvador,Actors Journalists,178K
14,Alejandra Bernal @_alebernal,560.5K,1.12%,El Salvador,Beauty and Self Care,168.2K
15,Lore @lorenmenjivar,544.8K,1.07%,El Salvador,Fitness Journalists,163.4K
16,ESTE MAJE - SV ®🇸🇻 @estemaje_sv,530.6K,1.6%,El Salvador,,159.2K
17,Sebastian Melrose @sebmelrose,527.3K,2.46%,El Salvador,Auto and Vehicles Outdoor Activity Sports,158.2K
18,Silvia Santamaria @tutysantamaria,525.1K,0.78%,El Salvador,family Pets Actors,157.5K
19,Johanna Maybelline Ortega @jmaybs_,507.1K,0.97%,El Salvador,Beauty and Self Care Hair & Beauty Celebrities DIY & Crafts,152.1K
20,Camilo Pugliato @pugliato,506.4K,3.12%,El Salvador,,151.9K
21,Michelle alvanez @michell13_11,500.3K,6.38%,El Salvador,Romance and Wedding,150.1K
22,LARISSA VEGA GRANIELLO @larissagraniello,463.9K,1.29%,El Salvador,Fashion and Accessories Actors Virtualization Humor,139.2K
23,Somaya Reece @somayareece,461K,0.14%,El Salvador,Fashion and Accessories Business and Finance Entrepreneur Business,138.3K
24,Madeline Guardado @madelineguarda2,437.4K,1.5%,El Salvador,Entertainment and Music Marketing and Advertising Actors,131.2K
25,Tio Frank (Francisco Trejo) @tiofrank_,424.1K,2.36%,El Salvador,,127.2K
26,Celina Molina @celinaz_m,416.8K,1.41%,El Salvador,,125K
27,Brenda Contreras Gutiérrez @brendacontreras9,414.8K,0.88%,El Salvador,Finance family Business and Finance Actors,124.4K
28,ANGIE BELTRAN @angie__beltran9,410.6K,9.77%,El Salvador,,123.2K
29,Maria Alger @majo_alger,403K,0.36%,El Salvador,Fitness and Health,120.9K
30,#MemesElSalvador @memeselsalvador,399.3K,2.15%,El Salvador,,119.8K
31,Paz Cornu @pazcornu,393.4K,0.18%,El Salvador,Fashion and Accessories Home and Garden Modeling,118K
32,¡Las Mejores Frases! @amoresdeparejas,382K,0.56%,El Salvador,Romance and Wedding,114.6K
33,❤🌻Genessis Martínez 🌻❤ @genessismartinez.4,378.2K,0.1%,El Salvador,Fitness and Health Music Actors,113.4K
34,jeimi gonzales @jeimi_gonzaleshn,373.4K,0.63%,El Salvador,,112K
35,Luciana Sandoval @lucianasandovalsv,373K,1.14%,El Salvador,Fashion and Accessories Education Marketing and Advertising Actors,111.9K
36,Danyi Palencia @danyipalencia26,369.4K,0.33%,El Salvador,,110.8K
37,Christian Maldonado @christianjmaldonado,368.9K,38.48%,El Salvador,,110.7K
38,Telenovelas @infonovelas,363.6K,0.64%,El Salvador,News Actors,109.1K
39,Rivera 503🇸🇻 @karen_rivera2323,358.7K,0.3%,El Salvador,,107.6K
40,Carlos Castillo @thenostalgiclatino,358.2K,2.23%,El Salvador,,107.4K
41,R O S Y A L B E R T O💕 @rosyalbertotv,357.7K,0.34%,El Salvador,Fashion,107.3K
42,Linda Cruz @lindacruztv,350.7K,0.81%,El Salvador,Acting and Drama Travel Life and Society Marketing and Advertising,105.2K
43,Ely Recinos @elyrecinos,344K,0.43%,El Salvador,Entertainment and Music family Fitness and Health Actors,103.2K
44,Abigail Mancia @abby_villa20,338.5K,7.87%,El Salvador,Entertainment and Music,101.6K
