#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Carlos lopez portillo @lopeztips53,108.1K,0.29%,El Salvador,Education,32.4K
2,Elsy Guevara @elsyguevara,39.8K,1.36%,El Salvador,Fashion & Accessories,11.9K
3,Sebastian Melrose @sebmelrose,25.5K,0.42%,El Salvador,Auto and Vehicles Outdoor Activity Sports,7.7K
4,No Seas Maje @noseasmajesv,24.1K,2.29%,El Salvador,,7.2K
5,¡Las Mejores Frases! @amoresdeparejas,18.2K,0.3%,El Salvador,Romance & Wedding,5.4K
6,@lorenmenjivar,18K,0.37%,El Salvador,News & Politics,5.4K
7,Paola Castaneda @paolblog,16.3K,1.26%,El Salvador,Travel,4.9K
8,Alejandra Bernal @_alebernal,16.2K,0.34%,El Salvador,Beauty & Self Care,4.8K
9,laprensagrafica @laprensagrafica,13K,0.21%,El Salvador,News Media,3.9K
10,Silvia Santamaria @tutysantamaria,12.6K,0.26%,El Salvador,family Pets,3.8K
11,Curly Velasquez @thecurlyvshow,12.2K,0.44%,El Salvador,Beauty & Self Care Entertainment & Music,3.7K
12,Noticias 4Visión @noticias4visiontcs,11K,-,El Salvador,News,3.3K
13,Sivar Cuisine • FOODIES @sivarcuisine,10.8K,0.25%,El Salvador,Food,3.2K
14,July Escobar Ruano @july.escobarr,10.2K,0.38%,El Salvador,Beauty & Self Care Fashion & Accessories,3.1K
15,Buffalo Wings® - El Salvador @buffalowingselsalvador,10.1K,0.5%,El Salvador,Food,3K
16,Paola Viale @paolaaviale,9.6K,0.45%,El Salvador,Fitness & Health,2.9K
17,El Tío @tionayib,9.6K,1.44%,El Salvador,Entertainment & Music,2.9K
18,Brenda Contreras Gutiérrez @brendacontreras9,9.5K,0.33%,El Salvador,Finance family,2.9K
19,Paola Orantes @paolaorantessv,9.4K,0.51%,El Salvador,News & Politics Entertainment & Music,2.8K
20,Descubre El Salvador @descubreelsalvador,9.3K,0.53%,El Salvador,Travel,2.8K
21,Ely Recinos @elyrecinos,8.9K,0.31%,El Salvador,Entertainment & Music family Fitness & Health,2.7K
22,El Gráfico @elgraficionado,8.8K,0.42%,El Salvador,Sports,2.6K
23,TODO MOTOR Latinoamérica @todomotorsv,8.2K,0.27%,El Salvador,Auto and Vehicles,2.5K
24,Carlos Barrientos @carlos_svpro,7.5K,0.47%,El Salvador,Travel Filmmaking Photography,2.2K
25,Lucy Moreno | Online Fitness Coach @lucymfit,7.3K,0.37%,El Salvador,,2.2K
26,Katherine Leveron♥ @kimy_leveron,7.3K,2.65%,El Salvador,Lifestyle,2.2K
27,Noticiero Hechos @noticierohechos,6.6K,0.14%,El Salvador,News & Politics,2K
