#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Fernanfloo @fernanfloo,47.1M,-,El Salvador,,14.1M
2,Alfredo Larin @alfredolarin,32.3M,-,El Salvador,,9.7M
3,Fernan @UCwosQ1lgv4kez9V4xUbJWKQ,7.3M,2.8%,El Salvador,,2.2M
4,Letupita725HD★ @UC1AEadAUKi6Zt-G3PatrU-Q,4.6M,-,El Salvador,,1.4M
5,Casa Magica @UCbA3EjrdDfInPURQJKZ-epA,3.9M,-,El Salvador,,1.2M
6,Dragon Ball World - Official Page @UCPQrFghhMiu2QO0wqX503Kg,3.4M,-,El Salvador,,1M
7,BambielR4 @bambiel,3.2M,-,El Salvador,,966K
8,StatusAndroid HD @UC3QF3l2Nt9o2nibvhuorGUw,1.6M,-,El Salvador,,492K
9,El Salvador 4K @UCvX6SymQRQ9pYEpaRWEExRA,1.4M,-,El Salvador,,414K
10,El Salvador Nation @UCmZedovuWTi5hZaKOtf0utA,1.2M,-,El Salvador,,369K
11,CatFer @UC9-BF5TxPY5b0OH3NpkoIyQ,1.2M,0.4%,El Salvador,,357K
12,Aventuras Plus @UCdJn2dfiUpG9jk3kpsj5Twg,845K,-,El Salvador,,253.5K
13,NEON WAR @UCcEe3vTnZsz6yi1FrHdqKcA,732K,-,El Salvador,,219.6K
14,Marlon Tutos @UCt8kCGPvxHY6jq8jKBrH5Ew,699K,-,El Salvador,,209.7K
15,Nigeru WILLIAM @UC46FVGFtb7L6yJCb2ebZdag,679K,0.9%,El Salvador,,203.7K
16,Febe Navarro @UCVZnqVHrVrB7phGIF593NNA,642K,-,El Salvador,,192.6K
17,El Salvador Plus @UCUx_7v5exsHY65QPQnjNBOw,621K,0.1%,El Salvador,,186.3K
18,sweetblue. @UCZdj1MDpyXBPI6nUs_2MZhw,540K,-,El Salvador,,162K
19,Chicas Plus @UC13odkPwG7b9_uWiiZdNtDA,502K,-,El Salvador,,150.6K
20,El Salvador ES @UC-I7pspR6kpjCZs1eC5tCjA,482K,-,El Salvador,,144.6K
21,Pablo Rosales @UC12-8KwswpRPxr9lXU2uf4w,410K,0.8%,El Salvador,,123K
22,m22leonel @UCA-nault7fSvBXAeJBq6cjg,408K,-,El Salvador,,122.4K
23,Otro Canal De Rap @UCo5O4BB1_V0LBagK8Ennn8A,407K,1.1%,El Salvador,,122.1K
24,Heraldos del Evangelio El Salvador @UCy8AxkzTa23b_GIaV1L_N1A,405K,0.2%,El Salvador,,121.5K
25,Komanche @UCGiBtrfxFhhSYL4nPBGCNaA,392K,0.5%,El Salvador,,117.6K
26,Youtubero Salvadoreño @UCjp_pbg4WVHDDC6p1pczxJg,388K,-,El Salvador,,116.4K
27,El Salvador Dia a Dia @UCA5wPX_P3jtmkuzIgomLFWA,382K,-,El Salvador,,114.6K
28,Proyecto Dominus Tecum @UCflG7YJ-qgglJ-GiPU7ClRw,376K,0.6%,El Salvador,,112.8K
29,Súper Interesante @UCSJxKtQQtmgrmIDnZsxKbiw,368K,-,El Salvador,,110.4K
30,Nails Ivette @UCtWsRgnn5x_iRHkJWIOtjpA,355K,-,El Salvador,,106.5K
31,Enrique Monterroza @UCl3RKXyxxWuRi2dPkUWE2pQ,340K,0.6%,El Salvador,,102K
