#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Kylian Mbappé @k.mbappe,111.7M,2.54%,France,Sports Business and Finance Home and Garden Soccer,33.5M
2,Karim Benzema @karimbenzema,76.1M,1.42%,France,Sports Entertainment and Music Soccer,22.8M
3,Urvashi Rautela @urvashirautela,70.3M,0.34%,France,Art Beauty Acting and Drama Beauty and Self Care,21.1M
4,Paul Labile Pogba @paulpogba,61.1M,0.89%,France,Sports,18.3M
5,Antoine Griezmann @antogriezmann,41.4M,0.34%,France,Sports Soccer,12.4M
6,N'Golo Kanté @nglkante,16.2M,8.56%,France,Sports Personal Finance,4.9M
7,Patrice Evra @patrice.evra,13.2M,0.14%,France,Entertainment and Music Video Gaming Soccer Music,3.9M
8,Equipe de France de Football @equipedefrance,11.6M,0.45%,France,Sports,3.5M
9,Eduardo Celmi Camavinga @camavinga,11.2M,0.11%,France,Sports,3.4M
10,Ross Shor Lynch @ross_lynch,11.1M,5.6%,France,Art Parenting Music Singer,3.3M
11,Lea Elui G @leaelui,10.7M,2.49%,France,Entertainment and Music,3.2M
12,David Guetta @davidguetta,10.6M,0.65%,France,Entertainment and Music Music DJ Producers,3.2M
13,Cedric Grolet @cedricgrolet,9.6M,4.07%,France,Food Business and Finance,2.9M
14,Nabilla Vergara @nabilla,9.1M,2.87%,France,Beauty and Self Care Modeling Health & Fitness Food & Drink,2.7M
15,Mathilde 🐈‍⬛ @mathildtantot,8.9M,2.33%,France,Fashion and Accessories Bikini Modeling,2.7M
16,Franck Ribéry @franckribery7,8.7M,2.44%,France,Coaching Training Fitness,2.6M
17,Solenn Heussaff @solenn,8.7M,0.96%,France,Fashion and Accessories Arts and Crafts Celebrity Modeling,2.6M
18,Richard ORLINSKI @richardorlinski,7.7M,3.5%,France,Arts and Crafts,2.3M
19,Marie Lopez @enjoyphoenix,6.3M,0.44%,France,Beauty and Self Care Lifestyle Public Figure,1.9M
