#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Sina Deinert @sinadeinert,107.3K,0.85%,Germany,Entertainment & Music,32.2K
2,Öᴢᴋᴀɴ ᴊᴀᴅᴇ sᴇɴ @mrjade,90.9K,0.17%,Germany,Finance,27.3K
3,Sally Fouad | سالي فؤاد @sally_fou2ad,90.6K,0.32%,Germany,Fitness & Health Education Product Education,27.2K
4,Lilian Melchert @limelchert,63.6K,0.36%,Germany,Oddly Satisfying,19.1K
5,Women’s Fashion Brand @lichi_brand,54.7K,0.36%,Germany,Fashion & Accessories,16.4K
6,Ronald Söthje @ronald_soethje,37.9K,1.36%,Germany,Photography Education Auto and Vehicles,11.4K
7,Dr. Barbara Sturm @drbarbarasturm,36.5K,0.27%,Germany,Beauty & Self Care,10.9K
8,Marvin Brooks @marvinbrooks,33K,-,Germany,Fitness & Health Education Outdoor Activity,9.9K
9,Nora Achmaoui @noriyanori,30K,0.61%,Germany,Education Upskilling,9K
10,Christian Betzmann @chrisbetzmann,27.4K,0.3%,Germany,Travel Photography,8.2K
11,KNITE @knitecoser,27.3K,3.56%,Germany,Animation & Cosplay,8.2K
12,trivago @trivago,22.2K,-,Germany,Travel,6.7K
13,Asya & Umut Karakuş @yoldabiblog,21.5K,0.17%,Germany,Travel,6.5K
14,Mario Adrion @marioadrion,21K,0.54%,Germany,Entertainment & Music,6.3K
15,AUTODOC - online auto parts store @autodoc_autoparts,20.8K,0.09%,Germany,Auto and Vehicles Product Education,6.2K
16,Tileh Pacbro @tileh_pacbro,20K,3.49%,Germany,Entertainment & Music Dance,6K
17,Tami Chin Mitchell @tamichinmitchell,19.4K,0.64%,Germany,Fashion & Accessories Entertainment & Music family Travel,5.8K
18,JIHOON KIM (지훈이 ₊˚⊹♡) @jihoonkm,18.4K,4.38%,Germany,Fashion & Accessories Entertainment & Music,5.5K
19,Damla Kalaycık Dedeoğlu @damlakalaycik,17.8K,1.09%,Germany,Fashion & Beauty Lifestyle Travel,5.3K
