#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,sinadeinert @sinadeinert,5.7M,0.1%,Germany,,1.7M
2,YZ @youneszar,4.4M,-,Germany,Entertainment and Music,1.3M
3,Enrique @enriquestory,4.1M,-,Germany,Arts and Crafts,1.2M
4,Julia Beautx @juliabeautx,3.8M,-,Germany,Beauty and Self Care Education Product Education Product Showcase,1.1M
5,Andrew Glazunov @andrewglazunov,3.7M,-,Germany,,1.1M
6,Jeremy Fragrance @jeremyfragrance,3.6M,-,Germany,Beauty and Self Care Entertainment and Music,1.1M
7,toni.kr8s_academy @toni.kr8s_academy,3.1M,-,Germany,Sports,930K
8,foodie beats @foodie.beats,2.9M,-,Germany,Food,870K
9,tinaneumann @tinaneumann,2.8M,-,Germany,,840K
10,AИDREA @andrea_subotic,2.8M,-,Germany,Entertainment and Music,840K
11,Fabian Maurice Baggeler @fabian.baggeler,2.7M,-,Germany,Entertainment and Music,810K
12,Serge❤️ @laskynn,2.7M,-,Germany,Fashion and Accessories,810K
13,Laura Sophie @laurasophie,2.6M,-,Germany,,780K
14,Любовь @tykowkaaa,2.6M,-,Germany,,780K
15,Mariia Well @mariia.well,2.5M,-,Germany,,750K
16,Irina @irinkamagic,2.4M,-,Germany,Entertainment and Music,720K
17,Mike Singer @mikesinger,2.4M,-,Germany,Entertainment and Music,720K
18,د.اسماعيل الطراد 🇩🇪 @dr.ismaeilaltourad,2.3M,0.2%,Germany,Education,690K
19,TypischCalvin 🇩🇪 @typischcalvin,2.3M,-,Germany,Entertainment and Music,690K
20,Lucy🌸🍃 @e.l.u.c.e.y,2.3M,-,Germany,Education Arts and Crafts,690K
21,Michael Gerber @elsuizolatino,2.2M,-,Germany,,660K
22,Derya @derya.tavas,2.1M,0.1%,Germany,Beauty and Self Care,630K
23,Jul 💘 @mylifeasjul,2.1M,-,Germany,Fashion and Accessories,630K
24,Niclas @niclas.kuri,2M,-,Germany,,600K
25,SENDDICTED @senddicted,2M,-,Germany,,600K
26,🇩🇪أميرة❤️ الأناقة 🇲🇦 @latifa.style,2M,-,Germany,Beauty and Self Care Fashion and Accessories,600K
27,wissensbert @wissensbert,2M,0.1%,Germany,Education,600K
28,Chris Böhm @chris_boehm,1.8M,-,Germany,Entertainment and Music,540K
29,Henry Nguyen @henry.ng,1.8M,-,Germany,,540K
30,Hao @haofx,1.7M,1.3%,Germany,Entertainment and Music,510K
31,Liam Carpenter @liamcarps,1.6M,7%,Germany,Funny,480K
32,Xenia Adonts @xeniaadonts,1.5M,-,Germany,Fashion and Accessories,450K
33,Rezo @rezo,1.5M,0.1%,Germany,,450K
34,𝐶𝑖𝑛𝑡𝑖𝑦𝑎 BB @sine0,1.5M,-,Germany,Entertainment and Music,450K
35,🇹🇷𝑆𝐸𝑀𝐼𝐻 & 𝐼𝑀𝐴𝑁🇩🇪 @imsem.diary,1.4M,0.1%,Germany,Entertainment and Music,420K
36,mrsxanna.lyx @mrsxanna.lyx,1.4M,-,Germany,,420K
37,Can Der Koch @canderkoch,1.4M,-,Germany,Entertainment and Music,420K
38,Davide Scibetta @davide__scibetta,1.3M,-,Germany,Beauty and Self Care,390K
39,Jihoon Kim @jihoneysweet,1.3M,-,Germany,,390K
40,Uri @ducuri.gmv,1.3M,-,Germany,Entertainment and Music,390K
41,Nictures @nictures,1.2M,-,Germany,Arts and Crafts Photography,360K
42,Weniamin Schmidt @weniamin_schmidt,1.1M,1.8%,Germany,,330K
