#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Giannis Ugo Antetokounmpo @giannis_an34,16.2M,1.25%,Greece,Sports Entertainment Basketball Athlete,4.9M
2,Péricles @pericles,6.4M,0.38%,Greece,Entertainment and Music,1.9M
3,Kris @kristenhancher,4.7M,0.5%,Greece,Entertainment and Music Fashion and Accessories Beauty and Self Care Fitness and Health,1.4M
4,Dimosthenis Sintou Koutoudis @denniskoutoudis,4M,7.67%,Greece,Product Showcase Business and Finance Entrepreneur Business,1.2M
5,Kostas Tsimikas @tsimikas21,2.1M,8.89%,Greece,Sports,638.7K
6,Mila Romanidi @mila_romanidi_official,2.1M,0.6%,Greece,Entertainment and Music News Modeling,634.2K
7,Victoria Banxx @vickybanxxtv,1.9M,2.11%,Greece,,578.7K
8,Stefanos Tsitsipas @stefanostsitsipas98,1.9M,1.88%,Greece,Sports Tennis,569.1K
9,Akis Petretzikis @akis_petretzikis,1.9M,0.58%,Greece,Food Recipes Cooking,558.8K
10,Zoya Tsopei @zoya_tsopei,1.7M,4.2%,Greece,Art Music Fashion,504K
11,YRAGGAN🇬🇷 @yraggan,1.6M,2.62%,Greece,,486.4K
12,Ioanna Bella @bella_ioanna,1.5M,0.28%,Greece,Fashion and Accessories Modeling,461.8K
13,Maja Malnar @majamalnar,1.5M,1.02%,Greece,Entertainment and Music Fashion and Accessories Travel Hair & Beauty,436.3K
14,@elenimenegaki,1.3M,0.94%,Greece,Fashion Parenting,400.4K
15,Thanasis Antetokounmpo @thanasis_ante43,1.3M,0.36%,Greece,Sports Music Modeling Entertainment,398.9K
16,Maria Koutsogiannis 🇬🇷 Greek Food Blogger @foodbymaria,1.3M,1.73%,Greece,Food Food and Drink Business and Finance Recipes,391.6K
17,Zoe Garifallou @zoegara,1.2M,7.72%,Greece,Sports,354.5K
18,Αλέξανδρος Κοψιάλης @alexandros_kopsialis,1.2M,7.48%,Greece,Video Gaming Celebrity Soccer,350.1K
