#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,chiwipk @chiwipk,4M,-,Guatemala,,1.2M
2,jaycolindres @jaycolindres,3.9M,-,Guatemala,Business and Finance,1.2M
3,Yoitz_isaac @yoitz_isaac,3.8M,-,Guatemala,Entertainment and Music Product Showcase,1.1M
4,Maiperyt @maiperyt,2.6M,-,Guatemala,,780K
5,Anita Ceto @anitaceto,1.9M,-,Guatemala,,570K
6,columpio gigante @ecomuro,1.7M,-,Guatemala,,510K
7,Yoselin Ortiz @yossi_ortizz,1.2M,-,Guatemala,,360K
8,Batería Humana Beatbox @bateriahumanabeatbox,1M,-,Guatemala,,300K
9,🎪Los payasos más locos🎪 @rafiky_rafiky.jr,967.3K,-,Guatemala,Entertainment and Music,290.2K
10,Genis Castillo @genisup,962.5K,-,Guatemala,,288.8K
11,AVIVA TV NAHUALA @avivatvnahuala,905.6K,-,Guatemala,,271.7K
12,🇬🇹☠️🚫Wilson.Gt☠️🚫🇬🇹 @wilsonsty.gt,892.6K,-,Guatemala,,267.8K
13,Yan Colz🤴🇬🇹 @yancolz,884K,-,Guatemala,,265.2K
14,Jos @jos_4893,873.6K,-,Guatemala,,262.1K
15,Ketzy Rosales @ketzyrosales,869.7K,-,Guatemala,Entertainment and Music,260.9K
16,Videos Cortitos @videos_cortitos,867K,-,Guatemala,,260.1K
17,Meli @changmelii,862.8K,-,Guatemala,,258.8K
18,Elmo chingon @mayen_m21,809.2K,0.2%,Guatemala,,242.8K
19,Yeya Morales @yeyamorales5,801.9K,-,Guatemala,,240.6K
20,Cibely 🦋 @_cibelyc,758.8K,-,Guatemala,Beauty and Self Care Fashion and Accessories,227.6K
21,FRANKLIN GT @franklin.gt,731.2K,-,Guatemala,Entertainment and Music Funny,219.4K
22,Sofia Morales @sofiam.moraless,691.1K,-,Guatemala,,207.3K
23,Junior Contreras @juniorcontreras_oficial,681.1K,-,Guatemala,,204.3K
24,🦋MARII🦋 @mariela_freefire,677.8K,-,Guatemala,,203.3K
25,Esmelachapina @esmelachapina,649.1K,-,Guatemala,,194.7K
26,Fanny📈♥️✨ @fanny_fraseschidas07,647.3K,-,Guatemala,,194.2K
27,Isaacvideostop9999 @isaacvideostop999,639.8K,-,Guatemala,,191.9K
28,1M🥳🎉________🚗____423k @resupelis,634.9K,-,Guatemala,,190.5K
29,Bae♥️ @beba.16gt,613.7K,-,Guatemala,,184.1K
30,Gerardo_ff18 @g3rardo_ff18,606.1K,-,Guatemala,,181.8K
31,🐯 T. Chouds 🐯 @t.chouds,602.1K,-,Guatemala,Entertainment and Music,180.6K
32,🇬🇹𝒆𝒍𝒇𝒍𝒂𝒌𝒊𝒕𝒐502🇺🇸 @elflakito502,592.4K,0.5%,Guatemala,,177.7K
33,ƙąཞყ 🇬🇹 @kary.jauregui,581.2K,-,Guatemala,,174.4K
34,Valenntiiin_ @valennttinn_,571K,0.1%,Guatemala,,171.3K
35,Chapin Viajero @chapin.viajero,569.5K,-,Guatemala,Travel,170.9K
36,Hector_G.T @hector_g.t,547.7K,-,Guatemala,,164.3K
37,Nico @nicoquinonez_,545.2K,-,Guatemala,,163.6K
38,ᴇʀᴏsᴘᴀɴɪsʜ_ᴏғɪᴄɪᴀʟ_®️ @erospanish_,536.6K,-,Guatemala,,161K
39,PastorCashLuna @pastorcashluna,532.4K,0.1%,Guatemala,,159.7K
40,💚💚abril💚💚 @a_b_r_i_l_23,532.3K,-,Guatemala,,159.7K
41,AlexLeon @dpleon_ff,529.3K,1%,Guatemala,,158.8K
42,followers.315 @morel.sa13,525.7K,-,Guatemala,Education Life and Society,157.7K
43,Camilita S.S. @kamylyska,522.4K,-,Guatemala,Pets,156.7K
44,Canta la canción 😛 @canta.sin.llorar,522.2K,-,Guatemala,,156.7K
45,Carlos Leonel @carlosleonel99,517.9K,-,Guatemala,,155.4K
46,EDUKENNY GT @edukenny_gt,500.5K,-,Guatemala,Games Video Gaming,150.2K
47,⚡️Carlos Del Cid⚡️ @carlosdelcid4,492.5K,0.2%,Guatemala,,147.8K
48,✨EL BRAYAN✨ @pana_ff_1,489K,-,Guatemala,,146.7K
49,✨Garcia✨ @mistica.23,486.2K,-,Guatemala,Entertainment and Music,145.9K
50,Dulce Camey @dulce_camey1,485K,-,Guatemala,,145.5K
51,🥀JUBEM🥀 @jubemcedillo,483K,-,Guatemala,,144.9K
52,Domingo Guzman @domingoelchapin,482.6K,-,Guatemala,,144.8K
53,Christine Olivia @iamchristineolivia,475.6K,-,Guatemala,,142.7K
54,LA CHAPINCITA DE CORAZÓN💟 @veronicabarrios56,472.6K,-,Guatemala,,141.8K
55,Hooters Guatemala @hootersguatemala,465.8K,-,Guatemala,Food,139.7K
56,EnlaMiraGuate @enlamiraguate,460.4K,-,Guatemala,,138.1K
57,ZakroZomber @zakrozomber,448.2K,0.1%,Guatemala,,134.5K
58,Isa Roldán @isaroldangt,446.8K,-,Guatemala,,134K
59,imb1r0n_retirado @imb1r0n,445.9K,0.3%,Guatemala,,133.8K
60,Mileydi de Guzman ( Chula ) @mileydideguzman,444.6K,-,Guatemala,,133.4K
61,Patita Sanz @patty883,440.5K,-,Guatemala,,132.2K
62,Ilsi Paz @ilsipaz,434K,-,Guatemala,,130.2K
63,Elmerlopez 786 @elmerlopez4,428K,-,Guatemala,,128.4K
64,Marcy @mkmotta,426.8K,-,Guatemala,,128K
65,Cintia 💓 @sakurita.cintia,425.4K,-,Guatemala,,127.6K
66,🦴 Quiropráctico Recinos 🦴 @energiavitalgt,423.6K,-,Guatemala,,127.1K
67,YeisonGTM502 @yeisongtm502,419.5K,-,Guatemala,,125.9K
68,TO FEEL DOWN @to_feel_down,416K,0.8%,Guatemala,,124.8K
