#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Bruce Lee @brucelee,11.6M,0.09%,Hong Kong,Entertainment and Music Actors,3.5M
2,G.E.M.鄧紫棋 @gem0816,7.5M,1.21%,Hong Kong,Entertainment and Music Music Celebrity Songwriting,2.3M
3,Jackie Chan 成龍 @jackiechan,5.7M,9.47%,Hong Kong,Celebrity Music,1.7M
4,Maxim Mernes @mernesmax,4.1M,0.07%,Hong Kong,Business and Finance,1.2M
5,Shawn Yue @lok666,4.1M,0.29%,Hong Kong,Art Celebrity Actors,1.2M
6,Isabelle Daza-Semblat @isabelledaza,3.6M,0.83%,Hong Kong,Art Sports Fashion Travel,1.1M
7,Donnie Yen @donnieyenofficial,2.9M,1.67%,Hong Kong,Entertainment and Music Acting and Drama Parenting Actors,855.3K
8,@williamchanwaiting,1.8M,11.22%,Hong Kong,Celebrity Modeling,527K
9,Stephen Chow @stephenchow,1.7M,0.71%,Hong Kong,Entertainment and Music Animation and Cosplay,501.4K
10,Jackie Chan @eyeofjackiechan,1.7M,5.16%,Hong Kong,Entertainment and Music,496.5K
11,Fiona Sit 薛凱琪 @physit,1.5M,0.27%,Hong Kong,Entertainment and Music Fashion and Accessories Celebrity Music,457.1K
12,PAKHO CHAU | 周柏豪 | PUNKHIPPIE @punkhippie,1.5M,0.57%,Hong Kong,Fashion and Accessories Careers Music Celebrity,440.2K
13,Charlene Choi @choisaaaa,1.5M,1.27%,Hong Kong,Fashion and Accessories Actors,435.2K
14,林明禎 @minchen333,1.4M,2.37%,Hong Kong,Fashion and Accessories Video Gaming Coaching Celebrities,432.7K
15,Nancy Wu 胡定欣 @nwuuu,1.4M,0.55%,Hong Kong,Photography Actors,423.9K
16,💫Charmaine Sheh 佘詩曼💫 @charmaine_sheh,1.2M,0.8%,Hong Kong,Acting and Drama Celebrity Actors Cooking,370.7K
17,Priscilla Wong 黃翠如 @wongtsuiyu,1.2M,1.69%,Hong Kong,Entertainment and Music Food,367.1K
18,Hins Cheung 張敬軒 @hinscheung,1.2M,3.08%,Hong Kong,Entertainment and Music Music Modeling,346.1K
19,Yumi黃詩棋🌟 @yumiwong_official,1.1M,0.78%,Hong Kong,Fashion and Accessories Celebrity Actors Actor,343.8K
20,Eliza Sam 岑麗香 @heungheungeliza,1.1M,1.1%,Hong Kong,Entertainment and Music Celebrity,337K
21,楊千嬅Miriam Yeung @yeungchinwah,1.1M,0.52%,Hong Kong,Entertainment and Music Celebrity Actors,335.6K
22,Ali 李佳芯 @aliaime,1.1M,0.93%,Hong Kong,Acting and Drama Celebrity Actors,328.5K
23,🧘🏻‍♀️C O F F E E L A M🧘🏻‍♀️ @coffee89921,1.1M,1.46%,Hong Kong,Fitness Yoga Modeling Public Figure,323.1K
24,周秀娜 Chrissie Chau @chrissienana,1.1M,0.9%,Hong Kong,Entertainment and Music Fashion and Accessories Actors,315.6K
25,Joey Yung 容祖兒 @yungchoyee,1M,0.72%,Hong Kong,Romance and Wedding Music Modeling,310.9K
26,KEUNG TO 姜濤 @keung_show,1M,4.82%,Hong Kong,Entertainment and Music Modeling,309.2K
