#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,100毛 @100mosthk,141.6K,0.21%,Hong Kong,Entertainment & Music,42.5K
2,Pomato 小薯茄 @pomatohk,119.4K,0.42%,Hong Kong,Food DIY & Life Hacks,35.8K
3,Mc 張天賦Emz @mcheung1201,95.9K,3.35%,Hong Kong,Entertainment & Music,28.8K
4,港生活 @ulifestylehk,69.3K,0.13%,Hong Kong,Home & Garden Food Education,20.8K
5,J Lou 林欣 @jlouofficial,67K,0.37%,Hong Kong,Fashion & Accessories,20.1K
6,Cheung Ka Long 張家朗 @cheungkalonggggg,65.3K,0.63%,Hong Kong,Sports,19.6K
7,童童 @tungtungdess,60.5K,1.55%,Hong Kong,Food Art & Crafts,18.1K
8,Kelly Cheung 張曦雯 @kelllycheung,59.6K,0.58%,Hong Kong,Fashion & Accessories Romance & Wedding Entertainment & Music Product Showcase,17.9K
9,Laiying エミー 麗英 @laiyingdesu,54K,1.38%,Hong Kong,Arts & Crafts Entertainment & Music Fashion & Accessories,16.2K
10,PAKHO CHAU | 周柏豪 | PUNKHIPPIE @punkhippie,53.7K,0.66%,Hong Kong,Fashion & Accessories,16.1K
11,JEANNIE @missjni,52.2K,-,Hong Kong,Product Showcase,15.7K
12,Hedy 海兒 @hedy_hoiyi,49.9K,1.14%,Hong Kong,Music,15K
13,"陳瑞輝 , Frankie Chan @frankie729",48.5K,4.51%,Hong Kong,Fashion & Accessories,14.5K
14,麻甩女子祖· 香港美食+插畫🍽 𝗛𝗼𝗻𝗴 𝗞𝗼𝗻𝗴 𝗙𝗼𝗼𝗱𝗶𝗲 @joeie_foodie,48.2K,1.54%,Hong Kong,Food,14.5K
15,林日曦 @lam1hey,47.3K,1.54%,Hong Kong,Auto and Vehicles,14.2K
16,IKEA Hong Kong @ikeahongkong,44.1K,3.31%,Hong Kong,Home & Garden,13.2K
17,jumbo tsang曾淑雅 @jumbotsang,44K,0.66%,Hong Kong,Fitness & Health Outdoor Activity Education Upskilling,13.2K
18,Louisa Mak 麥明詩 @louisa_mak,44K,0.81%,Hong Kong,Acting & Drama,13.2K
19,@hillarylau,42K,1.99%,Hong Kong,Fashion & Accessories,12.6K
20,古娃娃 @wawawaku,39.4K,1.18%,Hong Kong,Food Product Education Product Showcase,11.8K
21,U Magazine @umagazinehk,36.1K,0.07%,Hong Kong,Entertainment & Music Fashion & Accessories,10.8K
22,JASON (大J) @hunggy9527,35.5K,0.64%,Hong Kong,Games,10.7K
23,HK Foodies🍴and Always More❣窮遊 @poortravellers,34.3K,0.16%,Hong Kong,Travel,10.3K
24,大大與小妹 @lenus_ig,34.1K,2.52%,Hong Kong,Animation & Cosplay,10.2K
25,Andy Lau • 劉德華 @andylauox,31.8K,0.34%,Hong Kong,Entertainment & Music,9.5K
26,電影療傷誌🎬 @moviematic,30.9K,0.49%,Hong Kong,Entertainment & Music,9.3K
27,Surrealhk @surrealhk,30.7K,0.91%,Hong Kong,Arts & Crafts,9.2K
28,Harper's BAZAAR HK @harpersbazaarhk,26.9K,0.22%,Hong Kong,Fashion & Accessories Entertainment & Music,8.1K
29,utravel @utravel,26K,-,Hong Kong,Travel,7.8K
30,📍MeetHK 玩．味 情報 @meethkcom,25.4K,0.06%,Hong Kong,Travel,7.6K
31,TalkFood 港飲港食 @talkfood,25K,-,Hong Kong,Food,7.5K
32,體路 Sportsroad @sportsroad.hk,24.7K,0.08%,Hong Kong,Outdoor Activity Sports,7.4K
33,蔡思貝 SISLEY CHOI @sisleychoi,24.5K,-,Hong Kong,Fashion & Accessories,7.4K
34,Kin Ryan 文健 @kinryyy,23.5K,2.05%,Hong Kong,,7.1K
35,米露迪🐰 Melody Ma @melomelojai,23.4K,0.61%,Hong Kong,Food,7K
36,Serene Lim 宣妤 @serene_lsy,23.1K,0.65%,Hong Kong,Acting & Drama Entertainment & Music,6.9K
37,Flavia Wong 黃可盈 @flaviawg,22.6K,0.01%,Hong Kong,Fashion & Accessories,6.8K
38,Phil Lam 林奕匡 @saxyphil,21.6K,0.16%,Hong Kong,Entertainment & Music,6.5K
39,𝐀𝐬𝐡 | 鍾卓穎 @iamashleyyy___,21.5K,0.57%,Hong Kong,Fashion & Accessories Entertainment & Music,6.5K
40,Lawrence Wong 王冠逸 @ohohlawrence,21K,0.53%,Hong Kong,Acting & Drama,6.3K
41,Dcard_HK @dcard.hk,19.8K,0.04%,Hong Kong,Education Life & Society,5.9K
42,Rosita Kwok 郭柏妍 @rositakpyy,19.5K,0.53%,Hong Kong,Fashion & Accessories,5.9K
43,伯賴 @byeian,19.2K,1.38%,Hong Kong,Photography,5.7K
44,KKBOX HONG KONG @kkbox_hk,19K,0.53%,Hong Kong,Entertainment & Music,5.7K
45,Victor Cheng 📍 Hong Kong @veeceecheng,18.9K,0.83%,Hong Kong,Photography,5.7K
46,陳健安 o̥ͦn̥ͦ c̥ͦh̥ͦḁͦn̥ͦ @on_callstar,18.9K,1.68%,Hong Kong,Oddly Satisfying Animation & Cosplay,5.7K
47,Chan Wing Yan Yanny @yannyyc,18.6K,-,Hong Kong,Food,5.6K
48,𝑲𝒂𝒓𝒆𝒏 𝒀𝒆𝒖𝒏𝒈 @iamkareno,18.4K,0.21%,Hong Kong,Beauty & Self Care,5.5K
49,jaimectw 張天穎 @jaime_ctw,18K,0.47%,Hong Kong,Entertainment & Music,5.4K
50,JOEY THYE 戴祖儀 @joeythyee,17.9K,0.66%,Hong Kong,,5.4K
