#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,₊‧°𐐪♡ Z𝖚𝖗𝖊𝖊𝖆𝖑/琇然 ♡𐑂°‧₊ @zureeal,811.2K,0.5%,Hong Kong,Animation and Cosplay Entertainment and Music,243.4K
2,Francine Ng @francine.ng,774.6K,-,Hong Kong,,232.4K
3,DiscoverHongKong @discoverhongkong,667.5K,-,Hong Kong,,200.3K
4,kaiyee 🧨 @kaiyee_,518.2K,-,Hong Kong,,155.5K
5,cynthiahk @cynthiahk,488.7K,-,Hong Kong,,146.6K
6,SAAIH HALILINTAR 2 @moresaaihalilintar,458.9K,0.2%,Hong Kong,,137.7K
7,riwan🦖 @heri.krn,456.1K,-,Hong Kong,,136.8K
8,8090s in Hong Kong @hongkong.8090s,453.8K,0.3%,Hong Kong,,136.1K
9,Jousy @jousychan,445.6K,-,Hong Kong,,133.7K
10,ANNA 🦋 (NEWACC) @anaa_800,435.3K,-,Hong Kong,,130.6K
11,黃浩霆 / IG：hoting.tv @hoting852,367.6K,-,Hong Kong,,110.3K
12,user8923802482792 @user8923802482792,322K,-,Hong Kong,Pets,96.6K
13,THEO YOUNG @theoyoung20,311.8K,-,Hong Kong,,93.5K
14,Ahohaw Review @ahohaw_vn,304K,2.1%,Hong Kong,,91.2K
15,dance tutorials 😗✌️ @tiktok.dance.tuttorial,252.8K,45.8%,Hong Kong,,75.8K
16,스치면홍콩 @6969zz,238.4K,-,Hong Kong,,71.5K
17,叶子yezi @yezi_1022_,204.1K,-,Hong Kong,,61.2K
18,Aidan @aidan.cheung,200.7K,-,Hong Kong,,60.2K
19,Rooney Xhk @r.xhk,193.3K,-,Hong Kong,,58K
20,NAMUY HK @namuy_hk,191.2K,-,Hong Kong,,57.4K
21,BaronHong @baronhongchestbinder,176.1K,-,Hong Kong,,52.8K
22,妖都學長 @yaodotv,174.2K,0.3%,Hong Kong,,52.3K
23,HK Official ♔♚ @its.homayon.official,162.1K,-,Hong Kong,,48.6K
24,Celeste_Hong @celes.hong,153.6K,-,Hong Kong,,46.1K
25,Micha bell🇭🇰 @apundar14,140.9K,-,Hong Kong,,42.3K
26,TVB-FILM ✅ @tvbphimffvn,140.8K,-,Hong Kong,,42.2K
27,Mandaa🌿 @_itzmandaa_,132.6K,0.8%,Hong Kong,,39.8K
28,HongKongDoll @hongkong_doll,129.7K,0.9%,Hong Kong,,38.9K
29,梁笑笑 @liangxx233,126.8K,0.3%,Hong Kong,Beauty and Self Care,38K
30,HongKong Wedding @hongkong.wedding,122.6K,-,Hong Kong,Romance and Wedding,36.8K
31,Elisa @elisaty_,112.4K,-,Hong Kong,Entertainment and Music,33.7K
32,隆翠珠寶 @lczb8,104.4K,0.1%,Hong Kong,,31.3K
33,極品明皇帝 @jpmhd,94.4K,0.6%,Hong Kong,,28.3K
34,Andrew Lau @andrewjlau,66.8K,-,Hong Kong,,20K
35,eduardoowong @eduardoowong,65K,0.2%,Hong Kong,,19.5K
36,SharonChan陳敏之 @sharonchanmanchi,38.6K,0.1%,Hong Kong,,11.6K
37,Isabella @izabella.ng,34K,-,Hong Kong,Fashion and Accessories,10.2K
38,Eva Thapa 🇭🇰 🇳🇵 @evathapa4,20.8K,1.2%,Hong Kong,,6.2K
39,E7🤍 @eeqi__00,15K,1.4%,Hong Kong,Beauty and Self Care,4.5K
40,kaylinhsieh @kaylinhsieh,12K,0.1%,Hong Kong,Sports Education,3.6K
41,SAMI_852🇭🇰 @sami_mirza5,11.9K,0.6%,Hong Kong,Romance and Wedding,3.6K
42,Alice巧汶🌹 @0714.alice,9.9K,0.5%,Hong Kong,,3K
43,Healing Tarot @tarotkingsg,8.2K,0.4%,Hong Kong,Entertainment and Music,2.4K
