#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Mobile Legends: Bang Bang Official @UCqmld-BIYME2i_ooRTo1EOg,14.4M,-,Hong Kong,,4.3M
2,zAmericanEnglish @UCHrD4qdeQc1BbpG6EPqDBcA,9M,-,Hong Kong,,2.7M
3,Shadow Music @UCl7cVzHngS0kg51TPrDbqlg,8M,-,Hong Kong,Music,2.4M
4,Xiaoying Cuisine @UCJJDD-Hy76jvUMRG-dpFkcw,3.7M,-,Hong Kong,,1.1M
5,芒果TV青春剧场 MangoTV Drama @UCTulSfEm1c14WWRbSN-CNAQ,3.4M,-,Hong Kong,,1M
6,TreeMan @UCzc59v10qvwWRPrYoWUKEvQ,2.9M,0.2%,Hong Kong,,861K
7,Girlmerry @girlmerry,2.6M,-,Hong Kong,,783K
8,GEM鄧紫棋 @UCsLWG2t7n9LFsvH0wR2rtpw,2.6M,-,Hong Kong,,780K
9,EHPMusicChannel @UC345x_D7DgK5313D3ftM_EQ,2.4M,-,Hong Kong,,723K
10,Zhejiang STV Official Channel-Subscribe Now @UC52EYUUSlzcYqHj-qsx0RHg,2.3M,-,Hong Kong,,675K
11,Keep Running Official-Welcome to subscribe @UCfj8FsoiPFHn1gZMJaeLEDg,2.2M,-,Hong Kong,,651K
12,李永乐老师 @UCSs4A6HYKmHA2MG_0z-F0xw,2M,-,Hong Kong,,606K
13,MangoTV Music Channel @UCwnDGKPgpRsJUjuSGhATAmg,2M,-,Hong Kong,Music,600K
14,ZJSTV Music Channel-Welcome to subscribe- @UCp8cPvx_Od76EL66vvCnhRA,1.7M,-,Hong Kong,,519K
15,Nikmatul Rosidah @UCLII0CgnehW7h423--B9C1g,1.7M,0.1%,Hong Kong,Books,510K
16,Citi Heroes @UCjrLBk2y5CqtZoyvaKanr_w,1.6M,-,Hong Kong,Celebrity,480K
17,NuclearProductions @UC_ENPFDGZcBxnlxjPCq5gKA,1.6M,2.5%,Hong Kong,,465K
18,Siboen chanel @UCHMIbhTr9BAkO99ZTL5Ouuw,1.4M,-,Hong Kong,,432K
19,阿木爷爷 Grandpa Amu @UClaEdLrmti779-tyovta8zw,1.4M,-,Hong Kong,,426K
20,Taylor R @UCuySkUHjdgugMw61waqFsRg,1.3M,0.9%,Hong Kong,,396K
21,Taleek @UCJwO3Pn_RgCLcw5qxcVPxZw,1.3M,-,Hong Kong,,396K
22,二米炊烟ErmiChuiyan @UCYpkch1t09p2HCp9ApcMxrg,1.3M,-,Hong Kong,,393K
23,See you every day in the kitchen @UC1SaDcKftNgCW-I34K462yQ,1.3M,-,Hong Kong,,390K
24,Fat Monkey @UCnWNu1fNP4_h1AjvPExgnrA,1.2M,-,Hong Kong,,372K
25,一条Yit @UCulFhrW_YCwkq_BP16C82mA,1.2M,-,Hong Kong,,357K
26,MrYang楊家成 @UCAXYUIlnzX62PppZ6BvOA1w,1.1M,0.4%,Hong Kong,,336K
27,RTHK 香港電台 @UC6of7UYhctnYmqABjUqzuxw,1.1M,-,Hong Kong,,324K
28,Celine Tam Official @UCBMeo8x6iFI23jjWwUT-7Uw,1.1M,0.3%,Hong Kong,,318K
29,TVB (official) @UCD2SNRlEjxJODlwaKx-BoRw,1M,-,Hong Kong,,300K
30,越哥说电影 @UChgCVolsF6L7DWmOpWKSkMA,950K,-,Hong Kong,,285K
31,笑波子 @UCDpK1rg5I9Zc3ToY13vbR3w,924K,-,Hong Kong,,277.2K
32,次元动漫社 Animation Club @UCYkn7e_zaRR_UxOrJR0RVdg,915K,-,Hong Kong,,274.5K
33,看电影了没 @UCZmyD8-UsaxaVL-Zx3KEQKw,885K,-,Hong Kong,,265.5K
34,April Yang @UCV0A2VeScCoxiMhsA2kiIKw,878K,0.2%,Hong Kong,Education Beauty Technology,263.4K
35,AniZone @UCOOubYPzjKHDAhtFYNFW1UQ,871K,-,Hong Kong,,261.3K
36,memehongkong @UCu_YquoQYKR3GpP82TO-zRw,845K,0.2%,Hong Kong,,253.5K
37,袁腾飞官方频道 Tengfei Official @UC5xunxPS6oZ1zzKufgREFuA,807K,0.2%,Hong Kong,,242.1K
38,WCY Music Studio @UCpJSxn5cpzs4_0CMisQ-xKw,797K,-,Hong Kong,,239.1K
39,咬人猫Yaorenmao @UCCvt0Jc0ghFegppbyRdMPTg,772K,-,Hong Kong,,231.6K
