#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Netflix India @netflix_in,844.7K,0.96%,India,Entertainment & Music,253.4K
2,RVCJ Media @rvcjinsta,804.8K,0.09%,India,Entertainment & Music Product Showcase,241.5K
3,𝑨𝒋𝒆𝒚 𝑵𝒂𝒈𝒂𝒓 @carryminati,801.2K,2.8%,India,Entertainment & Music,240.4K
4,Ashish Chanchlani @ashishchanchlani,787K,0.18%,India,Entertainment & Music Funny,236.1K
5,MC STΔN 💔 @m___c___stan,556.6K,2.56%,India,Entertainment & Music Fashion & Accessories,167K
6,Instant Bollywood @instantbollywood,556.3K,0.45%,India,Entertainment & Music,166.9K
7,Suresh Raina @sureshraina3,534.2K,1.05%,India,Sports,160.3K
8,Royal Challengers Bangalore @royalchallengersbangalore,530.1K,0.97%,India,Sports,159K
9,Rishabh Pant @rishabpant,516.7K,1.68%,India,Sports,155K
10,DILJIT DOSANJH @diljitdosanjh,497K,0.92%,India,Entertainment & Music,149.1K
11,Mumbai Indians @mumbaiindians,418.4K,-,India,Sports,125.5K
12,Gaur Gopal das @gaurgopaldas,401.8K,0.65%,India,Education Upskilling Fitness & Health,120.5K
13,F I L M Y G Y A N @filmygyan,393.4K,0.5%,India,Entertainment & Music,118K
14,Neha Sharma 💫 @nehasharmaofficial,352K,0.48%,India,Fashion & Accessories Food Arts & Crafts Acting & Drama,105.6K
15,Viral Bhayani @viralbhayani,326.7K,0.38%,India,Entertainment & Music Arts & Crafts Photography,98K
16,Harsh KUKKU Beniwal @harshbeniwal,312.6K,1.1%,India,Entertainment & Music Funny,93.8K
17,Mohanlal @mohanlal,302.3K,-,India,Entertainment & Music,90.7K
18,Prajakta Koli @mostlysane,270.3K,0.74%,India,Entertainment & Music,81.1K
19,Kusha Kapila @kushakapila,269.9K,0.45%,India,Entertainment & Music,81K
20,India’s Youth & Fitness IC⭕️N @sahilkhan,267.4K,0.32%,India,Fitness & Health Product Education,80.2K
21,Shilpa Sethi @ms.sethii,259.5K,1.02%,India,Fashion & Accessories,77.9K
22,India Royale @indiaroyale,230.7K,-,India,Fashion & Accessories,69.2K
23,Rajasthan Royals @rajasthanroyals,217.3K,0.55%,India,Sports,65.2K
