#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Khabane Lame @khaby00,79.7M,1.17%,Italy,Entertainment and Music Funny Education Life and Society,23.9M
2,Juventus @juventus,60.4M,0.2%,Italy,Sports Soccer Sports Team Creators & Celebrities,18.1M
3,Chiara Ferragni ✨ @chiaraferragni,29.2M,2.92%,Italy,Fashion and Accessories Business and Finance Public Figure Creators & Celebrities,8.8M
4,Gianluca Vacchi @gianlucavacchi,22.5M,1.31%,Italy,Entertainment and Music Parenting Entrepreneur,6.8M
5,Valentino Rossi @valeyellow46,15.8M,0.9%,Italy,Sports Racing Riders Motorcycle Racing,4.7M
6,AC Milan @acmilan,14.8M,0.66%,Italy,Sports Soccer,4.4M
7,Scuderia Ferrari @scuderiaferrari,13.9M,0.93%,Italy,Auto and Vehicles Sports Personal Finance Racing,4.2M
8,Rodrigo De Paul @rodridepaul,12.8M,9.17%,Italy,,3.8M
9,Mr P @peterpsquare,12.3M,0.15%,Italy,Entertainment and Music Business and Finance Music,3.7M
10,Donatella Versace @donatella_versace,11.8M,0.86%,Italy,Fashion and Accessories Fashion Design Artist Creators & Celebrities,3.5M
11,Mario Balotelli Barwuah 🇬🇭+🇮🇹=⚽️ @mb459,11.3M,1.56%,Italy,Soccer Sports,3.4M
12,Gianluigi Buffon @gianluigibuffon,11M,1.91%,Italy,Sports Soccer,3.3M
13,Can Yaman @canyaman,10.5M,2.22%,Italy,Acting and Drama Actors Modeling,3.1M
14,Andrea Pirlo Official @andreapirlo21,9.7M,1.55%,Italy,Sports Soccer,2.9M
15,Marco Verratti @marco_verratti92,9.1M,2.63%,Italy,Sports Soccer,2.7M
16,Carlos Sainz @carlossainz55,9.1M,7.19%,Italy,Auto and Vehicles Racing,2.7M
17,🌸Diletta Leotta🌸 @dilettaleotta,9.1M,2.42%,Italy,Fashion and Accessories Entertainment and Music Acting and Drama TV Host,2.7M
18,Marzia Kjellberg @itsmarziapie,8.8M,11.03%,Italy,Fashion and Accessories Arts and Crafts Business and Finance Lifestyle,2.6M
19,Thylane-Lena rose @thylaneblondeau,7.3M,0.21%,Italy,Fashion and Accessories Modeling Fashion Design Celebrities,2.2M
20,Elettra Lamborghini @elettralamborghini,7.2M,1.89%,Italy,Entertainment and Music Music TV Host,2.2M
21,Francesco Nappo @francesconappoph,7.1M,-,Italy,Photography Business and Finance,2.1M
22,AS Roma @officialasroma,7M,0.66%,Italy,Soccer,2.1M
23,ᎷᎪᎡᎢᏆNᎪ @vismaramartina,6.9M,4.24%,Italy,Fashion and Accessories Product Showcase Lifestyle,2.1M
24,MARIANO DI VAIO @marianodivaio,6.9M,0.6%,Italy,Modeling Celebrities Technology,2.1M
25,Ludovico Aldasio @ludovicoaldasio,6.3M,1.02%,Italy,Books,1.9M
26,Emma Marrone @real_brown,6M,0.66%,Italy,Entertainment and Music Food and Drink Music Singer,1.8M
27,Inter @inter,6M,2%,Italy,Soccer,1.8M
28,Eva Menta @evamenta,5.9M,6.64%,Italy,Fashion and Accessories Marketing and Advertising Celebrities,1.8M
29,Nazionale Italiana di Calcio @azzurri,5.7M,1.23%,Italy,Sports Soccer,1.7M
30,Alessia Marcuzzi @alessiamarcuzzi,5.6M,0.25%,Italy,Fashion and Accessories Celebrities,1.7M
31,Giulia De Lellis @giuliadelellis103,5.4M,1.1%,Italy,Fashion and Accessories Modeling Celebrities,1.6M
32,Damiano David/Måneskin @ykaaar,5.2M,9.07%,Italy,Art Music,1.6M
33,Sebastian Colnaghi @sebastiancolnaghi,5.2M,2.34%,Italy,Travel Outdoor Activity,1.6M
34,Carlo Ancelotti @mrancelotti,5.1M,2%,Italy,Trainers Soccer,1.5M
35,Claudio Marchisio @marchisiocla8,5M,0.7%,Italy,Sports Soccer Modeling,1.5M
36,Benedetta Rossi @fattoincasadabenedetta,4.9M,2.29%,Italy,Food Food and Drink,1.5M
37,Valentina Nappi @instavalentinanappi,4.9M,0.53%,Italy,Art Entertainment and Music Video Gaming Food,1.5M
38,Melissa Satta @melissasatta,4.9M,0.62%,Italy,Fashion and Accessories Sports TV Host,1.5M
39,↠ 𝚉𝚄𝚁𝙸𝙰 𝚅𝙴𝙶𝙰 ↞☪ @zuriavvega,4.7M,0.64%,Italy,Fashion and Accessories Actors,1.4M
40,Valentina Ferragni @valentinaferragni,4.6M,2.83%,Italy,Fashion and Accessories Lifestyle Modeling Celebrities,1.4M
41,Alessandro Del Piero @alessandrodelpiero,4.6M,2.12%,Italy,Food Soccer,1.4M
42,SFE 🇮🇹 @sferaebbasta,4.5M,9.54%,Italy,Music,1.4M
43,Chiara Biasi @chiarabiasi,4.5M,0.11%,Italy,Fashion Celebrities,1.3M
44,Stephan El Shaarawy @stewel92,4.5M,1.9%,Italy,Sports,1.3M
45,Leonardo Bonucci @bonuccileo19,4.4M,1.5%,Italy,Soccer,1.3M
46,federica nargi @fede_nargi,4.3M,1.56%,Italy,Modeling,1.3M
47,Laura Pausini Official @laurapausini,4.3M,1.07%,Italy,Entertainment and Music Music Actors Singer,1.3M
48,𝒫𝒶𝓁𝒶𝓋𝓇𝒶𝓈 ℯ 𝒱ℯ𝓇𝒹𝒶𝒹ℯ𝓈 🎗 @palavraseverdades,4.1M,0.06%,Italy,Beauty and Self Care Life and Society Quotes,1.2M
49,Victoria De Angelis/ Måneskin @vicdeangelis,4.1M,15.97%,Italy,Entertainment and Music Music Musician Band,1.2M
50,Federico Chiesa @fedexchiesa,4.1M,5.39%,Italy,Soccer,1.2M
51,Amici Official @amiciufficiale,4M,0.43%,Italy,Entertainment and Music Education Singer,1.2M
52,Alessandra Amoroso @amorosoof,4M,1.3%,Italy,Entertainment and Music Music Singer,1.2M
53,Vabbè @vabbe.it,3.9M,2.12%,Italy,Entertainment and Music Funny Quotes,1.2M
54,Francesco Totti @francescototti,3.8M,7.9%,Italy,Soccer,1.2M
55,Ismaël Bennacer @ismaelbennacer,3.8M,5.01%,Italy,Sports Soccer,1.1M
56,Gli Autogol @gliautogol,3.7M,3.8%,Italy,Celebrity Music,1.1M
57,C E L L E G R I N I @celestepellegrini,3.6M,0.83%,Italy,Fashion and Accessories Actors,1.1M
58,Frank Matano @frankmatano,3.6M,0.43%,Italy,Funny Marketing and Advertising Humor Comedian,1.1M
59,Monica Bellucci @monicabellucciofficiel,3.6M,5.5%,Italy,Entertainment and Music Modeling,1.1M
60,Elisabetta Canalis @littlecrumb_,3.5M,2.02%,Italy,Fashion and Accessories Modeling,1.1M
61,Lindsay Capuano @lindsaycapuano,3.5M,11.3%,Italy,,1M
62,Elodie @elodie,3.4M,3.8%,Italy,Art Celebrity,1M
63,CALCIATORIBRUTTI @calciatoribrutti,3.4M,2.74%,Italy,Entertainment and Music Sports Automotive Soccer,1M
64,Alice Campello Morata @alicecampello,3.4M,3.4%,Italy,Fashion and Accessories Marketing and Advertising Lifestyle Celebrities,1M
65,Luciana Littizzetto @lucianinalittizzetto,3.4M,0.3%,Italy,,1M
66,V @valentinafradegrada,3.3M,0.55%,Italy,Fashion and Accessories Business and Finance Food and Drink Music,993.5K
67,Lorenzo Ostuni @favij,3.2M,2.32%,Italy,Marketing and Advertising Lifestyle,969.3K
68,Commenti Memorabili @commenti_memorabili,3.2M,1.23%,Italy,Quotes,959.1K
69,ELISA MAINO @la_mainoo,3.1M,1.98%,Italy,Fashion Lifestyle Celebrities Hair & Beauty,943.8K
70,Barbara d'Urso @barbaracarmelitadurso,3.1M,0.54%,Italy,Entertainment and Music Romance and Wedding Actors,932.5K
71,U2 @u2,3.1M,1.92%,Italy,Entertainment and Music DJ Music Producers,930.5K
72,Riccardo Tisci @riccardotisci17,3.1M,0.16%,Italy,Fashion and Accessories Singer Music Entertainment,922.3K
73,Cristina Buccino 🇮🇹 @cribuccino,3.1M,1.19%,Italy,Product Education Coaching,921.8K
74,Antonino Cannavacciuolo @antoninochef,3.1M,0.37%,Italy,Food,920K
75,Pio e Amedeo @pioeamedeo83,3.1M,1.77%,Italy,Entertainment and Music Romance and Wedding Celebrity,919.6K
76,Christian Vieri @christianvieri,3.1M,0.39%,Italy,Sports Food Soccer,916.7K
77,SSC Napoli @officialsscnapoli,3M,1.1%,Italy,Sports Soccer,907K
78,EDOARDO SANTONOCITO @edoardosantonocito,3M,5.39%,Italy,Fashion and Accessories Tennis Modeling,903.5K
79,Giacomo Gianniotti @giacomo_gianniotti,3M,0.27%,Italy,Acting and Drama Entertainment and Music Celebrity Health and Medical Services,896.5K
80,Carlo and Sarah @carloandsarah,3M,5.89%,Italy,,888.2K
81,Federico Bernardeschi @fbernardeschi,2.9M,1.54%,Italy,Sports Soccer,881K
82,Paolo Maldini @paolomaldini,2.9M,9.88%,Italy,Soccer,872K
83,Taylor Mega @taylor_mega,2.8M,2.1%,Italy,Fitness and Health,855K
84,Tammy Abraham @tammyabraham,2.8M,9.01%,Italy,Sports Soccer,842.1K
85,Anna Dello Russo @annadellorusso,2.8M,0.14%,Italy,Fashion and Accessories Modeling Actors,841.2K
86,Salmo Official @lebonwski,2.7M,4.07%,Italy,Beauty Music Modeling,821.4K
87,Akram mohamed elsayed @ekramyhagras,2.7M,0.13%,Italy,Arts and Crafts Fashion and Accessories,816.1K
88,Valentina Vignali @valentinavignali,2.7M,0.59%,Italy,Fashion and Accessories Sports Fitness and Health Basketball,808K
89,🍿Lodovica Comello🍿 @lodocomello,2.7M,0.94%,Italy,Entertainment and Music Education Marketing and Advertising Actors,803.7K
90,Valentino Garavani. @realmrvalentino,2.6M,0.06%,Italy,Fashion and Accessories Arts and Crafts Fashion Design Modeling,794.1K
91,Aurora Ramazzotti @therealauroragram,2.6M,6.22%,Italy,Entertainment and Music Fashion and Accessories Marketing and Advertising Modeling,791K
92,Andrea Bocelli @andreabocelliofficial,2.6M,0.69%,Italy,Music Singer,777.7K
93,Romina Malaspina @romimalaspina,2.6M,0.81%,Italy,Entertainment and Music Music Actors Modeling,767.5K
94,Silvia Caruso @silvialicius,2.5M,1.98%,Italy,Funny Modeling Music,763.3K
95,Abdelhamid Sabiri @abdelhamidsabiri,2.5M,5.71%,Italy,Sports,758.9K
96,Moise kean 🦍 @moise_kean,2.5M,7.63%,Italy,Events Soccer Sports,757.7K
97,ᗷᗩᖇᗷᗩᖇᗩ @barbarafabbroniofficial,2.5M,1.12%,Italy,Education Romance and Wedding Marketing and Advertising,757.6K
98,Valentino Bisegna @valebise,2.5M,4.92%,Italy,family Marketing and Advertising Lifestyle,752.1K
99,Eliya Cioccolato @eliyacioccolato,2.5M,2.36%,Italy,Fashion and Accessories Fashion Design Celebrities Design,748.6K
100,The Pasta Queen @the_pastaqueen,2.5M,1.29%,Italy,Marketing and Advertising,741.9K
