#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Khabane lame @khaby.lame,161.9M,0.2%,Italy,Funny Entertainment and Music,48.6M
2,Manuel Mercuri @mercuri_88,20.9M,-,Italy,,6.3M
3,Urban Theory @urbantheory_,17.8M,-,Italy,Entertainment and Music,5.3M
4,𝐹𝑎𝑏𝑖𝑜𝑙𝑎 @fabiola.baglieri,13.2M,1.2%,Italy,Celebrity,4M
5,AC Milan @acmilan,6.5M,-,Italy,,2M
6,Salvo&Giorgia @salvatore.roccaro,5.6M,-,Italy,Fashion and Accessories,1.7M
7,Chiara Ferragni @chiaraferragni,5.1M,-,Italy,Fashion and Accessories,1.5M
8,Joey Nero @joeynero,4.8M,0.2%,Italy,,1.4M
9,V A L E N T I N O @caprariu_valentino,4.8M,0.7%,Italy,Arts and Crafts,1.4M
10,Sharon Fonseca @sharfonseca,4.7M,-,Italy,Beauty and Self Care Life and Society,1.4M
11,ivanhoe spalluto @unmoderated.ivanhoe,4.6M,-,Italy,,1.4M
12,Giulia Sara Salemi @giuliasalemii,4M,-,Italy,Fashion and Accessories,1.2M
13,ITALIANINHO @italianinho,3.1M,-,Italy,,930K
14,A1saud @a1saud,3.1M,-,Italy,Entertainment and Music,930K
15,fakeba drammeh @il_fake,3.1M,-,Italy,Entertainment and Music Funny,930K
16,ALICE DE BORTOLI @ali.debortoli,3M,-,Italy,Fashion and Accessories,900K
17,Nonna Pia @nonnapiaa,2.7M,0.5%,Italy,,810K
18,Tola_Mr.Stark @tola_mr.stark,2.7M,-,Italy,,810K
19,Me contro Te @mecontrote,2.6M,-,Italy,Entertainment and Music,780K
20,HIIRO @itshiiro.cos,2.4M,3.2%,Italy,Animation and Cosplay,720K
21,🌹SAMANTHA FRISON 🌹 @samanthafrison,2.4M,-,Italy,Fashion and Accessories,720K
22,Luca Lozano💍 @lucaloz,2.2M,-,Italy,Entertainment and Music,660K
23,Federica Scagnetti @federica.scagnetti,2.1M,-,Italy,Travel,630K
24,𝔟𝔞𝔟𝔶𝔤𝔦𝔯𝔩❤️‍🔥🇵🇭 @kkhatemaekawaaa,2.1M,-,Italy,,630K
25,Tommaso Logrande @tommasomasino1,2M,-,Italy,Romance and Wedding,600K
26,Giulia DiCaprio @giuliabenite,2M,-,Italy,,600K
27,Giulia Paglianiti @giuliapaglianiti,1.9M,-,Italy,,570K
28,Movie.Tv🎥 @movie.it,1.8M,-,Italy,Entertainment and Music Celebrity,540K
29,Matt & Bise @mattebise,1.8M,-,Italy,Entertainment and Music,540K
30,🇮🇹 Стефи Шейди 🗿 @stefy.shady,1.7M,-,Italy,,510K
31,Maryna @marynaofficial,1.7M,0.1%,Italy,,510K
32,Nyla @nylaa.a,1.6M,-,Italy,Entertainment and Music,480K
33,Jacob Phabian @itsphabian,1.6M,-,Italy,,480K
34,HannaBraids @hannabraids,1.6M,-,Italy,,480K
35,Giovanni Contrada @imp_of_the_perverse,1.5M,-,Italy,,450K
36,TikTok Italia @tiktok_it,1.5M,-,Italy,Entertainment and Music,450K
37,Louisa @louisa_masciullo,1.5M,8.1%,Italy,,450K
38,Simone Noto @simonenoto,1.5M,4.3%,Italy,Entertainment and Music,450K
39,Ally Yost @ally_yost,1.5M,-,Italy,Travel,450K
40,Angel @angeljiewang,1.4M,-,Italy,,420K
41,Gianmarco Zagato @gianmarcozagato,1.4M,-,Italy,,420K
42,rae @raeecambra,1.4M,-,Italy,,420K
43,Ambra Cotti @ambra.cotti,1.3M,-,Italy,,390K
44,Vincenzo Cairo @vincenzo_cairo,1.3M,0.5%,Italy,Entertainment and Music Music,390K
45,Davide Magaraggia @davidemaga,1.3M,-,Italy,News,390K
46,Dieffe Bros @dieffebros,1.2M,16.6%,Italy,,360K
47,Frank Matano @frankmatano,1.2M,-,Italy,Entertainment and Music,360K
48,Lyon.wgf @lyon.wgf,1.2M,2.4%,Italy,,360K
49,Ufozero2 @ufozero2,1.2M,16.9%,Italy,Entertainment and Music Funny,360K
50,EVITA 🔥 @evitastork,1.1M,-,Italy,Entertainment and Music,330K
51,Manu @x.manuel,1.1M,0.1%,Italy,Entertainment and Music,330K
52,Cora & Marilù @cora.e.marilu,1.1M,-,Italy,Acting and Drama,330K
53,Vincenzo Caruso @dannyilpazzo.88,1.1M,-,Italy,Entertainment and Music,330K
54,Francesco Laganara @cescoartist,1M,-,Italy,Arts and Crafts,300K
55,Alessandro @alessandro_vincenti,991.7K,0.3%,Italy,,297.5K
