#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH
1,Davie504 @UCgFvT6pUq9HLOvKBYERzXSQ,12.6M,-,Italy,,3.8M
2,Born2Kill @UCNpNPMjP5S3qvXnUS0KRepw,9M,0.3%,Italy,,2.7M
3,Serie A @UCBJeMCIeLQos7wacox4hmLQ,8.3M,-,Italy,,2.5M
4,FavijTV @UCSFC5Cio8zaLQDFPxA7y_HQ,6.4M,-,Italy,,1.9M
5,Me contro Te @UCfGk2x9k0vE14OoMlifGLCg,6.3M,0.1%,Italy,,1.9M
6,iPantellas @UCD-aXv7CMezGSTfxmKAD6Ag,5.8M,-,Italy,,1.7M
7,Warner Music Italy @UC9PZVgJF-mX4aDDzLE4z5Zg,5.8M,-,Italy,,1.7M
8,Rai @UCKUzdt2sELyxd6mz-bAx3bA,4.9M,-,Italy,,1.5M
9,Ameli TVIT @UC9FqpQX13mX-lLBWlTZ6Q0Q,4.6M,-,Italy,,1.4M
10,WhenGamersFail ► Lyon @UC1OGV4dczjRz8wNLRaezJ5Q,4.5M,0.1%,Italy,,1.3M
11,St3pNy @UCMggu4tZ2N6SD4FebIbMDpA,4.4M,0.3%,Italy,,1.3M
12,Måneskin Official @UCgQna2EqpzqzfBjlSmzT72w,4.3M,-,Italy,,1.3M
13,Film&Clips @UCNT5YLfnn2cQGIxGw8iOxJQ,4.2M,-,Italy,,1.3M
14,5 MINUTI CREATIVI @UCYzJ25VqINzsrrdPyBNpbAg,4.1M,-,Italy,,1.2M
15,Masha e Orso @UCSH8CjSBSMnD1gYvTOyjREw,4.1M,-,Italy,,1.2M
16,Daniele Vitale Sax @UCaQhy_pdgjkcVeh6bIfoVlg,4M,0.2%,Italy,,1.2M
17,Juventus @UCLzKhsxrExAC6yAdtZ-BOWw,3.7M,-,Italy,,1.1M
18,HALIDONMUSIC @UCyOfqgtsQaM3S-VZnsYnHjQ,3.5M,-,Italy,,1M
19,DisneyJuniorIT @UClb8YSegoA2ZRSSXqXlFJaA,3.1M,-,Italy,,918K
20,Lionfield @UCHwpDpLoyJgtFXoAaaSut4Q,3M,-,Italy,,909K
21,ilvostrocaroDexter @UCNo7m7faHS9t3nSDfWXvGww,3M,-,Italy,,891K
22,Surry @UC3V8twsHOUBGvM_xsQ_4ZJg,3M,0.3%,Italy,,888K
23,BUM! @UC8Lq46YDnbQMAXhAfc7hr7A,3M,0.1%,Italy,,888K
24,IL LATO POSITIVO @UC-yUaDGthx7mENfSxd81qfg,3M,-,Italy,,885K
25,Dolci Melodie @UC9WUMVR1jsan7IleT_bolsQ,2.9M,-,Italy,,870K
26,Two Players One Console @UCpyDd4YbikHZE-DtNGfpdjQ,2.9M,-,Italy,,855K
27,Fanpage.it @UCWJhBqnyVdHAuxexgjghNFw,2.8M,-,Italy,,846K
28,The Perfect Home @UC6rWB83cxqfb72-HEagGv2Q,2.8M,-,Italy,,840K
29,DisneyChannelIT @UCTLBJ_2dg5G109qFR34wRRA,2.7M,-,Italy,,819K
30,Ghali @UCY5rq0soTIK6hPbn8kejgMg,2.7M,-,Italy,,810K
31,Marcello Barenghi @UCcBnT6LsxANZjUWqpjR8Jpw,2.7M,-,Italy,,810K
32,Fashion Channel @UCepVy23t8l-CEaASZzfo9Jg,2.7M,-,Italy,,807K
33,JMMates @UCgzT6VaCrpF3QLZQa6ZcNcg,2.6M,-,Italy,,780K
34,Matt & Bise @UCuIn6yReJxMfn1zf7fd-M1Q,2.6M,-,Italy,,774K
35,Stella ASMR @UCJ1XeP1hg9K-8XJN9OdApjw,2.5M,-,Italy,,744K
36,Giallozafferano Italian Recipes @UChxU-cVEOaJOwCaSuBoZ9Qg,2.4M,-,Italy,,723K
